HRG,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Total
EA49A,"Percutaneous Coronary Interventions with 3 or more Stents, Rotablation, IVUS or Pressure Wire, with CC Score 9+",.,.,"7,479",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"7,479"
EA49B,"Percutaneous Coronary Interventions with 3 or more Stents, Rotablation, IVUS or Pressure Wire, with CC Score 6-8","2,303",.,"3,306",.,"4,274",.,.,.,.,.,.,.,"18,831",.,.,.,.,"28,714"
EA49C,"Percutaneous Coronary Interventions with 3 or more Stents, Rotablation, IVUS or Pressure Wire, with CC Score 3-5","16,972",.,"88,416",.,"48,666",.,.,.,.,.,.,.,"75,326",.,.,.,.,"229,380"
EA49D,"Percutaneous Coronary Interventions with 3 or more Stents, Rotablation, IVUS or Pressure Wire, with CC Score 0-2","13,117",.,"120,349",.,"77,901",.,.,.,.,.,.,.,"258,485",.,.,.,.,"469,852"
EA51A,"Coronary Artery Bypass Graft, with Valve Replacement or Repair, with CC Score 9+",.,.,.,.,.,.,.,.,.,.,.,.,"28,782",.,.,.,.,"28,782"
EA51D,"Coronary Artery Bypass Graft, with Valve Replacement or Repair, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,644,.,.,.,.,644
EA54A,Percutaneous Standard Ablation with CC Score 3+,.,.,.,.,.,.,.,.,.,.,.,.,"4,063",.,.,.,.,"4,063"
EA54B,Percutaneous Standard Ablation with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,"24,919",.,.,.,.,"24,919"
EA55A,Percutaneous Diagnostic Electrophysiology Studies with CC Score 3+,.,.,"7,124",.,.,.,.,.,.,.,.,.,"2,916",.,.,.,.,"10,040"
EA55B,Percutaneous Diagnostic Electrophysiology Studies with CC Score 0-2,.,.,"3,562",.,"2,056",.,.,.,.,.,.,.,"8,848",.,.,.,.,"14,466"
EA56A,"Implantation of Cardiac Resynchronization Therapy Defibrillator (CRT-D), with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,.,"33,230",.,.,.,.,"33,230"
EA56B,"Implantation of Cardiac Resynchronization Therapy Defibrillator (CRT-D), with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,"79,570",.,.,.,.,"79,570"
EA56C,"Implantation of Cardiac Resynchronization Therapy Defibrillator (CRT-D), with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,"63,656",.,.,.,.,"63,656"
EA57A,"Percutaneous Interventions: Percutaneous Transluminal ASD, VSD or PFO Closure and Valve Insertion, or Balloon Valve Intermediate Interventions and Arterial Duct Closure, with CC Score 5+",.,.,"2,941",.,.,.,.,.,.,.,.,.,"9,908",.,.,.,.,"12,849"
EA57B,"Percutaneous Interventions: Percutaneous Transluminal ASD, VSD or PFO Closure and Valve Insertion, or Balloon Valve Intermediate Interventions and Arterial Duct Closure, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,"12,795",.,.,.,.,"12,795"
EA58Z,Transcatheter Aortic Valve Implantation (TAVI) using Transfemoral Approach,.,.,.,.,.,.,.,.,.,.,.,.,"24,508",.,.,.,.,"24,508"
EA59Z,Transcatheter Aortic Valve Implantation (TAVI) not using Transfemoral Approach,.,.,.,.,.,.,.,.,.,.,.,.,"6,801",.,.,.,.,"6,801"
EB02A,Endocarditis with CC Score 10+,.,.,.,.,.,.,528,.,.,.,.,.,.,.,.,.,"1,467","1,995"
EB02B,Endocarditis with CC Score 5-9,689,.,"2,424",547,.,.,.,.,.,.,.,.,"1,544",.,799,.,.,"6,004"
EB02C,Endocarditis with CC Score 0-4,"1,127","3,264",.,.,.,.,.,.,.,.,453,.,"1,158",.,.,.,456,"6,458"
EB03A,"Heart Failure or Shock, with CC Score 14+",.,"4,958","2,424",.,876,"1,638",.,.,.,.,.,.,772,.,.,.,"3,112","13,780"
EB03B,"Heart Failure or Shock, with CC Score 11-13","4,759","7,349","8,321",454,"1,692",659,528,.,"1,127",.,773,.,"4,310",.,"1,004",.,"8,892","39,868"
EB03C,"Heart Failure or Shock, with CC Score 8-10","14,520","18,140","16,252","1,361","5,720",697,"1,756",.,"3,382",.,"7,985",.,"13,564",.,"9,336",.,"57,124","149,836"
EB03D,"Heart Failure or Shock, with CC Score 4-7","41,494","50,979","19,827","14,541","9,229","4,689","4,748",.,"11,649",.,"27,588",.,"42,983",.,"31,382",552,"89,742","349,404"
EB03E,"Heart Failure or Shock, with CC Score 0-3","16,141","20,168","11,453","4,909","5,456","2,768","1,228",.,"2,159",.,"21,257",.,"39,457",.,"7,922","2,760","17,820","153,499"
EB04Z,Hypertension,"17,051","15,949","5,984","5,270","4,583","2,580","4,748",.,"3,758",.,"11,350",.,"24,069",.,"12,144","7,729","11,967","127,181"
EB05A,Cardiac Arrest with CC Score 9+,438,"1,265","6,717",.,.,358,.,.,752,.,"1,508",.,"1,544",.,.,.,823,"13,405"
EB05B,Cardiac Arrest with CC Score 5-8,.,"1,265","1,576","2,298","1,862",603,.,.,.,.,"10,394",.,386,.,644,552,"1,834","21,414"
EB05C,Cardiac Arrest with CC Score 0-4,"1,378",.,"1,376","1,001",894,.,.,.,752,.,"2,065",.,"3,376",.,"4,202","1,656","1,556","18,256"
EB06A,Cardiac Valve Disorders with CC Score 13+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,456,456
EB06B,Cardiac Valve Disorders with CC Score 9-12,"1,378",422,.,.,689,.,528,.,.,.,387,.,.,.,502,.,"1,100","5,006"
EB06C,Cardiac Valve Disorders with CC Score 5-8,"6,575",422,972,454,712,358,"1,402",.,376,.,"1,679",.,"2,235",.,.,552,"2,468","18,204"
EB06D,Cardiac Valve Disorders with CC Score 0-4,"3,194","4,998","2,588","2,641","2,520",301,"1,228",.,"1,783",.,"1,107",.,611,.,"3,105",.,"2,012","26,089"
EB07A,"Arrhythmia or Conduction Disorders, with CC Score 13+","1,378",829,"1,705",.,327,.,.,.,655,.,.,.,.,.,.,.,"1,100","5,994"
EB07B,"Arrhythmia or Conduction Disorders, with CC Score 10-12","6,575","2,049","1,136",454,"1,459",358,701,.,"1,407",.,.,.,"2,604",.,.,.,"6,036","22,779"
EB07C,"Arrhythmia or Conduction Disorders, with CC Score 7-9","16,900","16,594","5,852","2,094","5,520","1,615","2,283",.,"5,820",.,"3,359",.,"9,964",407,"10,022",.,"15,206","95,637"
EB07D,"Arrhythmia or Conduction Disorders, with CC Score 4-6","49,032","64,535","13,693","18,397","20,779","9,601","10,214",.,"20,554",.,"24,723",.,"49,968",.,"33,060","20,978","39,149","374,681"
EB07E,"Arrhythmia or Conduction Disorders, with CC Score 0-3","107,234","164,540","34,139","55,097","63,013","30,055","12,999",.,"32,177",.,"73,449",.,"95,568",.,"51,535","228,547","83,864","1,032,216"
EB08A,"Syncope or Collapse, with CC Score 13+",.,780,.,.,689,.,.,.,.,.,.,.,370,.,.,.,"1,100","2,940"
EB08B,"Syncope or Collapse, with CC Score 10-12","1,753","2,878","1,980",547,"1,039",603,.,.,752,.,773,.,"4,435",.,"4,661",.,"3,249","22,669"
EB08C,"Syncope or Collapse, with CC Score 7-9","9,253","13,331","4,000","3,268","11,463","1,722","3,693",.,"6,754",.,"4,134",.,"26,778",.,"10,485",.,"26,398","121,280"
EB08D,"Syncope or Collapse, with CC Score 4-6","28,752","60,276","9,833","6,457","23,007","8,349","6,858",.,"12,868",.,"14,198",.,"78,126",.,"36,122","8,281","80,645","373,772"
EB08E,"Syncope or Collapse, with CC Score 0-3","89,505","127,234","21,669","24,993","39,765","21,408","7,732",.,"22,162",.,"60,026",.,"140,729",.,"61,713","45,268","92,875","755,080"
EB09B,Non-Interventional Congenital Cardiac Conditions with CC Score 0-2,.,422,.,.,.,.,.,.,.,.,.,.,611,.,.,.,.,"1,033"
EB10A,"Actual or Suspected Myocardial Infarction, with CC Score 13+",.,"4,286",499,.,"1,809",.,701,.,.,360,.,.,.,.,.,.,734,"8,387"
EB10B,"Actual or Suspected Myocardial Infarction, with CC Score 10-12","2,755","7,099","1,272",454,"2,766",358,528,.,"1,127",.,.,.,"4,147",.,502,.,"2,955","23,963"
EB10C,"Actual or Suspected Myocardial Infarction, with CC Score 7-9","9,281","21,633","6,194","4,002","9,826","3,388","2,803",.,"3,094",.,"2,651",.,"6,587",.,"4,017",.,"17,683","91,159"
EB10D,"Actual or Suspected Myocardial Infarction, with CC Score 4-6","26,897","36,973","3,908","15,302","23,784","9,336","2,457",.,"7,874",.,"10,740",.,"7,898",.,"10,164","3,864","23,886","183,083"
EB10E,"Actual or Suspected Myocardial Infarction, with CC Score 0-3","30,998","42,856","2,109","47,199","33,988","21,167","5,795",.,"9,097",.,"13,721",.,"5,819",.,"40,559","24,842","26,536","304,687"
EB12A,Unspecified Chest Pain with CC Score 11+,"2,505",845,568,.,"1,548",.,"2,103",.,"1,127",.,.,.,386,.,"2,306",.,"5,528","16,915"
EB12B,Unspecified Chest Pain with CC Score 5-10,"87,733","65,127","33,815","22,212","40,769","20,431","36,858",.,"27,039",.,"28,760",.,"55,268",.,"28,016","29,810","81,342","557,179"
EB12C,Unspecified Chest Pain with CC Score 0-4,"261,878","357,546","70,011","94,869","174,868","72,236","59,647",.,"85,310",.,"182,054",.,"227,357",.,"148,856","773,968","141,188","2,649,790"
EB13A,Angina with CC Score 12+,"1,127","2,111",.,.,.,819,701,.,.,.,.,.,.,.,502,.,367,"5,627"
EB13B,Angina with CC Score 8-11,"4,876","9,716","3,409",454,"3,980","3,814","5,622",.,"2,159",.,839,.,"3,987",.,"2,511",.,"7,214","48,580"
EB13C,Angina with CC Score 4-7,"41,324","72,963","18,019","24,947","24,178","15,707","6,662",.,"19,427",.,"14,108",.,"18,828",.,"28,038","3,864","25,567","313,631"
EB13D,Angina with CC Score 0-3,"28,743","83,717","8,726","32,524","33,041","19,435","7,189",.,"9,578",.,"40,276",.,"13,403",.,"36,554","7,177","15,607","335,970"
EB14A,Other Acquired Cardiac Conditions with CC Score 13+,958,"1,220","1,108",.,438,"1,228",.,.,.,.,.,.,.,.,.,.,"1,032","5,984"
EB14B,Other Acquired Cardiac Conditions with CC Score 9-12,"4,609","5,837","11,556",.,"1,920","1,228",528,.,655,.,"1,292",.,"3,884",.,"1,004",.,"3,773","36,287"
EB14C,Other Acquired Cardiac Conditions with CC Score 6-8,"12,977","9,879","8,185","2,001","5,099","2,956","1,055",.,"2,910",.,"4,212",.,"16,692",.,"2,511",552,"6,225","75,253"
EB14D,Other Acquired Cardiac Conditions with CC Score 3-5,"18,271","17,734","22,411","7,457","11,680","1,620","2,638",.,"3,190",.,"11,633",.,"24,579",.,"5,460",552,"9,109","136,333"
EB14E,Other Acquired Cardiac Conditions with CC Score 0-2,"15,166","11,167","10,602","6,283","15,509","6,033","2,457",.,"1,783",.,"17,622",.,"20,899",.,"14,326","3,864","18,895","144,606"
EB15B,Primary Pulmonary Hypertension with CC Score 4-8,.,.,.,.,.,.,.,.,.,.,.,.,772,.,.,.,.,772
EC01A,"Congenital Cardiac Surgery with Intervention Score 58 or less, with Diagnosis Score 64 or less",.,.,.,.,"1,406",.,.,.,.,.,.,.,"97,749",.,.,.,.,"99,154"
EC01B,"Congenital Cardiac Surgery with Intervention Score 58 or less, with Diagnosis Score 65-117",.,.,.,.,.,.,.,.,.,.,.,.,"19,351",.,.,.,.,"19,351"
EC02B,"Congenital Cardiac Surgery with Intervention Score 59-121, with Diagnosis Score 65-117",.,.,.,.,.,.,.,.,.,.,.,.,"5,222",.,.,.,.,"5,222"
FZ12L,"Major General Abdominal Procedures, 19 years and over, with CC Score 10+",.,.,"4,507",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,507"
FZ12M,"Major General Abdominal Procedures, 19 years and over, with CC Score 6-9",.,407,.,.,.,.,.,.,.,.,.,.,"3,840",.,.,.,455,"4,701"
FZ12N,"Major General Abdominal Procedures, 19 years and over, with CC Score 3-5",.,904,.,.,"2,780",.,.,.,.,.,.,.,"6,712",.,.,.,"1,113","11,509"
FZ12P,"Major General Abdominal Procedures, 19 years and over, with CC Score 1-2","5,478",452,.,"1,978","16,011","2,617",.,.,.,.,.,.,"10,308",.,.,.,"8,586","45,430"
FZ12Q,"Major General Abdominal Procedures, 19 years and over, with CC Score 0","1,939","3,772","10,838",.,"17,716","11,535",.,.,.,.,.,.,"15,825",.,.,.,"8,250","69,876"
FZ12R,"Major General Abdominal Procedures, between 2 and 18 years, with CC Score 1+",.,.,.,.,.,"2,927",.,.,.,.,.,.,.,.,.,.,.,"2,927"
FZ12S,"Major General Abdominal Procedures, between 2 and 18 years, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,625",.,.,"4,625"
FZ12U,"Major General Abdominal Procedures, 1 year and under, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"9,819",.,.,.,.,"9,819"
FZ13C,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 19 years and over","20,883","3,441","11,309",573,"16,858","7,263","1,336",.,"3,081",.,"7,139",.,"18,374",.,"4,986",.,"17,756","112,998"
FZ13D,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 18 years and under",.,"1,865",.,.,"2,742","3,318",.,.,.,.,.,.,.,.,.,.,"1,248","9,173"
FZ17E,"Abdominal Hernia Procedures, 19 years and over, with CC Score 4+",.,.,.,.,"3,187",.,.,.,.,.,.,.,.,.,.,.,.,"3,187"
FZ17F,"Abdominal Hernia Procedures, 19 years and over, with CC Score 1-3","5,701",.,"2,140",.,.,.,.,.,.,.,"2,195",.,"3,948",.,.,.,.,"13,983"
FZ17G,"Abdominal Hernia Procedures, 19 years and over, with CC Score 0",.,.,.,.,"5,154","5,724",.,.,.,.,.,.,.,.,.,.,"2,210","13,087"
FZ18E,"Inguinal, Umbilical or Femoral Hernia Procedures, between 2 and 18 years",.,.,.,.,.,.,.,.,.,.,.,.,"1,853",.,.,.,.,"1,853"
FZ18F,"Inguinal, Umbilical or Femoral Hernia Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,"6,080",.,.,.,.,"6,080"
FZ18G,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,332","1,332"
FZ18H,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 3-5","2,962",.,.,.,"7,496",.,.,.,.,.,.,.,"5,541",.,"3,735",.,"1,347","21,081"
FZ18J,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 1-2","6,137","3,616",.,"1,087","7,985","3,868",.,.,.,.,.,.,"8,762",.,"9,457",.,"3,265","44,177"
FZ18K,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 0","11,625",904,.,"2,290","16,817","9,704",.,.,.,.,"4,044",.,"19,024",.,"3,361",.,"2,459","70,229"
FZ19A,"Herniotomy Procedures, 2 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"6,804",.,.,.,.,"6,804"
FZ19B,"Herniotomy Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,"14,690",.,.,.,.,"14,690"
FZ20F,"Appendicectomy Procedures, 19 years and over, with CC Score 5+",.,452,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,518","2,970"
FZ20G,"Appendicectomy Procedures, 19 years and over, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,.,"2,839",.,.,.,.,"2,839"
FZ20H,"Appendicectomy Procedures, 19 years and over, with CC Score 1-2","8,217","1,356",.,573,"30,776",.,.,.,.,.,"1,977",.,"23,945",.,"9,736",.,"8,285","84,865"
FZ20J,"Appendicectomy Procedures, 19 years and over, with CC Score 0","90,391","10,847","27,577","5,153","149,053","51,746",.,.,.,.,"33,668",.,"175,965",.,"16,128",.,"45,495","606,022"
FZ20L,"Appendicectomy Procedures, 18 years and under, with CC Score 1-2","2,739",452,.,"1,718","4,477","5,113",.,.,.,.,.,.,"20,302",.,.,.,.,"34,800"
FZ20M,"Appendicectomy Procedures, 18 years and under, with CC Score 0","52,043","15,505","4,743","7,590","87,657","44,424",.,.,.,.,"10,978",.,"34,336",.,"26,391",.,"12,793","296,462"
FZ21B,"Major Anal Procedures, 18 years and under",.,"2,396",.,.,864,.,.,.,.,.,.,.,.,.,.,.,.,"3,260"
FZ21C,"Major Anal Procedures, 19 years and over, with CC Score 1+",.,"1,543",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,186","2,729"
FZ21D,"Major Anal Procedures, 19 years and over, with CC Score 0","11,566","2,439","1,831","5,395","4,179","3,410",.,.,.,.,"3,041",.,"11,196",.,.,.,"3,192","46,248"
FZ22B,"Intermediate Anal Procedures, 18 years and under","14,382","1,356",.,"6,432","13,348","7,499",.,.,.,.,"1,622",.,"14,803",.,"5,272",.,"6,530","71,244"
FZ22C,"Intermediate Anal Procedures, 19 years and over, with CC Score 3+",.,.,.,573,327,.,.,.,.,.,.,.,.,.,"2,636",.,.,"3,535"
FZ22D,"Intermediate Anal Procedures, 19 years and over, with CC Score 1-2","11,186","6,185","1,371","1,145","4,997","4,133",.,.,.,.,"3,248",.,"22,859",.,"1,310",.,"5,652","62,086"
FZ22E,"Intermediate Anal Procedures, 19 years and over, with CC Score 0","97,476","25,194","9,845","19,366","52,616","49,289",.,.,.,.,"20,099",.,"119,607",.,"33,968",.,"44,879","472,339"
FZ23A,"Minor Anal Procedures, 19 years and over",.,.,.,"3,117",.,"1,671",.,.,.,.,.,.,.,.,"10,307",.,966,"16,062"
FZ24E,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, between 2 and 18 years","4,827","2,611",.,886,"2,711",.,.,.,.,.,.,.,"21,443",.,.,.,.,"32,478"
FZ24F,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,476",.,.,.,.,"1,476"
FZ24G,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 3+",438,"2,966",723,.,"2,997",.,.,.,.,.,.,.,"2,001",.,.,.,.,"9,125"
FZ24H,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 1-2","3,540","1,722","3,422",573,"5,052","6,654",.,.,698,.,"2,252",.,"7,816",.,"1,973",.,"1,501","35,203"
FZ24J,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 0","1,753","3,201","9,566","1,849","1,893","3,235",.,.,.,.,"6,108",.,"12,066",.,"7,892",.,.,"47,565"
FZ27D,"Intermediate Therapeutic General Abdominal Procedures, 18 years and under",.,.,.,.,"1,658",.,.,.,.,.,.,.,.,.,.,.,.,"1,658"
FZ27E,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 3+",.,.,.,.,327,.,.,.,.,.,.,.,.,.,.,.,.,327
FZ27F,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 1-2",.,452,.,.,"1,573",.,.,.,.,.,"1,301",.,"2,830",.,.,.,.,"6,157"
FZ27G,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 0","2,739",.,.,"1,070","1,387",.,.,.,.,.,.,.,.,.,.,.,"2,693","7,889"
FZ36K,"Gastrointestinal Infections with Single Intervention, with CC Score 2-4",.,.,.,.,363,.,.,.,.,.,.,.,.,.,.,.,.,363
FZ36M,"Gastrointestinal Infections without Interventions, with CC Score 8+",438,407,.,.,765,.,.,.,376,.,.,.,"3,742",.,"1,146",.,"6,619","13,493"
FZ36N,"Gastrointestinal Infections without Interventions, with CC Score 5-7","5,526","3,148","3,017",454,"1,092",301,.,.,"1,503",.,"2,521",.,"21,445",.,"3,013",.,"9,537","51,556"
FZ36P,"Gastrointestinal Infections without Interventions, with CC Score 2-4","23,726","9,988","13,402","1,361","11,605","5,211","3,165",.,"3,006",.,"19,074",.,"77,631",.,"10,627",.,"35,300","214,094"
FZ36Q,"Gastrointestinal Infections without Interventions, with CC Score 0-1","48,138","22,642","12,792","3,294","26,648","21,122","5,976",.,"4,134",.,"36,072",.,"140,839",.,"24,842",.,"64,085","410,585"
FZ37P,"Inflammatory Bowel Disease without Interventions, with CC Score 5+",.,"8,365",.,454,.,.,.,.,.,.,387,.,776,.,"1,506",.,"7,878","19,365"
FZ37Q,"Inflammatory Bowel Disease without Interventions, with CC Score 3-4","1,315","18,216","4,432","1,933",327,.,.,.,752,.,387,.,"2,322",.,"3,455",.,"5,135","38,273"
FZ37R,"Inflammatory Bowel Disease without Interventions, with CC Score 1-2","5,278","53,082","5,475","6,894","2,844","1,788",.,.,.,.,"1,055",.,"13,825",.,"7,030",.,"15,023","112,294"
FZ37S,"Inflammatory Bowel Disease without Interventions, with CC Score 0","15,871","52,368","18,809","10,295","10,945",998,.,.,"2,255",.,"1,300",.,"54,803",.,"5,891",.,"20,944","194,478"
FZ38L,"Gastrointestinal Bleed with Single Intervention, with CC Score 0-4",.,.,655,.,.,.,.,.,.,.,.,.,.,.,.,.,.,655
FZ38M,"Gastrointestinal Bleed without Interventions, with CC Score 9+",457,"2,485",.,.,.,.,.,.,.,.,453,.,"1,209",.,.,.,"1,766","6,369"
FZ38N,"Gastrointestinal Bleed without Interventions, with CC Score 5-8","5,450","9,544","3,636","1,573",876,"1,991",.,.,.,.,"1,424",.,"16,002",.,647,.,"14,568","55,711"
FZ38P,"Gastrointestinal Bleed without Interventions, with CC Score 0-4","67,178","61,985","31,428","14,916","22,112","9,412",528,.,"1,127",.,"30,237",.,"152,375",407,"29,497",.,"77,385","498,586"
FZ42A,"Wireless Capsule Endoscopy, 19 years and over",788,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,788
FZ49F,"Nutritional Disorders without Interventions, with CC Score 6+",438,.,808,.,980,.,.,.,.,.,.,.,386,.,502,.,"2,201","5,316"
FZ49G,"Nutritional Disorders without Interventions, with CC Score 2-5","7,311","8,397","2,519",.,"1,307",301,.,.,376,.,"1,160",.,"3,704",.,"2,794",.,"8,001","35,870"
FZ49H,"Nutritional Disorders without Interventions, with CC Score 0-1","6,574","4,807","4,596",.,894,998,528,.,752,.,"2,682",.,"7,139",.,"3,303",.,"1,100","33,373"
FZ50Z,"Intermediate Large Intestine Procedures, 19 years and over","6,528","5,444",.,"1,131","17,656","2,297",.,.,531,.,"1,431",.,"16,691",.,"8,129",.,"6,649","66,487"
FZ51Z,"Diagnostic Colonoscopy, 19 years and over","7,939","5,503","12,267",.,"2,463","7,321",.,.,998,.,"11,027",.,819,.,.,.,"1,332","49,670"
FZ52Z,"Diagnostic Colonoscopy with Biopsy, 19 years and over","15,575","6,213","1,778","1,774","5,909","1,763","2,672",.,.,.,"1,628",.,"1,017",.,.,.,.,"38,329"
FZ53Z,"Therapeutic Colonoscopy, 19 years and over","8,456",982,590,573,"2,940","3,387",.,.,.,.,.,.,.,.,.,.,"1,332","18,259"
FZ54Z,"Diagnostic Flexible Sigmoidoscopy, 19 years and over","34,867","24,197","17,967","3,256","12,619","8,036",.,.,687,.,"24,955",.,"9,948",.,"3,975",.,"10,737","151,245"
FZ55Z,"Diagnostic Flexible Sigmoidoscopy with Biopsy, 19 years and over","37,211","23,891","20,545",.,786,"2,227","1,864",.,"2,061",.,"8,139",.,"7,805",.,867,.,"5,215","110,610"
FZ56Z,"Therapeutic Flexible Sigmoidoscopy, 19 years and over","7,255","5,770",732,662,"1,406",761,.,.,.,.,"2,622",.,"4,372",.,.,.,987,"24,567"
FZ57Z,"Diagnostic or Therapeutic, Rigid Sigmoidoscopy, 19 years and over","7,364",904,.,.,"3,920","6,076",.,.,.,.,"3,143",.,"12,253",.,"2,072",.,"1,787","37,519"
FZ58A,"Endoscopic or Intermediate, Lower Gastrointestinal Tract Procedures, between 2 and 18 years",.,915,590,.,.,985,.,.,.,.,.,.,.,.,867,.,"23,919","27,276"
FZ58B,"Endoscopic or Intermediate, Lower Gastrointestinal Tract Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,"7,178",.,.,.,.,"7,178"
FZ59Z,"Intermediate Upper Gastrointestinal Tract Procedures, 19 years and over","1,753","2,171","9,385",.,"4,232",515,.,.,791,.,.,.,"3,887",.,"3,062",.,"4,345","30,142"
FZ60Z,"Diagnostic Endoscopic Upper Gastrointestinal Tract Procedures, 19 years and over","143,833","124,549","108,703","9,532","28,281","30,021","1,864",.,"3,436",.,"41,748",.,"59,942",.,"8,244",.,"19,841","579,994"
FZ61Z,"Diagnostic Endoscopic Upper Gastrointestinal Tract Procedures with Biopsy, 19 years and over","167,109","153,047","103,315","15,476","25,801","24,098",932,.,"3,436",.,"81,349",.,"53,033",.,"10,678",.,"31,475","669,748"
FZ62A,"Endoscopic or Intermediate, Upper Gastrointestinal Tract Procedures, between 2 and 18 years","5,447","1,274","4,192","2,066",651,"2,640",.,.,.,.,"1,703",.,"13,990",.,.,.,.,"31,963"
FZ62B,"Endoscopic or Intermediate, Upper Gastrointestinal Tract Procedures, 1 year and under",.,"2,098",.,.,.,.,.,.,.,.,.,.,"3,943",.,.,.,.,"6,041"
FZ63Z,Combined Upper and Lower Gastrointestinal Tract Diagnostic Endoscopic Procedures,"3,380",515,"6,341",.,903,.,"1,336",.,.,.,"4,259",.,785,.,.,.,"1,641","19,160"
FZ64A,"Combined Upper and Lower Gastrointestinal Tract Diagnostic Endoscopic Procedures with Biopsy, 19 years and over","3,922","3,869","8,025","2,341",.,"1,137",.,.,.,.,"5,440",.,"2,453",.,.,.,821,"28,007"
FZ64B,"Combined Upper and Lower Gastrointestinal Tract Diagnostic Endoscopic Procedures with Biopsy, 18 years and under",.,.,.,908,.,.,.,.,.,.,.,.,.,.,.,.,.,908
FZ65Z,Combined Upper and Lower Gastrointestinal Tract Therapeutic Endoscopic Procedures,"2,885",493,"1,779",.,"1,309",.,.,.,.,.,.,.,.,.,.,.,.,"6,466"
FZ66C,"Very Major Small Intestine Procedures, 19 years and over, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,.,"5,182",.,.,.,"2,063","7,245"
FZ66D,"Very Major Small Intestine Procedures, 19 years and over, with CC Score 5-7","7,304",.,.,.,"5,006",.,.,.,.,.,"5,841",.,.,.,.,.,"8,254","26,404"
FZ66E,"Very Major Small Intestine Procedures, 19 years and over, with CC Score 2-4",.,.,789,.,"3,922","10,395",.,.,.,.,"2,428",.,"33,592",.,.,.,"12,494","63,620"
FZ66F,"Very Major Small Intestine Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,"14,083",.,.,.,.,.,.,.,"2,993",.,.,.,"4,127","21,202"
FZ67F,"Major Small Intestine Procedures, 19 years and over, with CC Score 0-1",.,452,.,.,"1,832",.,.,.,.,.,.,.,"7,517",.,.,.,.,"9,800"
FZ68K,"Very Major or Major, Small Intestine Procedures, 1 year and under, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,.,"5,586",.,.,.,.,"5,586"
FZ68L,"Very Major or Major, Small Intestine Procedures, 1 year and under, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,"24,919",.,.,.,.,"24,919"
FZ69C,"Complex Small Intestine Procedures, 19 years and over, with CC Score 7+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,063","2,063"
FZ69D,"Complex Small Intestine Procedures, 19 years and over, with CC Score 3-6",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,063","2,063"
