HRG,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,Northern Ireland Average
CA92B,Very Major Maxillofacial Procedures with CC Score 0,637,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,637
CA93B,"Major Maxillofacial Procedures, 19 years and over, with CC Score 0",601,.,.,.,.,.,.,.,.,.,.,.,"1,658",.,.,.,.,.,865
CA93C,"Major Maxillofacial Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,573",.,.,.,.,.,"1,573"
CA94Z,Intermediate Maxillofacial Procedures,601,.,.,"1,334",.,743,.,"1,440",.,.,.,.,"1,537",.,.,"1,853","1,584",.,"1,213"
CA95Z,Minor Maxillofacial Procedures,592,.,.,.,.,.,835,"1,238",.,.,.,.,"1,628",.,.,.,"1,632",.,"1,116"
CA96Z,"Reduction or Fixation, of Jaw","1,068",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,068"
CA97Z,"Reduction or Fixation, of Cheekbone","1,068",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,330",.,"1,134"
CA98Z,Reduction of Fracture of Nasal Bone,630,"1,097",.,.,"1,058",522,511,836,.,.,.,"1,453",500,512,.,"1,362",889,.,814
CB01D,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 9+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,636,.,636
CB01E,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5-8",.,233,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,233
CB01F,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0-4",.,233,.,118,181,.,.,.,.,.,.,.,.,.,.,.,636,.,226
CB02B,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4",.,.,.,.,.,.,811,.,.,.,.,.,.,.,.,.,.,.,811
CB02D,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",.,.,.,116,.,.,688,.,.,.,.,.,.,.,.,.,619,.,385
CB02E,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,309,.,183,.,958,.,.,.,.,.,.,145,.,.,.,816,369,436
CB02F,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0",347,331,.,152,.,275,232,"1,076",.,.,.,853,252,.,.,871,.,159,333
CD01A,"Major Dental Procedures, 19 years and over",529,.,.,.,.,983,974,"1,103",.,.,.,.,891,.,.,.,"1,451",.,829
CD01B,"Major Dental Procedures, 18 years and under",529,.,.,.,.,938,.,"1,103",.,.,.,.,.,.,.,.,"1,451",.,741
CD02A,"Intermediate Dental Procedures, 19 years and over",618,331,.,.,.,"1,301","1,333","1,305",.,.,.,.,"1,218",.,.,.,"1,527",.,"1,046"
CD02B,"Intermediate Dental Procedures, 18 years and under",.,.,.,.,.,"1,036",829,.,.,.,.,.,"1,003",.,.,.,"1,330",.,"1,037"
CD03A,"Minor Dental Procedures, 19 years and over",544,.,.,.,.,"1,058",.,"1,076",.,.,.,.,810,.,.,.,"1,451",.,669
CD03B,"Minor Dental Procedures, 18 years and under",542,.,.,.,.,.,.,.,.,.,.,.,948,.,.,.,"1,330",.,744
CD04A,"Major Surgical Removal of Tooth, 19 years and over",529,.,.,.,.,"1,096",869,"1,106",.,.,.,.,"1,023",.,.,.,"1,459",.,712
CD04B,"Major Surgical Removal of Tooth, 18 years and under",529,.,.,.,.,"1,559",977,"1,170",.,.,.,.,"1,275",.,.,.,"1,527",.,940
CD05A,"Surgical Removal of Tooth, 19 years and over",532,.,.,.,.,"1,073",688,"1,162",.,.,.,.,"1,142",.,.,.,"1,590",.,826
CD05B,"Surgical Removal of Tooth, 18 years and under",564,.,.,.,.,"1,102",926,"1,059",.,.,.,.,863,.,.,.,"1,427",.,960
CD06A,"Extraction of Multiple Teeth, 19 years and over",575,.,.,.,.,"1,765",.,"1,039",.,.,.,.,"1,179",.,.,.,"1,367",.,"1,093"
CD06B,"Extraction of Multiple Teeth, 18 years and under",529,.,.,.,.,"1,218",997,"1,035",.,.,.,431,867,428,.,.,"1,376",.,896
CD07A,"Minor Extraction of Tooth, 19 years and over",529,.,.,.,.,"1,494",.,901,.,.,.,.,806,.,.,.,"1,224",.,715
CD07B,"Minor Extraction of Tooth, 18 years and under",529,.,.,.,.,788,.,901,.,.,.,.,649,.,.,.,"1,224",.,698
CD08Z,Minor Dental Biopsy,421,.,.,.,.,.,.,"1,076",.,.,.,.,.,.,.,.,.,.,456
CD09A,"Minor Dental Restoration Procedures, 19 years and over",529,.,.,.,.,"1,675",.,.,.,.,.,.,"1,087",.,.,.,.,.,"1,077"
CD09B,"Minor Dental Restoration Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,255",.,.,.,.,.,"1,255"
CD11A,"Dental Fitting or Insertion Procedures, 19 years and over",637,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,637
CD11B,"Dental Fitting or Insertion Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,330",.,"1,330"
CD12A,"Adjustment of Dental Device, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,865,.,.,.,.,.,865
DZ02K,"Complex Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,.,.,751,.,.,.,.,.,.,.,.,.,.,.,.,751
DZ06A,"Minor Thoracic Procedures, 19 years and over",742,"1,126",.,"1,062",340,880,548,.,.,548,678,.,647,.,"1,066",791,713,.,760
DZ07A,"Fibreoptic Bronchoscopy, 19 years and over",368,313,.,441,340,947,590,.,.,.,524,.,475,.,"1,026",.,766,.,586
DZ07B,"Fibreoptic Bronchoscopy, 18 years and under",.,.,.,.,.,780,.,.,.,.,.,.,"1,110",.,.,.,"1,094",.,"1,093"
DZ08Z,Rigid Bronchoscopy,.,.,.,569,.,.,.,.,.,.,.,.,"1,002",.,.,.,.,.,969
DZ09G,Pulmonary Embolus with CC Score 3-5,.,233,.,116,.,.,.,.,.,.,.,.,.,.,.,.,.,.,175
DZ09H,Pulmonary Embolus with CC Score 0-2,.,.,.,116,.,.,376,.,.,.,.,.,.,.,.,.,636,.,272
DZ10G,Lung Abscess-Empyema with CC Score 0-2,.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,376
DZ11G,"Lobar, Atypical or Viral Pneumonia, with CC Score 6-8",.,309,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,309
DZ11H,"Lobar, Atypical or Viral Pneumonia, with CC Score 3-5",329,309,.,116,.,.,.,.,.,552,.,.,.,.,.,.,.,.,327
DZ11J,"Lobar, Atypical or Viral Pneumonia, with CC Score 0-2",.,.,.,236,.,.,376,.,.,.,.,.,.,.,.,.,.,.,341
DZ12C,Bronchiectasis with CC Score 8+,.,309,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,309
DZ12D,Bronchiectasis with CC Score 5-7,.,.,.,.,.,.,.,.,.,552,.,.,.,.,.,.,.,.,552
DZ12E,Bronchiectasis with CC Score 2-4,.,.,.,.,.,.,.,.,.,550,.,.,.,.,.,.,696,.,586
DZ12F,Bronchiectasis with CC Score 0-1,.,.,.,236,.,.,.,.,.,.,.,.,.,.,.,.,267,.,246
DZ13B,Cystic Fibrosis with CC Score 0,.,.,.,251,.,.,.,.,.,.,.,.,.,.,.,.,.,.,251
DZ14E,"Pulmonary, Pleural or Other Tuberculosis, with CC Score 0-1",.,.,.,.,.,583,.,.,.,.,.,.,.,.,.,.,.,.,583
DZ15L,"Asthma without Intubation, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,"1,043",.,.,.,267,.,655
DZ16F,Pleural Effusion with CC Score 4-7,335,233,.,.,.,"2,350",.,.,.,.,.,.,.,.,.,.,619,.,661
DZ16G,Pleural Effusion with CC Score 0-3,.,.,.,137,.,599,.,.,.,.,.,.,412,.,.,.,535,.,403
DZ17F,Respiratory Neoplasms with CC Score 8-10,.,233,.,122,.,.,.,.,.,.,.,.,.,.,.,.,.,.,129
DZ17G,Respiratory Neoplasms with CC Score 5-7,.,233,.,131,.,"1,679",.,.,.,.,.,.,.,.,.,.,636,.,479
DZ17H,Respiratory Neoplasms with CC Score 3-4,335,233,.,125,.,"1,009",.,.,.,.,60,.,162,.,.,.,636,.,388
DZ17J,Respiratory Neoplasms with CC Score 1-2,335,233,.,124,.,"1,811",.,.,.,.,.,.,.,.,.,.,636,.,566
DZ17K,Respiratory Neoplasms with CC Score 0,.,233,.,143,.,.,202,.,.,.,.,.,.,.,.,.,636,.,208
DZ19F,Other Respiratory Disorders with CC Score 6-8,.,.,.,182,.,.,.,.,.,.,.,.,.,.,.,.,.,.,182
DZ19G,Other Respiratory Disorders with CC Score 0-5,351,284,.,214,.,583,354,.,.,.,.,.,183,.,"1,050",.,267,.,304
DZ20B,Pulmonary Oedema with CC Score 4-8,.,.,.,518,.,.,.,.,.,.,.,.,.,.,.,.,.,.,518
DZ21A,"Chronic Obstructive Pulmonary Disease or Bronchitis, with length of stay 1 day or less, discharged home",.,.,.,379,.,583,376,.,.,474,.,.,.,191,.,.,.,.,430
DZ22F,Unspecified Acute Lower Respiratory Infection with CC Score 8-10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,267,.,267
DZ22G,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,.,309,.,116,.,.,.,.,.,.,.,.,.,.,.,.,636,.,267
DZ22H,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,230,.,116,.,"2,350",376,.,.,.,.,.,.,.,.,.,.,.,660
DZ22J,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,.,220,.,131,.,614,376,.,.,.,.,.,.,.,.,.,.,.,313
DZ23F,Bronchopneumonia with CC Score 5-8,.,.,.,.,.,"1,009",.,.,.,.,.,.,.,.,.,.,.,.,"1,009"
DZ24F,"Inhalation Lung Injury or Foreign Body, with CC Score 7-9",.,.,.,518,.,.,.,.,.,.,.,.,.,.,.,.,.,.,518
DZ25F,"Fibrosis or Pneumoconiosis, with CC Score 0-1",.,.,.,.,.,530,.,.,.,.,.,.,.,.,.,.,703,.,587
DZ26D,"Pneumothorax or Intrathoracic Injuries, with CC Score 5-7",.,.,.,116,.,.,.,.,.,.,.,.,.,.,.,.,.,.,116
DZ26F,"Pneumothorax or Intrathoracic Injuries, with CC Score 0-1",.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,376
DZ27L,"Respiratory Failure without Intubation, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,582,.,.,.,.,.,582
DZ29E,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 2-3",.,87,.,.,.,229,.,.,.,.,.,.,.,.,.,.,.,.,158
DZ29F,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 0-1",336,87,.,529,.,268,.,.,.,.,.,.,683,"2,381",.,.,.,.,439
DZ32Z,Field Exercise Testing,.,.,.,.,.,.,.,.,.,.,.,.,548,.,.,.,.,.,548
DZ38Z,Oxygen Assessment and Monitoring,.,.,.,.,.,.,.,.,.,.,.,.,735,.,.,.,.,.,735
DZ42Z,TB Nurse Support,.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,.,333,.,347
DZ57Z,Oximetry or Blood Gas Studies,.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,376
DZ59Z,Airflow Studies,.,.,.,.,.,.,.,.,.,.,.,.,770,.,.,.,.,.,770
DZ63B,"Major Thoracic Procedures, 19 years and over, with CC Score 3-5",.,.,.,368,.,.,.,.,.,.,.,.,.,.,.,.,.,.,368
DZ63C,"Major Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,569,.,514,.,.,.,.,.,.,.,.,.,.,.,.,551
DZ64A,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,365",.,.,.,"1,365"
DZ64B,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 3-5",.,.,.,858,.,.,.,.,.,.,.,.,.,.,"1,365",.,.,.,"1,314"
DZ64C,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,632,340,973,.,.,.,.,.,.,837,.,"1,365",.,.,.,"1,196"
EA03B,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,"3,361",.,.,.,.,.,"3,361"
EA03C,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 5-7",.,.,.,"2,357",.,"2,803",.,.,.,.,.,.,"2,878",.,.,.,.,.,"2,611"
EA03D,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 2-4",.,.,.,"2,869",.,"2,803",.,.,.,.,.,.,"3,109",.,.,.,.,.,"2,929"
EA03E,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 0-1",.,.,.,"2,925",.,"2,803",.,.,.,.,.,.,"2,936",.,.,.,699,.,"2,752"
EA05B,"Pace 2: Dual Chamber, with CC Score 5-8",.,.,.,.,.,.,.,.,.,.,.,.,"3,343",.,.,.,.,.,"3,343"
EA05C,"Pace 2: Dual Chamber, with CC Score 2-4",.,.,.,"3,282",.,"2,873",.,.,.,.,.,.,"3,356",.,.,.,.,.,"3,287"
EA05D,"Pace 2: Dual Chamber, with CC Score 0-1",.,.,.,"3,277",.,"2,879",.,.,.,.,.,.,"3,357",.,.,.,.,.,"3,265"
EA07B,"Pace 3: Biventricular and all Congenital Pacemaker Procedures; Resynchronisation Therapy, with CC Score 4-7",.,.,.,"7,876",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"7,876"
EA07C,"Pace 3: Biventricular and all Congenital Pacemaker Procedures; Resynchronisation Therapy, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"4,703",.,.,.,.,.,"4,703"
EA11B,"Percutaneous Interventions: Other including Septostomy, Embolisation, Non-Coronary Stents and Energy Moderated Perforation, with CC Score 0-2",.,.,.,"2,568",.,"4,036",.,.,.,.,.,.,.,.,609,.,.,.,"2,404"
EA12B,"Implantation of Cardioverter; Defibrillator only, with CC Score 6-8",.,.,.,"15,408",.,.,.,.,.,.,.,.,"14,121",.,.,.,.,.,"14,765"
EA12C,"Implantation of Cardioverter; Defibrillator only, with CC Score 3-5",.,.,.,"14,956",.,.,.,.,.,.,.,.,"13,767",.,.,.,.,.,"14,659"
EA12D,"Implantation of Cardioverter; Defibrillator only, with CC Score 0-2",.,.,.,"15,078",.,.,.,.,.,.,.,.,"13,855",.,.,.,.,.,"14,752"
EA17D,Single Cardiac Valve Procedures with CC Score 0-2,.,.,.,404,.,.,.,.,.,.,.,.,"3,900",.,.,.,.,.,"2,734"
EA29C,"Percutaneous Complex Ablation, including for Atrial Fibrillation and Ventricular Tachycardia, with CC Score 0-1",.,.,.,.,.,"6,288",.,.,.,.,.,.,.,.,.,.,.,.,"6,288"
EA31B,"Percutaneous Coronary Intervention, 0 to 2 Stents, with CC Score 7-10",.,.,.,"1,574",.,"2,490",.,.,.,.,.,.,.,.,.,.,.,.,"2,032"
EA31C,"Percutaneous Coronary Intervention, 0 to 2 Stents, with CC Score 3-6",.,.,.,"1,865",.,"2,463",.,.,.,.,.,.,"2,057",.,.,.,.,.,"2,177"
EA31D,"Percutaneous Coronary Intervention, 0 to 2 Stents, with CC Score 0-2","2,231",.,.,"1,750",.,"2,470",.,.,.,.,.,.,"2,103",.,.,.,.,.,"2,208"
EA35A,Other Percutaneous Interventions with CC Score 8+,.,.,.,"1,490",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,490"
EA35B,Other Percutaneous Interventions with CC Score 5-7,.,.,.,"1,265",.,"1,973",.,.,.,.,.,.,"1,883",.,.,.,.,.,"1,481"
EA35C,Other Percutaneous Interventions with CC Score 2-4,"1,317",.,.,"1,370",.,"1,949",.,.,.,.,.,.,"1,879",.,.,.,703,.,"1,583"
EA35D,Other Percutaneous Interventions with CC Score 0-1,"1,317",.,.,"1,353",.,"1,961",.,.,.,.,.,.,"1,908",809,.,.,696,.,"1,706"
EA36D,Catheter with CC Score 10-12,.,.,.,495,.,.,.,.,.,.,.,.,.,.,.,.,.,.,495
EA36E,Catheter with CC Score 7-9,"1,209",.,.,829,.,"1,235",.,.,.,.,.,.,"1,250",.,.,.,696,.,974
EA36F,Catheter with CC Score 4-6,"1,209",.,.,632,.,"1,235",.,.,.,.,.,.,"1,270",.,.,.,700,.,986
EA36G,Catheter with CC Score 2-3,"1,209",.,.,691,.,"1,235",.,.,.,.,.,.,"1,264",.,.,.,700,.,"1,052"
EA36H,Catheter with CC Score 0-1,"1,210",.,.,622,.,"1,235",.,.,.,.,.,.,"1,267",.,.,.,700,473,"1,091"
EA39A,"Pacemaker Procedure without Generator Implant, including Re-Siting and Removal of Cardiac Pacemaker System, with CC Score 5+",.,.,.,"1,730",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,730"
EA39B,"Pacemaker Procedure without Generator Implant, including Re-Siting and Removal of Cardiac Pacemaker System, with CC Score 2-4",.,.,.,"3,286",.,.,.,.,.,.,.,.,"1,529",.,.,.,.,.,"2,407"
EA39C,"Pacemaker Procedure without Generator Implant, including Re-Siting and Removal of Cardiac Pacemaker System, with CC Score 0-1",.,.,.,"1,730",.,.,.,.,.,.,.,.,"1,594",.,.,.,.,.,"1,639"
EA40Z,Other Non-Complex Cardiac Surgery,.,.,.,"2,279",.,.,.,.,.,.,.,.,"1,629",.,979,.,.,.,"1,350"
EA44A,Minor Cardiac Procedures with CC Score 2+,.,.,.,616,.,"1,396",.,.,.,.,.,.,.,.,.,.,.,.,665
EA44B,Minor Cardiac Procedures with CC Score 0-1,.,.,.,655,.,"1,396",.,.,.,.,.,.,"1,266",.,.,.,.,.,"1,083"
EA45Z,"Complex Echocardiogram, including Transoesophageal and Fetal Echocardiography","1,317",.,.,445,.,233,.,.,.,.,"1,148",.,"1,385",.,"1,031","1,651",699,.,928
EA47Z,Electrocardiogram Monitoring and Stress Testing,716,.,.,797,.,232,376,.,.,550,.,.,726,.,.,.,703,.,726
EA49B,"Percutaneous Coronary Interventions with 3 or more Stents, Rotablation, IVUS or Pressure Wire, with CC Score 6-8",.,.,.,"2,794",.,"2,490",.,.,.,.,.,.,.,.,.,.,.,.,"2,692"
EA49C,"Percutaneous Coronary Interventions with 3 or more Stents, Rotablation, IVUS or Pressure Wire, with CC Score 3-5","2,581",.,.,"2,889",.,"2,844",.,.,.,.,.,.,"2,848",.,.,.,.,.,"2,853"
EA49D,"Percutaneous Coronary Interventions with 3 or more Stents, Rotablation, IVUS or Pressure Wire, with CC Score 0-2",.,.,.,"2,858",.,"2,857",.,.,.,.,.,.,"2,731",.,.,.,.,.,"2,851"
EA54A,Percutaneous Standard Ablation with CC Score 3+,.,.,.,.,.,"6,288",.,.,.,.,.,.,.,.,.,.,.,.,"6,288"
EA54B,Percutaneous Standard Ablation with CC Score 0-2,.,.,.,"1,733",.,"6,288",.,.,.,.,.,.,"2,815",.,.,.,.,.,"5,862"
EA55A,Percutaneous Diagnostic Electrophysiology Studies with CC Score 3+,.,.,.,"2,426",.,"3,209",.,.,.,.,.,.,"2,089",.,.,.,.,.,"2,714"
EA55B,Percutaneous Diagnostic Electrophysiology Studies with CC Score 0-2,.,.,.,"2,426",.,"3,209",.,.,.,.,.,.,"2,006",.,.,.,.,.,"2,957"
EA56C,"Implantation of Cardiac Resynchronization Therapy Defibrillator (CRT-D), with CC Score 0-2",.,.,.,.,.,"12,628",.,.,.,.,.,.,"14,877",.,.,.,.,.,"14,127"
EB02C,Endocarditis with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,.,425,.,.,.,267,.,346
EB03C,"Heart Failure or Shock, with CC Score 8-10",.,.,.,257,.,.,.,.,.,.,.,.,.,.,.,.,.,.,257
EB03D,"Heart Failure or Shock, with CC Score 4-7",.,.,.,518,.,.,.,.,.,.,60,.,.,.,.,.,.,.,365
EB03E,"Heart Failure or Shock, with CC Score 0-3",.,.,.,.,.,.,.,.,.,396,.,.,.,.,.,.,374,.,378
EB04Z,Hypertension,.,275,.,518,.,.,.,.,.,.,.,.,720,.,998,.,696,.,571
EB05A,Cardiac Arrest with CC Score 9+,.,.,.,518,.,.,.,.,.,.,.,246,.,.,.,.,.,.,382
EB06D,Cardiac Valve Disorders with CC Score 0-4,.,.,.,257,.,.,.,.,.,.,608,.,425,.,.,.,267,.,331
EB07B,"Arrhythmia or Conduction Disorders, with CC Score 10-12",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,267,.,267
EB07C,"Arrhythmia or Conduction Disorders, with CC Score 7-9","1,048",.,.,477,.,.,853,.,.,.,.,.,"1,249",.,.,.,.,.,706
EB07D,"Arrhythmia or Conduction Disorders, with CC Score 4-6","1,169",.,.,417,340,297,853,.,.,550,.,.,837,.,609,249,696,.,587
EB07E,"Arrhythmia or Conduction Disorders, with CC Score 0-3","1,203",.,.,424,340,232,844,678,.,546,959,.,"1,043",.,613,249,691,.,567
EB08D,"Syncope or Collapse, with CC Score 4-6",.,.,.,387,.,.,.,.,.,.,.,.,.,.,.,.,.,.,387
EB08E,"Syncope or Collapse, with CC Score 0-3",.,233,.,.,.,.,376,.,.,.,.,.,.,.,.,.,619,.,494
EB10E,"Actual or Suspected Myocardial Infarction, with CC Score 0-3",.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,376
EB12B,Unspecified Chest Pain with CC Score 5-10,.,.,.,116,.,.,.,.,.,.,.,.,.,.,.,.,.,.,116
EB12C,Unspecified Chest Pain with CC Score 0-4,887,.,.,.,.,232,376,.,639,.,.,.,136,106,.,239,374,.,356
EB13C,Angina with CC Score 4-7,.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,376
EB13D,Angina with CC Score 0-3,.,240,.,257,.,.,.,.,.,.,.,.,.,191,.,.,267,.,248
EB14A,Other Acquired Cardiac Conditions with CC Score 13+,.,.,.,529,.,.,.,.,.,.,.,.,.,.,.,.,.,.,529
EB14B,Other Acquired Cardiac Conditions with CC Score 9-12,329,275,.,453,.,.,.,.,.,.,.,.,.,.,.,.,.,.,384
EB14C,Other Acquired Cardiac Conditions with CC Score 6-8,.,.,.,384,.,426,.,.,.,.,.,.,425,.,.,.,.,.,405
EB14D,Other Acquired Cardiac Conditions with CC Score 3-5,.,233,.,460,.,232,376,.,.,.,.,.,.,.,.,.,451,.,423
EB14E,Other Acquired Cardiac Conditions with CC Score 0-2,887,.,.,.,.,522,.,.,.,396,.,.,425,.,.,.,614,.,572
EB15C,Primary Pulmonary Hypertension with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,267,.,267
EC01A,"Congenital Cardiac Surgery with Intervention Score 58 or less, with Diagnosis Score 64 or less","1,120",.,.,445,.,519,.,.,.,.,"1,148",.,"1,137",.,"1,076","1,858",696,.,"1,096"
EC01B,"Congenital Cardiac Surgery with Intervention Score 58 or less, with Diagnosis Score 65-117","1,209",.,.,528,.,.,.,.,.,.,.,.,"1,038",.,.,.,.,.,953
FZ12M,"Major General Abdominal Procedures, 19 years and over, with CC Score 6-9",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,933,.,933
FZ12N,"Major General Abdominal Procedures, 19 years and over, with CC Score 3-5",.,.,.,.,.,"3,449",.,.,.,.,.,.,.,.,.,.,.,.,"3,449"
FZ12P,"Major General Abdominal Procedures, 19 years and over, with CC Score 1-2",.,"1,332",.,"2,100","1,073",982,.,845,.,"1,011",.,.,.,.,.,.,962,.,"1,106"
FZ12Q,"Major General Abdominal Procedures, 19 years and over, with CC Score 0",771,908,.,975,623,"1,344",646,898,.,937,"1,245","1,342",701,817,"1,271","1,132","1,170",.,"1,038"
FZ12S,"Major General Abdominal Procedures, between 2 and 18 years, with CC Score 0",.,.,.,.,.,"1,332",.,.,.,.,.,.,"2,200",.,.,.,"1,158",.,"1,506"
FZ13C,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 19 years and over",992,"1,178",.,287,"1,827","1,134",426,.,.,784,"1,718",.,294,.,"1,460",958,996,.,667
FZ13D,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 18 years and under",.,.,.,.,"1,909",.,.,.,.,.,.,.,.,.,"1,470",.,.,.,"1,616"
FZ17D,"Abdominal Hernia Procedures, 18 years and under",.,.,.,.,.,"1,087",.,.,.,.,.,.,.,.,.,.,"1,293",.,"1,272"
FZ17F,"Abdominal Hernia Procedures, 19 years and over, with CC Score 1-3",.,.,.,.,.,"1,262",.,.,.,.,"1,119",.,.,.,.,.,.,.,"1,190"
FZ17G,"Abdominal Hernia Procedures, 19 years and over, with CC Score 0",780,"1,459",.,"1,213","1,226","1,455",.,"1,074",.,"1,009","1,307",.,"1,699","1,467","1,560",972,"1,552",.,"1,270"
FZ18E,"Inguinal, Umbilical or Femoral Hernia Procedures, between 2 and 18 years",780,"1,469",.,.,.,"1,210",844,.,.,827,.,.,"2,383",.,"1,448",.,"1,273",.,"1,352"
FZ18F,"Inguinal, Umbilical or Femoral Hernia Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,"2,019",.,.,.,"1,385",.,"1,808"
FZ18H,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 3-5",.,"1,274",.,.,.,.,"1,240",.,.,814,.,"2,171",.,.,"1,884",.,.,.,"1,353"
FZ18J,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 1-2",780,"1,369",.,.,"1,377","1,739","1,227",765,.,802,"1,255",.,.,"1,125","1,594","1,383",901,.,"1,103"
FZ18K,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 0",818,"1,585",.,"1,609","1,101","1,621","1,159",808,.,819,"1,316","1,998","1,647","1,102","1,545","1,282",971,880,"1,127"
FZ19A,"Herniotomy Procedures, 2 years and over",557,.,.,.,.,"1,142",.,.,.,814,887,.,"2,060",.,"1,448",.,"1,114",.,"1,336"
FZ19B,"Herniotomy Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,"2,044",.,.,.,"1,124",.,"1,695"
FZ20J,"Appendicectomy Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,"1,160",.,.,.,.,.,"1,160"
FZ21B,"Major Anal Procedures, 18 years and under",.,.,.,.,.,.,.,733,.,.,.,.,.,631,.,.,.,.,682
FZ21C,"Major Anal Procedures, 19 years and over, with CC Score 1+",.,"1,033",.,"1,533","1,130","1,350",.,867,.,.,885,.,846,512,.,.,901,.,926
FZ21D,"Major Anal Procedures, 19 years and over, with CC Score 0",430,"1,478",.,.,950,"1,003",696,796,.,851,962,.,736,760,"1,227",791,"1,252",.,932
FZ22B,"Intermediate Anal Procedures, 18 years and under",360,757,.,.,"1,332","1,046",708,"1,133",.,"1,061",.,"1,354","1,556",868,.,958,"1,106",.,"1,175"
FZ22D,"Intermediate Anal Procedures, 19 years and over, with CC Score 1-2",426,"1,054",.,"1,072","1,154","1,017","1,029",780,.,944,900,.,"2,801",572,.,"1,106","1,082",.,972
FZ22E,"Intermediate Anal Procedures, 19 years and over, with CC Score 0",423,"1,387",.,727,"1,119",997,774,869,.,974,834,"1,567","1,046",611,"1,346",895,"1,158",.,996
