Place,Name,Number,Year
76,Harmony,54,2010
77,Ayla,54,2010
78,Matilda,53,2010
79,Aria,52,2010
80,Mackenzie,51,2010
81,Olive,51,2010
82,Hazel,51,2010
83,Willow,50,2010
84,Mila,50,2010
85,Daisy,49,2010
86,Lola,49,2010
87,Layla,48,2010
88,Savannah,47,2010
89,Natalie,47,2010
90,Lucia,46,2010
91,Maya,46,2010
92,Katelyn,45,2010
93,Piper,45,2010
94,Faith,45,2010
95,Pippa,44,2010
96,Payton,44,2010
97,Rebecca,44,2010
98,Tessa,44,2010
99,Ivy,43,2010
100,Imogen,43,2010
1,Ruby,335,2011
2,Olivia,324,2011
3,Sophie,309,2011
4,Isabella,277,2011
5,Charlotte,258,2011
6,Grace,246,2011
7,Ella,243,2011
8,Lily,241,2011
9,Emily,231,2011
10,Amelia,227,2011
11,Chloe,220,2011
12,Ava,205,2011
13,Isla,198,2011
14,Emma,189,2011
15,Sophia,179,2011
16,Zoe,175,2011
17,Lucy,169,2011
18,Mia,165,2011
19,Paige,152,2011
20,Madison,151,2011
21,Georgia,145,2011
22,Jessica,142,2011
23,Hannah,132,2011
24,Eva,124,2011
25,Sienna,123,2011
26,Bella,119,2011
27,Holly,108,2011
28,Summer,107,2011
29,Stella,106,2011
30,Alexis,105,2011
31,Mila,104,2011
32,Maia,100,2011
33,Abigail,96,2011
34,Eden,96,2011
35,Elizabeth,91,2011
36,Samantha,85,2011
37,Isabelle,85,2011
38,Nevaeh,84,2011
39,Lilly,84,2011
40,Maddison,84,2011
41,Zara,83,2011
42,Sarah,83,2011
43,Anna,82,2011
44,Alice,81,2011
45,Amber,80,2011
46,Addison,80,2011
47,Sofia,79,2011
48,Brooke,79,2011
49,Mackenzie,79,2011
50,Scarlett,76,2011
51,Jade,76,2011
52,Mikayla,75,2011
53,Molly,72,2011
54,Kayla,72,2011
55,Hazel,71,2011
56,Leah,71,2011
57,Alyssa,68,2011
58,Kate,65,2011
59,Jasmine,64,2011
60,Taylor,62,2011
61,Willow,62,2011
62,Aaliyah,62,2011
63,Pippa,61,2011
64,Brooklyn,60,2011
65,Phoebe,60,2011
66,Faith,58,2011
67,Caitlin,58,2011
68,Annabelle,58,2011
69,Aria,58,2011
70,Violet,57,2011
71,Amy,57,2011
72,Peyton,57,2011
73,Hayley,56,2011
74,Isabel,56,2011
75,Olive,55,2011
76,Ayla,54,2011
77,Poppy,54,2011
78,Katie,53,2011
79,Manaia,52,2011
80,Keira,51,2011
81,Evelyn,51,2011
82,Savannah,49,2011
83,Ellie,49,2011
84,Alexandra,49,2011
85,Rebecca,48,2011
86,Layla,48,2011
87,Elise,48,2011
88,Natalie,48,2011
89,Victoria,48,2011
90,Tayla,48,2011
91,Angel,47,2011
92,Millie,46,2011
93,Lucia,45,2011
94,Nina,44,2011
95,Sasha,44,2011
96,Maria,44,2011
97,Lauren,44,2011
98,Khloe,43,2011
99,Isobel,43,2011
100,Ariana,43,2011
1,Olivia,312,2012
2,Sophie,290,2012
3,Emily,288,2012
4,Charlotte,285,2012
5,Ruby,280,2012
6,Isabella,265,2012
7,Ella,228,2012
8,Amelia,226,2012
9,Sophia,209,2012
10,Ava,207,2012
11,Chloe,204,2012
12,Isla,195,2012
13,Emma,195,2012
14,Mia,191,2012
15,Lily,186,2012
16,Grace,186,2012
17,Zoe,178,2012
18,Lucy,176,2012
19,Eva,161,2012
20,Paige,158,2012
21,Hannah,146,2012
22,Georgia,134,2012
23,Jessica,129,2012
24,Mila,121,2012
25,Sienna,120,2012
26,Madison,114,2012
27,Bella,102,2012
28,Scarlett,102,2012
29,Holly,100,2012
30,Maia,100,2012
31,Stella,98,2012
32,Abigail,95,2012
33,Harper,94,2012
34,Alexis,91,2012
35,Eden,87,2012
36,Zara,85,2012
37,Alice,84,2012
38,Aria,84,2012
39,Leah,82,2012
40,Molly,81,2012
41,Jade,77,2012
42,Sarah,76,2012
43,Isabelle,76,2012
44,Willow,74,2012
45,Elizabeth,73,2012
46,Summer,72,2012
47,Pippa,71,2012
48,Annabelle,71,2012
49,Maddison,70,2012
50,Samantha,70,2012
51,Addison,70,2012
52,Aaliyah,70,2012
53,Hazel,70,2012
54,Ivy,70,2012
55,Nevaeh,69,2012
56,Lilly,67,2012
57,Peyton,66,2012
58,Jasmine,66,2012
59,Hayley,65,2012
60,Taylor,64,2012
61,Indie,64,2012
62,Layla,63,2012
63,Poppy,63,2012
64,Brooklyn,63,2012
65,Olive,63,2012
66,Nina,63,2012
67,Mackenzie,62,2012
68,Sofia,62,2012
69,Brooke,61,2012
70,Amber,61,2012
71,Millie,60,2012
72,Ashley,60,2012
73,Alyssa,60,2012
74,Ayla,59,2012
75,Violet,59,2012
76,Ellie,58,2012
77,Piper,58,2012
78,Mikayla,57,2012
79,Rose,57,2012
80,Matilda,56,2012
81,Anna,56,2012
82,Amy,56,2012
83,Khloe,55,2012
84,Phoebe,55,2012
85,Evie,54,2012
86,Lola,52,2012
87,Skyla,50,2012
88,Evelyn,50,2012
89,Daisy,50,2012
90,Kate,50,2012
91,Riley,49,2012
92,Lucia,48,2012
93,Lauren,48,2012
94,Isabel,48,2012
95,Maria,47,2012
96,Keira,47,2012
97,Faith,46,2012
98,Maya,46,2012
99,Alexandra,45,2012
100,Kayla,45,2012
1,Charlotte,303,2013
2,Emily,284,2013
3,Ruby,276,2013
4,Sophie,275,2013
5,Olivia,257,2013
6,Isla,228,2013
7,Amelia,227,2013
8,Ava,217,2013
9,Isabella,210,2013
10,Ella,207,2013
11,Chloe,199,2013
12,Grace,191,2013
13,Mia,178,2013
14,Lily,177,2013
15,Emma,176,2013
16,Sophia,175,2013
17,Lucy,169,2013
18,Mila,163,2013
19,Harper,157,2013
20,Zoe,155,2013
21,Georgia,144,2013
22,Paige,130,2013
23,Hannah,126,2013
24,Aria,123,2013
25,Jessica,114,2013
26,Eva,110,2013
27,Madison,109,2013
28,Maia,104,2013
29,Scarlett,97,2013
30,Eden,97,2013
31,Bella,94,2013
32,Zara,93,2013
33,Willow,91,2013
34,Mackenzie,90,2013
35,Sienna,89,2013
36,Summer,88,2013
37,Maddison,88,2013
38,Elizabeth,87,2013
39,Ivy,86,2013
40,Poppy,81,2013
41,Hazel,80,2013
42,Abigail,80,2013
43,Alexis,79,2013
44,Pippa,77,2013
45,Isabelle,77,2013
46,Samantha,75,2013
47,Violet,74,2013
48,Holly,73,2013
49,Lilly,73,2013
50,Leah,70,2013
51,Sofia,69,2013
52,Indie,69,2013
53,Olive,68,2013
54,Jasmine,68,2013
55,Alice,67,2013
56,Aaliyah,66,2013
57,Stella,66,2013
58,Layla,65,2013
59,Molly,65,2013
60,Addison,63,2013
61,Caitlin,61,2013
62,Anna,61,2013
63,Annabelle,60,2013
64,Peyton,59,2013
65,Piper,59,2013
66,Brooklyn,57,2013
67,Rose,56,2013
68,Ayla,54,2013
69,Evelyn,53,2013
70,Nevaeh,53,2013
71,Natalie,53,2013
72,Victoria,53,2013
73,Nina,52,2013
74,Ellie,52,2013
75,Sarah,52,2013
76,Alyssa,52,2013
77,Charlie,52,2013
78,Phoebe,52,2013
79,Lola,51,2013
80,Keira,51,2013
81,Kate,50,2013
82,Alexandra,49,2013
83,Isabel,48,2013
84,Amber,48,2013
85,Jade,48,2013
86,Hayley,47,2013
87,Taylor,47,2013
88,Brooke,47,2013
89,Florence,47,2013
90,Millie,46,2013
91,Imogen,46,2013
92,Esther,45,2013
93,Aurora,45,2013
94,Madeleine,45,2013
95,Matilda,44,2013
96,Claire,43,2013
97,Faith,43,2013
98,Mikayla,43,2013
99,Kayla,43,2013
100,Indi,42,2013
1,Charlotte,255,2014
2,Olivia,243,2014
3,Isla,226,2014
4,Emily,221,2014
5,Sophie,211,2014
6,Amelia,210,2014
7,Ella,206,2014
8,Harper,204,2014
9,Sophia,198,2014
10,Ruby,180,2014
11,Isabella,170,2014
12,Ava,169,2014
13,Grace,166,2014
14,Mia,163,2014
15,Chloe,158,2014
16,Mila,156,2014
17,Lily,153,2014
18,Zoe,152,2014
19,Lucy,151,2014
20,Emma,146,2014
21,Hannah,118,2014
22,Georgia,117,2014
23,Eva,107,2014
24,Paige,106,2014
25,Aria,104,2014
26,Sienna,101,2014
27,Bella,99,2014
28,Willow,92,2014
29,Evelyn,91,2014
30,Indie,91,2014
31,Madison,89,2014
32,Scarlett,87,2014
33,Abigail,87,2014
34,Hazel,85,2014
35,Maddison,84,2014
36,Jessica,84,2014
37,Mackenzie,81,2014
38,Eden,79,2014
39,Elizabeth,79,2014
40,Alexis,77,2014
41,Isabelle,76,2014
42,Ivy,73,2014
43,Alice,71,2014
44,Holly,70,2014
45,Zara,69,2014
46,Maia,69,2014
47,Evie,69,2014
48,Millie,68,2014
49,Olive,68,2014
50,Aaliyah,68,2014
51,Sofia,67,2014
52,Stella,67,2014
53,Ayla,66,2014
54,Summer,62,2014
55,Rose,60,2014
56,Jasmine,60,2014
57,Amber,60,2014
58,Ellie,58,2014
59,Violet,56,2014
60,Poppy,56,2014
61,Leah,56,2014
62,Lilly,55,2014
63,Nina,55,2014
64,Pippa,54,2014
65,Peyton,54,2014
66,Layla,54,2014
67,Molly,53,2014
68,Piper,52,2014
69,Anna,52,2014
70,Samantha,51,2014
71,Imogen,51,2014
72,Phoebe,50,2014
73,Brooklyn,50,2014
74,Addison,50,2014
75,Ariana,49,2014
76,Madeleine,47,2014
77,Matilda,46,2014
78,Aurora,46,2014
79,Thea,45,2014
80,Savannah,45,2014
81,Kate,45,2014
82,Brooke,44,2014
83,Alexandra,44,2014
84,Natalie,43,2014
85,Florence,43,2014
86,Sadie,42,2014
87,Nevaeh,42,2014
88,Isobel,42,2014
89,Kayla,42,2014
90,Annabelle,42,2014
91,Sarah,41,2014
92,Isabel,41,2014
93,Harriet,41,2014
94,Katie,40,2014
95,Keira,40,2014
96,Caitlin,40,2014
97,Maria,39,2014
98,Naomi,39,2014
99,Freya,39,2014
100,Hayley,39,2014
1,Olivia,268,2015
2,Charlotte,260,2015
3,Harper,259,2015
4,Sophie,255,2015
5,Emily,247,2015
6,Ella,233,2015
7,Isla,230,2015
8,Mia,217,2015
9,Amelia,209,2015
10,Isabella,201,2015
11,Ruby,200,2015
12,Grace,194,2015
13,Emma,188,2015
14,Chloe,185,2015
15,Ava,184,2015
16,Lucy,178,2015
17,Zoe,177,2015
18,Mila,174,2015
19,Sophia,162,2015
20,Lily,149,2015
21,Georgia,148,2015
22,Aria,137,2015
23,Scarlett,127,2015
24,Eva,122,2015
25,Evelyn,119,2015
26,Willow,115,2015
27,Isabelle,115,2015
28,Hazel,114,2015
29,Hannah,111,2015
30,Jessica,101,2015
31,Ivy,99,2015
32,Evie,98,2015
33,Abigail,98,2015
34,Maia,96,2015
35,Madison,95,2015
36,Elizabeth,95,2015
37,Maddison,94,2015
38,Sienna,91,2015
39,Indie,91,2015
40,Ellie,91,2015
41,Matilda,90,2015
42,Paige,89,2015
43,Stella,85,2015
44,Olive,85,2015
45,Poppy,83,2015
46,Millie,81,2015
47,Zara,80,2015
48,Alice,80,2015
49,Ayla,78,2015
50,Mackenzie,77,2015
51,Layla,76,2015
52,Piper,76,2015
53,Holly,75,2015
54,Summer,74,2015
55,Peyton,74,2015
56,Rose,73,2015
57,Victoria,72,2015
58,Violet,72,2015
59,Quinn,71,2015
60,Eden,71,2015
61,Riley,70,2015
62,Anna,69,2015
63,Sofia,68,2015
64,Phoebe,67,2015
65,Thea,66,2015
66,Zoey,65,2015
67,Leah,65,2015
68,Florence,65,2015
69,Charlie,65,2015
70,Lilly,64,2015
71,Bella,63,2015
72,Annabelle,62,2015
73,Madeleine,61,2015
74,Frankie,60,2015
75,Jasmine,59,2015
76,Alexis,59,2015
77,Addison,59,2015
78,Nina,58,2015
79,Penelope,58,2015
80,Harriet,56,2015
81,Aaliyah,56,2015
82,Skyla,55,2015
83,Jade,54,2015
84,Sadie,51,2015
85,Samantha,51,2015
86,Sarah,51,2015
87,Keira,51,2015
88,Elsie,51,2015
89,Emilia,50,2015
90,Eleanor,50,2015
91,Ariana,50,2015
92,Molly,49,2015
93,Daisy,49,2015
94,Amber,49,2015
95,Nevaeh,48,2015
96,Freya,48,2015
97,Aurora,47,2015
98,Imogen,46,2015
99,Lydia,45,2015
100,Lola,45,2015
