HRG,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Total
EA29C,"Percutaneous Complex Ablation, including for Atrial Fibrillation and Ventricular Tachycardia, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"18,241",.,.,.,.,"18,241"
EA31B,"Percutaneous Coronary Intervention, 0 to 2 Stents, with CC Score 7-10","6,107",.,"16,830",.,.,.,.,.,.,.,.,"5,766",.,.,.,.,"28,703"
EA31C,"Percutaneous Coronary Intervention, 0 to 2 Stents, with CC Score 3-6","56,195",.,"126,393",.,"28,849",.,.,.,.,.,.,"122,679",.,.,.,.,"334,116"
EA31D,"Percutaneous Coronary Intervention, 0 to 2 Stents, with CC Score 0-2","238,965",.,"219,088",.,"141,218",.,.,.,.,.,.,"742,267",.,.,.,.,"1,341,538"
EA35A,Other Percutaneous Interventions with CC Score 8+,.,.,"1,706",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,706"
EA35C,Other Percutaneous Interventions with CC Score 2-4,"11,658",.,"19,430",.,.,.,.,.,.,.,.,"84,480",.,.,.,.,"115,568"
EA35D,Other Percutaneous Interventions with CC Score 0-1,"17,990",.,"10,317",.,"3,087",.,.,.,.,.,.,"135,090",.,.,.,.,"166,484"
EA36D,Catheter with CC Score 10-12,.,.,"3,963",.,.,.,.,.,.,.,.,"25,361",.,.,.,.,"29,324"
EA36E,Catheter with CC Score 7-9,"11,022",.,"2,285",.,.,.,.,.,.,.,.,"10,861",.,.,.,"4,374","28,542"
EA36F,Catheter with CC Score 4-6,"11,711",.,"16,041",.,"11,572",.,.,.,.,.,.,"53,529",.,.,.,"44,869","137,722"
EA36G,Catheter with CC Score 2-3,"38,576",.,"52,930",.,"23,137",.,.,.,.,.,.,"191,544",.,.,.,"17,698","323,887"
EA36H,Catheter with CC Score 0-1,"51,665",.,"47,564",.,"38,575",.,.,.,.,.,.,"439,297",.,.,.,"13,149","590,250"
EA39A,"Pacemaker Procedure without Generator Implant, including Re-Siting and Removal of Cardiac Pacemaker System, with CC Score 5+",.,.,"2,694",.,.,.,.,.,.,.,.,"18,116",.,.,.,.,"20,810"
EA39B,"Pacemaker Procedure without Generator Implant, including Re-Siting and Removal of Cardiac Pacemaker System, with CC Score 2-4",.,.,"20,042",.,.,.,.,.,.,.,.,"5,967",.,.,.,.,"26,008"
EA39C,"Pacemaker Procedure without Generator Implant, including Re-Siting and Removal of Cardiac Pacemaker System, with CC Score 0-1",.,.,"17,636",.,.,.,.,.,.,.,.,"14,361",.,.,.,.,"31,996"
EA40Z,Other Non-Complex Cardiac Surgery,.,.,.,.,.,.,.,.,.,.,.,"42,592",.,.,.,.,"42,592"
EA44A,Minor Cardiac Procedures with CC Score 2+,.,.,"2,930",.,.,.,.,.,.,.,.,"3,990",.,.,.,.,"6,920"
EA44B,Minor Cardiac Procedures with CC Score 0-1,.,.,"4,778",.,.,.,.,.,.,.,.,"4,033",.,.,.,.,"8,811"
EA45Z,"Complex Echocardiogram, including Transoesophageal and Fetal Echocardiography","2,067",.,937,.,"1,155",.,.,.,.,949,.,"41,720",.,"1,301",552,728,"49,409"
EA47Z,Electrocardiogram Monitoring and Stress Testing,"1,378",.,"12,287",.,.,.,.,.,.,.,.,"4,087",.,799,.,.,"18,551"
EA48Z,"Single or Dual Chamber, Pacemaker or Implantable Diagnostic Device, with Percutaneous Coronary Intervention, EP or RFA",.,.,.,.,.,.,.,.,.,.,.,"88,241",.,.,.,.,"88,241"
EA49A,"Percutaneous Coronary Interventions with 3 or more Stents, Rotablation, IVUS or Pressure Wire, with CC Score 9+",.,.,"12,458",.,.,.,.,.,.,.,.,.,.,.,.,.,"12,458"
EA49B,"Percutaneous Coronary Interventions with 3 or more Stents, Rotablation, IVUS or Pressure Wire, with CC Score 6-8",.,.,"28,826",.,.,.,.,.,.,.,.,.,.,.,.,.,"28,826"
EA49C,"Percutaneous Coronary Interventions with 3 or more Stents, Rotablation, IVUS or Pressure Wire, with CC Score 3-5","22,721",.,"118,391",.,"21,511",.,.,.,.,.,.,"61,869",.,.,.,.,"224,491"
EA49D,"Percutaneous Coronary Interventions with 3 or more Stents, Rotablation, IVUS or Pressure Wire, with CC Score 0-2","77,060",.,"192,852",.,"27,950",.,.,.,.,.,.,"274,041",.,.,.,.,"571,903"
EA51A,"Coronary Artery Bypass Graft, with Valve Replacement or Repair, with CC Score 9+",.,.,.,.,.,.,.,.,.,.,.,"120,822",.,.,.,.,"120,822"
EA51B,"Coronary Artery Bypass Graft, with Valve Replacement or Repair, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,"163,018",.,.,.,.,"163,018"
EA51C,"Coronary Artery Bypass Graft, with Valve Replacement or Repair, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"508,744",.,.,.,.,"508,744"
EA51D,"Coronary Artery Bypass Graft, with Valve Replacement or Repair, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"246,497",.,.,.,.,"246,497"
EA52A,"Repair or Replacement of more than one Heart Valve, with CC Score 9+",.,.,.,.,.,.,.,.,.,.,.,"113,480",.,.,.,.,"113,480"
EA52B,"Repair or Replacement of more than one Heart Valve, with CC Score 4-8",.,.,.,.,.,.,.,.,.,.,.,"101,221",.,.,.,.,"101,221"
EA52C,"Repair or Replacement of more than one Heart Valve, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,"84,153",.,.,.,.,"84,153"
EA54A,Percutaneous Standard Ablation with CC Score 3+,"1,285",.,.,.,.,.,.,.,.,.,.,"60,804",.,.,.,.,"62,089"
EA54B,Percutaneous Standard Ablation with CC Score 0-2,"2,570",.,.,.,"27,980",.,.,.,.,.,.,"581,460",.,.,.,.,"612,011"
EA55A,Percutaneous Diagnostic Electrophysiology Studies with CC Score 3+,.,.,"8,545",.,"4,805",.,.,.,.,.,.,"33,894",.,.,.,.,"47,244"
EA55B,Percutaneous Diagnostic Electrophysiology Studies with CC Score 0-2,.,.,"24,933",.,"9,610",.,.,.,.,.,.,"248,666",.,.,.,.,"283,209"
EA56A,"Implantation of Cardiac Resynchronization Therapy Defibrillator (CRT-D), with CC Score 6+",.,.,"19,357",.,.,.,.,.,.,.,.,"68,021",.,.,.,.,"87,378"
EA56B,"Implantation of Cardiac Resynchronization Therapy Defibrillator (CRT-D), with CC Score 3-5",.,.,"147,627",.,.,.,.,.,.,.,.,"205,509",.,.,.,.,"353,136"
EA56C,"Implantation of Cardiac Resynchronization Therapy Defibrillator (CRT-D), with CC Score 0-2",.,.,"53,609",.,.,.,.,.,.,.,.,"159,755",.,.,.,.,"213,365"
EA57A,"Percutaneous Interventions: Percutaneous Transluminal ASD, VSD or PFO Closure and Valve Insertion, or Balloon Valve Intermediate Interventions and Arterial Duct Closure, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,"53,611",.,.,.,.,"53,611"
EA57B,"Percutaneous Interventions: Percutaneous Transluminal ASD, VSD or PFO Closure and Valve Insertion, or Balloon Valve Intermediate Interventions and Arterial Duct Closure, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"39,222",.,.,.,.,"39,222"
EA58Z,Transcatheter Aortic Valve Implantation (TAVI) using Transfemoral Approach,689,.,.,.,.,.,.,.,.,.,.,"1,405,596",.,.,.,.,"1,406,285"
EA59Z,Transcatheter Aortic Valve Implantation (TAVI) not using Transfemoral Approach,.,.,.,.,.,.,.,.,.,.,.,"269,988",.,.,.,.,"269,988"
EB03A,"Heart Failure or Shock, with CC Score 14+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"12,762","12,762"
EB03B,"Heart Failure or Shock, with CC Score 11-13",.,.,.,.,.,.,.,"4,293",.,.,.,"4,358",.,.,.,"5,286","13,937"
EB03C,"Heart Failure or Shock, with CC Score 8-10",.,"7,179","28,617",.,.,"8,801",.,.,"19,208","8,914",.,"2,020",.,"2,511",.,"22,790","100,039"
EB03D,"Heart Failure or Shock, with CC Score 4-7","1,315","21,035","51,843","6,564","6,048","1,808",.,.,"7,110","1,635",.,"33,041",.,"38,798",.,"7,749","176,945"
EB03E,"Heart Failure or Shock, with CC Score 0-3",.,"3,378","10,030",547,.,"3,013",.,.,376,"6,088",.,"6,696",.,"16,786",.,.,"46,914"
EB04Z,Hypertension,"1,816","7,054","11,817","3,506","1,155","2,047",.,.,.,.,.,"13,475",.,"1,506",552,734,"43,662"
EB05A,Cardiac Arrest with CC Score 9+,.,.,.,.,"4,581",.,.,.,.,.,.,.,.,.,.,.,"4,581"
EB05B,Cardiac Arrest with CC Score 5-8,.,.,535,.,.,.,.,.,.,.,.,"1,539",.,.,.,.,"2,074"
EB06A,Cardiac Valve Disorders with CC Score 13+,.,.,.,.,.,.,.,.,.,.,.,"9,214",.,.,.,.,"9,214"
EB06B,Cardiac Valve Disorders with CC Score 9-12,.,.,"5,611",.,.,.,.,.,.,.,.,"45,457",.,.,.,.,"51,068"
EB06C,Cardiac Valve Disorders with CC Score 5-8,"4,133","4,645","11,977",.,"4,235","2,712",.,.,.,449,.,"10,333",.,.,.,"6,198","44,682"
EB06D,Cardiac Valve Disorders with CC Score 0-4,"1,378","2,553",535,"4,376","7,700",904,.,.,.,"1,689",.,"4,008",.,"17,585",.,"49,682","90,411"
EB07A,"Arrhythmia or Conduction Disorders, with CC Score 13+",.,"3,378",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,378"
EB07B,"Arrhythmia or Conduction Disorders, with CC Score 10-12",.,.,.,.,.,.,.,.,"1,127",.,.,"1,553",.,"3,197",.,.,"5,877"
EB07C,"Arrhythmia or Conduction Disorders, with CC Score 7-9",.,"2,111","12,465",547,385,.,.,.,.,.,.,.,.,.,.,"2,095","17,603"
EB07D,"Arrhythmia or Conduction Disorders, with CC Score 4-6","7,345","8,152","33,765","5,470","2,310","3,215","3,693",.,"7,640",.,.,"1,852",.,"3,997",.,"8,204","85,643"
EB07E,"Arrhythmia or Conduction Disorders, with CC Score 0-3","27,555","14,261","52,333","12,487","5,828","3,880","1,852","2,176","3,006","2,450",.,"20,234",.,"9,797","4,416","12,483","172,758"
EB08A,"Syncope or Collapse, with CC Score 13+",.,.,.,.,.,.,.,.,.,.,.,"11,373",.,.,.,.,"11,373"
EB08B,"Syncope or Collapse, with CC Score 10-12",.,.,748,.,.,.,.,.,.,.,.,.,.,.,.,.,748
EB08C,"Syncope or Collapse, with CC Score 7-9",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,767,767
EB08D,"Syncope or Collapse, with CC Score 4-6",.,"1,626",.,"1,001","1,835",.,.,.,"5,009",.,.,.,.,.,552,.,"10,023"
EB08E,"Syncope or Collapse, with CC Score 0-3","1,753","2,111","1,707",.,.,"1,205",.,.,.,.,.,"3,806",.,.,"1,104",367,"12,053"
EB09B,Non-Interventional Congenital Cardiac Conditions with CC Score 0-2,.,.,"3,014",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,014"
EB10A,"Actual or Suspected Myocardial Infarction, with CC Score 13+","9,835","4,172",.,.,.,"1,228",.,.,.,.,.,.,.,.,.,.,"15,236"
EB10B,"Actual or Suspected Myocardial Infarction, with CC Score 10-12","1,378","4,763",.,.,"1,155",.,.,.,.,.,.,.,.,.,.,"2,735","10,031"
EB10C,"Actual or Suspected Myocardial Infarction, with CC Score 7-9","15,155",422,.,.,.,301,.,.,.,.,.,"2,020",.,.,.,"1,533","19,432"
EB10D,"Actual or Suspected Myocardial Infarction, with CC Score 4-6",.,"10,134",.,"5,470","4,248",715,.,.,.,.,.,.,.,.,.,912,"21,478"
EB10E,"Actual or Suspected Myocardial Infarction, with CC Score 0-3",689,407,.,"3,282",.,.,.,.,.,.,.,.,.,.,.,"2,279","6,656"
EB12A,Unspecified Chest Pain with CC Score 11+,.,.,702,.,.,.,.,.,.,.,.,.,.,.,.,.,702
EB12B,Unspecified Chest Pain with CC Score 5-10,"1,378",845,"2,528","2,735",.,.,.,.,655,.,.,617,.,.,.,.,"8,757"
EB12C,Unspecified Chest Pain with CC Score 0-4,"4,133","1,979",.,.,712,301,"1,134",.,.,.,.,463,.,.,"1,104",856,"10,682"
EB13B,Angina with CC Score 8-11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,102","4,102"
EB13C,Angina with CC Score 4-7,.,"5,067",.,.,.,"1,205",.,.,376,449,.,.,.,799,.,"2,735","10,632"
EB13D,Angina with CC Score 0-3,"2,067",.,.,"1,641",.,"1,429",.,.,.,449,.,.,.,"2,398",552,456,"8,991"
EB14A,Other Acquired Cardiac Conditions with CC Score 13+,.,"3,977","6,934",.,.,.,.,.,.,.,.,.,.,.,.,"2,300","13,211"
EB14B,Other Acquired Cardiac Conditions with CC Score 9-12,"10,811","11,210","15,679",.,.,409,.,.,.,.,.,"22,812",.,.,.,.,"60,921"
EB14C,Other Acquired Cardiac Conditions with CC Score 6-8,"3,462","17,835","29,393","6,017","3,066",.,.,.,"1,829",.,.,"29,615",.,.,.,"6,292","97,510"
EB14D,Other Acquired Cardiac Conditions with CC Score 3-5,"19,955","9,525","46,745",.,"16,414","3,615",.,.,.,.,.,"61,378",.,.,.,"12,306","169,939"
EB14E,Other Acquired Cardiac Conditions with CC Score 0-2,"23,909","1,072","11,957",547,"11,189",301,.,.,.,750,.,"30,217",.,"7,993",.,"12,762","100,699"
EB15C,Primary Pulmonary Hypertension with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,617,.,.,.,.,617
EC01A,"Congenital Cardiac Surgery with Intervention Score 58 or less, with Diagnosis Score 64 or less",689,.,.,.,.,.,.,.,.,.,.,"784,540",.,.,.,.,"785,229"
EC01B,"Congenital Cardiac Surgery with Intervention Score 58 or less, with Diagnosis Score 65-117",.,.,.,.,.,.,.,.,.,.,.,"39,088",.,.,.,.,"39,088"
EC01C,"Congenital Cardiac Surgery with Intervention Score 58 or less, with Diagnosis Score 118 or more",.,.,.,.,.,.,.,.,.,.,.,"18,616",.,.,.,.,"18,616"
EC02A,"Congenital Cardiac Surgery with Intervention Score 59-121, with Diagnosis Score 64 or less",.,.,.,.,.,.,.,.,.,.,.,"41,326",.,.,.,.,"41,326"
EC03A,"Congenital Cardiac Surgery with Intervention Score 122 or more, with Diagnosis Score 64 or less",.,.,.,.,.,.,.,.,.,.,.,"7,814",.,.,.,.,"7,814"
EC03B,"Congenital Cardiac Surgery with Intervention Score 122 or more, with Diagnosis Score 65-117",.,.,.,.,.,.,.,.,.,.,.,"9,012",.,.,.,.,"9,012"
EC03C,"Congenital Cardiac Surgery with Intervention Score 122 or more, with Diagnosis Score 118 or more",.,.,.,.,.,.,.,.,.,.,.,"5,511",.,.,.,.,"5,511"
FZ12M,"Major General Abdominal Procedures, 19 years and over, with CC Score 6-9",.,"13,747",.,.,.,.,.,.,.,"4,639",.,"6,718",.,.,.,"21,355","46,459"
FZ12N,"Major General Abdominal Procedures, 19 years and over, with CC Score 3-5","5,362",.,"27,948",.,"11,630","17,336",.,.,.,.,.,"14,649",.,"10,809",.,"32,851","120,586"
FZ12P,"Major General Abdominal Procedures, 19 years and over, with CC Score 1-2","10,375","40,992","123,590","9,489","21,299","5,146",.,.,.,"22,245",.,"23,443",.,"25,774",.,"46,230","328,583"
FZ12Q,"Major General Abdominal Procedures, 19 years and over, with CC Score 0","23,903","18,395","131,278","7,545","8,504","9,095",.,.,.,"12,702",.,"15,475",.,"44,957",.,"51,013","322,866"
FZ12R,"Major General Abdominal Procedures, between 2 and 18 years, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,"32,479",.,.,.,"3,339","35,819"
FZ12S,"Major General Abdominal Procedures, between 2 and 18 years, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"17,575",.,.,.,.,"17,575"
FZ12U,"Major General Abdominal Procedures, 1 year and under, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"4,899",.,.,.,.,"4,899"
FZ13C,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 19 years and over","16,069","14,803","73,455","9,636","17,952","18,373",.,.,.,"16,138",.,"10,205",.,"17,269",.,"6,276","200,175"
FZ13D,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"2,975",.,.,.,.,"2,975"
FZ17D,"Abdominal Hernia Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"2,475",.,.,.,.,"2,475"
FZ17E,"Abdominal Hernia Procedures, 19 years and over, with CC Score 4+",.,.,"3,195","4,145",.,.,.,.,.,.,.,.,.,"4,441",.,.,"11,781"
FZ17F,"Abdominal Hernia Procedures, 19 years and over, with CC Score 1-3","32,137","39,200","125,465","23,295","32,785","21,427",.,.,.,"22,310",.,"32,787",.,"26,513",.,"36,407","392,327"
FZ17G,"Abdominal Hernia Procedures, 19 years and over, with CC Score 0","41,329","15,327","92,215","56,345","92,907","31,311",.,.,.,"43,925",.,"16,676",.,"36,848",.,"47,095","473,979"
FZ18E,"Inguinal, Umbilical or Femoral Hernia Procedures, between 2 and 18 years","1,961",.,.,.,"1,483","2,775",.,.,.,.,.,"1,787",.,"2,578",.,"1,343","11,926"
FZ18F,"Inguinal, Umbilical or Femoral Hernia Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,"29,911",.,.,.,.,"29,911"
FZ18G,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 6+","9,447","7,862","2,987",.,"2,141",.,.,.,.,.,.,.,.,.,.,"1,332","23,769"
FZ18H,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 3-5","23,426","5,262","12,946","6,196","12,206","12,403",.,.,.,"12,076",.,.,.,"33,042",.,"38,585","156,142"
FZ18J,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 1-2","74,346","53,634","45,576","52,030","27,332","34,592",.,.,.,"48,840",.,"14,245",.,"97,935",.,"52,006","500,536"
FZ18K,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 0","97,210","144,212","101,549","170,956","126,972","270,185",.,.,.,"87,445",.,"48,862",.,"203,870",.,"55,730","1,306,992"
FZ19A,"Herniotomy Procedures, 2 years and over",.,.,"4,167","1,154","1,328",.,.,.,.,.,.,"8,091",.,.,.,.,"14,740"
FZ19B,"Herniotomy Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,"46,148",.,.,.,893,"47,041"
FZ20G,"Appendicectomy Procedures, 19 years and over, with CC Score 3-4",.,"2,776",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,776"
FZ20H,"Appendicectomy Procedures, 19 years and over, with CC Score 1-2",.,"2,463",.,.,"5,024",.,.,.,.,.,.,.,.,.,.,.,"7,486"
FZ20J,"Appendicectomy Procedures, 19 years and over, with CC Score 0","2,621","15,612","20,432","6,704","1,909","6,095",.,.,.,"4,609",.,.,.,.,.,"7,000","64,983"
FZ20M,"Appendicectomy Procedures, 18 years and under, with CC Score 0","3,078",.,.,"4,163",.,"2,316",.,.,.,.,.,.,.,.,.,"3,573","13,131"
FZ21B,"Major Anal Procedures, 18 years and under",.,.,.,"2,330",.,.,.,.,.,.,.,"7,233",.,.,.,"1,186","10,748"
FZ21C,"Major Anal Procedures, 19 years and over, with CC Score 1+","4,958","1,414","4,993",.,.,.,.,.,.,.,.,"10,838",.,.,.,"19,702","41,906"
FZ21D,"Major Anal Procedures, 19 years and over, with CC Score 0","29,803",.,"18,672","15,778","2,212","3,893",.,.,.,"1,974",.,"12,281",.,.,.,"31,392","116,004"
FZ22B,"Intermediate Anal Procedures, 18 years and under","4,360",.,.,"1,394",.,"1,050",.,.,.,.,.,"20,716",.,.,.,"2,257","29,777"
FZ22C,"Intermediate Anal Procedures, 19 years and over, with CC Score 3+","1,311","6,268","1,080",.,"3,043","1,467",.,.,.,.,.,.,.,.,.,"3,208","16,377"
FZ22D,"Intermediate Anal Procedures, 19 years and over, with CC Score 1-2","13,859","8,310","14,580","2,241","5,963",.,.,.,.,"1,668",.,"4,112",.,.,.,"19,439","70,170"
FZ22E,"Intermediate Anal Procedures, 19 years and over, with CC Score 0","66,311","58,379","32,828","22,434","22,783","22,371",.,.,.,"4,724",.,"24,829",.,"34,684",.,"56,093","345,435"
FZ23A,"Minor Anal Procedures, 19 years and over","24,163","8,313","10,323","6,727","12,627","10,256",.,.,.,"3,660",.,"6,895",.,"7,142",.,"4,729","94,835"
FZ23B,"Minor Anal Procedures, 18 years and under","1,311",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,311"
FZ24E,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, between 2 and 18 years",.,.,.,.,.,.,.,.,.,.,.,"6,129",.,.,.,.,"6,129"
FZ24F,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,"7,496",.,.,.,.,"7,496"
FZ24G,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 3+",.,"4,057","6,507","1,620","1,019",.,.,.,.,.,.,"2,047",.,.,.,.,"15,251"
FZ24H,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 1-2","1,450","1,412","9,174",.,"2,791",.,.,.,.,.,.,"13,164",.,.,.,.,"27,991"
FZ24J,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 0",.,"10,297",.,.,"14,922",.,.,.,.,.,.,"107,998",.,.,.,.,"133,217"
FZ27D,"Intermediate Therapeutic General Abdominal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,044",.,.,"3,044"
FZ27E,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 3+","2,285",452,"3,873",.,"23,880",.,.,.,.,.,.,.,.,.,.,.,"30,489"
FZ27F,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 1-2","15,741","4,269","13,882","1,344",.,.,.,.,.,.,.,"4,465",.,.,.,"4,538","44,238"
FZ27G,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 0","16,885","16,464","62,707","20,743","15,191","6,336",.,.,.,"7,934",.,.,.,"2,924",.,"16,971","166,154"
FZ36H,"Gastrointestinal Infections with Multiple Interventions, with CC Score 0-3",.,.,"5,875",.,.,.,.,.,.,.,.,.,.,.,.,.,"5,875"
FZ36J,"Gastrointestinal Infections with Single Intervention, with CC Score 5+",.,.,"7,428",.,.,"2,323",.,.,.,.,.,.,.,.,.,.,"9,752"
FZ36K,"Gastrointestinal Infections with Single Intervention, with CC Score 2-4","1,323",.,.,.,.,"3,114",.,.,.,.,.,"5,363",.,.,.,.,"9,800"
FZ36L,"Gastrointestinal Infections with Single Intervention, with CC Score 0-1",.,.,.,.,.,"2,014",.,.,.,.,.,.,.,.,.,"1,921","3,935"
FZ36N,"Gastrointestinal Infections without Interventions, with CC Score 5-7","6,580",.,"2,842",.,"22,909","1,506",.,.,.,.,.,.,.,.,.,.,"33,838"
FZ36P,"Gastrointestinal Infections without Interventions, with CC Score 2-4","8,901",.,"15,714",.,327,.,.,.,.,.,.,463,.,647,.,.,"26,052"
FZ36Q,"Gastrointestinal Infections without Interventions, with CC Score 0-1","6,686",.,"4,762",.,"1,856","1,205",.,.,.,375,.,.,.,.,.,734,"15,618"
FZ37K,"Inflammatory Bowel Disease with Multiple Interventions, with CC Score 3+",.,.,.,.,"17,627",.,.,.,.,.,.,.,.,.,.,.,"17,627"
FZ37L,"Inflammatory Bowel Disease with Multiple Interventions, with CC Score 0-2","1,857",.,"19,514","1,531",.,.,.,.,.,.,.,.,.,.,.,.,"22,902"
FZ37M,"Inflammatory Bowel Disease with Single Intervention, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,"2,928",.,.,.,.,"2,928"
FZ37N,"Inflammatory Bowel Disease with Single Intervention, with CC Score 0-3","9,516","8,120","7,495","1,361","14,966","2,209",.,.,"1,127","2,789",.,"3,314",.,.,.,"10,976","61,873"
FZ37P,"Inflammatory Bowel Disease without Interventions, with CC Score 5+",.,"3,094",.,.,.,.,.,.,.,.,.,"24,492",.,.,.,.,"27,585"
FZ37Q,"Inflammatory Bowel Disease without Interventions, with CC Score 3-4",457,"11,068",577,.,.,"1,186",.,.,.,.,.,.,.,502,.,"2,727","16,516"
FZ37R,"Inflammatory Bowel Disease without Interventions, with CC Score 1-2","6,574","14,729","4,567","3,316","10,000","1,808",.,.,"3,758",.,.,"8,077",.,.,.,"11,817","64,646"
FZ37S,"Inflammatory Bowel Disease without Interventions, with CC Score 0","15,779","35,600","6,499","4,580","10,833","3,671",.,.,"3,382",.,.,"16,407",.,"5,021",.,"5,821","107,594"
FZ38G,"Gastrointestinal Bleed with Multiple Interventions, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,554","1,554"
FZ38H,"Gastrointestinal Bleed with Multiple Interventions, with CC Score 0-4",.,.,"1,737",.,.,.,.,.,.,"2,338",.,.,.,.,.,.,"4,074"
FZ38L,"Gastrointestinal Bleed with Single Intervention, with CC Score 0-4","1,323",.,"5,353","2,950","3,398","17,502",.,.,.,.,.,.,.,"2,330",.,.,"32,855"
FZ38N,"Gastrointestinal Bleed without Interventions, with CC Score 5-8",.,.,"4,434",.,.,.,.,.,.,.,.,.,.,.,.,"4,401","8,835"
FZ38P,"Gastrointestinal Bleed without Interventions, with CC Score 0-4","6,258","8,651","3,056","4,785","2,190","1,186",.,.,.,.,.,"1,205",.,"12,218",.,455,"40,002"
FZ42A,"Wireless Capsule Endoscopy, 19 years and over",788,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,788
FZ49D,"Nutritional Disorders with Interventions, with CC Score 2+","6,660",.,.,"3,947",.,.,.,.,.,483,.,.,.,.,.,"8,523","19,613"
FZ49E,"Nutritional Disorders with Interventions, with CC Score 0-1",.,.,"9,153",.,"2,159","3,526",.,.,.,.,.,"1,417",.,"2,209",.,.,"18,463"
FZ49F,"Nutritional Disorders without Interventions, with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,863",.,.,"3,863"
FZ49G,"Nutritional Disorders without Interventions, with CC Score 2-5",.,"8,519",.,573,.,.,.,.,.,.,.,"9,862",.,.,.,"11,690","30,643"
FZ49H,"Nutritional Disorders without Interventions, with CC Score 0-1","4,550","7,193",.,.,"2,628",904,.,.,.,.,.,"1,290",.,"6,026",.,.,"22,591"
FZ50Z,"Intermediate Large Intestine Procedures, 19 years and over","15,525","8,771","22,114","6,104","17,548","7,497",.,.,.,.,.,"3,497",.,"7,142",.,"11,741","99,939"
FZ51Z,"Diagnostic Colonoscopy, 19 years and over","2,827","20,828","20,046","11,211","4,559","8,052",.,.,"1,997","1,485",.,"12,408",.,"16,936",.,"6,603","106,951"
FZ52Z,"Diagnostic Colonoscopy with Biopsy, 19 years and over","7,730","10,880","6,646","11,985","6,938","12,080",.,.,.,"1,540",.,"11,801",.,"5,011",.,"2,664","77,277"
FZ53Z,"Therapeutic Colonoscopy, 19 years and over","10,494","11,452","2,762","19,377","1,328","16,806",.,.,.,"1,124",.,"7,700",.,"17,186",.,"2,664","90,894"
FZ54Z,"Diagnostic Flexible Sigmoidoscopy, 19 years and over","4,788","3,258","4,492","5,481","1,534",.,.,.,.,"1,020",.,"4,233",.,"14,166",.,893,"39,865"
FZ55Z,"Diagnostic Flexible Sigmoidoscopy with Biopsy, 19 years and over","3,808","3,547","10,983",.,"6,633","2,430",.,.,687,677,.,"1,808",.,"1,036",.,"2,607","34,217"
