HRG Code,Spec,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal ,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,N. Ireland Total Cost
FZ13C,100,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 19 years and over",.,506,.,"22,924","2,753","9,542",.,760,.,.,"1,239",.,.,.,"1,049","1,212","1,054",.,"41,039"
FZ13C,101,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 19 years and over",.,.,.,175,.,.,.,.,.,.,.,.,.,.,.,.,.,.,175
FZ13C,300,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 19 years and over",.,.,.,"1,598",.,"2,687","21,589",.,.,.,.,.,"10,850",.,"1,288",.,"128,448",.,"166,460"
FZ13C,301,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 19 years and over",.,.,.,.,.,"5,377",.,.,.,.,.,.,.,.,.,.,.,.,"5,377"
FZ13C,303,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 19 years and over",.,.,.,"1,511",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,511"
FZ13C,361,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 19 years and over",.,.,.,508,.,.,.,.,.,.,.,.,.,.,.,.,.,.,508
FZ13C,370,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 19 years and over",.,761,.,"14,273",.,294,.,.,.,.,.,.,.,.,.,.,.,.,"15,328"
FZ13C,502,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 19 years and over","14,917","38,542",.,"24,830","9,103","28,996","9,062",.,.,.,"35,137",.,.,.,"24,412",.,"1,467",.,"186,465"
FZ13C,800,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 19 years and over",.,.,.,"2,452",.,.,.,.,.,.,.,.,.,.,.,.,"15,005",.,"17,457"
FZ13C,810,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 19 years and over",.,.,.,"1,928",.,.,.,.,.,.,.,.,"1,098",.,.,.,.,.,"3,026"
FZ13D,502,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 18 years and under","1,191","1,186",.,.,.,"3,666",.,.,.,.,904,.,.,.,.,.,.,.,"6,947"
FZ17D,100,"Abdominal Hernia Procedures, 18 years and under","2,318",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,318"
FZ17D,171,"Abdominal Hernia Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"10,989",.,.,.,"8,068",.,"19,057"
FZ17F,100,"Abdominal Hernia Procedures, 19 years and over, with CC Score 1-3","1,048",.,.,.,"1,643",.,.,"1,119",.,"1,120","1,738",.,.,.,.,.,"2,062",.,"8,730"
FZ17F,101,"Abdominal Hernia Procedures, 19 years and over, with CC Score 1-3",.,.,.,.,.,.,.,.,.,964,.,.,.,.,.,.,.,.,964
FZ17G,100,"Abdominal Hernia Procedures, 19 years and over, with CC Score 0","3,143","1,240",.,"1,806",733,"4,742","2,994",.,.,"16,200","3,578","5,746",.,"7,422",.,"2,869","13,034",.,"63,505"
FZ17G,101,"Abdominal Hernia Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,"4,228",.,.,.,.,.,.,.,.,"4,228"
FZ18E,100,"Inguinal, Umbilical or Femoral Hernia Procedures, between 2 and 18 years","5,509",734,.,.,685,"4,589",.,.,.,949,.,.,.,"3,570","1,400",.,"2,682",.,"20,117"
FZ18E,171,"Inguinal, Umbilical or Femoral Hernia Procedures, between 2 and 18 years",.,.,.,.,.,.,.,.,.,.,.,.,"21,680",.,.,.,"11,166",.,"32,846"
FZ18F,171,"Inguinal, Umbilical or Femoral Hernia Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,"5,136",.,.,.,.,.,"5,136"
FZ18H,100,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 3-5",.,.,.,.,.,.,"1,895",.,.,949,"4,802",.,.,"1,146",.,.,"2,270",.,"11,061"
FZ18J,100,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 1-2","6,130","5,377",.,"4,689","3,594","1,162",.,"2,782",.,"20,839","18,528","4,845",.,"16,210","1,400","1,578","14,978",.,"102,111"
FZ18J,101,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 1-2",.,.,.,.,.,.,.,.,.,"4,228",.,.,.,.,.,.,.,.,"4,228"
FZ18K,100,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 0","144,082","73,791",.,"8,037","53,394","85,715","55,900","15,688",.,"193,756","69,613","59,056",.,"145,976","39,531","72,628","113,655",.,"1,130,823"
FZ18K,101,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,"30,352",.,.,.,.,.,.,.,.,"30,352"
FZ19A,100,"Herniotomy Procedures, 2 years and over","9,429",.,.,.,.,"3,263",.,.,.,.,.,.,.,.,.,.,.,.,"12,691"
FZ19A,171,"Herniotomy Procedures, 2 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"57,317",.,.,.,"79,117",.,"136,434"
FZ19B,171,"Herniotomy Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,"36,498",.,.,.,"7,199",.,"43,697"
FZ20J,100,"Appendicectomy Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,376",.,"1,376"
FZ21B,100,"Major Anal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,224",.,.,.,"1,224"
FZ21B,171,"Major Anal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"2,953",.,.,.,.,.,"2,953"
FZ21C,100,"Major Anal Procedures, 19 years and over, with CC Score 1+","2,269","2,286",.,702,"4,122",869,.,.,.,.,"2,448",.,.,"2,880",.,.,"1,788",.,"17,363"
FZ21D,100,"Major Anal Procedures, 19 years and over, with CC Score 0","10,297","11,624",.,"3,749","9,570","20,387","7,954","15,489",.,949,"17,317","1,734",.,"13,592","2,331","2,977","11,176",.,"129,148"
FZ21D,160,"Major Anal Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,822",.,"1,822"
FZ22B,100,"Intermediate Anal Procedures, 18 years and under","1,221","2,459",.,518,"1,223",915,.,"1,622",.,"2,360",459,"2,377",.,"3,306","1,049","1,212","2,222",.,"20,943"
FZ22B,171,"Intermediate Anal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"18,277",.,.,.,"3,560",.,"21,837"
FZ22B,420,"Intermediate Anal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,132",.,.,.,.,.,"1,132"
FZ22C,100,"Intermediate Anal Procedures, 19 years and over, with CC Score 3+",.,512,.,.,.,.,.,.,.,.,.,.,.,.,.,.,894,.,"1,406"
FZ22D,100,"Intermediate Anal Procedures, 19 years and over, with CC Score 1-2","2,269","1,534",.,"2,921","4,381",892,"1,773","2,279",.,"7,499","4,558",.,.,"4,162",.,782,"17,102",.,"50,153"
FZ22E,100,"Intermediate Anal Procedures, 19 years and over, with CC Score 0","19,641","47,154",.,"8,313","27,892","50,655","35,654","28,890",.,"79,521","31,323","7,671",.,"37,670","5,409","10,690","62,696",.,"453,181"
FZ22E,301,"Intermediate Anal Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,658,.,.,.,.,.,.,.,.,.,.,.,658
FZ22E,502,"Intermediate Anal Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,"1,320",.,.,.,.,.,.,.,.,"1,320"
FZ23A,100,"Minor Anal Procedures, 19 years and over","36,027","79,262",.,"3,396","137,406","50,890","34,456","5,812",.,"46,418","10,186","8,892","1,991","34,099","65,311","93,987","43,647","12,977","664,757"
FZ23A,300,"Minor Anal Procedures, 19 years and over","4,773",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,018",.,.,"5,791"
FZ23A,301,"Minor Anal Procedures, 19 years and over",.,.,.,.,.,.,707,.,.,.,.,.,.,.,.,.,.,"1,098","1,805"
FZ23A,502,"Minor Anal Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,885,.,.,.,885
FZ23B,100,"Minor Anal Procedures, 18 years and under",611,.,.,.,.,.,.,.,.,.,.,.,.,.,.,782,.,.,"1,393"
FZ24E,171,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, between 2 and 18 years",.,.,.,.,.,.,.,.,.,.,.,.,"15,669",.,.,.,.,.,"15,669"
FZ24F,171,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,361",.,.,.,.,.,"1,361"
FZ24G,100,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 3+",.,"5,566",.,900,.,786,.,.,.,"1,011",.,.,"2,100","1,262",.,.,.,"2,081","13,707"
FZ24G,172,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,.,"1,007",.,.,.,.,.,"1,007"
FZ24G,300,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 3+",.,.,.,652,"1,590",.,.,.,.,.,.,.,.,.,"1,168",.,"1,869",.,"5,280"
FZ24G,301,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 3+",.,"8,167",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,980","14,147"
FZ24H,100,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 1-2",.,"23,139",.,"3,600","3,445","2,324",.,"3,870",.,.,.,.,.,.,.,.,.,"2,538","38,915"
FZ24H,120,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 1-2",.,.,.,.,.,.,"4,167",.,.,.,.,.,"11,229",.,.,.,.,.,"15,396"
FZ24H,172,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,.,"45,369",.,.,.,.,.,"45,369"
FZ24H,300,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 1-2","4,634",.,.,"8,372","1,624",537,.,"2,442",.,.,"3,882",.,"5,826",.,.,.,"4,544",.,"31,863"
FZ24H,301,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 1-2",.,"30,481",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"15,370","45,851"
FZ24J,100,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 0","2,969","28,998",.,"6,188","6,531","5,939","1,030","1,376",.,"2,022","6,681","1,101","6,010",.,.,.,.,"8,438","77,283"
FZ24J,120,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 0",.,909,.,.,.,"9,277","2,344",.,.,.,.,.,"21,336",.,.,.,.,.,"33,866"
FZ24J,172,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,"56,259",.,.,.,.,.,"56,259"
FZ24J,300,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 0","14,933",.,.,"58,502","6,598",.,.,"6,639",.,.,"13,368",.,"28,446",.,"7,009",.,"18,375",.,"153,870"
FZ24J,301,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 0",.,"46,618",.,.,.,569,"1,481",.,.,.,.,.,.,.,.,.,.,"31,152","79,820"
FZ27D,100,"Intermediate Therapeutic General Abdominal Procedures, 18 years and under",.,.,.,.,.,"2,359",.,.,.,.,.,.,.,.,.,.,.,.,"2,359"
FZ27D,160,"Intermediate Therapeutic General Abdominal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"5,962",.,.,.,.,.,"5,962"
FZ27D,171,"Intermediate Therapeutic General Abdominal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,905,.,.,.,"7,047",.,"7,952"
FZ27D,420,"Intermediate Therapeutic General Abdominal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"2,979",.,.,.,.,.,"2,979"
FZ27F,100,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,"2,125",.,.,991,.,.,.,.,"3,116"
FZ27F,191,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,391,.,391
FZ27F,502,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,214",.,.,.,"1,214"
FZ27G,100,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 0",.,"2,069",.,.,"3,956",.,"3,119",.,.,"1,120","2,778",.,887,372,.,"2,423","9,768",.,"26,492"
FZ27G,101,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,"1,529",.,.,.,.,.,.,.,.,.,.,.,.,"1,529"
FZ27G,160,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"6,493",.,"6,493"
FZ27G,502,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 0",.,"2,244",.,"3,742","2,154","1,013",.,.,.,.,"7,685",.,.,.,"2,264",.,.,.,"19,101"
FZ36N,301,"Gastrointestinal Infections without Interventions, with CC Score 5-7",.,551,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,551
FZ36N,361,"Gastrointestinal Infections without Interventions, with CC Score 5-7",.,.,.,.,.,.,920,.,.,.,.,.,.,.,.,.,.,.,920
FZ36P,300,"Gastrointestinal Infections without Interventions, with CC Score 2-4",.,.,.,.,.,.,454,.,.,.,.,.,.,.,.,.,.,.,454
FZ36P,361,"Gastrointestinal Infections without Interventions, with CC Score 2-4",.,.,.,502,.,.,.,.,.,.,.,.,.,.,.,.,.,.,502
FZ36P,370,"Gastrointestinal Infections without Interventions, with CC Score 2-4",.,.,.,83,.,.,.,.,.,.,.,.,.,.,.,.,.,.,83
FZ36Q,100,"Gastrointestinal Infections without Interventions, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,824,.,824
FZ36Q,300,"Gastrointestinal Infections without Interventions, with CC Score 0-1",299,.,.,.,.,.,"1,363",.,.,.,.,.,439,.,.,.,"1,332",.,"3,434"
FZ36Q,301,"Gastrointestinal Infections without Interventions, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,386,.,.,.,.,386
FZ36Q,303,"Gastrointestinal Infections without Interventions, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,525,.,525
FZ36Q,400,"Gastrointestinal Infections without Interventions, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,312,.,.,.,.,.,312
FZ37P,301,"Inflammatory Bowel Disease without Interventions, with CC Score 5+",.,276,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,276
FZ37P,361,"Inflammatory Bowel Disease without Interventions, with CC Score 5+",.,.,.,502,.,.,.,.,.,.,.,.,.,.,.,.,.,.,502
FZ37P,370,"Inflammatory Bowel Disease without Interventions, with CC Score 5+",.,"1,521",.,108,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,630"
FZ37Q,300,"Inflammatory Bowel Disease without Interventions, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,.,110,.,.,.,.,.,110
FZ37Q,370,"Inflammatory Bowel Disease without Interventions, with CC Score 3-4",.,761,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,761
FZ37R,300,"Inflammatory Bowel Disease without Interventions, with CC Score 1-2",351,.,.,.,.,"2,149",454,.,.,"3,349",135,.,"1,648",.,630,.,799,.,"9,515"
FZ37R,301,"Inflammatory Bowel Disease without Interventions, with CC Score 1-2",.,.,.,.,.,779,.,.,.,.,.,.,.,.,.,.,.,.,779
FZ37S,100,"Inflammatory Bowel Disease without Interventions, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"31,842",.,"31,842"
FZ37S,300,"Inflammatory Bowel Disease without Interventions, with CC Score 0","32,804",.,.,.,.,"29,554","40,896",.,.,"18,418",.,.,"137,105",.,"70,888","3,622","101,772",.,"435,060"
FZ37S,301,"Inflammatory Bowel Disease without Interventions, with CC Score 0",.,610,.,.,.,"8,566",.,.,.,.,.,.,.,.,.,.,.,505,"9,681"
FZ37S,303,"Inflammatory Bowel Disease without Interventions, with CC Score 0",.,810,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,810
FZ37S,320,"Inflammatory Bowel Disease without Interventions, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,432,.,.,.,.,.,432
FZ37S,370,"Inflammatory Bowel Disease without Interventions, with CC Score 0",.,761,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,761
FZ37S,400,"Inflammatory Bowel Disease without Interventions, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,312,.,.,.,.,.,312
FZ37S,502,"Inflammatory Bowel Disease without Interventions, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,832,.,.,.,.,.,832
FZ38N,300,"Gastrointestinal Bleed without Interventions, with CC Score 5-8",.,.,.,340,.,.,.,.,.,.,.,.,.,.,.,.,.,.,340
FZ38N,301,"Gastrointestinal Bleed without Interventions, with CC Score 5-8",.,827,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,827
FZ38N,361,"Gastrointestinal Bleed without Interventions, with CC Score 5-8",.,249,.,"6,576",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"6,825"
FZ38P,100,"Gastrointestinal Bleed without Interventions, with CC Score 0-4",174,692,.,160,.,.,.,.,.,606,.,.,.,.,"3,840",993,927,618,"8,008"
FZ38P,300,"Gastrointestinal Bleed without Interventions, with CC Score 0-4",327,.,.,.,313,.,"1,818",310,.,419,135,.,110,.,655,.,749,.,"4,834"
FZ38P,301,"Gastrointestinal Bleed without Interventions, with CC Score 0-4",.,.,.,.,.,.,492,.,.,.,.,.,.,386,.,.,.,.,878
FZ38P,361,"Gastrointestinal Bleed without Interventions, with CC Score 0-4",.,.,.,502,.,.,920,.,.,.,.,.,.,.,.,.,.,.,"1,422"
FZ42A,300,"Wireless Capsule Endoscopy, 19 years and over","25,746",.,.,.,.,.,"1,234",.,.,.,.,.,"25,398",.,.,.,"22,471",.,"74,849"
FZ42A,301,"Wireless Capsule Endoscopy, 19 years and over",.,.,.,.,.,.,"19,205",.,.,.,.,.,.,.,.,.,.,.,"19,205"
FZ42B,300,"Wireless Capsule Endoscopy, 18 years and under",525,.,.,.,.,.,.,.,.,.,.,.,"2,872",.,.,.,.,.,"3,398"
FZ42B,301,"Wireless Capsule Endoscopy, 18 years and under",.,.,.,.,.,.,"4,268",.,.,.,.,.,.,.,.,.,.,.,"4,268"
FZ49G,100,"Nutritional Disorders without Interventions, with CC Score 2-5",.,.,.,.,.,.,399,.,.,.,.,.,.,.,.,.,.,.,399
FZ49G,160,"Nutritional Disorders without Interventions, with CC Score 2-5",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,398,.,398
FZ49G,300,"Nutritional Disorders without Interventions, with CC Score 2-5",.,.,.,.,.,.,"1,818",.,.,.,.,.,.,.,.,.,.,.,"1,818"
FZ49G,361,"Nutritional Disorders without Interventions, with CC Score 2-5",.,.,.,502,.,.,.,.,.,.,.,.,.,.,.,.,.,.,502
FZ49H,100,"Nutritional Disorders without Interventions, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,132,875,124,.,.,639,412,.,"2,183"
FZ49H,300,"Nutritional Disorders without Interventions, with CC Score 0-1",829,.,.,170,.,.,"1,363",.,.,"2,255",.,.,439,.,.,701,"1,498",.,"7,255"
FZ49H,301,"Nutritional Disorders without Interventions, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,860,860
FZ49H,303,"Nutritional Disorders without Interventions, with CC Score 0-1",329,405,.,336,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,070"
FZ49H,320,"Nutritional Disorders without Interventions, with CC Score 0-1",.,.,.,.,.,.,"1,725",.,.,.,.,.,.,.,.,.,.,.,"1,725"
FZ49H,361,"Nutritional Disorders without Interventions, with CC Score 0-1",.,.,.,.,.,.,"5,517",.,.,.,.,.,.,.,.,.,.,.,"5,517"
FZ49H,502,"Nutritional Disorders without Interventions, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,757,.,757
FZ50Z,100,"Intermediate Large Intestine Procedures, 19 years and over","3,255","16,062",.,"4,773","19,167","20,903","8,821","2,629",.,"7,595","5,129","3,276","4,240","3,875","9,418","7,750","4,251",591,"121,734"
FZ50Z,101,"Intermediate Large Intestine Procedures, 19 years and over",.,.,.,309,.,.,.,.,.,.,.,.,.,.,.,.,.,.,309
FZ50Z,300,"Intermediate Large Intestine Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,554,.,.,.,.,.,554
FZ50Z,301,"Intermediate Large Intestine Procedures, 19 years and over",.,.,.,.,.,"1,038",.,.,.,.,.,.,.,"1,430",.,.,.,.,"2,468"
FZ50Z,502,"Intermediate Large Intestine Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,"1,816",.,.,.,.,.,.,.,.,"1,816"
FZ51Z,100,"Diagnostic Colonoscopy, 19 years and over","98,199","539,940",.,"191,786","336,708","220,580","173,932","231,310",.,"485,496","144,926",671,"151,229","166,398","70,770","62,882","437,117","208,476","3,520,419"
FZ51Z,101,"Diagnostic Colonoscopy, 19 years and over",.,.,.,.,.,785,.,.,.,.,.,.,.,.,.,.,.,.,785
FZ51Z,110,"Diagnostic Colonoscopy, 19 years and over",.,.,.,.,.,"1,047",.,.,.,.,.,.,.,.,.,.,.,.,"1,047"
FZ51Z,300,"Diagnostic Colonoscopy, 19 years and over","259,856",.,.,"135,373","57,694",537,.,"36,517",.,"59,539","81,012",.,"151,256",.,"136,680","44,083","66,669",.,"1,029,216"
FZ51Z,301,"Diagnostic Colonoscopy, 19 years and over",.,"147,078",.,.,.,"110,128","160,960",.,.,.,.,.,.,"334,383",.,.,.,"195,338","947,887"
FZ51Z,410,"Diagnostic Colonoscopy, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,360,.,.,.,.,360
FZ52Z,100,"Diagnostic Colonoscopy with Biopsy, 19 years and over","80,469","324,020",.,"114,422","276,090","74,610","64,735","107,112",.,"192,939","41,801",.,"91,156","65,941","40,972","28,530","130,429","71,041","1,704,268"
FZ52Z,300,"Diagnostic Colonoscopy with Biopsy, 19 years and over","323,896",.,.,"99,621","49,102",537,.,"30,899",.,"55,569","86,854",.,"186,175",.,"85,279","24,375","78,939",.,"1,021,246"
FZ52Z,301,"Diagnostic Colonoscopy with Biopsy, 19 years and over",.,"181,105",.,.,.,"62,713","96,209",.,.,.,.,.,.,"176,556",.,.,.,"108,027","624,609"
FZ52Z,320,"Diagnostic Colonoscopy with Biopsy, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"1,077",.,.,.,.,.,"1,077"
FZ53Z,100,"Therapeutic Colonoscopy, 19 years and over","135,478","356,672",.,"83,778","256,748","118,142","102,483","260,076",.,"335,275","65,367",.,"111,764","118,797","83,186","55,895","228,216","169,081","2,480,958"
FZ53Z,300,"Therapeutic Colonoscopy, 19 years and over","396,503",.,.,"141,523","26,719","1,612",.,"64,542",.,"43,253","72,259",.,"179,111",.,"144,857","46,158","81,008",.,"1,197,545"
FZ53Z,301,"Therapeutic Colonoscopy, 19 years and over",.,"130,895",.,.,.,"91,037","133,190",.,.,.,.,.,.,"305,174",.,.,.,"203,796","864,092"
FZ53Z,320,"Therapeutic Colonoscopy, 19 years and over",.,.,.,.,.,363,.,.,.,.,.,.,"1,397",.,.,.,.,.,"1,759"
FZ54Z,100,"Diagnostic Flexible Sigmoidoscopy, 19 years and over","1,221","273,047",.,"56,553","132,799","106,356","94,110","113,057",.,"247,684","53,379",.,"47,196","46,130","433,310","266,867","507,900","85,851","2,465,461"
FZ54Z,130,"Diagnostic Flexible Sigmoidoscopy, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,491,.,.,.,.,491
FZ54Z,300,"Diagnostic Flexible Sigmoidoscopy, 19 years and over","139,033",.,.,"32,150","13,508","1,075",617,"26,966",.,"29,769","41,358",.,"23,051",.,"110,979","14,872","79,846",.,"513,224"
FZ54Z,301,"Diagnostic Flexible Sigmoidoscopy, 19 years and over",.,"65,220",.,.,.,"48,773","61,268",.,.,.,.,.,.,"74,796",.,.,.,"51,054","301,111"
FZ54Z,361,"Diagnostic Flexible Sigmoidoscopy, 19 years and over",.,.,.,.,.,.,"2,759",.,.,.,.,.,.,.,.,.,.,.,"2,759"
FZ55Z,100,"Diagnostic Flexible Sigmoidoscopy with Biopsy, 19 years and over",.,"92,632",.,"17,499","41,862","30,703","19,372","15,114",.,"43,642","13,218",.,"17,457","9,383","38,489","44,250","54,594","19,347","457,561"
FZ55Z,101,"Diagnostic Flexible Sigmoidoscopy with Biopsy, 19 years and over",.,.,.,.,.,721,.,.,.,.,.,.,.,.,.,.,.,.,721
FZ55Z,300,"Diagnostic Flexible Sigmoidoscopy with Biopsy, 19 years and over","63,337",.,.,"26,548","5,223",.,.,"8,427",.,"13,231","26,517",.,"22,245",.,"21,028","3,112","38,108",.,"227,775"
FZ55Z,301,"Diagnostic Flexible Sigmoidoscopy with Biopsy, 19 years and over",.,"38,282",.,.,.,"22,345","24,201",.,.,.,.,.,.,"19,766",.,.,.,"17,545","122,139"
FZ56Z,100,"Therapeutic Flexible Sigmoidoscopy, 19 years and over","12,275","26,899",.,"20,116","17,192","28,731","12,147","9,816",.,"43,510","5,193",.,"11,879","19,256","28,556","28,530","35,787","14,780","314,668"
FZ56Z,300,"Therapeutic Flexible Sigmoidoscopy, 19 years and over","23,687",.,.,"28,520",891,.,.,"4,437",.,"7,398","5,030",.,"9,537",.,"10,514","1,556","13,564",.,"105,133"
FZ56Z,301,"Therapeutic Flexible Sigmoidoscopy, 19 years and over",.,"20,766",.,.,.,"18,441","17,684",.,.,.,.,.,.,"43,889",.,.,.,"22,733","123,513"
FZ57Z,100,"Diagnostic or Therapeutic, Rigid Sigmoidoscopy, 19 years and over",.,.,.,373,"4,495","1,749","5,841",.,.,"3,109",552,.,842,701,"1,242",.,927,.,"19,830"
FZ57Z,300,"Diagnostic or Therapeutic, Rigid Sigmoidoscopy, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,310,.,.,.,.,.,310
FZ57Z,301,"Diagnostic or Therapeutic, Rigid Sigmoidoscopy, 19 years and over",.,.,.,.,.,831,.,.,.,.,.,.,.,.,.,.,.,.,831
