HRG,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Average
CB02B,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4","1,601",454,.,.,.,818,.,.,843,.,.,.,723,.,.,.,"1,050","1,051"
CB02C,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0","1,850",457,.,.,"1,307","2,185",.,.,.,.,.,.,"1,107",.,"2,415",.,"1,255","1,382"
CB02D,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",465,409,569,513,395,362,.,.,376,.,387,.,436,.,569,.,367,417
CB02E,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",457,426,474,537,541,355,528,.,376,.,352,.,399,.,570,552,418,441
CB02F,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0",498,450,492,565,655,363,528,.,376,.,341,.,344,.,611,552,462,436
CD02A,"Intermediate Dental Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,599","1,599"
CD02B,"Intermediate Dental Procedures, 18 years and under","2,015",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,144","2,112"
CD03A,"Minor Dental Procedures, 19 years and over",.,.,.,.,915,.,.,.,.,.,.,.,.,.,.,.,"1,432","1,173"
CD03B,"Minor Dental Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,599","1,599"
CD04A,"Major Surgical Removal of Tooth, 19 years and over","2,015",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,015"
CD05A,"Surgical Removal of Tooth, 19 years and over","2,015",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,508","1,761"
CD05B,"Surgical Removal of Tooth, 18 years and under","2,015",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,508","1,888"
CD06A,"Extraction of Multiple Teeth, 19 years and over","2,015",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,432","1,765"
CD06B,"Extraction of Multiple Teeth, 18 years and under","2,015",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,432","1,607"
CD07A,"Minor Extraction of Tooth, 19 years and over","2,015",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,053","1,630"
CD07B,"Minor Extraction of Tooth, 18 years and under","2,015",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,053","1,534"
DZ02J,"Complex Thoracic Procedures, 19 years and over, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,"4,988",.,.,.,.,"4,988"
DZ06A,"Minor Thoracic Procedures, 19 years and over",560,407,766,454,645,323,.,.,791,.,714,.,507,.,502,.,857,599
DZ06B,"Minor Thoracic Procedures, 18 years and under","1,609",.,.,.,.,.,.,.,.,.,.,.,560,.,502,.,993,845
DZ07A,"Fibreoptic Bronchoscopy, 19 years and over",981,407,626,"1,007",327,405,.,.,.,.,.,.,.,.,867,.,999,626
DZ07B,"Fibreoptic Bronchoscopy, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,248","1,248"
DZ08Z,Rigid Bronchoscopy,.,.,.,.,.,.,.,.,.,.,.,.,"2,144",.,.,.,.,"2,144"
DZ09E,Pulmonary Embolus with CC Score 9-11,.,399,451,454,.,301,.,.,.,.,.,.,401,.,.,.,367,400
DZ09F,Pulmonary Embolus with CC Score 6-8,421,401,445,454,361,301,.,.,.,.,367,.,400,.,601,.,367,399
DZ09G,Pulmonary Embolus with CC Score 3-5,470,412,447,454,327,.,.,.,376,.,462,.,416,.,502,.,367,417
DZ09H,Pulmonary Embolus with CC Score 0-2,510,419,494,485,611,320,.,.,376,.,377,.,395,.,502,552,367,417
DZ10D,Lung Abscess-Empyema with CC Score 10+,.,.,.,.,.,.,.,.,.,.,.,.,386,.,.,.,.,386
DZ10E,Lung Abscess-Empyema with CC Score 7-9,.,407,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,407
DZ10F,Lung Abscess-Empyema with CC Score 3-6,.,407,704,.,327,301,.,.,.,.,.,.,592,.,502,.,367,448
DZ10G,Lung Abscess-Empyema with CC Score 0-2,438,.,.,.,.,.,528,.,.,.,387,.,593,.,.,.,367,470
DZ11D,"Lobar, Atypical or Viral Pneumonia, with CC Score 15+",.,399,.,.,.,.,.,.,376,.,418,.,386,.,.,.,367,384
DZ11E,"Lobar, Atypical or Viral Pneumonia, with CC Score 12-14",438,406,404,454,327,409,528,.,376,.,354,.,445,407,522,.,367,403
DZ11F,"Lobar, Atypical or Viral Pneumonia, with CC Score 9-11",434,404,541,464,363,372,528,.,376,.,518,.,439,.,525,.,365,415
DZ11G,"Lobar, Atypical or Viral Pneumonia, with CC Score 6-8",438,405,468,454,333,318,528,.,391,.,380,.,412,.,520,552,366,399
DZ11H,"Lobar, Atypical or Viral Pneumonia, with CC Score 3-5",447,404,449,461,338,325,528,.,376,.,375,.,416,.,523,.,367,400
DZ11J,"Lobar, Atypical or Viral Pneumonia, with CC Score 0-2",437,408,434,466,339,353,540,685,376,.,365,.,427,.,510,552,367,405
DZ12C,Bronchiectasis with CC Score 8+,438,395,404,454,.,.,.,.,.,.,453,.,386,.,.,.,367,414
DZ12D,Bronchiectasis with CC Score 5-7,438,407,475,454,.,.,.,.,376,.,369,.,386,.,502,.,367,408
DZ12E,Bronchiectasis with CC Score 2-4,438,408,445,462,327,.,.,.,376,.,393,.,417,.,502,.,367,422
DZ12F,Bronchiectasis with CC Score 0-1,438,407,425,.,.,.,.,.,376,.,361,.,417,.,502,552,367,413
DZ13A,Cystic Fibrosis with CC Score 1+,.,.,568,.,.,.,.,.,.,.,.,.,.,.,.,.,.,568
DZ14C,"Pulmonary, Pleural or Other Tuberculosis, with CC Score 5+",438,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,367,403
DZ14D,"Pulmonary, Pleural or Other Tuberculosis, with CC Score 2-4",.,.,.,.,327,.,.,.,.,.,.,.,652,.,644,.,.,596
DZ14E,"Pulmonary, Pleural or Other Tuberculosis, with CC Score 0-1",.,.,404,.,611,.,.,.,.,.,.,.,532,.,.,.,.,536
DZ15G,Asthma with Intubation,.,.,.,.,.,301,.,.,.,.,.,.,.,.,.,.,.,301
DZ15H,"Asthma without Intubation, with CC Score 9+",.,407,.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,383
DZ15J,"Asthma without Intubation, with CC Score 6-8",438,398,424,485,.,395,.,.,376,.,.,.,386,.,502,.,367,407
DZ15K,"Asthma without Intubation, with CC Score 3-5",438,407,510,454,327,301,614,.,376,.,378,.,396,.,502,.,367,404
DZ15L,"Asthma without Intubation, with CC Score 0-2",438,405,426,461,486,303,528,.,393,.,364,.,401,.,508,.,368,404
DZ16D,Pleural Effusion with CC Score 12+,.,.,.,.,.,.,.,.,.,.,388,.,.,.,.,.,.,388
DZ16E,Pleural Effusion with CC Score 8-11,564,414,404,.,327,.,.,.,376,.,334,.,396,.,.,.,367,395
DZ16F,Pleural Effusion with CC Score 4-7,449,408,465,454,346,388,.,.,376,.,361,.,411,.,502,.,367,400
DZ16G,Pleural Effusion with CC Score 0-3,439,422,465,493,346,.,528,.,376,.,369,.,415,.,576,.,367,420
DZ17E,Respiratory Neoplasms with CC Score 11+,438,407,.,.,.,.,.,.,.,.,.,.,402,.,502,.,367,401
DZ17F,Respiratory Neoplasms with CC Score 8-10,427,407,465,.,327,.,.,.,.,.,373,.,398,.,502,.,367,407
DZ17G,Respiratory Neoplasms with CC Score 5-7,438,405,520,477,327,301,.,.,376,.,358,.,435,.,502,.,367,427
DZ17H,Respiratory Neoplasms with CC Score 3-4,438,410,541,454,481,301,528,.,376,.,364,.,432,.,502,.,367,427
DZ17J,Respiratory Neoplasms with CC Score 1-2,438,407,522,454,370,301,528,.,376,.,375,.,436,.,502,.,408,434
DZ17K,Respiratory Neoplasms with CC Score 0,438,396,505,.,.,.,.,.,376,.,648,.,833,.,.,.,.,538
DZ18A,Sleeping Disorders Affecting Breathing with CC Score 5+,689,422,568,.,.,.,.,.,.,.,.,.,426,.,.,.,367,495
DZ18B,Sleeping Disorders Affecting Breathing with CC Score 2-4,438,.,.,.,.,395,.,.,.,.,.,.,520,.,502,.,367,443
DZ18C,Sleeping Disorders Affecting Breathing with CC Score 0-1,.,407,.,.,.,.,.,.,.,.,305,.,.,.,.,.,.,356
DZ19D,Other Respiratory Disorders with CC Score 12+,.,.,.,.,.,.,.,.,.,.,388,.,.,.,502,.,367,419
DZ19E,Other Respiratory Disorders with CC Score 9-11,480,407,.,454,356,301,528,.,.,.,523,.,481,.,502,.,367,436
DZ19F,Other Respiratory Disorders with CC Score 6-8,473,405,440,464,357,301,528,.,376,.,366,.,416,.,576,552,363,414
DZ19G,Other Respiratory Disorders with CC Score 0-5,462,428,437,509,360,393,528,.,376,.,363,.,408,.,516,552,388,436
DZ20A,Pulmonary Oedema with CC Score 9+,.,.,404,.,346,.,.,.,.,.,.,.,386,.,.,.,367,371
DZ20B,Pulmonary Oedema with CC Score 4-8,438,.,.,.,327,361,.,.,376,.,.,.,444,.,644,.,367,395
DZ20C,Pulmonary Oedema with CC Score 0-3,438,407,.,.,327,.,.,.,.,.,.,.,440,.,.,.,.,418
DZ21A,"Chronic Obstructive Pulmonary Disease or Bronchitis, with length of stay 1 day or less, discharged home",449,406,425,460,360,321,551,.,379,360,376,.,410,.,514,552,367,403
DZ21L,"Chronic Obstructive Pulmonary Disease or Bronchitis, with Intubation",.,.,472,.,.,.,.,.,.,.,530,.,.,.,.,.,.,501
DZ21M,"Chronic Obstructive Pulmonary Disease or Bronchitis, with NIV, without Intubation, with CC Score 8+","1,115",.,480,.,.,.,.,.,.,.,.,.,.,.,.,.,.,797
DZ21N,"Chronic Obstructive Pulmonary Disease or Bronchitis, with NIV, without Intubation, with CC Score 4-7",438,407,.,547,327,.,.,.,.,.,521,.,457,.,.,.,367,450
DZ21P,"Chronic Obstructive Pulmonary Disease or Bronchitis, with NIV, without Intubation, with CC Score 0-3",438,407,.,.,.,.,.,.,.,.,592,.,450,.,.,.,367,437
DZ21Q,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 13+",.,.,.,.,.,.,.,.,.,.,.,.,386,.,502,.,.,444
DZ21R,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 10-12",.,.,.,.,327,.,.,.,.,.,369,.,520,.,502,.,367,408
DZ21S,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 7-9",438,409,465,.,345,.,528,.,.,.,353,.,418,.,502,.,367,405
DZ21T,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 4-6",438,408,604,467,327,301,528,.,376,.,363,.,428,.,539,.,364,423
DZ21U,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 0-3",421,400,424,454,337,301,528,.,376,.,365,.,422,.,522,.,367,410
DZ22D,Unspecified Acute Lower Respiratory Infection with CC Score 14+,.,390,.,.,.,.,.,.,.,.,387,.,.,.,502,.,367,389
DZ22E,Unspecified Acute Lower Respiratory Infection with CC Score 11-13,438,407,456,.,327,301,528,.,376,.,.,.,442,.,522,.,367,404
DZ22F,Unspecified Acute Lower Respiratory Infection with CC Score 8-10,438,405,452,472,343,409,528,.,374,.,360,.,386,.,516,.,363,411
DZ22G,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,450,402,446,471,359,334,614,.,401,.,365,.,417,.,520,552,368,414
DZ22H,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,442,402,444,458,376,309,549,.,388,.,368,.,425,.,513,.,371,414
DZ22J,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,466,415,429,470,435,301,554,.,399,.,348,.,421,.,536,552,371,417
DZ23D,Bronchopneumonia with CC Score 13+,438,398,.,.,327,.,.,.,376,.,.,.,386,.,.,.,350,382
DZ23E,Bronchopneumonia with CC Score 9-12,426,406,404,454,327,330,.,.,376,.,387,.,406,.,502,.,363,402
DZ23F,Bronchopneumonia with CC Score 5-8,484,403,436,500,339,320,.,.,376,.,390,.,433,.,502,.,365,407
DZ23G,Bronchopneumonia with CC Score 0-4,434,403,430,507,344,301,.,.,372,.,377,.,422,.,502,.,364,403
DZ24D,"Inhalation Lung Injury or Foreign Body, with CC Score 13+",.,407,465,.,.,.,.,.,.,360,592,.,654,.,.,.,367,452
DZ24E,"Inhalation Lung Injury or Foreign Body, with CC Score 10-12",438,401,436,454,327,409,528,.,376,.,587,.,.,.,502,.,363,417
DZ24F,"Inhalation Lung Injury or Foreign Body, with CC Score 7-9",423,404,428,454,327,439,528,.,376,.,372,.,407,.,502,.,367,402
DZ24G,"Inhalation Lung Injury or Foreign Body, with CC Score 4-6",422,403,451,461,337,301,.,.,376,.,367,.,431,.,502,.,370,407
DZ24H,"Inhalation Lung Injury or Foreign Body, with CC Score 0-3",501,411,433,473,456,335,.,.,376,.,381,.,445,.,538,.,367,423
DZ25C,"Fibrosis or Pneumoconiosis, with CC Score 8+",438,.,.,.,327,.,.,.,376,.,.,.,419,.,502,.,.,429
DZ25D,"Fibrosis or Pneumoconiosis, with CC Score 5-7",438,408,443,.,327,.,.,.,376,.,333,.,386,.,502,.,367,401
DZ25E,"Fibrosis or Pneumoconiosis, with CC Score 2-4",438,412,423,454,346,.,614,.,376,.,374,.,391,.,502,.,367,397
DZ25F,"Fibrosis or Pneumoconiosis, with CC Score 0-1",.,401,404,.,327,.,.,.,376,.,400,.,403,.,.,.,367,395
DZ26C,"Pneumothorax or Intrathoracic Injuries, with CC Score 8+",.,407,.,.,.,.,.,.,.,.,388,.,386,.,502,.,367,436
DZ26D,"Pneumothorax or Intrathoracic Injuries, with CC Score 5-7",438,407,717,.,382,.,.,.,.,.,.,.,386,.,502,.,367,457
DZ26E,"Pneumothorax or Intrathoracic Injuries, with CC Score 2-4",438,412,784,454,327,301,.,.,.,.,353,.,476,.,.,.,367,432
DZ26F,"Pneumothorax or Intrathoracic Injuries, with CC Score 0-1",444,447,404,524,478,317,.,.,.,.,355,.,431,.,599,.,367,406
DZ27G,Respiratory Failure with Intubation,.,.,"1,303",.,.,.,.,.,.,.,"1,854",.,.,.,.,.,.,"1,487"
DZ27H,"Respiratory Failure without Intubation, with CC Score 12+",.,.,.,.,.,.,528,.,.,.,.,.,450,.,502,.,367,443
DZ27J,"Respiratory Failure without Intubation, with CC Score 8-11",438,407,467,.,327,301,.,.,376,.,387,.,399,.,.,.,367,391
DZ27K,"Respiratory Failure without Intubation, with CC Score 4-7",438,401,500,454,343,301,528,.,.,.,402,.,420,.,502,.,367,412
DZ27L,"Respiratory Failure without Intubation, with CC Score 0-3",442,402,630,454,327,330,.,.,.,.,377,.,409,.,502,.,367,402
DZ28A,Pleurisy with CC Score 3+,438,.,.,.,327,.,.,.,376,.,360,.,.,.,647,.,.,401
DZ28B,Pleurisy with CC Score 0-2,438,444,404,454,666,301,.,.,.,.,254,.,346,.,.,.,411,380
DZ29C,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 7+",.,"2,920",.,.,327,.,.,.,.,.,.,.,.,.,.,.,.,"1,624"
DZ29D,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 4-6",.,398,.,.,.,.,.,.,.,.,.,.,.,.,502,.,.,442
DZ29E,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 2-3",447,407,704,500,438,.,.,.,376,.,.,.,.,.,.,.,.,601
DZ29F,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 0-1",449,.,404,.,327,.,.,.,.,.,388,.,412,.,502,.,.,426
DZ37A,"Non-Invasive Ventilation Support Assessment, 19 years and over",488,406,476,462,335,364,701,.,523,.,531,.,489,.,502,.,367,442
DZ37B,"Non-Invasive Ventilation Support Assessment, 18 years and under",762,"1,525",.,"1,057",.,734,.,.,.,.,.,.,.,.,.,.,.,"1,032"
DZ38Z,Oxygen Assessment and Monitoring,.,.,.,.,.,.,.,.,.,.,.,.,.,.,502,.,.,502
DZ42Z,TB Nurse Support,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,248","1,248"
DZ50Z,Respiratory Sleep Study,.,.,.,.,.,.,.,.,.,.,.,.,"1,554",.,.,.,.,"1,554"
DZ63C,"Major Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,"5,378",.,.,.,.,"5,378"
DZ64A,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,502,.,.,502
DZ64B,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,210","2,210"
DZ64C,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,925,.,.,.,.,.,.,.,.,.,625,.,.,.,.,775
DZ64D,"Intermediate Thoracic Procedures, between 2 and 18 years",.,.,.,.,.,.,.,.,.,.,.,.,"1,779",.,.,.,.,"1,779"
EA03A,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 11+",.,.,.,.,"3,917",.,.,.,.,.,.,.,"4,227",.,.,.,.,"4,072"
EA03B,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 8-10",.,.,.,.,"3,917",.,.,.,.,.,.,.,"4,566",.,.,.,.,"4,242"
EA03C,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 5-7",.,.,"3,383",.,"3,917",.,.,.,.,.,.,.,"4,756",.,.,.,.,"3,876"
EA03D,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 2-4",.,.,"3,640",.,"3,917",.,.,.,.,.,.,.,"4,302",.,502,.,.,"3,814"
EA03E,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 0-1",.,.,"3,693",.,"3,917",.,.,.,.,.,.,.,"4,168",.,.,.,.,"3,866"
EA05A,"Pace 2: Dual Chamber, with CC Score 9+",.,.,"4,297",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,297"
EA05B,"Pace 2: Dual Chamber, with CC Score 5-8",.,.,"4,213",.,"3,987",.,.,.,.,.,.,.,"4,538",.,.,.,.,"4,239"
EA05C,"Pace 2: Dual Chamber, with CC Score 2-4",.,.,"4,187",.,"3,999",.,.,.,.,.,.,.,"4,180",.,.,.,.,"4,175"
EA05D,"Pace 2: Dual Chamber, with CC Score 0-1",.,.,"4,193",.,"3,987",.,.,.,.,.,.,.,"4,186",.,.,.,.,"4,177"
EA11A,"Percutaneous Interventions: Other including Septostomy, Embolisation, Non-Coronary Stents and Energy Moderated Perforation, with CC Score 3+",.,.,"3,331",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,331"
EA11B,"Percutaneous Interventions: Other including Septostomy, Embolisation, Non-Coronary Stents and Energy Moderated Perforation, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,"3,066",.,.,.,.,"3,066"
EA12B,"Implantation of Cardioverter; Defibrillator only, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,"15,164",.,.,.,.,"15,164"
EA12C,"Implantation of Cardioverter; Defibrillator only, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,"15,008",.,.,.,.,"15,008"
EA12D,"Implantation of Cardioverter; Defibrillator only, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,"14,818",.,.,.,.,"14,818"
EA14B,Coronary Artery Bypass Graft (First Time) with CC Score 7-11,.,.,.,.,.,.,.,.,.,.,.,.,"11,590",.,.,.,.,"11,590"
EA14C,Coronary Artery Bypass Graft (First Time) with CC Score 3-6,.,.,.,.,327,.,.,.,.,.,.,.,"4,407",.,.,.,.,"2,367"
EA14D,Coronary Artery Bypass Graft (First Time) with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,"1,646",.,.,.,.,"1,646"
EA17A,Single Cardiac Valve Procedures with CC Score 9+,.,.,.,.,.,.,.,.,.,.,.,.,"12,667",.,.,.,.,"12,667"
EA17B,Single Cardiac Valve Procedures with CC Score 6-8,.,.,.,.,.,.,.,.,.,.,.,.,"8,773",.,.,.,.,"8,773"
EA17C,Single Cardiac Valve Procedures with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,"11,389",.,.,.,.,"11,389"
EA17D,Single Cardiac Valve Procedures with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,"12,176",.,.,.,.,"12,176"
EA20A,"Other Complex Cardiac Surgery and Re-do's, with CC Score 10+",.,.,.,.,.,.,.,.,.,.,.,.,"2,226",.,.,.,.,"2,226"
EA20B,"Other Complex Cardiac Surgery and Re-do's, with CC Score 5-9",.,.,.,.,.,.,.,.,.,.,.,.,"20,002",.,.,.,.,"20,002"
EA20C,"Other Complex Cardiac Surgery and Re-do's, with CC Score 0-4",.,.,.,.,"2,270",.,.,.,.,.,.,.,"5,872",.,.,.,.,"5,422"
EA29B,"Percutaneous Complex Ablation, including for Atrial Fibrillation and Ventricular Tachycardia, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,.,"5,587",.,.,.,.,"5,587"
EA29C,"Percutaneous Complex Ablation, including for Atrial Fibrillation and Ventricular Tachycardia, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"5,387",.,.,.,.,"5,387"
EA31A,"Percutaneous Coronary Intervention, 0 to 2 Stents, with CC Score 11+",.,.,.,.,"3,499",.,.,.,.,.,.,.,"3,348",.,.,.,.,"3,424"
EA31B,"Percutaneous Coronary Intervention, 0 to 2 Stents, with CC Score 7-10","1,953",.,"2,667",.,"3,534",.,.,.,.,.,.,.,"3,393",.,.,.,.,"2,958"
EA31C,"Percutaneous Coronary Intervention, 0 to 2 Stents, with CC Score 3-6","1,918",.,"2,596",.,"3,524",.,.,.,.,.,.,.,"2,921",.,.,.,.,"2,804"
EA31D,"Percutaneous Coronary Intervention, 0 to 2 Stents, with CC Score 0-2","1,905",.,"2,597",.,"3,552",.,.,.,.,.,.,.,"2,929",.,.,.,.,"2,856"
EA35A,Other Percutaneous Interventions with CC Score 8+,.,.,"2,248",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,248"
EA35B,Other Percutaneous Interventions with CC Score 5-7,"1,253",.,"2,180",.,.,.,.,.,.,.,.,.,"2,905",.,.,.,.,"2,267"
EA35C,Other Percutaneous Interventions with CC Score 2-4,"1,253",.,"2,310",.,.,.,.,.,.,.,.,.,"2,700",.,.,.,.,"2,288"
EA35D,Other Percutaneous Interventions with CC Score 0-1,"1,253",.,"2,241",.,"3,087",.,.,.,.,.,.,.,"2,729",.,.,.,.,"2,433"
EA36C,Catheter with CC Score 13+,.,.,"1,123",.,"1,929",.,.,.,.,.,.,.,"1,942",.,.,.,.,"1,665"
EA36D,Catheter with CC Score 10-12,689,.,"1,111",.,"1,929",.,.,.,.,.,.,.,"2,182",.,.,.,.,"1,421"
EA36E,Catheter with CC Score 7-9,689,.,"1,389",.,"1,634",.,.,.,.,.,.,.,"2,020",.,.,.,728,"1,356"
EA36F,Catheter with CC Score 4-6,689,.,"1,344",.,"1,872",.,.,.,.,.,.,.,"2,024",.,.,.,731,"1,478"
EA36G,Catheter with CC Score 2-3,686,.,"1,283",.,"1,929",.,.,.,.,.,.,.,"2,080",.,.,.,731,"1,443"
EA36H,Catheter with CC Score 0-1,686,.,"1,252",.,"1,867",.,.,.,.,.,799,.,"2,001",.,.,.,731,"1,461"
EA39A,"Pacemaker Procedure without Generator Implant, including Re-Siting and Removal of Cardiac Pacemaker System, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,.,"2,451",.,.,.,.,"2,451"
EA40Z,Other Non-Complex Cardiac Surgery,.,.,.,.,.,.,.,.,.,.,.,.,"7,061",.,.,.,.,"7,061"
EA44B,Minor Cardiac Procedures with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,.,"1,986",.,.,.,.,"1,986"
EA45Z,"Complex Echocardiogram, including Transoesophageal and Fetal Echocardiography",605,422,956,.,385,.,.,.,.,.,"1,269",.,"2,157",.,.,.,733,938
EA47Z,Electrocardiogram Monitoring and Stress Testing,.,.,935,.,.,301,.,.,.,.,"1,177",.,.,.,502,.,.,817
EA48Z,"Single or Dual Chamber, Pacemaker or Implantable Diagnostic Device, with Percutaneous Coronary Intervention, EP or RFA",.,.,"3,788",.,.,.,.,.,.,.,.,.,"5,214",.,.,.,.,"5,010"
EA49A,"Percutaneous Coronary Interventions with 3 or more Stents, Rotablation, IVUS or Pressure Wire, with CC Score 9+",.,.,"3,739",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,739"
EA49B,"Percutaneous Coronary Interventions with 3 or more Stents, Rotablation, IVUS or Pressure Wire, with CC Score 6-8","2,303",.,"3,306",.,"4,274",.,.,.,.,.,.,.,"3,766",.,.,.,.,"3,589"
EA49C,"Percutaneous Coronary Interventions with 3 or more Stents, Rotablation, IVUS or Pressure Wire, with CC Score 3-5","2,122",.,"4,210",.,"4,056",.,.,.,.,.,.,.,"3,766",.,.,.,.,"3,760"
EA49D,"Percutaneous Coronary Interventions with 3 or more Stents, Rotablation, IVUS or Pressure Wire, with CC Score 0-2","2,186",.,"3,882",.,"4,100",.,.,.,.,.,.,.,"3,746",.,.,.,.,"3,759"
EA51A,"Coronary Artery Bypass Graft, with Valve Replacement or Repair, with CC Score 9+",.,.,.,.,.,.,.,.,.,.,.,.,"14,391",.,.,.,.,"14,391"
EA51D,"Coronary Artery Bypass Graft, with Valve Replacement or Repair, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,644,.,.,.,.,644
EA54A,Percutaneous Standard Ablation with CC Score 3+,.,.,.,.,.,.,.,.,.,.,.,.,"4,063",.,.,.,.,"4,063"
EA54B,Percutaneous Standard Ablation with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,"3,560",.,.,.,.,"3,560"
EA55A,Percutaneous Diagnostic Electrophysiology Studies with CC Score 3+,.,.,"3,562",.,.,.,.,.,.,.,.,.,"2,916",.,.,.,.,"3,347"
EA55B,Percutaneous Diagnostic Electrophysiology Studies with CC Score 0-2,.,.,"3,562",.,"2,056",.,.,.,.,.,.,.,"2,949",.,.,.,.,"2,893"
EA56A,"Implantation of Cardiac Resynchronization Therapy Defibrillator (CRT-D), with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,.,"16,615",.,.,.,.,"16,615"
EA56B,"Implantation of Cardiac Resynchronization Therapy Defibrillator (CRT-D), with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,"15,914",.,.,.,.,"15,914"
EA56C,"Implantation of Cardiac Resynchronization Therapy Defibrillator (CRT-D), with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,"15,914",.,.,.,.,"15,914"
EA57A,"Percutaneous Interventions: Percutaneous Transluminal ASD, VSD or PFO Closure and Valve Insertion, or Balloon Valve Intermediate Interventions and Arterial Duct Closure, with CC Score 5+",.,.,"2,941",.,.,.,.,.,.,.,.,.,"3,303",.,.,.,.,"3,212"
EA57B,"Percutaneous Interventions: Percutaneous Transluminal ASD, VSD or PFO Closure and Valve Insertion, or Balloon Valve Intermediate Interventions and Arterial Duct Closure, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,"3,199",.,.,.,.,"3,199"
