HRG,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal Victoria,South Tyrone,South West Acute,Tyrone County,Ulster,N. Ireland Total Cost
BZ24F,302,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,"3,754",.,.,.,.,"3,754"
BZ24F,361,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4",.,.,.,.,.,819,.,.,.,.,.,.,.,.,.,.,819
BZ24F,430,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4","12,155","1,482",.,.,"11,238","3,868",.,.,.,"7,912","3,517","8,425",.,"8,369",.,"2,984","59,950"
BZ24G,100,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1","2,284",.,.,.,.,.,.,.,.,.,982,715,.,"3,236",.,"1,364","8,580"
BZ24G,120,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1","1,619",.,.,.,756,.,.,.,.,.,.,"4,946",.,.,.,.,"7,320"
BZ24G,130,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1","7,812",.,.,.,.,.,.,.,.,.,.,"111,801",.,.,.,.,"119,613"
BZ24G,140,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,395","2,395"
BZ24G,300,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1","8,766","9,352","4,270","1,814","3,921","4,821","3,165",.,"4,134",.,"6,905","12,891",.,"4,017",.,"6,235","70,291"
BZ24G,303,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1","1,665","2,143",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,808"
BZ24G,361,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,300","2,300"
BZ24G,400,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"2,423",.,.,.,.,"2,423"
BZ24G,410,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",.,.,.,.,.,.,.,"3,539",.,.,.,.,.,.,.,.,"3,539"
BZ24G,430,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1","1,473",.,.,.,"1,450",.,.,.,.,.,.,"5,487","2,443",.,.,895,"11,749"
BZ24G,501,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1","2,056",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,056"
CA02B,120,Very Major Neck Procedures with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,"7,422",.,.,.,.,"7,422"
CA03A,140,Major Neck Procedures with CC Score 2+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,956","4,956"
CA03A,302,Major Neck Procedures with CC Score 2+,.,.,.,.,.,.,.,.,.,.,.,"12,553",.,.,.,.,"12,553"
CA03B,120,Major Neck Procedures with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,"6,936",.,.,.,.,"6,936"
CA04A,120,"Intermediate Neck Procedures, 19 years and over","6,797",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"6,797"
CA11A,120,"Septoplasty, 19 years and over","5,575",.,.,.,"3,919",.,.,.,.,.,.,"2,398",.,.,.,.,"11,893"
CA12Z,100,Major Treatment of Epistaxis,.,904,.,.,.,.,.,.,.,.,.,.,.,.,.,.,904
CA12Z,120,Major Treatment of Epistaxis,"8,595","4,497",.,.,"7,365",.,.,.,.,.,.,"2,669",.,.,.,.,"23,125"
CA13A,120,"Minor Treatment of Epistaxis, 19 years and over","37,606","13,491",.,.,"31,767",.,.,.,.,.,.,"21,020",.,.,.,.,"103,884"
CA13A,140,"Minor Treatment of Epistaxis, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,198","2,198"
CA13A,300,"Minor Treatment of Epistaxis, 19 years and over",877,.,.,.,.,603,.,.,.,.,.,.,.,.,.,.,"1,479"
CA13A,320,"Minor Treatment of Epistaxis, 19 years and over","1,378",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,378"
CA13B,120,"Minor Treatment of Epistaxis, 18 years and under","2,149",.,.,.,"1,523",.,.,.,.,.,.,.,.,.,.,.,"3,671"
CA13B,420,"Minor Treatment of Epistaxis, 18 years and under",.,"1,219",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,219"
CA21Z,420,Very Major Nose Procedures,.,.,.,.,.,.,.,.,.,.,.,"12,397",.,.,.,.,"12,397"
CA22Z,120,Major Nose Procedures,.,"1,756",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,756"
CA23Z,120,Intermediate Nose Procedures,.,.,.,.,.,.,.,.,.,.,.,"8,015",.,.,.,.,"8,015"
CA28Z,120,Intermediate Sinus Procedures,.,"14,952",.,.,"2,851",.,.,.,.,.,.,"1,966",.,.,.,.,"19,769"
CA28Z,300,Intermediate Sinus Procedures,.,.,.,.,.,.,.,.,.,.,.,"1,789",.,.,.,.,"1,789"
CA29Z,130,Minor Sinus Procedures,.,.,.,.,.,.,.,.,.,.,.,"1,993",.,.,.,.,"1,993"
CA29Z,300,Minor Sinus Procedures,.,.,.,.,327,.,.,.,.,.,.,.,.,.,.,.,327
CA30A,120,"Radical or Revisional, Mastoid Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,"1,879",.,.,.,.,"1,879"
CA31Z,120,"Simple or Cortical, Mastoid Procedures",.,"1,015",.,.,.,.,.,.,.,.,.,"13,058",.,.,.,.,"14,073"
CA31Z,150,"Simple or Cortical, Mastoid Procedures",.,.,.,.,.,.,.,.,.,.,.,"3,729",.,.,.,.,"3,729"
CA33Z,350,Pinnaplasty,.,.,.,.,.,.,.,.,.,.,.,"4,300",.,.,.,.,"4,300"
CA51A,120,"Very Major Ear Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,"2,384",.,.,.,.,"2,384"
CA52A,120,"Major Ear Procedures, 19 years and over","2,679",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,679"
CA52A,140,"Major Ear Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,599","1,599"
CA52A,160,"Major Ear Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,621","1,621"
CA52B,100,"Major Ear Procedures, 18 years and under",.,.,.,"2,794",.,.,.,.,.,.,.,.,.,.,.,.,"2,794"
CA53A,120,"Intermediate Ear Procedures, 19 years and over",.,.,.,.,704,.,.,.,.,.,.,.,.,.,.,.,704
CA60A,120,"Tonsillectomy, 19 years and over",.,450,.,.,"2,314",.,.,.,.,.,.,"5,068",.,.,.,.,"7,832"
CA60B,120,"Tonsillectomy, 18 years and under",.,.,.,.,"2,314",.,.,.,.,.,.,"3,055",.,.,.,.,"5,369"
CA61Z,120,Adenotonsillectomy,.,.,.,.,.,.,.,.,.,.,.,"2,624",.,.,.,.,"2,624"
CA63Z,120,Tracheostomy,"1,913",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,913"
CA67B,120,"Complex Therapeutic Endoscopic, Larynx or Pharynx Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"1,725",.,.,.,.,"1,725"
CA68A,100,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,347","1,347"
CA68A,110,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,525","1,525"
CA68A,120,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 19 years and over",.,450,.,.,"1,145",.,.,.,.,.,.,.,.,.,.,.,"1,595"
CA68B,420,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"5,375",.,.,.,"1,790","7,165"
CA80A,340,"Very Complex, Mouth or Throat Procedures, with CC Score 5+",.,.,"10,152",.,.,.,.,.,.,.,.,.,.,.,.,.,"10,152"
CA80B,120,"Very Complex, Mouth or Throat Procedures, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,"46,126",.,.,.,.,"46,126"
CA80C,120,"Very Complex, Mouth or Throat Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"50,359",.,.,.,.,"50,359"
CA82A,160,"Very Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"4,940",.,.,.,.,"4,940"
CA82B,120,"Very Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1","3,767","3,695",.,.,.,.,.,.,.,.,.,"14,177",.,.,.,.,"21,639"
CA82C,180,"Very Major, Mouth or Throat Procedures, between 2 and 18 years",.,.,.,.,.,.,.,.,.,.,.,"1,320",.,.,.,.,"1,320"
CA82D,320,"Very Major, Mouth or Throat Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,"13,595",.,.,.,.,"13,595"
CA83B,120,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",.,"6,770",.,.,"6,653",.,.,.,.,.,.,"2,060",.,.,.,.,"15,482"
CA83B,140,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1","11,836",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"11,836"
CA83B,160,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,599","4,599"
CA83C,120,"Major, Mouth or Throat Procedures, 18 years and under","7,525","3,164",.,.,"11,295",.,.,.,.,.,.,"6,624",.,.,.,"2,005","30,612"
CA84A,140,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"7,753","7,753"
CA84A,340,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"2,276",.,.,.,.,"2,276"
CA84B,120,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1","5,916","1,349",.,.,"1,561",.,.,.,.,.,.,.,.,.,.,.,"8,826"
CA84B,140,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"6,555","6,555"
CA84B,180,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",.,913,.,.,.,.,.,.,.,.,.,.,.,.,.,.,913
CA84C,140,"Intermediate, Mouth or Throat Procedures, 18 years and under","2,628",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,628"
CA92A,140,Very Major Maxillofacial Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,956","4,956"
CA93A,100,"Major Maxillofacial Procedures, 19 years and over, with CC Score 1+","4,337",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,337"
CA93A,140,"Major Maxillofacial Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"30,205","30,205"
CA93B,140,"Major Maxillofacial Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"52,689","52,689"
CA93C,140,"Major Maxillofacial Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,561","2,561"
CA94Z,140,Intermediate Maxillofacial Procedures,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"19,409","19,409"
CA96Z,140,"Reduction or Fixation, of Jaw","63,067",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"237,064","300,131"
CA97Z,140,"Reduction or Fixation, of Cheekbone","65,134",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"120,924","186,058"
CA97Z,160,"Reduction or Fixation, of Cheekbone",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,006","2,006"
CB01A,120,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 9+","40,460",.,.,.,"17,438",.,.,.,.,.,.,.,.,.,.,.,"57,897"
CB01A,300,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 9+",.,.,.,.,.,.,.,.,.,.,.,"11,578",.,.,.,.,"11,578"
CB01A,340,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 9+",.,.,.,.,.,.,.,.,.,.,.,"14,312",.,.,.,.,"14,312"
CB01A,430,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 9+",.,.,.,.,.,.,.,.,.,.,.,.,"13,436",.,.,.,"13,436"
CB01B,300,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 5-8",.,.,.,.,"6,208",.,.,.,.,.,.,"2,190",.,.,.,.,"8,398"
CB01B,370,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 5-8",.,.,"96,725",.,.,.,.,.,.,.,.,.,.,.,.,.,"96,725"
CB01C,100,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"3,577",.,.,.,.,"3,577"
CB01C,120,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0-4","17,561","26,602",.,.,"2,695",.,.,.,.,.,.,"27,391",.,.,.,.,"74,249"
CB01C,140,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0-4","4,617",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,617"
CB01C,160,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,006","2,006"
CB01C,172,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"12,380",.,.,.,.,"12,380"
CB01C,300,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0-4","2,312",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,312"
CB01C,370,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0-4",.,.,"131,784",.,.,.,.,.,.,.,.,.,.,.,.,.,"131,784"
CB01D,120,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 9+",.,.,.,.,.,.,.,.,.,.,.,"1,486",.,.,.,.,"1,486"
CB01D,300,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 9+","3,068","3,253",.,.,.,.,.,.,.,.,"2,847","6,444",.,.,.,"13,204","28,816"
CB01D,340,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 9+",.,.,.,.,.,.,.,.,.,.,.,"4,341",.,.,.,.,"4,341"
CB01D,370,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 9+",.,.,"11,790",.,.,.,.,.,.,.,.,.,.,.,.,.,"11,790"
CB01D,430,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 9+",.,.,.,.,.,.,.,.,.,.,.,"1,829",.,.,.,.,"1,829"
CB01E,120,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5-8","14,029",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"14,029"
CB01E,300,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5-8","1,315","2,846",.,.,"1,634",.,.,.,.,.,"1,276","4,736",.,.,.,.,"11,807"
CB01E,370,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5-8",.,.,"190,181",.,.,.,.,.,.,.,.,.,.,.,.,.,"190,181"
CB01E,430,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5-8",.,.,.,.,.,.,.,.,.,.,.,.,"12,215",.,.,.,"12,215"
CB01F,100,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"1,042",.,.,.,.,"1,042"
CB01F,120,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0-4","28,059","7,195",.,.,.,.,.,.,.,.,.,"29,290",.,.,.,.,"64,544"
CB01F,150,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"1,352",.,.,.,.,"1,352"
CB01F,300,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0-4",.,.,"1,955",.,"7,189",.,.,.,.,.,.,"8,095",.,.,.,"4,401","21,640"
CB01F,370,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0-4",.,.,"636,962",.,.,.,.,.,.,.,.,.,.,.,.,.,"636,962"
CB02A,100,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 5+","7,537",.,.,.,"2,655",.,.,.,.,.,.,.,.,"7,213",.,.,"17,405"
CB02A,120,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 5+","23,134","9,444",.,.,"26,049",.,.,.,.,.,.,.,.,.,.,.,"58,627"
CB02A,140,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"16,121","16,121"
CB02A,300,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 5+","3,945","10,086",.,.,.,.,.,.,"4,160",.,.,"6,626",.,.,.,"18,836","43,653"
CB02A,301,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 5+",.,"1,121",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,121"
CB02A,430,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 5+","4,052","2,870",.,.,.,.,.,.,.,.,.,.,.,.,.,"5,302","12,225"
CB02B,100,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4",.,.,.,.,"4,203","4,642",.,.,.,.,.,.,.,"2,620",.,.,"11,465"
CB02B,120,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4","65,964","27,477",.,.,"74,834",.,.,.,.,.,.,"21,704",.,.,.,.,"189,978"
CB02B,140,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4","5,404",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"129,663","135,067"
CB02B,150,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4",.,.,.,.,.,.,.,.,.,.,.,"1,555",.,.,.,.,"1,555"
CB02B,160,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"8,709","8,709"
CB02B,300,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4","2,630","4,879",.,.,"3,594","5,122","5,881",.,.,.,.,"2,103",.,"5,889",.,"2,655","32,753"
CB02B,303,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4",.,.,"7,443",.,.,.,.,.,.,.,.,.,.,.,.,.,"7,443"
CB02B,320,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,465","5,465"
CB02B,340,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4",.,.,.,.,.,.,.,.,.,.,.,"4,206",.,.,.,.,"4,206"
CB02B,430,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4","3,683","3,166",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"6,849"
CB02C,100,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0","2,055","6,166",.,"1,145",.,"2,580",.,.,.,.,.,.,.,.,.,.,"11,946"
CB02C,120,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0","66,305","37,157",.,.,"135,442",.,.,.,.,.,.,"118,881",.,.,.,.,"357,785"
CB02C,140,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0","53,131",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"124,355","177,486"
CB02C,160,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,770","3,770"
CB02C,180,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"2,101",.,.,.,.,"2,101"
CB02C,300,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0","1,753","1,220",.,"2,268","1,307",603,.,.,.,.,"1,207","1,031",.,.,.,.,"9,388"
CB02D,100,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+","8,223",904,"4,486","4,580","3,943","3,953",.,.,.,.,"6,073","3,392",.,"53,711",.,"8,181","97,447"
CB02D,110,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+","1,558",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,558"
CB02D,120,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+","28,598","13,439",.,.,"10,582",.,.,.,.,.,.,"1,973",.,.,.,.,"54,593"
CB02D,140,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,192","4,192"
CB02D,180,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",.,"1,827",.,.,.,.,.,.,.,.,.,527,.,.,.,.,"2,354"
CB02D,300,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+","22,353","49,606","1,551","15,422","38,230","18,378","15,825",.,"14,655",.,"6,619","12,505",.,"21,090",.,"79,226","295,462"
CB02D,301,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",.,"1,495",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,495"
CB02D,302,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,"1,468",.,.,.,.,"1,468"
CB02D,303,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",.,.,"1,782",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,782"
CB02D,320,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",.,"10,557",.,"2,188","1,540","2,500",.,.,.,.,.,.,.,"6,395",.,.,"23,179"
CB02D,340,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",.,.,"9,924",.,.,.,.,.,.,.,.,"6,745",.,.,.,.,"16,669"
CB02D,361,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",.,.,"3,550",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,550"
CB02D,370,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",.,.,"4,245",.,.,.,.,.,.,.,.,.,.,.,.,.,"4,245"
CB02D,400,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,"6,210",.,.,.,.,"6,210"
CB02D,430,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+","15,839","23,005","15,920",.,"25,013","3,868",.,.,"9,146","11,149","3,815","18,878","8,957","23,176",.,"70,128","228,894"
CB02E,100,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4","17,816","7,683",.,"24,046",876,"12,254",.,.,.,.,"2,421","11,463",.,"24,180",.,.,"100,739"
CB02E,110,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4","2,078",.,.,.,"1,495",.,.,.,.,.,.,.,.,.,.,"4,804","8,376"
CB02E,120,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4","36,153","19,787",.,.,"32,125",.,.,.,.,.,.,"8,892",.,.,.,.,"96,956"
CB02E,130,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",411,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,411
CB02E,140,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"50,897","50,897"
CB02E,160,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,865","2,865"
CB02E,180,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,"2,284",.,.,"6,260",.,.,.,.,.,.,"2,547",.,.,.,.,"11,091"
CB02E,300,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4","34,626","40,661","6,203","18,597","10,456","13,558","14,770",.,"7,140",.,"4,671","25,452",.,"12,554",.,"30,077","218,764"
CB02E,301,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,"1,704",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,704"
CB02E,303,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4","6,660","1,072","2,316",.,.,.,.,.,.,.,.,.,.,.,.,.,"10,048"
CB02E,320,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4","1,378","1,267",.,"1,641","1,540",.,.,.,.,.,"1,639","3,676",.,.,.,.,"11,140"
CB02E,340,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,835,.,.,.,.,.,.,.,.,"2,095",.,.,.,.,"2,930"
CB02E,350,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,.,.,.,.,.,.,.,.,.,"1,770",.,.,.,.,"1,770"
CB02E,361,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,.,.,.,"1,638",.,.,.,.,.,.,.,.,.,.,"1,638"
CB02E,370,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,"12,917",.,.,.,.,.,.,.,.,.,.,.,.,.,"12,917"
