HRG,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,DaisyHill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal Victoria,South Tyrone,South West Acute,Tyrone County,Ulster,N. Ireland Unit Cost
DZ21L,340,"Chronic Obstructive Pulmonary Disease or Bronchitis, with Intubation",.,.,472,.,.,.,.,.,.,.,.,.,.,.,.,.,.,472
DZ21M,110,"Chronic Obstructive Pulmonary Disease or Bronchitis, with NIV, without Intubation, with CC Score 8+","1,115",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,115"
DZ21M,300,"Chronic Obstructive Pulmonary Disease or Bronchitis, with NIV, without Intubation, with CC Score 8+",.,.,480,.,.,.,.,.,.,.,.,.,.,.,.,.,.,480
DZ21N,300,"Chronic Obstructive Pulmonary Disease or Bronchitis, with NIV, without Intubation, with CC Score 4-7",438,407,.,.,327,.,.,.,.,.,521,.,450,.,.,.,367,435
DZ21N,320,"Chronic Obstructive Pulmonary Disease or Bronchitis, with NIV, without Intubation, with CC Score 4-7",.,.,.,547,.,.,.,.,.,.,.,.,.,.,.,.,.,547
DZ21N,340,"Chronic Obstructive Pulmonary Disease or Bronchitis, with NIV, without Intubation, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,470,.,.,.,.,470
DZ21P,300,"Chronic Obstructive Pulmonary Disease or Bronchitis, with NIV, without Intubation, with CC Score 0-3",438,407,.,.,.,.,.,.,.,.,592,.,450,.,.,.,367,437
DZ21Q,300,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 13+",.,.,.,.,.,.,.,.,.,.,.,.,386,.,502,.,.,444
DZ21R,300,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 10-12",.,.,.,.,327,.,.,.,.,.,360,.,386,.,502,.,367,380
DZ21R,430,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 10-12",.,.,.,.,.,.,.,.,.,.,388,.,654,.,.,.,.,521
DZ21S,100,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 7-9",.,.,.,.,.,.,.,.,.,.,.,.,388,.,.,.,.,388
DZ21S,300,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 7-9",438,407,.,.,327,.,528,.,.,.,353,.,386,.,502,.,367,397
DZ21S,320,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 7-9",.,422,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,422
DZ21S,340,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 7-9",.,.,465,.,.,.,.,.,.,.,.,.,466,.,.,.,.,465
DZ21S,430,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 7-9",.,.,.,.,363,.,.,.,.,.,.,.,654,.,.,.,.,508
DZ21T,180,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 4-6",.,457,.,.,.,.,.,.,.,.,.,.,306,.,.,.,.,344
DZ21T,300,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 4-6",438,407,404,454,327,301,528,.,376,.,360,.,386,.,502,.,367,395
DZ21T,320,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 4-6",.,422,.,547,.,.,.,.,.,.,.,.,.,.,799,.,.,642
DZ21T,340,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 4-6",.,.,.,.,.,.,.,.,.,.,.,.,466,.,.,.,.,466
DZ21T,361,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 4-6",.,.,704,.,.,.,.,.,.,.,.,.,.,.,.,.,.,704
DZ21T,430,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 4-6",.,370,.,.,.,.,.,.,.,.,388,.,654,.,.,.,298,545
DZ21U,100,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,388,.,.,.,.,388
DZ21U,180,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,306,.,.,.,.,306
DZ21U,300,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 0-3",438,407,404,454,327,301,528,.,376,.,361,.,386,.,502,.,367,384
DZ21U,301,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 0-3",.,374,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,374
DZ21U,320,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 0-3",.,.,.,.,385,.,.,.,.,.,453,.,.,.,.,.,.,419
DZ21U,340,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 0-3",.,.,465,.,.,.,.,.,.,.,.,.,466,.,.,.,.,466
DZ21U,430,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 0-3",368,370,.,.,363,.,.,.,.,.,388,.,654,.,644,.,.,525
DZ22D,300,Unspecified Acute Lower Respiratory Infection with CC Score 14+,.,407,.,.,.,.,.,.,.,.,387,.,.,.,502,.,367,391
DZ22D,301,Unspecified Acute Lower Respiratory Infection with CC Score 14+,.,374,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,374
DZ22E,300,Unspecified Acute Lower Respiratory Infection with CC Score 11-13,438,407,404,.,327,301,528,.,376,.,.,.,386,.,502,.,367,391
DZ22E,320,Unspecified Acute Lower Respiratory Infection with CC Score 11-13,.,.,.,.,.,.,.,.,.,.,.,.,611,.,.,.,.,611
DZ22E,340,Unspecified Acute Lower Respiratory Infection with CC Score 11-13,.,.,465,.,.,.,.,.,.,.,.,.,.,.,.,.,.,465
DZ22E,430,Unspecified Acute Lower Respiratory Infection with CC Score 11-13,.,.,499,.,.,.,.,.,.,.,.,.,.,.,644,.,.,571
DZ22F,100,Unspecified Acute Lower Respiratory Infection with CC Score 8-10,.,.,.,.,.,.,.,.,.,.,.,.,388,.,.,.,.,388
DZ22F,180,Unspecified Acute Lower Respiratory Infection with CC Score 8-10,.,457,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,457
DZ22F,300,Unspecified Acute Lower Respiratory Infection with CC Score 8-10,438,407,404,454,327,.,528,.,376,.,360,.,386,.,502,.,367,402
DZ22F,303,Unspecified Acute Lower Respiratory Infection with CC Score 8-10,.,.,712,.,.,.,.,.,.,.,.,.,.,.,.,.,.,712
DZ22F,320,Unspecified Acute Lower Respiratory Infection with CC Score 8-10,.,.,.,547,.,.,.,.,.,.,.,.,.,.,.,.,.,547
DZ22F,340,Unspecified Acute Lower Respiratory Infection with CC Score 8-10,.,.,465,.,.,.,.,.,.,.,.,.,.,.,.,.,.,465
DZ22F,361,Unspecified Acute Lower Respiratory Infection with CC Score 8-10,.,.,704,.,.,409,.,.,.,.,.,.,.,.,.,.,.,606
DZ22F,430,Unspecified Acute Lower Respiratory Infection with CC Score 8-10,.,370,499,.,363,.,.,.,366,.,.,.,.,.,644,.,298,416
DZ22G,100,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,.,.,532,.,438,.,.,.,.,.,.,.,388,.,647,.,455,475
DZ22G,180,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,.,.,.,.,894,.,.,.,.,.,.,.,306,.,.,.,.,502
DZ22G,300,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,438,407,404,454,327,301,528,.,376,.,349,.,387,.,502,.,367,398
DZ22G,302,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,.,.,.,.,.,.,.,.,.,.,.,.,488,.,.,.,.,488
DZ22G,320,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,689,422,568,547,385,358,701,.,655,.,453,.,611,.,799,552,456,559
DZ22G,340,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,.,.,465,.,.,.,.,.,.,.,.,.,466,.,.,.,.,466
DZ22G,361,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,.,.,.,.,.,409,.,.,.,.,.,.,.,.,.,.,.,409
DZ22G,370,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,.,.,708,.,.,.,.,.,.,.,.,.,.,.,.,.,.,708
DZ22G,430,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,368,370,499,.,363,.,.,.,.,.,388,.,654,.,644,.,298,468
DZ22H,100,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,457,.,.,.,.,395,.,.,.,.,525,.,388,.,.,.,.,420
DZ22H,180,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,457,.,.,894,.,.,.,.,.,225,.,306,.,.,.,.,458
DZ22H,300,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,438,407,404,454,327,301,528,.,376,.,365,.,386,.,502,.,369,396
DZ22H,301,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,374,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,374
DZ22H,302,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,.,.,.,.,.,.,.,.,.,.,.,488,.,.,.,.,488
DZ22H,303,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,555,.,712,.,.,.,.,.,.,.,.,.,.,.,.,.,.,660
DZ22H,320,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,689,422,568,547,385,.,701,.,655,.,.,.,.,.,799,.,456,508
DZ22H,340,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,.,453,.,.,.,.,.,.,.,.,.,466,.,.,.,.,464
DZ22H,361,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,.,704,.,.,.,.,.,.,.,.,.,.,.,.,.,.,704
DZ22H,370,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,.,708,.,.,.,.,.,.,.,.,.,.,.,.,.,.,708
DZ22H,430,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,368,370,499,.,363,.,.,.,.,.,388,.,654,.,644,.,.,539
DZ22H,502,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,544,544
DZ22H,823,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,.,.,.,659,.,.,.,.,.,.,.,.,.,.,.,.,659
DZ22J,100,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,457,.,.,573,.,.,.,.,.,.,.,.,388,.,.,.,455,436
DZ22J,180,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,.,457,.,.,894,.,.,.,.,.,225,.,306,.,.,.,.,404
DZ22J,300,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,438,407,404,454,327,301,528,.,376,.,363,.,386,.,502,.,367,391
DZ22J,302,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,.,488,.,.,.,.,488
DZ22J,320,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,689,422,.,547,385,.,701,.,655,.,453,.,611,.,799,552,.,602
DZ22J,340,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,.,.,465,.,.,.,.,.,.,.,.,.,466,.,.,.,.,466
DZ22J,361,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,383,383
DZ22J,370,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,.,.,681,.,.,.,.,.,.,.,.,.,.,.,.,.,.,681
DZ22J,430,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,.,370,499,.,.,.,.,.,.,.,388,.,654,.,644,.,.,590
DZ22J,501,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,"1,028",.,.,.,.,.,.,.,.,.,.,.,479,.,.,.,.,754
DZ22J,502,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,544,544
DZ23D,300,Bronchopneumonia with CC Score 13+,438,407,.,.,327,.,.,.,376,.,.,.,386,.,.,.,367,390
DZ23D,430,Bronchopneumonia with CC Score 13+,.,370,.,.,.,.,.,.,.,.,.,.,.,.,.,.,298,346
DZ23E,180,Bronchopneumonia with CC Score 9-12,.,457,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,457
DZ23E,300,Bronchopneumonia with CC Score 9-12,438,407,404,454,327,301,.,.,376,.,387,.,386,.,502,.,367,403
DZ23E,320,Bronchopneumonia with CC Score 9-12,.,422,.,.,.,358,.,.,.,.,.,.,.,.,.,.,.,401
DZ23E,340,Bronchopneumonia with CC Score 9-12,.,.,.,.,.,.,.,.,.,.,.,.,466,.,.,.,.,466
DZ23E,430,Bronchopneumonia with CC Score 9-12,368,370,.,.,.,.,.,.,.,.,.,.,.,.,.,.,298,349
DZ23F,100,Bronchopneumonia with CC Score 5-8,.,452,.,.,438,395,.,.,.,.,.,.,.,.,.,.,.,428
DZ23F,300,Bronchopneumonia with CC Score 5-8,438,407,404,454,327,301,.,.,376,.,384,.,386,.,502,.,367,397
DZ23F,301,Bronchopneumonia with CC Score 5-8,.,374,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,374
DZ23F,320,Bronchopneumonia with CC Score 5-8,689,422,.,547,.,.,.,.,.,.,453,.,.,.,.,.,.,610
DZ23F,340,Bronchopneumonia with CC Score 5-8,.,.,472,.,.,.,.,.,.,.,.,.,466,.,.,.,.,467
DZ23F,430,Bronchopneumonia with CC Score 5-8,.,370,499,.,363,.,.,.,.,.,388,.,654,.,.,.,298,422
DZ23G,100,Bronchopneumonia with CC Score 0-4,.,.,.,.,438,.,.,.,.,.,.,.,.,.,.,.,.,438
DZ23G,300,Bronchopneumonia with CC Score 0-4,438,407,409,454,327,301,.,.,376,.,363,.,386,.,502,.,367,397
DZ23G,301,Bronchopneumonia with CC Score 0-4,.,374,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,374
DZ23G,303,Bronchopneumonia with CC Score 0-4,555,.,712,.,.,.,.,.,.,.,.,.,.,.,.,.,.,634
DZ23G,320,Bronchopneumonia with CC Score 0-4,.,422,.,547,.,.,.,.,.,.,453,.,.,.,.,.,.,510
DZ23G,340,Bronchopneumonia with CC Score 0-4,.,.,465,.,.,.,.,.,.,.,.,.,466,.,.,.,.,466
DZ23G,430,Bronchopneumonia with CC Score 0-4,368,370,.,.,363,.,.,.,366,.,388,.,654,.,.,.,298,384
DZ24D,300,"Inhalation Lung Injury or Foreign Body, with CC Score 13+",.,407,.,.,.,.,.,.,.,.,592,.,.,.,.,.,367,439
DZ24D,340,"Inhalation Lung Injury or Foreign Body, with CC Score 13+",.,.,465,.,.,.,.,.,.,.,.,.,.,.,.,.,.,465
DZ24D,430,"Inhalation Lung Injury or Foreign Body, with CC Score 13+",.,.,.,.,.,.,.,.,.,360,.,.,654,.,.,.,.,507
DZ24E,300,"Inhalation Lung Injury or Foreign Body, with CC Score 10-12",438,407,404,454,327,.,528,.,376,.,637,.,.,.,502,.,367,420
DZ24E,361,"Inhalation Lung Injury or Foreign Body, with CC Score 10-12",.,.,.,.,.,409,.,.,.,.,.,.,.,.,.,.,.,409
DZ24E,430,"Inhalation Lung Injury or Foreign Body, with CC Score 10-12",.,370,499,.,.,.,.,.,.,.,388,.,.,.,.,.,298,404
DZ24F,300,"Inhalation Lung Injury or Foreign Body, with CC Score 7-9",438,407,404,454,327,301,528,.,376,.,370,.,386,.,502,.,367,396
DZ24F,301,"Inhalation Lung Injury or Foreign Body, with CC Score 7-9",.,374,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,374
DZ24F,340,"Inhalation Lung Injury or Foreign Body, with CC Score 7-9",.,.,.,.,.,714,.,.,.,.,.,.,.,.,.,.,.,714
DZ24F,430,"Inhalation Lung Injury or Foreign Body, with CC Score 7-9",368,370,499,.,.,.,.,.,.,.,388,.,654,.,.,.,.,449
DZ24G,100,"Inhalation Lung Injury or Foreign Body, with CC Score 4-6",.,452,.,.,438,.,.,.,.,.,.,.,.,.,.,.,.,447
DZ24G,140,"Inhalation Lung Injury or Foreign Body, with CC Score 4-6",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,599,599
DZ24G,180,"Inhalation Lung Injury or Foreign Body, with CC Score 4-6",.,.,.,.,.,.,.,.,.,.,.,.,306,.,.,.,.,306
DZ24G,300,"Inhalation Lung Injury or Foreign Body, with CC Score 4-6",438,407,404,454,327,301,.,.,376,.,363,.,388,.,502,.,367,399
DZ24G,301,"Inhalation Lung Injury or Foreign Body, with CC Score 4-6",.,374,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,374
DZ24G,302,"Inhalation Lung Injury or Foreign Body, with CC Score 4-6",.,.,.,.,.,.,.,.,.,.,.,.,488,.,.,.,.,488
DZ24G,320,"Inhalation Lung Injury or Foreign Body, with CC Score 4-6",.,.,.,547,.,.,.,.,.,.,.,.,.,.,.,.,.,547
DZ24G,340,"Inhalation Lung Injury or Foreign Body, with CC Score 4-6",.,.,.,.,.,.,.,.,.,.,.,.,466,.,.,.,.,466
DZ24G,430,"Inhalation Lung Injury or Foreign Body, with CC Score 4-6",368,370,499,.,363,.,.,.,.,.,388,.,654,.,.,.,298,455
DZ24H,100,"Inhalation Lung Injury or Foreign Body, with CC Score 0-3",.,452,.,573,438,395,.,.,.,.,525,.,.,.,647,.,.,495
DZ24H,120,"Inhalation Lung Injury or Foreign Body, with CC Score 0-3","1,253",450,.,.,857,.,.,.,.,.,.,.,512,.,.,.,.,589
DZ24H,172,"Inhalation Lung Injury or Foreign Body, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"1,207",.,.,.,.,"1,207"
DZ24H,180,"Inhalation Lung Injury or Foreign Body, with CC Score 0-3",.,457,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,457
DZ24H,300,"Inhalation Lung Injury or Foreign Body, with CC Score 0-3",438,407,404,454,327,301,.,.,376,.,364,.,386,.,502,.,367,393
DZ24H,301,"Inhalation Lung Injury or Foreign Body, with CC Score 0-3",.,374,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,374
DZ24H,320,"Inhalation Lung Injury or Foreign Body, with CC Score 0-3",.,422,.,547,.,.,.,.,.,.,453,.,.,.,.,.,.,458
DZ24H,340,"Inhalation Lung Injury or Foreign Body, with CC Score 0-3",.,.,465,.,.,.,.,.,.,.,.,.,466,.,.,.,.,466
DZ24H,361,"Inhalation Lung Injury or Foreign Body, with CC Score 0-3",.,.,.,.,.,409,.,.,.,.,.,.,.,.,.,.,.,409
DZ24H,370,"Inhalation Lung Injury or Foreign Body, with CC Score 0-3",.,.,708,.,.,.,.,.,.,.,.,.,.,.,.,.,.,708
DZ24H,430,"Inhalation Lung Injury or Foreign Body, with CC Score 0-3",.,370,499,.,.,.,.,.,.,.,388,.,654,.,644,.,.,546
DZ25C,300,"Fibrosis or Pneumoconiosis, with CC Score 8+",438,.,.,.,327,.,.,.,376,.,.,.,399,.,502,.,.,422
DZ25C,340,"Fibrosis or Pneumoconiosis, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,.,468,.,.,.,.,468
DZ25D,180,"Fibrosis or Pneumoconiosis, with CC Score 5-7",.,457,.,.,.,.,.,.,.,.,225,.,.,.,.,.,.,341
DZ25D,300,"Fibrosis or Pneumoconiosis, with CC Score 5-7",438,407,404,.,327,.,.,.,376,.,387,.,386,.,502,.,367,401
DZ25D,340,"Fibrosis or Pneumoconiosis, with CC Score 5-7",.,.,465,.,.,.,.,.,.,.,.,.,.,.,.,.,.,465
DZ25D,430,"Fibrosis or Pneumoconiosis, with CC Score 5-7",.,370,499,.,.,.,.,.,.,.,.,.,.,.,.,.,.,435
DZ25E,300,"Fibrosis or Pneumoconiosis, with CC Score 2-4",438,407,404,454,327,.,528,.,376,.,369,.,386,.,502,.,367,391
DZ25E,320,"Fibrosis or Pneumoconiosis, with CC Score 2-4",.,422,.,.,385,.,701,.,.,.,.,.,.,.,.,.,.,483
DZ25E,340,"Fibrosis or Pneumoconiosis, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,.,466,.,.,.,.,466
DZ25E,430,"Fibrosis or Pneumoconiosis, with CC Score 2-4",.,.,499,.,.,.,.,.,.,.,388,.,.,.,.,.,.,443
DZ25F,300,"Fibrosis or Pneumoconiosis, with CC Score 0-1",.,407,404,.,327,.,.,.,376,.,387,.,386,.,.,.,367,386
DZ25F,320,"Fibrosis or Pneumoconiosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,453,.,.,.,.,.,.,453
DZ25F,340,"Fibrosis or Pneumoconiosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,466,.,.,.,.,466
DZ25F,430,"Fibrosis or Pneumoconiosis, with CC Score 0-1",.,370,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,370
DZ26C,300,"Pneumothorax or Intrathoracic Injuries, with CC Score 8+",.,407,.,.,.,.,.,.,.,.,.,.,386,.,502,.,367,442
DZ26C,430,"Pneumothorax or Intrathoracic Injuries, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,388,.,.,.,.,.,.,388
DZ26D,100,"Pneumothorax or Intrathoracic Injuries, with CC Score 5-7",.,.,.,.,438,.,.,.,.,.,.,.,.,.,.,.,.,438
DZ26D,300,"Pneumothorax or Intrathoracic Injuries, with CC Score 5-7",438,407,.,.,327,.,.,.,.,.,.,.,386,.,502,.,367,412
DZ26D,370,"Pneumothorax or Intrathoracic Injuries, with CC Score 5-7",.,.,717,.,.,.,.,.,.,.,.,.,.,.,.,.,.,717
DZ26E,100,"Pneumothorax or Intrathoracic Injuries, with CC Score 2-4",.,452,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,452
DZ26E,172,"Pneumothorax or Intrathoracic Injuries, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,.,798,.,.,.,.,798
DZ26E,180,"Pneumothorax or Intrathoracic Injuries, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,.,306,.,.,.,.,306
DZ26E,300,"Pneumothorax or Intrathoracic Injuries, with CC Score 2-4",438,407,"1,179",454,327,301,.,.,.,.,353,.,386,.,.,.,367,408
DZ26E,320,"Pneumothorax or Intrathoracic Injuries, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,.,611,.,.,.,.,611
DZ26E,340,"Pneumothorax or Intrathoracic Injuries, with CC Score 2-4",.,.,465,.,.,.,.,.,.,.,.,.,468,.,.,.,.,467
DZ26E,370,"Pneumothorax or Intrathoracic Injuries, with CC Score 2-4",.,.,708,.,.,.,.,.,.,.,.,.,.,.,.,.,.,708
DZ26F,100,"Pneumothorax or Intrathoracic Injuries, with CC Score 0-1",457,.,.,573,438,395,.,.,.,.,.,.,.,.,647,.,.,514
DZ26F,172,"Pneumothorax or Intrathoracic Injuries, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,798,.,.,.,.,798
DZ26F,180,"Pneumothorax or Intrathoracic Injuries, with CC Score 0-1",.,457,.,.,894,.,.,.,.,.,225,.,306,.,.,.,.,441
DZ26F,300,"Pneumothorax or Intrathoracic Injuries, with CC Score 0-1",438,407,404,454,327,301,.,.,.,.,363,.,386,.,502,.,367,367
DZ26F,320,"Pneumothorax or Intrathoracic Injuries, with CC Score 0-1",.,.,.,547,.,.,.,.,.,.,.,.,.,.,.,.,.,547
DZ26F,340,"Pneumothorax or Intrathoracic Injuries, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,466,.,.,.,.,466
DZ26F,430,"Pneumothorax or Intrathoracic Injuries, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,388,.,.,.,.,.,.,388
DZ27G,300,Respiratory Failure with Intubation,.,.,"1,303",.,.,.,.,.,.,.,"1,854",.,.,.,.,.,.,"1,487"
DZ27H,300,"Respiratory Failure without Intubation, with CC Score 12+",.,.,.,.,.,.,528,.,.,.,.,.,450,.,502,.,367,443
DZ27J,300,"Respiratory Failure without Intubation, with CC Score 8-11",438,407,404,.,327,301,.,.,376,.,387,.,399,.,.,.,367,380
DZ27J,430,"Respiratory Failure without Intubation, with CC Score 8-11",.,.,499,.,.,.,.,.,.,.,.,.,.,.,.,.,.,499
DZ27K,100,"Respiratory Failure without Intubation, with CC Score 4-7",.,.,.,.,438,.,.,.,.,.,.,.,.,.,.,.,.,438
DZ27K,300,"Respiratory Failure without Intubation, with CC Score 4-7",438,407,415,454,327,301,528,.,.,.,403,.,414,.,502,.,367,403
DZ27K,301,"Respiratory Failure without Intubation, with CC Score 4-7",.,374,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,374
DZ27K,303,"Respiratory Failure without Intubation, with CC Score 4-7",.,.,712,.,.,.,.,.,.,.,.,.,.,.,.,.,.,712
DZ27K,340,"Respiratory Failure without Intubation, with CC Score 4-7",.,.,465,.,.,.,.,.,.,.,.,.,468,.,.,.,.,467
DZ27K,430,"Respiratory Failure without Intubation, with CC Score 4-7",.,370,.,.,.,.,.,.,.,.,388,.,.,.,.,.,.,379
DZ27L,100,"Respiratory Failure without Intubation, with CC Score 0-3",457,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,457
DZ27L,180,"Respiratory Failure without Intubation, with CC Score 0-3",.,457,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,457
DZ27L,300,"Respiratory Failure without Intubation, with CC Score 0-3",438,407,480,454,327,301,.,.,.,.,369,.,404,.,502,.,367,390
DZ27L,301,"Respiratory Failure without Intubation, with CC Score 0-3",.,374,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,374
DZ27L,320,"Respiratory Failure without Intubation, with CC Score 0-3",.,.,939,.,.,358,.,.,.,.,453,.,.,.,.,.,.,583
DZ27L,340,"Respiratory Failure without Intubation, with CC Score 0-3",.,.,472,.,.,.,.,.,.,.,.,.,466,.,.,.,.,469
DZ27L,430,"Respiratory Failure without Intubation, with CC Score 0-3",.,370,.,.,.,.,.,.,.,.,388,.,.,.,.,.,.,379
DZ28A,100,Pleurisy with CC Score 3+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,647,.,.,647
DZ28A,300,Pleurisy with CC Score 3+,438,.,.,.,327,.,.,.,376,.,360,.,.,.,.,.,.,366
DZ28B,100,Pleurisy with CC Score 0-2,.,.,.,.,438,.,.,.,.,.,.,.,.,.,.,.,.,438
DZ28B,180,Pleurisy with CC Score 0-2,.,457,.,.,894,.,.,.,.,.,225,.,306,.,.,.,.,328
DZ28B,300,Pleurisy with CC Score 0-2,438,407,404,454,.,301,.,.,.,.,320,.,386,.,.,.,367,412
DZ28B,320,Pleurisy with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,456,456
DZ28B,430,Pleurisy with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,388,.,.,.,.,.,.,388
DZ29C,300,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 7+",.,"2,920",.,.,327,.,.,.,.,.,.,.,.,.,.,.,.,"1,624"
DZ29D,300,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 4-6",.,407,.,.,.,.,.,.,.,.,.,.,.,.,502,.,.,454
DZ29D,430,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 4-6",.,370,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,370
DZ29E,100,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 2-3",.,.,.,.,438,.,.,.,.,.,.,.,.,.,.,.,.,438
