HRG,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal Victoria,South Tyrone,South West Acute,Tyrone County,Ulster,N. Ireland Total FCEs
DZ21U,360,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
DZ21U,430,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 0-3",13,16,13,.,14,.,.,.,.,1,19,14,.,2,.,7,99
DZ22D,300,Unspecified Acute Lower Respiratory Infection with CC Score 14+,.,3,3,1,4,.,1,.,.,.,.,.,.,2,.,6,20
DZ22D,320,Unspecified Acute Lower Respiratory Infection with CC Score 14+,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ22D,340,Unspecified Acute Lower Respiratory Infection with CC Score 14+,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ22D,430,Unspecified Acute Lower Respiratory Infection with CC Score 14+,.,1,2,.,2,.,.,.,.,3,.,.,2,3,.,7,20
DZ22E,300,Unspecified Acute Lower Respiratory Infection with CC Score 11-13,1,2,2,11,12,1,6,.,5,.,.,.,.,6,.,16,62
DZ22E,302,Unspecified Acute Lower Respiratory Infection with CC Score 11-13,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
DZ22E,320,Unspecified Acute Lower Respiratory Infection with CC Score 11-13,.,.,.,1,.,1,.,.,1,.,.,.,.,.,.,1,4
DZ22E,340,Unspecified Acute Lower Respiratory Infection with CC Score 11-13,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
DZ22E,361,Unspecified Acute Lower Respiratory Infection with CC Score 11-13,1,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,2
DZ22E,370,Unspecified Acute Lower Respiratory Infection with CC Score 11-13,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ22E,430,Unspecified Acute Lower Respiratory Infection with CC Score 11-13,.,2,4,.,3,1,.,.,2,7,.,.,5,3,.,11,38
DZ22F,100,Unspecified Acute Lower Respiratory Infection with CC Score 8-10,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
DZ22F,110,Unspecified Acute Lower Respiratory Infection with CC Score 8-10,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
DZ22F,300,Unspecified Acute Lower Respiratory Infection with CC Score 8-10,18,22,13,20,37,8,23,.,12,.,5,12,.,46,.,60,276
DZ22F,301,Unspecified Acute Lower Respiratory Infection with CC Score 8-10,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ22F,303,Unspecified Acute Lower Respiratory Infection with CC Score 8-10,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
DZ22F,320,Unspecified Acute Lower Respiratory Infection with CC Score 8-10,.,1,.,4,2,.,.,.,.,.,1,.,.,1,.,1,10
DZ22F,340,Unspecified Acute Lower Respiratory Infection with CC Score 8-10,.,.,13,.,.,.,.,.,.,.,.,7,.,.,.,.,20
DZ22F,361,Unspecified Acute Lower Respiratory Infection with CC Score 8-10,2,2,5,.,.,3,.,.,.,.,.,.,.,.,.,.,12
DZ22F,370,Unspecified Acute Lower Respiratory Infection with CC Score 8-10,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,2
DZ22F,430,Unspecified Acute Lower Respiratory Infection with CC Score 8-10,9,6,13,.,8,.,.,.,1,4,2,4,2,17,.,29,95
DZ22F,502,Unspecified Acute Lower Respiratory Infection with CC Score 8-10,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ22F,823,Unspecified Acute Lower Respiratory Infection with CC Score 8-10,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
DZ22G,100,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,4,2,.,.,1,.,.,.,.,.,.,4,.,4,.,.,15
DZ22G,110,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
DZ22G,120,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ22G,300,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,83,69,47,35,98,40,43,.,45,.,24,28,.,94,.,155,761
DZ22G,301,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5
DZ22G,302,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
DZ22G,303,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
DZ22G,320,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,5,2,2,5,4,3,.,.,1,.,4,2,.,11,.,5,44
DZ22G,340,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,.,.,34,.,.,.,.,.,.,.,.,17,.,.,.,.,51
DZ22G,361,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,.,1,4,.,.,5,.,.,.,.,.,.,.,.,.,1,11
DZ22G,370,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,.,.,20,.,.,.,.,.,.,.,.,.,.,.,.,.,20
DZ22G,410,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,1
DZ22G,430,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,20,10,37,.,18,.,.,.,1,7,1,4,3,19,.,33,153
DZ22G,823,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,2
DZ22H,100,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,1,.,.,4,2,4,.,.,.,.,.,6,.,2,.,1,20
DZ22H,101,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ22H,110,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
DZ22H,180,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
DZ22H,300,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,88,107,76,64,117,68,30,.,47,.,41,36,.,81,.,155,910
DZ22H,301,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4
DZ22H,302,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
DZ22H,303,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,3,1,9,.,.,.,.,.,.,.,.,.,.,.,.,.,13
DZ22H,320,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,5,1,4,8,5,3,1,.,1,.,3,.,.,4,.,4,39
DZ22H,340,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,.,46,.,.,.,.,.,.,.,.,50,.,.,.,.,96
DZ22H,361,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,2,.,9,.,.,1,.,.,.,.,.,.,.,.,.,2,14
DZ22H,370,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,.,11,.,.,.,.,.,.,.,.,.,.,.,.,.,11
DZ22H,420,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
DZ22H,430,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,19,21,27,.,19,.,.,.,.,2,1,11,1,9,.,16,126
DZ22H,501,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
DZ22H,823,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,7
DZ22J,100,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,1,.,.,1,3,.,.,.,.,.,.,.,.,.,.,.,5
DZ22J,120,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ22J,180,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,.,1,.,.,.,.,.,.,.,.,.,2,.,.,.,.,3
DZ22J,300,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,22,21,18,10,40,24,8,.,6,.,16,23,.,28,.,33,249
DZ22J,303,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,.,1,9,.,.,.,.,.,.,.,.,.,.,.,.,.,10
DZ22J,320,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,.,1,.,4,2,.,.,.,.,.,.,2,.,2,.,.,11
DZ22J,340,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,.,.,18,.,.,.,.,.,.,.,.,17,.,.,.,.,35
DZ22J,350,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
DZ22J,361,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ22J,370,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,5
DZ22J,430,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,2,3,5,.,4,.,.,.,.,.,1,6,.,.,.,3,24
DZ22J,501,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,.,2,.,.,.,1,.,.,.,.,.,.,.,.,.,1,4
DZ23D,110,Bronchopneumonia with CC Score 13+,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
DZ23D,300,Bronchopneumonia with CC Score 13+,6,11,.,.,6,.,.,.,.,.,3,.,.,2,.,4,32
DZ23D,320,Bronchopneumonia with CC Score 13+,.,2,.,1,2,.,.,.,.,.,.,.,.,.,.,.,5
DZ23D,340,Bronchopneumonia with CC Score 13+,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
DZ23D,430,Bronchopneumonia with CC Score 13+,1,.,1,.,.,.,.,.,2,1,1,.,1,1,.,13,21
DZ23E,100,Bronchopneumonia with CC Score 9-12,.,1,.,.,.,.,.,.,.,.,.,2,.,.,.,.,3
DZ23E,110,Bronchopneumonia with CC Score 9-12,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ23E,300,Bronchopneumonia with CC Score 9-12,54,46,5,9,7,4,.,.,3,.,2,2,.,12,.,34,178
DZ23E,301,Bronchopneumonia with CC Score 9-12,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ23E,320,Bronchopneumonia with CC Score 9-12,1,3,.,1,1,.,.,.,.,.,.,.,.,.,.,.,6
DZ23E,340,Bronchopneumonia with CC Score 9-12,.,.,2,.,.,.,.,.,.,.,.,1,.,.,.,.,3
DZ23E,430,Bronchopneumonia with CC Score 9-12,3,2,9,.,6,.,.,.,4,3,1,1,.,6,.,38,73
DZ23F,100,Bronchopneumonia with CC Score 5-8,.,1,1,.,1,1,.,.,.,.,.,.,.,1,.,1,6
DZ23F,110,Bronchopneumonia with CC Score 5-8,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
DZ23F,180,Bronchopneumonia with CC Score 5-8,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
DZ23F,300,Bronchopneumonia with CC Score 5-8,32,57,9,15,32,17,1,.,14,.,13,9,.,27,.,44,270
DZ23F,301,Bronchopneumonia with CC Score 5-8,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
DZ23F,303,Bronchopneumonia with CC Score 5-8,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
DZ23F,320,Bronchopneumonia with CC Score 5-8,3,1,.,4,1,1,.,.,2,.,.,.,.,2,.,.,14
DZ23F,340,Bronchopneumonia with CC Score 5-8,.,.,2,.,.,1,.,.,.,.,.,4,.,.,.,.,7
DZ23F,361,Bronchopneumonia with CC Score 5-8,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,1
DZ23F,370,Bronchopneumonia with CC Score 5-8,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ23F,430,Bronchopneumonia with CC Score 5-8,13,9,7,.,15,1,.,.,2,3,.,2,.,12,.,25,89
DZ23F,823,Bronchopneumonia with CC Score 5-8,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
DZ23G,100,Bronchopneumonia with CC Score 0-4,.,.,1,1,3,.,.,.,.,.,.,.,.,1,.,.,6
DZ23G,300,Bronchopneumonia with CC Score 0-4,28,24,14,9,31,13,.,.,9,.,7,2,.,25,.,33,195
DZ23G,301,Bronchopneumonia with CC Score 0-4,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4
DZ23G,303,Bronchopneumonia with CC Score 0-4,3,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,4
DZ23G,320,Bronchopneumonia with CC Score 0-4,.,1,1,.,1,.,.,.,.,.,.,.,.,.,.,.,3
DZ23G,340,Bronchopneumonia with CC Score 0-4,.,.,7,.,.,.,.,.,.,.,.,5,.,.,.,.,12
DZ23G,361,Bronchopneumonia with CC Score 0-4,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,1
DZ23G,430,Bronchopneumonia with CC Score 0-4,18,1,10,.,4,1,.,.,.,.,.,.,.,9,.,10,53
DZ24D,100,"Inhalation Lung Injury or Foreign Body, with CC Score 13+",.,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,4
DZ24D,300,"Inhalation Lung Injury or Foreign Body, with CC Score 13+",.,12,1,2,4,2,1,.,.,.,.,.,.,.,.,1,23
DZ24D,340,"Inhalation Lung Injury or Foreign Body, with CC Score 13+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
DZ24D,430,"Inhalation Lung Injury or Foreign Body, with CC Score 13+",.,.,2,.,.,.,.,.,2,5,.,.,2,.,.,2,13
DZ24E,100,"Inhalation Lung Injury or Foreign Body, with CC Score 10-12",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2
DZ24E,300,"Inhalation Lung Injury or Foreign Body, with CC Score 10-12",3,18,2,3,8,6,2,.,5,.,6,.,.,.,.,15,68
DZ24E,320,"Inhalation Lung Injury or Foreign Body, with CC Score 10-12",.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
DZ24E,361,"Inhalation Lung Injury or Foreign Body, with CC Score 10-12",.,.,8,.,.,1,.,.,.,.,.,.,.,.,.,.,9
DZ24E,430,"Inhalation Lung Injury or Foreign Body, with CC Score 10-12",1,2,5,.,2,.,.,.,.,2,1,.,2,1,.,2,18
DZ24F,300,"Inhalation Lung Injury or Foreign Body, with CC Score 7-9",11,61,10,21,27,8,10,.,14,.,13,9,.,16,.,22,222
DZ24F,340,"Inhalation Lung Injury or Foreign Body, with CC Score 7-9",.,.,3,.,.,.,.,.,.,.,.,8,.,.,.,.,11
DZ24F,430,"Inhalation Lung Injury or Foreign Body, with CC Score 7-9",5,2,9,.,9,1,.,.,2,3,2,3,1,3,.,13,53
DZ24G,100,"Inhalation Lung Injury or Foreign Body, with CC Score 4-6",.,3,2,.,.,.,.,.,.,.,.,.,.,.,.,4,9
DZ24G,101,"Inhalation Lung Injury or Foreign Body, with CC Score 4-6",.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ24G,120,"Inhalation Lung Injury or Foreign Body, with CC Score 4-6",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ24G,300,"Inhalation Lung Injury or Foreign Body, with CC Score 4-6",27,90,6,41,40,37,15,.,18,.,26,11,.,22,.,58,391
DZ24G,301,"Inhalation Lung Injury or Foreign Body, with CC Score 4-6",.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6
DZ24G,320,"Inhalation Lung Injury or Foreign Body, with CC Score 4-6",.,2,.,3,.,1,.,.,.,.,.,.,.,.,.,.,6
DZ24G,340,"Inhalation Lung Injury or Foreign Body, with CC Score 4-6",.,.,11,.,.,.,.,.,.,.,.,21,.,.,.,.,32
DZ24G,430,"Inhalation Lung Injury or Foreign Body, with CC Score 4-6",7,12,9,.,11,3,.,.,.,.,3,7,.,8,.,4,64
DZ24H,100,"Inhalation Lung Injury or Foreign Body, with CC Score 0-3",1,2,1,.,2,2,.,.,.,.,1,1,.,.,.,1,11
DZ24H,120,"Inhalation Lung Injury or Foreign Body, with CC Score 0-3",.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
DZ24H,172,"Inhalation Lung Injury or Foreign Body, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
DZ24H,300,"Inhalation Lung Injury or Foreign Body, with CC Score 0-3",33,55,17,18,44,24,1,.,4,.,35,6,.,8,.,18,263
DZ24H,301,"Inhalation Lung Injury or Foreign Body, with CC Score 0-3",.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6
DZ24H,320,"Inhalation Lung Injury or Foreign Body, with CC Score 0-3",.,1,.,2,1,.,.,.,.,.,.,.,.,.,.,.,4
DZ24H,340,"Inhalation Lung Injury or Foreign Body, with CC Score 0-3",.,.,6,.,.,.,.,.,.,.,.,19,.,.,.,.,25
DZ24H,370,"Inhalation Lung Injury or Foreign Body, with CC Score 0-3",.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,2
DZ24H,430,"Inhalation Lung Injury or Foreign Body, with CC Score 0-3",2,8,12,.,8,.,.,.,.,.,1,4,.,1,.,2,38
DZ25C,100,"Fibrosis or Pneumoconiosis, with CC Score 8+",.,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,3
DZ25C,300,"Fibrosis or Pneumoconiosis, with CC Score 8+",4,2,.,.,4,.,2,.,7,.,1,1,.,4,.,5,30
DZ25C,320,"Fibrosis or Pneumoconiosis, with CC Score 8+",.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,2
DZ25C,340,"Fibrosis or Pneumoconiosis, with CC Score 8+",.,.,1,.,.,.,.,.,.,.,.,1,.,.,.,.,2
DZ25C,430,"Fibrosis or Pneumoconiosis, with CC Score 8+",.,.,.,.,1,.,.,.,.,1,.,.,.,.,.,1,3
DZ25D,300,"Fibrosis or Pneumoconiosis, with CC Score 5-7",11,10,5,.,9,3,2,.,3,.,6,.,.,5,.,12,66
DZ25D,320,"Fibrosis or Pneumoconiosis, with CC Score 5-7",.,1,.,.,.,.,1,.,.,.,.,.,.,.,.,1,3
DZ25D,340,"Fibrosis or Pneumoconiosis, with CC Score 5-7",.,.,6,.,.,.,.,.,.,.,.,7,.,.,.,.,13
DZ25D,430,"Fibrosis or Pneumoconiosis, with CC Score 5-7",.,.,1,.,1,.,.,.,.,.,1,.,2,1,.,.,6
DZ25E,300,"Fibrosis or Pneumoconiosis, with CC Score 2-4",13,8,4,5,5,4,5,.,10,.,6,1,.,7,.,30,98
DZ25E,320,"Fibrosis or Pneumoconiosis, with CC Score 2-4",1,3,.,.,.,.,.,.,1,.,1,.,.,.,.,.,6
DZ25E,340,"Fibrosis or Pneumoconiosis, with CC Score 2-4",.,.,2,.,.,.,.,.,.,.,.,9,.,.,.,.,11
DZ25E,430,"Fibrosis or Pneumoconiosis, with CC Score 2-4",.,1,.,.,1,.,.,.,.,.,.,.,1,.,.,1,4
DZ25F,300,"Fibrosis or Pneumoconiosis, with CC Score 0-1",1,7,.,2,4,.,.,.,1,.,3,.,.,.,.,6,24
DZ25F,340,"Fibrosis or Pneumoconiosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
DZ25F,430,"Fibrosis or Pneumoconiosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
DZ26C,100,"Pneumothorax or Intrathoracic Injuries, with CC Score 8+",.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,2
DZ26C,300,"Pneumothorax or Intrathoracic Injuries, with CC Score 8+",2,5,.,.,.,.,.,.,.,.,.,1,.,2,.,1,11
DZ26C,340,"Pneumothorax or Intrathoracic Injuries, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
DZ26C,430,"Pneumothorax or Intrathoracic Injuries, with CC Score 8+",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
DZ26D,100,"Pneumothorax or Intrathoracic Injuries, with CC Score 5-7",.,1,.,1,2,.,.,.,.,.,.,.,.,.,.,1,5
DZ26D,170,"Pneumothorax or Intrathoracic Injuries, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
DZ26D,172,"Pneumothorax or Intrathoracic Injuries, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
DZ26D,300,"Pneumothorax or Intrathoracic Injuries, with CC Score 5-7",3,8,.,.,7,.,.,.,.,.,.,1,.,3,.,9,31
DZ26D,320,"Pneumothorax or Intrathoracic Injuries, with CC Score 5-7",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ26D,340,"Pneumothorax or Intrathoracic Injuries, with CC Score 5-7",.,.,1,.,.,.,.,.,.,.,.,2,.,.,.,.,3
DZ26D,430,"Pneumothorax or Intrathoracic Injuries, with CC Score 5-7",.,1,.,.,.,.,.,.,.,.,.,.,1,1,.,.,3
DZ26E,100,"Pneumothorax or Intrathoracic Injuries, with CC Score 2-4",2,4,.,2,2,2,.,.,.,.,1,1,.,2,.,1,17
DZ26E,120,"Pneumothorax or Intrathoracic Injuries, with CC Score 2-4",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
DZ26E,170,"Pneumothorax or Intrathoracic Injuries, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
DZ26E,172,"Pneumothorax or Intrathoracic Injuries, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,10,.,.,.,.,10
DZ26E,300,"Pneumothorax or Intrathoracic Injuries, with CC Score 2-4",10,4,.,3,12,4,.,.,.,.,13,.,.,1,.,10,57
DZ26E,340,"Pneumothorax or Intrathoracic Injuries, with CC Score 2-4",.,.,3,.,.,.,.,.,.,.,.,4,.,.,.,.,7
DZ26E,430,"Pneumothorax or Intrathoracic Injuries, with CC Score 2-4",1,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,3
DZ26F,100,"Pneumothorax or Intrathoracic Injuries, with CC Score 0-1",6,5,.,3,6,1,.,.,.,.,.,.,.,3,.,3,27
DZ26F,170,"Pneumothorax or Intrathoracic Injuries, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
DZ26F,172,"Pneumothorax or Intrathoracic Injuries, with CC Score 0-1",.,.,1,.,.,.,.,.,.,.,.,17,.,.,.,.,18
DZ26F,300,"Pneumothorax or Intrathoracic Injuries, with CC Score 0-1",5,14,2,1,20,5,.,.,1,.,16,4,.,6,.,13,87
DZ26F,340,"Pneumothorax or Intrathoracic Injuries, with CC Score 0-1",.,.,2,.,.,.,.,.,.,.,.,7,.,.,.,.,9
DZ26F,430,"Pneumothorax or Intrathoracic Injuries, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
DZ27G,100,Respiratory Failure with Intubation,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ27G,300,Respiratory Failure with Intubation,4,4,.,.,1,.,.,.,1,.,.,.,.,1,.,.,11
DZ27G,320,Respiratory Failure with Intubation,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ27H,300,"Respiratory Failure without Intubation, with CC Score 12+",2,2,.,.,2,.,.,.,1,.,.,1,.,.,.,2,10
DZ27H,340,"Respiratory Failure without Intubation, with CC Score 12+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
DZ27H,430,"Respiratory Failure without Intubation, with CC Score 12+",.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,1
DZ27J,100,"Respiratory Failure without Intubation, with CC Score 8-11",.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,2
DZ27J,300,"Respiratory Failure without Intubation, with CC Score 8-11",4,3,3,1,6,8,3,.,1,.,4,.,.,3,.,19,55
DZ27J,320,"Respiratory Failure without Intubation, with CC Score 8-11",.,.,.,.,.,.,.,.,.,.,.,1,.,1,.,.,2
DZ27J,340,"Respiratory Failure without Intubation, with CC Score 8-11",.,.,3,.,.,.,.,.,.,.,.,6,.,.,.,.,9
DZ27J,430,"Respiratory Failure without Intubation, with CC Score 8-11",.,.,1,.,.,.,.,.,.,2,1,.,1,1,.,.,6
DZ27K,100,"Respiratory Failure without Intubation, with CC Score 4-7",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,1
DZ27K,110,"Respiratory Failure without Intubation, with CC Score 4-7",.,.,.,.,1,.,.,1,.,.,.,.,.,.,.,.,2
DZ27K,180,"Respiratory Failure without Intubation, with CC Score 4-7",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
DZ27K,300,"Respiratory Failure without Intubation, with CC Score 4-7",25,16,6,7,9,22,4,.,6,.,7,5,.,8,.,28,143
DZ27K,303,"Respiratory Failure without Intubation, with CC Score 4-7",.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,8
DZ27K,320,"Respiratory Failure without Intubation, with CC Score 4-7",.,.,.,.,1,1,.,.,1,.,1,.,.,.,.,1,5
DZ27K,340,"Respiratory Failure without Intubation, with CC Score 4-7",.,.,4,.,.,1,.,.,.,.,.,14,.,.,.,.,19
DZ27K,361,"Respiratory Failure without Intubation, with CC Score 4-7",.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1,2
DZ27K,400,"Respiratory Failure without Intubation, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
DZ27K,430,"Respiratory Failure without Intubation, with CC Score 4-7",4,.,1,.,1,1,.,.,.,.,1,.,.,.,.,1,9
DZ27L,100,"Respiratory Failure without Intubation, with CC Score 0-3",.,.,.,1,.,1,.,.,.,.,.,2,.,.,.,.,4
DZ27L,120,"Respiratory Failure without Intubation, with CC Score 0-3",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ27L,300,"Respiratory Failure without Intubation, with CC Score 0-3",13,9,1,5,11,11,1,.,1,.,1,2,.,4,.,7,66
DZ27L,320,"Respiratory Failure without Intubation, with CC Score 0-3",1,1,1,4,1,.,.,.,.,.,.,.,.,1,.,.,9
DZ27L,340,"Respiratory Failure without Intubation, with CC Score 0-3",.,.,3,.,.,.,.,.,.,.,.,8,.,.,.,.,11
DZ27L,430,"Respiratory Failure without Intubation, with CC Score 0-3",2,1,.,.,1,.,.,.,.,.,1,.,.,.,.,.,5
DZ28A,300,Pleurisy with CC Score 3+,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,2
DZ28A,320,Pleurisy with CC Score 3+,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ28B,100,Pleurisy with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
DZ28B,172,Pleurisy with CC Score 0-2,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ28B,180,Pleurisy with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
DZ28B,300,Pleurisy with CC Score 0-2,.,.,1,.,3,.,.,.,1,.,1,.,.,.,.,.,6
DZ28B,320,Pleurisy with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
