Quarter Ending ,HSC Trust,Specialty,Programme of Care,0 - 6 weeks,> 6 - 13 weeks,> 13 - 21 weeks,> 21 - 26 weeks,> 26 weeks,>26-52 weeks,>52 weeks,> 26-30 weeks,> 30 weeks,>30-36 weeks,> 26 - 36 weeks,> 36 weeks,Total,,
30-Sep-2009,Southern,GP Other,Acute Services,90,27,0,0,0,,,--,--,--,--,--,117,,
30-Sep-2009,Southern,Clinical Oncology,Acute Services,3,0,0,0,0,,,--,--,--,--,--,3,,
30-Sep-2009,Western,General Surgery,Acute Services,655,308,6,1,1,,,--,--,--,--,--,971,,
30-Sep-2009,Western,Urology,Acute Services,137,53,7,0,0,,,--,--,--,--,--,197,,
30-Sep-2009,Western,T & O Surgery,Acute Services,68,57,34,20,12,,,--,--,--,--,--,191,,
30-Sep-2009,Western,ENT,Acute Services,51,30,0,0,0,,,--,--,--,--,--,81,,
30-Sep-2009,Western,Ophthalmology,Acute Services,332,179,2,0,0,,,--,--,--,--,--,513,,
30-Sep-2009,Western,Oral Surgery,Acute Services,158,18,0,0,0,,,--,--,--,--,--,176,,
30-Sep-2009,Western,Pain Management,Acute Services,57,33,0,0,0,,,--,--,--,--,--,90,,
30-Sep-2009,Western,General Medicine,Acute Services,710,470,46,0,0,,,--,--,--,--,--,"1,226",,
30-Sep-2009,Western,Cardiology,Acute Services,53,33,11,0,0,,,--,--,--,--,--,97,,
30-Sep-2009,Western,Paediatrics,Acute Services,6,2,0,0,0,,,--,--,--,--,--,8,,
30-Sep-2009,Western,Gynaecology,Acute Services,171,128,5,0,0,,,--,--,--,--,--,304,,
30-Sep-2009,Western,GP Other,Acute Services,74,1,0,0,0,,,--,--,--,--,--,75,,
31-Dec-2009,Belfast,General Surgery,Acute Services,500,410,134,21,0,,,--,--,--,--,--,"1,065",,
31-Dec-2009,Belfast,Urology,Acute Services,418,417,106,7,4,,,--,--,--,--,--,952,,
31-Dec-2009,Belfast,T & O Surgery,Acute Services,244,192,28,0,0,,,--,--,--,--,--,464,,
31-Dec-2009,Belfast,ENT,Acute Services,121,108,10,0,3,,,--,--,--,--,--,242,,
31-Dec-2009,Belfast,Ophthalmology,Acute Services,681,"1,046",215,50,46,,,--,--,--,--,--,"2,038",,
31-Dec-2009,Belfast,Oral Surgery,Acute Services,25,43,9,1,0,,,--,--,--,--,--,78,,
31-Dec-2009,Belfast,Paediatric Dentistry,Acute Services,14,7,3,5,18,,,--,--,--,--,--,47,,
31-Dec-2009,Belfast,Neurosurgery,Acute Services,10,41,12,0,3,,,--,--,--,--,--,66,,
31-Dec-2009,Belfast,Plastic Surgery,Acute Services,41,52,30,12,7,,,--,--,--,--,--,142,,
31-Dec-2009,Belfast,Paediatric Surgery,Acute Services,61,57,0,0,0,,,--,--,--,--,--,118,,
31-Dec-2009,Belfast,Thoracic Surgery,Acute Services,9,0,0,0,0,,,--,--,--,--,--,9,,
31-Dec-2009,Belfast,Accident & Emergency,Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,,
31-Dec-2009,Belfast,Pain Management,Acute Services,176,201,141,63,20,,,--,--,--,--,--,601,,
31-Dec-2009,Belfast,General Medicine,Acute Services,458,322,130,33,0,,,--,--,--,--,--,943,,
31-Dec-2009,Belfast,Gastroenterology,Acute Services,476,276,102,5,1,,,--,--,--,--,--,860,,
31-Dec-2009,Belfast,Endocrinology,Acute Services,5,4,0,0,0,,,--,--,--,--,--,9,,
31-Dec-2009,Belfast,Cardiology,Acute Services,164,101,13,1,0,,,--,--,--,--,--,279,,
31-Dec-2009,Belfast,Dermatology,Acute Services,45,11,0,0,0,,,--,--,--,--,--,56,,
31-Dec-2009,Belfast,Nephrology,Acute Services,32,29,0,0,0,,,--,--,--,--,--,61,,
31-Dec-2009,Belfast,Neurology,Acute Services,5,0,0,0,0,,,--,--,--,--,--,5,,
31-Dec-2009,Belfast,Rheumatology,Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,,
31-Dec-2009,Belfast,Paediatrics,Acute Services,4,0,0,0,0,,,--,--,--,--,--,4,,
31-Dec-2009,Belfast,Gynaecology,Acute Services,131,129,62,14,10,,,--,--,--,--,--,346,,
31-Dec-2009,Belfast,Radiology,Acute Services,7,4,0,0,0,,,--,--,--,--,--,11,,
31-Dec-2009,Northern,General Surgery,Acute Services,956,650,294,100,30,,,--,--,--,--,--,"2,030",,
31-Dec-2009,Northern,Urology,Acute Services,138,51,26,9,0,,,--,--,--,--,--,224,,
31-Dec-2009,Northern,ENT,Acute Services,80,57,15,0,0,,,--,--,--,--,--,152,,
31-Dec-2009,Northern,Oral Surgery,Acute Services,5,4,0,0,0,,,--,--,--,--,--,9,,
31-Dec-2009,Northern,Pain Management,Acute Services,61,42,44,2,0,,,--,--,--,--,--,149,,
31-Dec-2009,Northern,General Medicine,Acute Services,176,116,70,36,10,,,--,--,--,--,--,408,,
31-Dec-2009,Northern,Gastroenterology,Acute Services,496,426,308,114,2,,,--,--,--,--,--,"1,346",,
31-Dec-2009,Northern,Cardiology,Acute Services,0,6,5,1,1,,,--,--,--,--,--,13,,
31-Dec-2009,Northern,Dermatology,Acute Services,39,29,32,19,26,,,--,--,--,--,--,145,,
31-Dec-2009,Northern,Gynaecology,Acute Services,196,154,29,6,2,,,--,--,--,--,--,387,,
31-Dec-2009,Northern,GP Other,Acute Services,128,25,2,2,0,,,--,--,--,--,--,157,,
31-Dec-2009,South Eastern,General Surgery,Acute Services,583,304,45,5,2,,,--,--,--,--,--,939,,
31-Dec-2009,South Eastern,Urology,Acute Services,167,29,4,0,0,,,--,--,--,--,--,200,,
31-Dec-2009,South Eastern,T & O Surgery,Acute Services,8,1,0,0,0,,,--,--,--,--,--,9,,
31-Dec-2009,South Eastern,ENT,Acute Services,48,13,0,0,0,,,--,--,--,--,--,61,,
31-Dec-2009,South Eastern,Ophthalmology,Acute Services,73,79,18,0,0,,,--,--,--,--,--,170,,
31-Dec-2009,South Eastern,Oral Surgery,Acute Services,13,9,1,0,0,,,--,--,--,--,--,23,,
31-Dec-2009,South Eastern,Paediatric Dentistry,Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,,
31-Dec-2009,South Eastern,Plastic Surgery,Acute Services,130,79,66,17,0,,,--,--,--,--,--,292,,
31-Dec-2009,South Eastern,Paediatric Surgery,Acute Services,41,41,0,0,0,,,--,--,--,--,--,82,,
31-Dec-2009,South Eastern,Pain Management,Acute Services,22,10,0,0,0,,,--,--,--,--,--,32,,
31-Dec-2009,South Eastern,General Medicine,Acute Services,332,301,95,8,1,,,--,--,--,--,--,737,,
31-Dec-2009,South Eastern,Gastroenterology,Acute Services,26,12,0,0,0,,,--,--,--,--,--,38,,
31-Dec-2009,South Eastern,Haematology (Clinical),Acute Services,1,1,0,0,0,,,--,--,--,--,--,2,,
31-Dec-2009,South Eastern,Cardiology,Acute Services,67,47,20,1,0,,,--,--,--,--,--,135,,
31-Dec-2009,South Eastern,Dermatology,Acute Services,99,97,10,0,2,,,--,--,--,--,--,208,,
31-Dec-2009,South Eastern,Nephrology,Acute Services,1,1,0,0,0,,,--,--,--,--,--,2,,
31-Dec-2009,South Eastern,Neurology,Acute Services,0,1,0,0,0,,,--,--,--,--,--,1,,
31-Dec-2009,South Eastern,Paediatrics,Acute Services,5,0,0,0,0,,,--,--,--,--,--,5,,
31-Dec-2009,South Eastern,Gynaecology,Acute Services,189,130,15,0,0,,,--,--,--,--,--,334,,
31-Dec-2009,South Eastern,GP Other,Acute Services,25,2,0,0,0,,,--,--,--,--,--,27,,
31-Dec-2009,South Eastern,Clinical Oncology,Acute Services,3,0,0,0,0,,,--,--,--,--,--,3,,
31-Dec-2009,South Eastern,Geriatric Medicine,Elderly Care,21,0,0,0,0,,,--,--,--,--,--,21,,
31-Dec-2009,Southern,General Surgery,Acute Services,647,609,0,0,0,,,--,--,--,--,--,"1,256",,
31-Dec-2009,Southern,Urology,Acute Services,92,113,15,1,1,,,--,--,--,--,--,222,,
31-Dec-2009,Southern,T & O Surgery,Acute Services,55,54,3,0,0,,,--,--,--,--,--,112,,
31-Dec-2009,Southern,ENT,Acute Services,128,56,0,0,0,,,--,--,--,--,--,184,,
31-Dec-2009,Southern,Ophthalmology,Acute Services,111,94,0,0,0,,,--,--,--,--,--,205,,
31-Dec-2009,Southern,Oral Surgery,Acute Services,15,15,0,0,0,,,--,--,--,--,--,30,,
31-Dec-2009,Southern,Pain Management,Acute Services,27,17,0,0,0,,,--,--,--,--,--,44,,
31-Dec-2009,Southern,General Medicine,Acute Services,46,24,0,0,0,,,--,--,--,--,--,70,,
31-Dec-2009,Southern,Gastroenterology,Acute Services,193,116,0,0,0,,,--,--,--,--,--,309,,
31-Dec-2009,Southern,Haematology (Clinical),Acute Services,20,0,0,0,0,,,--,--,--,--,--,20,,
31-Dec-2009,Southern,Cardiology,Acute Services,187,176,0,0,0,,,--,--,--,--,--,363,,
31-Dec-2009,Southern,Dermatology,Acute Services,59,64,0,0,0,,,--,--,--,--,--,123,,
31-Dec-2009,Southern,Thoracic Medicine,Acute Services,28,7,0,0,0,,,--,--,--,--,--,35,,
31-Dec-2009,Southern,Neurology,Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,,
31-Dec-2009,Southern,Rheumatology,Acute Services,157,227,2,0,0,,,--,--,--,--,--,386,,
31-Dec-2009,Southern,Gynaecology,Acute Services,150,94,0,0,0,,,--,--,--,--,--,244,,
31-Dec-2009,Southern,GP Other,Acute Services,82,12,0,0,0,,,--,--,--,--,--,94,,
31-Dec-2009,Southern,Clinical Oncology,Acute Services,4,0,0,0,0,,,--,--,--,--,--,4,,
31-Dec-2009,Western,General Surgery,Acute Services,707,421,83,2,4,,,--,--,--,--,--,"1,217",,
31-Dec-2009,Western,Urology,Acute Services,135,69,14,0,0,,,--,--,--,--,--,218,,
31-Dec-2009,Western,T & O Surgery,Acute Services,50,55,54,16,37,,,--,--,--,--,--,212,,
31-Dec-2009,Western,ENT,Acute Services,59,31,3,2,0,,,--,--,--,--,--,95,,
31-Dec-2009,Western,Ophthalmology,Acute Services,297,218,53,0,0,,,--,--,--,--,--,568,,
31-Dec-2009,Western,Oral Surgery,Acute Services,250,45,24,0,0,,,--,--,--,--,--,319,,
31-Dec-2009,Western,Pain Management,Acute Services,53,29,0,0,0,,,--,--,--,--,--,82,,
31-Dec-2009,Western,General Medicine,Acute Services,600,608,94,0,0,,,--,--,--,--,--,"1,302",,
31-Dec-2009,Western,Cardiology,Acute Services,56,50,0,0,0,,,--,--,--,--,--,106,,
31-Dec-2009,Western,Paediatrics,Acute Services,6,3,0,0,0,,,--,--,--,--,--,9,,
31-Dec-2009,Western,Gynaecology,Acute Services,168,185,22,0,0,,,--,--,--,--,--,375,,
31-Dec-2009,Western,GP Other,Acute Services,49,3,0,0,0,,,--,--,--,--,--,52,,
31-Mar-2010,Belfast,General Surgery,Acute Services,500,399,2,0,0,,,--,--,--,--,--,901,,
31-Mar-2010,Belfast,Urology,Acute Services,574,399,178,26,0,,,--,--,--,--,--,"1,177",,
31-Mar-2010,Belfast,T & O Surgery,Acute Services,229,268,161,3,3,,,--,--,--,--,--,664,,
31-Mar-2010,Belfast,ENT,Acute Services,146,112,1,0,0,,,--,--,--,--,--,259,,
31-Mar-2010,Belfast,Ophthalmology,Acute Services,881,"1,004",5,0,3,,,--,--,--,--,--,"1,893",,
31-Mar-2010,Belfast,Oral Surgery,Acute Services,55,42,20,0,0,,,--,--,--,--,--,117,,
31-Mar-2010,Belfast,Paediatric Dentistry,Acute Services,34,9,8,0,0,,,--,--,--,--,--,51,,
31-Mar-2010,Belfast,Neurosurgery,Acute Services,31,36,1,0,0,,,--,--,--,--,--,68,,
31-Mar-2010,Belfast,Plastic Surgery,Acute Services,71,50,18,0,1,,,--,--,--,--,--,140,,
31-Mar-2010,Belfast,Paediatric Surgery,Acute Services,75,40,0,0,0,,,--,--,--,--,--,115,,
31-Mar-2010,Belfast,Thoracic Surgery,Acute Services,2,2,0,0,0,,,--,--,--,--,--,4,,
31-Mar-2010,Belfast,Anaesthetics,Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,,
31-Mar-2010,Belfast,Pain Management,Acute Services,185,240,172,5,5,,,--,--,--,--,--,607,,
31-Mar-2010,Belfast,General Medicine,Acute Services,497,282,0,0,0,,,--,--,--,--,--,779,,
31-Mar-2010,Belfast,Gastroenterology,Acute Services,484,302,0,0,0,,,--,--,--,--,--,786,,
31-Mar-2010,Belfast,Endocrinology,Acute Services,8,0,0,0,0,,,--,--,--,--,--,8,,
31-Mar-2010,Belfast,Cardiology,Acute Services,185,113,1,0,0,,,--,--,--,--,--,299,,
31-Mar-2010,Belfast,Dermatology,Acute Services,24,18,0,0,0,,,--,--,--,--,--,42,,
31-Mar-2010,Belfast,Nephrology,Acute Services,22,13,0,0,0,,,--,--,--,--,--,35,,
31-Mar-2010,Belfast,Neurology,Acute Services,0,2,0,0,0,,,--,--,--,--,--,2,,
31-Mar-2010,Belfast,Rheumatology,Acute Services,5,0,0,0,0,,,--,--,--,--,--,5,,
31-Mar-2010,Belfast,Paediatrics,Acute Services,0,8,0,0,0,,,--,--,--,--,--,8,,
31-Mar-2010,Belfast,Gynaecology,Acute Services,161,156,40,0,0,,,--,--,--,--,--,357,,
31-Mar-2010,Belfast,Radiology,Acute Services,20,6,0,0,0,,,--,--,--,--,--,26,,
31-Mar-2010,Northern,General Surgery,Acute Services,"1,089",566,105,0,0,,,--,--,--,--,--,"1,760",,
31-Mar-2010,Northern,Urology,Acute Services,178,71,0,0,0,,,--,--,--,--,--,249,,
31-Mar-2010,Northern,ENT,Acute Services,92,55,0,0,0,,,--,--,--,--,--,147,,
31-Mar-2010,Northern,Oral Surgery,Acute Services,14,9,0,0,0,,,--,--,--,--,--,23,,
31-Mar-2010,Northern,Pain Management,Acute Services,102,78,0,0,0,,,--,--,--,--,--,180,,
31-Mar-2010,Northern,General Medicine,Acute Services,220,130,50,0,0,,,--,--,--,--,--,400,,
31-Mar-2010,Northern,Gastroenterology,Acute Services,591,390,123,0,0,,,--,--,--,--,--,"1,104",,
31-Mar-2010,Northern,Cardiology,Acute Services,4,0,0,0,0,,,--,--,--,--,--,4,,
31-Mar-2010,Northern,Dermatology,Acute Services,28,17,0,0,0,,,--,--,--,--,--,45,,
31-Mar-2010,Northern,Gynaecology,Acute Services,257,176,0,0,0,,,--,--,--,--,--,433,,
31-Mar-2010,Northern,GP Other,Acute Services,145,43,0,0,0,,,--,--,--,--,--,188,,
31-Mar-2010,South Eastern,General Surgery,Acute Services,512,294,0,0,0,,,--,--,--,--,--,806,,
31-Mar-2010,South Eastern,Urology,Acute Services,185,79,0,0,0,,,--,--,--,--,--,264,,
31-Mar-2010,South Eastern,T & O Surgery,Acute Services,9,1,0,0,0,,,--,--,--,--,--,10,,
31-Mar-2010,South Eastern,ENT,Acute Services,56,33,0,0,0,,,--,--,--,--,--,89,,
31-Mar-2010,South Eastern,Ophthalmology,Acute Services,106,100,0,0,0,,,--,--,--,--,--,206,,
31-Mar-2010,South Eastern,Oral Surgery,Acute Services,71,28,0,0,0,,,--,--,--,--,--,99,,
31-Mar-2010,South Eastern,Plastic Surgery,Acute Services,162,115,71,27,0,,,--,--,--,--,--,375,,
31-Mar-2010,South Eastern,Paediatric Surgery,Acute Services,66,50,0,0,0,,,--,--,--,--,--,116,,
31-Mar-2010,South Eastern,Pain Management,Acute Services,37,28,0,0,0,,,--,--,--,--,--,65,,
31-Mar-2010,South Eastern,General Medicine,Acute Services,489,223,0,0,0,,,--,--,--,--,--,712,,
31-Mar-2010,South Eastern,Gastroenterology,Acute Services,32,8,0,0,0,,,--,--,--,--,--,40,,
31-Mar-2010,South Eastern,Haematology (Clinical),Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,,
31-Mar-2010,South Eastern,Cardiology,Acute Services,82,23,0,0,0,,,--,--,--,--,--,105,,
31-Mar-2010,South Eastern,Dermatology,Acute Services,356,191,0,0,0,,,--,--,--,--,--,547,,
31-Mar-2010,South Eastern,Nephrology,Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,,
31-Mar-2010,South Eastern,Neurology,Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,,
31-Mar-2010,South Eastern,Gynaecology,Acute Services,170,98,0,0,0,,,--,--,--,--,--,268,,
31-Mar-2010,South Eastern,GP Other,Acute Services,34,0,0,0,0,,,--,--,--,--,--,34,,
31-Mar-2010,South Eastern,Clinical Oncology,Acute Services,7,0,0,0,0,,,--,--,--,--,--,7,,
31-Mar-2010,South Eastern,Geriatric Medicine,Elderly Care,34,1,0,0,0,,,--,--,--,--,--,35,,
31-Mar-2010,Southern,General Surgery,Acute Services,680,669,53,0,0,,,--,--,--,--,--,"1,402",,
31-Mar-2010,Southern,Urology,Acute Services,131,79,47,0,0,,,--,--,--,--,--,257,,
31-Mar-2010,Southern,T & O Surgery,Acute Services,52,59,17,0,0,,,--,--,--,--,--,128,,
31-Mar-2010,Southern,ENT,Acute Services,82,40,0,0,0,,,--,--,--,--,--,122,,
31-Mar-2010,Southern,Ophthalmology,Acute Services,91,79,0,0,0,,,--,--,--,--,--,170,,
31-Mar-2010,Southern,Oral Surgery,Acute Services,13,8,0,0,0,,,--,--,--,--,--,21,,
31-Mar-2010,Southern,Pain Management,Acute Services,63,22,0,0,0,,,--,--,--,--,--,85,,
31-Mar-2010,Southern,General Medicine,Acute Services,44,26,2,0,0,,,--,--,--,--,--,72,,
31-Mar-2010,Southern,Gastroenterology,Acute Services,212,195,35,0,0,,,--,--,--,--,--,442,,
31-Mar-2010,Southern,Haematology (Clinical),Acute Services,20,0,0,0,0,,,--,--,--,--,--,20,,
31-Mar-2010,Southern,Cardiology,Acute Services,238,135,0,0,0,,,--,--,--,--,--,373,,
31-Mar-2010,Southern,Dermatology,Acute Services,56,36,0,0,0,,,--,--,--,--,--,92,,
31-Mar-2010,Southern,Thoracic Medicine,Acute Services,40,1,0,0,0,,,--,--,--,--,--,41,,
31-Mar-2010,Southern,Rheumatology,Acute Services,268,203,0,0,0,,,--,--,--,--,--,471,,
31-Mar-2010,Southern,Paediatrics,Acute Services,2,0,0,0,0,,,--,--,--,--,--,2,,
31-Mar-2010,Southern,Gynaecology,Acute Services,143,114,0,0,0,,,--,--,--,--,--,257,,
31-Mar-2010,Southern,GP Other,Acute Services,89,15,0,0,0,,,--,--,--,--,--,104,,
31-Mar-2010,Southern,Clinical Oncology,Acute Services,4,0,0,0,0,,,--,--,--,--,--,4,,
31-Mar-2010,Western,General Surgery,Acute Services,678,456,51,2,0,,,--,--,--,--,--,"1,187",,
31-Mar-2010,Western,Urology,Acute Services,212,54,7,4,0,,,--,--,--,--,--,277,,
31-Mar-2010,Western,T & O Surgery,Acute Services,92,31,55,34,0,,,--,--,--,--,--,212,,
31-Mar-2010,Western,ENT,Acute Services,74,37,0,0,0,,,--,--,--,--,--,111,,
31-Mar-2010,Western,Ophthalmology,Acute Services,333,158,0,0,0,,,--,--,--,--,--,491,,
31-Mar-2010,Western,Oral Surgery,Acute Services,208,42,0,0,0,,,--,--,--,--,--,250,,
31-Mar-2010,Western,Pain Management,Acute Services,72,29,0,0,0,,,--,--,--,--,--,101,,
31-Mar-2010,Western,General Medicine,Acute Services,728,508,0,0,0,,,--,--,--,--,--,"1,236",,
31-Mar-2010,Western,Cardiology,Acute Services,59,59,0,0,0,,,--,--,--,--,--,118,,
31-Mar-2010,Western,Paediatrics,Acute Services,3,9,0,0,0,,,--,--,--,--,--,12,,
31-Mar-2010,Western,Gynaecology,Acute Services,248,133,17,0,0,,,--,--,--,--,--,398,,
31-Mar-2010,Western,GP Other,Acute Services,65,3,0,0,0,,,--,--,--,--,--,68,,
30-Jun-2010,Belfast,General Surgery,Acute Services,546,423,101,11,--,,,--,--,--,2,0,"1,083",,
30-Jun-2010,Belfast,Urology,Acute Services,578,440,335,94,--,,,--,--,--,8,0,"1,455",,
30-Jun-2010,Belfast,T & O Surgery,Acute Services,213,185,195,56,--,,,--,--,--,15,0,664,,
30-Jun-2010,Belfast,ENT,Acute Services,141,118,20,1,--,,,--,--,--,0,0,280,,
30-Jun-2010,Belfast,Ophthalmology,Acute Services,781,955,396,11,--,,,--,--,--,1,1,"2,145",,
30-Jun-2010,Belfast,Oral Surgery,Acute Services,38,36,52,2,--,,,--,--,--,1,0,129,,
30-Jun-2010,Belfast,Paediatric Dentistry,Acute Services,33,12,10,1,--,,,--,--,--,1,0,57,,
30-Jun-2010,Belfast,Neurosurgery,Acute Services,39,19,9,4,--,,,--,--,--,0,0,71,,
30-Jun-2010,Belfast,Plastic Surgery,Acute Services,77,51,46,9,--,,,--,--,--,1,0,184,,
30-Jun-2010,Belfast,Paediatric Surgery,Acute Services,112,56,24,1,--,,,--,--,--,0,0,193,,
30-Jun-2010,Belfast,Pain Management,Acute Services,152,212,223,68,--,,,--,--,--,18,0,673,,
30-Jun-2010,Belfast,General Medicine,Acute Services,396,343,193,2,--,,,--,--,--,0,0,934,,
30-Jun-2010,Belfast,Gastroenterology,Acute Services,578,366,23,0,--,,,--,--,--,1,0,968,,
30-Jun-2010,Belfast,Endocrinology,Acute Services,9,0,0,0,--,,,--,--,--,0,0,9,,
30-Jun-2010,Belfast,Cardiology,Acute Services,211,114,33,4,--,,,--,--,--,1,0,363,,
30-Jun-2010,Belfast,Dermatology,Acute Services,22,6,0,0,--,,,--,--,--,0,0,28,,
30-Jun-2010,Belfast,Nephrology,Acute Services,19,12,1,0,--,,,--,--,--,0,0,32,,
30-Jun-2010,Belfast,Neurology,Acute Services,0,1,0,0,--,,,--,--,--,0,0,1,,
30-Jun-2010,Belfast,Gynaecology,Acute Services,161,154,74,23,--,,,--,--,--,4,0,416,,
30-Jun-2010,Belfast,GP Other,Acute Services,8,0,0,0,--,,,--,--,--,0,0,8,,
30-Jun-2010,Belfast,Radiology,Acute Services,20,5,9,3,--,,,--,--,--,0,0,37,,
30-Jun-2010,Northern,General Surgery,Acute Services,826,556,376,88,--,,,--,--,--,32,0,"1,878",,
30-Jun-2010,Northern,Urology,Acute Services,182,132,36,6,--,,,--,--,--,0,0,356,,
30-Jun-2010,Northern,ENT,Acute Services,84,48,12,6,--,,,--,--,--,0,0,150,,
30-Jun-2010,Northern,Oral Surgery,Acute Services,10,8,1,0,--,,,--,--,--,0,0,19,,
30-Jun-2010,Northern,Pain Management,Acute Services,64,39,65,3,--,,,--,--,--,0,0,171,,
30-Jun-2010,Northern,General Medicine,Acute Services,169,107,107,37,--,,,--,--,--,28,0,448,,
30-Jun-2010,Northern,Gastroenterology,Acute Services,618,413,286,56,--,,,--,--,--,3,0,"1,376",,
30-Jun-2010,Northern,Cardiology,Acute Services,8,2,0,0,--,,,--,--,--,0,0,10,,
30-Jun-2010,Northern,Dermatology,Acute Services,25,17,3,1,--,,,--,--,--,0,0,46,,
30-Jun-2010,Northern,Rheumatology,Acute Services,2,0,0,0,--,,,--,--,--,0,0,2,,
30-Jun-2010,Northern,Gynaecology,Acute Services,190,206,93,10,--,,,--,--,--,1,0,500,,
30-Jun-2010,Northern,GP Other,Acute Services,110,30,0,0,--,,,--,--,--,0,0,140,,
30-Jun-2010,South Eastern,General Surgery,Acute Services,596,168,55,7,--,,,--,--,--,0,0,826,,
30-Jun-2010,South Eastern,Urology,Acute Services,136,15,3,0,--,,,--,--,--,0,0,154,,
30-Jun-2010,South Eastern,T & O Surgery,Acute Services,8,2,0,0,--,,,--,--,--,0,0,10,,
30-Jun-2010,South Eastern,ENT,Acute Services,65,31,2,0,--,,,--,--,--,0,0,98,,
30-Jun-2010,South Eastern,Ophthalmology,Acute Services,138,81,0,0,--,,,--,--,--,0,0,219,,
30-Jun-2010,South Eastern,Oral Surgery,Acute Services,18,9,0,0,--,,,--,--,--,0,0,27,,
30-Jun-2010,South Eastern,Plastic Surgery,Acute Services,189,111,391,40,--,,,--,--,--,73,21,825,,
30-Jun-2010,South Eastern,Paediatric Surgery,Acute Services,51,37,0,0,--,,,--,--,--,0,0,88,,
30-Jun-2010,South Eastern,Pain Management,Acute Services,40,18,0,0,--,,,--,--,--,0,0,58,,
30-Jun-2010,South Eastern,General Medicine,Acute Services,377,256,86,2,--,,,--,--,--,0,0,721,,
30-Jun-2010,South Eastern,Gastroenterology,Acute Services,1,6,0,0,--,,,--,--,--,0,0,7,,
30-Jun-2010,South Eastern,Haematology (Clinical),Acute Services,5,0,0,0,--,,,--,--,--,0,0,5,,
30-Jun-2010,South Eastern,Cardiology,Acute Services,86,58,17,3,--,,,--,--,--,0,0,164,,
30-Jun-2010,South Eastern,Dermatology,Acute Services,73,79,37,1,--,,,--,--,--,0,0,190,,
30-Jun-2010,South Eastern,Nephrology,Acute Services,2,0,0,0,--,,,--,--,--,0,0,2,,
30-Jun-2010,South Eastern,Neurology,Acute Services,2,1,0,0,--,,,--,--,--,0,0,3,,
30-Jun-2010,South Eastern,Paediatrics,Acute Services,6,0,0,0,--,,,--,--,--,0,0,6,,
30-Jun-2010,South Eastern,Gynaecology,Acute Services,202,130,3,0,--,,,--,--,--,0,0,335,,
30-Jun-2010,South Eastern,GP Other,Acute Services,6,3,0,0,--,,,--,--,--,0,0,9,,
30-Jun-2010,South Eastern,Clinical Oncology,Acute Services,5,0,0,0,--,,,--,--,--,0,0,5,,
30-Jun-2010,South Eastern,Geriatric Medicine,Elderly Care,27,0,0,0,--,,,--,--,--,0,0,27,,
30-Jun-2010,Southern,General Surgery,Acute Services,702,597,416,90,--,,,--,--,--,0,0,"1,805",,
30-Jun-2010,Southern,Urology,Acute Services,79,84,80,36,--,,,--,--,--,28,3,310,,
30-Jun-2010,Southern,T & O Surgery,Acute Services,36,41,19,1,--,,,--,--,--,0,0,97,,
30-Jun-2010,Southern,ENT,Acute Services,97,65,0,0,--,,,--,--,--,0,0,162,,
30-Jun-2010,Southern,Ophthalmology,Acute Services,86,83,0,0,--,,,--,--,--,0,0,169,,
30-Jun-2010,Southern,Oral Surgery,Acute Services,14,17,0,0,--,,,--,--,--,0,0,31,,
30-Jun-2010,Southern,Pain Management,Acute Services,88,95,0,0,--,,,--,--,--,0,0,183,,
30-Jun-2010,Southern,General Medicine,Acute Services,49,19,18,5,--,,,--,--,--,0,0,91,,
30-Jun-2010,Southern,Gastroenterology,Acute Services,177,148,223,38,--,,,--,--,--,0,0,586,,
30-Jun-2010,Southern,Haematology (Clinical),Acute Services,6,3,0,0,--,,,--,--,--,0,0,9,,
30-Jun-2010,Southern,Cardiology,Acute Services,201,174,75,1,--,,,--,--,--,0,0,451,,
30-Jun-2010,Southern,Dermatology,Acute Services,55,44,0,0,--,,,--,--,--,0,0,99,,
30-Jun-2010,Southern,Thoracic Medicine,Acute Services,50,6,0,0,--,,,--,--,--,0,0,56,,
30-Jun-2010,Southern,Neurology,Acute Services,2,0,0,0,--,,,--,--,--,0,0,2,,
30-Jun-2010,Southern,Rheumatology,Acute Services,179,239,230,2,--,,,--,--,--,0,0,650,,
30-Jun-2010,Southern,Paediatrics,Acute Services,4,1,0,0,--,,,--,--,--,0,0,5,,
30-Jun-2010,Southern,Gynaecology,Acute Services,187,117,0,0,--,,,--,--,--,0,0,304,,
30-Jun-2010,Southern,GP Other,Acute Services,103,20,0,0,--,,,--,--,--,0,0,123,,
30-Jun-2010,Southern,Clinical Oncology,Acute Services,0,1,0,0,--,,,--,--,--,0,0,1,,
30-Jun-2010,Western,General Surgery,Acute Services,617,432,158,11,--,,,--,--,--,15,0,"1,233",,
30-Jun-2010,Western,Urology,Acute Services,169,74,33,12,--,,,--,--,--,2,0,290,,
30-Jun-2010,Western,T & O Surgery,Acute Services,65,39,60,16,--,,,--,--,--,45,11,236,,
30-Jun-2010,Western,ENT,Acute Services,60,29,2,0,--,,,--,--,--,0,0,91,,
