HRG,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,RoyalVictoria,South Tyrone,SouthWestAcute,Tyrone County,Ulster,N. Ireland Unit Cost
CA52A,160,"Major Ear Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,"2,185",.,.,.,"2,164","2,167"
CA52B,120,"Major Ear Procedures, 18 years and under","2,360",.,.,.,934,.,.,.,.,.,.,.,.,.,.,"2,220","1,991"
CA53A,120,"Intermediate Ear Procedures, 19 years and over","2,664","1,915",.,.,"3,110",.,.,.,.,.,.,"2,697",.,.,.,.,"2,489"
CA53A,160,"Intermediate Ear Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,395","1,395"
CA53B,120,"Intermediate Ear Procedures, 18 years and under","2,133","1,200",.,.,"1,356",.,.,.,.,.,.,.,.,.,.,.,"1,705"
CA54A,120,"Minor Ear Procedures, 19 years and over","1,753",.,.,.,"2,190",.,.,.,.,.,.,"1,321",.,.,.,.,"1,755"
CA54B,120,"Minor Ear Procedures, 18 years and under","1,753",.,.,.,"5,113",.,.,.,.,.,.,"7,453",.,.,.,.,"4,018"
CA55A,120,"Minimal Ear Procedures, 19 years and over",.,"1,708",.,.,.,.,.,.,.,.,.,"2,461",.,.,.,.,"2,085"
CA55B,120,"Minimal Ear Procedures, 18 years and under",.,"2,101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,101"
CA60A,120,"Tonsillectomy, 19 years and over","1,450","1,116",.,.,"1,166",.,.,.,.,.,.,"1,491",.,.,.,.,"1,347"
CA60A,160,"Tonsillectomy, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,169","1,169"
CA60B,120,"Tonsillectomy, 18 years and under","1,450","1,792",.,.,"1,084","1,377",.,.,.,.,.,"1,715",.,.,.,"1,345","1,484"
CA60B,420,"Tonsillectomy, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"2,101",.,.,.,.,"2,101"
CA61Z,120,Adenotonsillectomy,"1,450","1,700",.,.,"1,177","1,499",.,.,.,.,.,"1,925",.,.,.,"1,343","1,434"
CA61Z,420,Adenotonsillectomy,.,.,.,.,.,.,.,.,.,.,.,"2,210",.,.,.,.,"2,210"
CA61Z,421,Adenotonsillectomy,.,.,.,.,.,.,.,.,.,.,.,"2,005",.,.,.,.,"2,005"
CA62Z,120,Adenoidectomy,"1,450",866,.,.,"1,068","2,268",.,.,.,.,.,"2,260",.,.,.,"1,116","1,334"
CA63Z,120,Tracheostomy,.,.,.,.,.,.,.,.,.,.,.,"2,118",.,.,.,.,"2,118"
CA63Z,300,Tracheostomy,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,093","1,093"
CA64Z,120,Uvulopalatoplasty or Uvulopalatopharyngoplasty,"1,905",.,.,.,"1,519",.,.,.,.,.,.,"1,777",.,.,.,.,"1,764"
CA65Z,120,Frenotomy or Frenectomy,.,.,.,.,666,.,.,.,.,.,.,"3,002",.,.,.,.,"1,444"
CA66A,120,"Excision or Biopsy, of Lesion of Mouth, 19 years and over","1,450","1,071",.,.,"1,455",.,.,.,.,.,.,"1,528",.,.,.,.,"1,459"
CA66A,140,"Excision or Biopsy, of Lesion of Mouth, 19 years and over","1,652",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,264","1,458"
CA66A,160,"Excision or Biopsy, of Lesion of Mouth, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,244","1,244"
CA66B,120,"Excision or Biopsy, of Lesion of Mouth, 18 years and under","2,360",.,.,.,.,.,.,.,.,.,.,"1,508",.,.,.,.,"1,934"
CA66B,140,"Excision or Biopsy, of Lesion of Mouth, 18 years and under","1,968",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,129","1,632"
CA67A,120,"Complex Therapeutic Endoscopic, Larynx or Pharynx Procedures, with CC Score 2+","3,258",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,258"
CA67B,120,"Complex Therapeutic Endoscopic, Larynx or Pharynx Procedures, with CC Score 0-1","1,472","1,180",.,.,"1,536",.,.,.,.,.,.,"1,662",.,.,.,.,"1,561"
CA68A,120,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 19 years and over","1,450",.,.,.,"1,690",.,.,.,.,.,.,"1,703",.,.,.,.,"1,611"
CA68B,120,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 18 years and under","2,360",.,.,.,.,.,.,.,.,.,.,"1,881",.,.,.,.,"1,941"
CA69A,120,"Diagnostic, Laryngoscopy or Pharyngoscopy, 19 years and over","1,450","1,243",.,.,"1,205",.,.,.,.,.,.,"1,547",.,.,.,.,"1,456"
CA69A,300,"Diagnostic, Laryngoscopy or Pharyngoscopy, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,048","1,048"
CA69B,120,"Diagnostic, Laryngoscopy or Pharyngoscopy, between 2 and 18 years","1,450",.,.,.,"1,624",.,.,.,.,.,.,"1,549",.,.,.,.,"1,541"
CA69C,120,"Diagnostic, Laryngoscopy or Pharyngoscopy, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,"1,425",.,.,.,.,"1,425"
CA70Z,120,Diagnostic Examination of Upper Respiratory Tract and Upper Gastrointestinal Tract,"1,450",837,.,.,"1,154",.,.,.,.,.,.,"1,468",.,.,.,.,"1,384"
CA71A,120,"Diagnostic Nasopharyngoscopy, 19 years and over","1,450","2,420",.,.,.,.,.,.,.,.,.,"1,443",.,.,.,.,"1,514"
CA71B,120,"Diagnostic Nasopharyngoscopy, 18 years and under","1,450",.,.,.,"1,030",.,.,.,.,.,.,.,.,.,.,.,"1,380"
CA80A,120,"Very Complex, Mouth or Throat Procedures, with CC Score 5+","17,202",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"17,202"
CA80B,120,"Very Complex, Mouth or Throat Procedures, with CC Score 2-4","34,469",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"34,469"
CA80B,140,"Very Complex, Mouth or Throat Procedures, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,410","2,410"
CA80B,160,"Very Complex, Mouth or Throat Procedures, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"11,346","11,346"
CA80C,120,"Very Complex, Mouth or Throat Procedures, with CC Score 0-1","17,202",.,.,.,.,.,.,.,.,.,.,"15,219",.,.,.,.,"15,313"
CA80C,160,"Very Complex, Mouth or Throat Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"17,718","17,718"
CA81A,160,"Complex, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,337","2,337"
CA81B,120,"Complex, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"3,141",.,.,.,.,"3,141"
CA81B,160,"Complex, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"9,778",.,.,.,"1,862","5,820"
CA81C,160,"Complex, Mouth or Throat Procedures, between 2 and 18 years",.,.,.,.,.,.,.,.,.,.,.,"4,663",.,.,.,"2,526","4,235"
CA81D,160,"Complex, Mouth or Throat Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,"5,514",.,.,.,.,"5,514"
CA82A,140,"Very Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+","2,446",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,532","2,717"
CA82A,160,"Very Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,491","4,491"
CA82B,120,"Very Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1","1,450",.,.,.,.,.,.,.,.,.,.,"2,075",.,.,.,.,"1,919"
CA82B,160,"Very Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,174","2,174"
CA82C,120,"Very Major, Mouth or Throat Procedures, between 2 and 18 years",.,.,.,.,.,.,.,.,.,.,.,"7,028",.,.,.,.,"7,028"
CA82C,160,"Very Major, Mouth or Throat Procedures, between 2 and 18 years",.,.,.,.,.,.,.,.,.,.,.,"3,435",.,.,.,.,"3,435"
CA82D,160,"Very Major, Mouth or Throat Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,"4,150",.,.,.,.,"4,150"
CA83A,120,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+","4,012",.,.,.,"1,873",.,.,.,.,.,.,"1,532",.,.,.,.,"3,088"
CA83A,160,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,835","2,835"
CA83B,120,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1","5,781","1,501",.,.,"2,287",.,.,.,.,.,.,"2,597",.,.,.,.,"2,651"
CA83B,140,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1","5,474",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,961","4,303"
CA83B,160,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"1,223",.,.,.,"2,168","1,853"
CA83C,120,"Major, Mouth or Throat Procedures, 18 years and under","5,616",847,.,.,"1,059","1,043",.,.,.,.,.,"4,987",.,.,.,"1,343","3,154"
CA83C,140,"Major, Mouth or Throat Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,114","2,114"
CA83C,142,"Major, Mouth or Throat Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"1,680",.,.,.,.,"1,680"
CA84A,120,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 2+","2,111",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,111"
CA84A,140,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 2+","2,040",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,975","3,330"
CA84A,160,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,265","2,265"
CA84B,120,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1","1,990",.,.,.,"1,356",.,.,.,.,.,.,"1,355",.,.,.,.,"1,593"
CA84B,140,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1","1,697",.,.,.,.,.,.,.,.,.,.,"1,124",.,.,.,"1,713","1,633"
CA84B,160,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,119","2,119"
CA84C,120,"Intermediate, Mouth or Throat Procedures, 18 years and under","1,450",.,.,.,.,.,.,.,.,.,.,"2,068",.,.,.,.,"1,656"
CA84C,171,"Intermediate, Mouth or Throat Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"4,369",.,.,.,.,"4,369"
CA85A,100,"Minor, Mouth or Throat Procedures, 19 years and over",.,.,"1,674",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,674"
CA85A,120,"Minor, Mouth or Throat Procedures, 19 years and over","2,241","1,103",.,.,"1,471","1,381",.,.,.,.,.,"1,556",.,.,.,.,"1,643"
CA85A,140,"Minor, Mouth or Throat Procedures, 19 years and over","4,119",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,811","3,657"
CA85A,160,"Minor, Mouth or Throat Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,551","1,551"
CA85B,120,"Minor, Mouth or Throat Procedures, between 2 and 18 years",.,.,.,.,"1,337",.,.,.,.,.,.,"2,493",.,.,.,.,"2,108"
CA85B,160,"Minor, Mouth or Throat Procedures, between 2 and 18 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,395","1,395"
CA85C,160,"Minor, Mouth or Throat Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,"4,010",.,.,.,.,"4,010"
CA86A,120,"Minimal, Mouth or Throat Procedures, 19 years and over","1,450",.,.,.,.,.,.,.,.,.,.,"1,465",.,.,.,.,"1,460"
CA86A,140,"Minimal, Mouth or Throat Procedures, 19 years and over","1,832",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,546","1,641"
CA86B,120,"Minimal, Mouth or Throat Procedures, between 2 and 18 years",.,.,.,.,857,.,.,.,.,.,.,.,.,.,.,.,857
CA86B,140,"Minimal, Mouth or Throat Procedures, between 2 and 18 years","1,426",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,508","1,459"
CA86B,160,"Minimal, Mouth or Throat Procedures, between 2 and 18 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,395","1,395"
CA86C,140,"Minimal, Mouth or Throat Procedures, 1 year and under","1,426",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,508","1,453"
CA90Z,140,Very Complex Maxillofacial Procedures,"14,298",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"14,298"
CA90Z,160,Very Complex Maxillofacial Procedures,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"12,893","12,893"
CA91A,140,Complex Maxillofacial Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,615","3,615"
CA91B,140,Complex Maxillofacial Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,294","3,294"
CA92A,140,Very Major Maxillofacial Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,012","3,012"
CA92A,160,Very Major Maxillofacial Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"8,152","8,152"
CA92A,340,Very Major Maxillofacial Procedures with CC Score 1+,.,.,"2,697",.,.,.,.,.,.,.,.,.,.,.,.,.,"2,697"
CA92B,120,Very Major Maxillofacial Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,"7,076",.,.,.,.,"7,076"
CA92B,140,Very Major Maxillofacial Procedures with CC Score 0,"4,928",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,692","4,813"
CA93A,120,"Major Maxillofacial Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,"7,301",.,.,.,.,"7,301"
CA93A,140,"Major Maxillofacial Procedures, 19 years and over, with CC Score 1+","1,832",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,737","3,563"
CA93A,160,"Major Maxillofacial Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,816","2,816"
CA93B,140,"Major Maxillofacial Procedures, 19 years and over, with CC Score 0","4,958",.,.,.,.,.,.,.,.,.,.,"1,411",.,.,.,"3,800","4,037"
CA93B,160,"Major Maxillofacial Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,280","3,280"
CA93C,140,"Major Maxillofacial Procedures, 18 years and under","2,238",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,119","2,767"
CA94Z,140,Intermediate Maxillofacial Procedures,"2,264",.,.,.,.,.,.,.,.,.,.,"1,808",.,.,.,"2,609","2,398"
CA94Z,160,Intermediate Maxillofacial Procedures,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,677","2,677"
CA95Z,140,Minor Maxillofacial Procedures,"2,296",.,.,.,.,.,.,.,.,.,.,"1,238",.,.,.,"1,805","1,942"
CA96Z,140,"Reduction or Fixation, of Jaw","3,283",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,059","2,758"
CA97Z,110,"Reduction or Fixation, of Cheekbone","4,115",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,115"
CA97Z,140,"Reduction or Fixation, of Cheekbone","4,119",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,297","3,363"
CA98Z,120,Reduction of Fracture of Nasal Bone,.,844,.,.,550,.,.,.,.,.,.,"1,121",.,.,.,.,957
CA98Z,140,Reduction of Fracture of Nasal Bone,"1,020",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,053","1,042"
CB01A,160,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 9+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"14,629","14,629"
CB01A,370,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 9+",.,.,"5,439",.,.,.,.,.,.,.,.,.,.,.,.,.,"5,439"
CB01B,120,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 5-8","20,693",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"20,693"
CB01B,160,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 5-8",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,733","2,733"
CB01C,100,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"4,706",.,.,.,.,"4,706"
CB01C,120,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0-4","4,807","1,864",.,.,"5,116",.,.,.,.,.,.,"4,631",.,.,.,.,"4,502"
CB01C,140,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"1,413",.,.,.,"3,043","2,499"
CB01C,160,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,167","2,167"
CB01C,370,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0-4",.,.,"9,304",.,.,.,.,.,.,.,.,.,.,.,.,.,"9,304"
CB01D,370,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 9+",.,.,"12,371",.,.,.,.,.,.,.,.,.,.,.,.,.,"12,371"
CB01E,120,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5-8","6,475",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"6,475"
CB01E,160,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5-8",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,941","2,941"
CB01E,361,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5-8",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,383,383
CB01E,370,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5-8",.,.,"6,513",.,.,.,.,.,.,.,.,.,.,.,.,.,"6,513"
CB01F,120,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0-4",540,.,.,.,.,.,.,.,.,.,.,"12,792",.,.,.,.,"9,729"
CB01F,140,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,811","1,811"
CB01F,160,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,495","2,495"
CB01F,370,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0-4",.,.,"4,744",.,.,.,.,.,.,.,.,.,.,.,.,.,"4,744"
CB02A,120,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 5+","1,990",.,.,.,"2,728",.,.,.,.,.,.,.,.,.,.,.,"2,236"
CB02A,140,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,388","4,388"
CB02A,160,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,659","1,659"
CB02A,300,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 5+",.,"5,693",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,693"
CB02B,100,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4","1,768",.,"2,359",.,.,.,.,.,.,.,.,.,.,"1,786",.,"1,999","1,982"
CB02B,120,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4","2,234","1,901",.,.,"3,910",.,.,.,.,.,.,"4,238",.,.,.,.,"2,950"
CB02B,140,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4","4,818",.,.,.,.,.,.,.,.,.,.,"3,699",.,.,.,"2,740","2,943"
CB02B,160,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4",.,.,.,.,.,.,.,.,.,.,.,"3,081",.,.,.,"1,926","2,009"
CB02B,172,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4",.,.,354,.,.,.,.,.,.,.,.,"2,062",.,.,.,.,"1,777"
CB02B,300,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4",.,"4,066",.,.,.,603,.,.,.,.,.,.,.,.,.,.,"2,334"
CB02C,120,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0","1,908","2,324",.,.,"1,962",.,.,.,.,.,.,"2,260",.,.,.,.,"2,181"
CB02C,140,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0","2,161",.,.,.,.,.,.,.,.,.,.,"2,085",.,.,.,"2,226","2,149"
CB02C,160,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,413","2,413"
CB02D,300,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",438,.,.,.,.,.,.,.,.,.,.,.,.,.,.,917,757
CB02D,361,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",.,.,"1,772",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,772"
CB02D,430,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,283","3,283"
CB02E,120,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4","1,534",.,.,.,756,.,.,.,.,.,.,"1,008",.,.,.,.,"1,013"
CB02E,140,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,504","1,504"
CB02E,160,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,885","1,885"
CB02E,180,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,457,.,.,.,.,.,.,.,.,.,.,.,.,.,.,457
CB02E,300,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,407,980,.,980,.,.,.,.,.,.,.,.,.,.,.,636
CB02E,302,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,.,.,.,.,.,.,.,.,.,"1,468",.,.,.,.,"1,468"
CB02E,320,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,.,.,.,.,.,.,.,.,.,"2,020",.,.,.,"1,823","1,922"
CB02E,340,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,788,.,.,.,.,.,.,.,.,.,.,.,.,.,788
CB02E,400,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,.,.,.,.,.,.,.,.,.,"2,451",.,.,.,.,"2,451"
CB02F,100,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0",457,452,.,.,.,.,.,.,.,.,.,.,.,.,.,.,454
CB02F,101,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0",.,.,668,.,.,.,.,.,.,.,.,.,.,.,.,.,668
CB02F,120,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0",674,.,.,.,567,.,.,.,.,.,.,716,.,.,.,.,698
CB02F,140,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0",614,.,.,.,.,.,.,.,.,.,.,"1,019",.,.,.,798,774
CD01A,140,"Major Dental Procedures, 19 years and over","1,832",.,.,.,.,.,.,.,.,.,.,"1,319",.,.,.,"1,430","1,441"
CD02A,120,"Intermediate Dental Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,"1,532",.,.,.,.,"1,532"
CD02A,140,"Intermediate Dental Procedures, 19 years and over","2,238",.,.,.,.,.,.,.,.,.,.,"1,340",.,.,.,"1,508","1,717"
CD02B,142,"Intermediate Dental Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"2,074",.,.,.,.,"2,074"
CD03A,140,"Minor Dental Procedures, 19 years and over","1,832",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,832"
CD04A,140,"Major Surgical Removal of Tooth, 19 years and over","1,920",.,.,.,.,.,.,.,.,.,.,"1,483",.,.,.,"1,491","1,678"
CD04B,140,"Major Surgical Removal of Tooth, 18 years and under","1,909",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,909"
CD05A,140,"Surgical Removal of Tooth, 19 years and over","1,832",.,.,.,.,.,.,.,.,.,.,856,.,.,.,"1,306","1,406"
CD05B,140,"Surgical Removal of Tooth, 18 years and under","1,913",.,.,.,.,.,.,.,.,.,.,"1,132",.,.,.,"1,220","1,443"
CD06A,140,"Extraction of Multiple Teeth, 19 years and over","2,644",.,.,.,.,.,.,.,.,.,.,"1,622",.,.,.,"1,625","1,728"
CD06A,160,"Extraction of Multiple Teeth, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,583","1,583"
CD06B,120,"Extraction of Multiple Teeth, 18 years and under",.,"2,800",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,800"
CD06B,140,"Extraction of Multiple Teeth, 18 years and under","1,832",.,.,.,.,.,.,.,.,.,.,"1,373",.,.,.,"1,356","1,575"
CD06B,142,"Extraction of Multiple Teeth, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"1,202",.,.,.,.,"1,202"
CD06B,171,"Extraction of Multiple Teeth, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"3,206",.,.,.,.,"3,206"
CD06B,823,"Extraction of Multiple Teeth, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"2,152",.,.,.,.,"2,152"
CD07A,140,"Minor Extraction of Tooth, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,"1,229",.,.,.,.,"1,229"
