HRG Code,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal ,South Tyrone,South West Acute,Tyrone County,Ulster,N. Ireland Total Cost
CB02B,180,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4",.,.,.,.,"2,001",.,.,.,.,.,.,.,.,.,.,.,"2,001"
CB02B,300,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4","3,121","4,811",.,936,.,.,.,.,"2,408",.,"4,104","1,863",.,.,.,"3,261","20,505"
CB02B,301,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4",.,"2,869",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,869"
CB02B,303,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4",.,.,"2,418",.,.,.,.,.,.,.,.,.,.,.,.,.,"2,418"
CB02B,823,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4",.,.,.,.,"4,833",.,.,.,.,.,.,.,.,.,.,.,"4,833"
CB02C,100,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0","1,857","4,329",.,.,.,.,.,.,.,.,.,"1,468",.,"5,343",.,.,"12,997"
CB02C,101,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0",.,.,.,.,"1,271",.,.,.,.,.,.,.,.,.,.,.,"1,271"
CB02C,110,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"2,017",.,.,.,.,"2,017"
CB02C,120,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0","71,494","23,213",.,.,"43,736",.,.,.,.,.,.,"92,014",.,.,.,.,"230,458"
CB02C,140,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0","51,497",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"151,707","203,204"
CB02C,160,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"13,677","13,677"
CB02C,180,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"1,775",.,.,.,.,"1,775"
CB02C,300,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0",892,.,.,.,"1,504",.,.,.,"1,298",.,.,.,.,.,.,.,"3,694"
CB02D,100,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+","20,974","6,220",.,"9,880","21,072","15,559",.,.,.,.,.,"16,364",.,"36,085",.,"8,856","135,010"
CB02D,120,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+","10,959","2,786",.,.,"19,982",.,.,.,.,.,.,"7,818",.,.,.,.,"41,544"
CB02D,140,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+","3,506",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,766","7,272"
CB02D,180,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",.,"1,469",.,.,"6,003",.,.,.,.,.,.,485,.,.,.,.,"7,957"
CB02D,300,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+","30,320","74,567","6,995","13,573","47,363","11,332","11,329",.,"15,163",.,"15,065","48,859",.,"25,188",.,"99,432","399,186"
CB02D,301,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",.,"9,707",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"9,707"
CB02D,302,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,"1,236",.,.,.,.,"1,236"
CB02D,303,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+","1,693","1,597",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,291"
CB02D,320,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+","5,802","2,353",.,"2,845","2,577","1,674",.,.,.,.,.,"5,861",.,"4,042",.,.,"25,154"
CB02D,340,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",.,"8,081",.,.,.,.,.,.,.,.,617,"7,766",.,.,.,.,"16,464"
CB02D,430,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+","19,998","19,641","31,940",.,"30,474","2,454",.,.,"3,994","11,330","9,172","17,898","15,843","15,752",.,"84,368","262,865"
CB02D,823,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",.,.,.,.,"1,381",.,.,.,.,.,.,.,.,.,.,.,"1,381"
CB02E,100,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4","29,007","18,217",.,"22,505","26,339","19,449",.,.,.,.,.,"11,690",.,"26,900",.,"7,528","161,634"
CB02E,110,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4","1,576",.,.,.,.,.,.,.,.,.,.,"3,701",.,.,.,.,"5,276"
CB02E,120,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4","10,959","25,070",.,.,"43,633",.,.,.,.,.,.,"43,095",.,.,.,.,"122,757"
CB02E,130,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,.,.,.,.,.,.,.,.,.,"1,346",.,.,.,.,"1,346"
CB02E,140,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4","3,506",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"38,914","42,421"
CB02E,150,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,.,.,.,.,.,.,.,.,.,"6,453",.,.,.,.,"6,453"
CB02E,160,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,940","1,940"
CB02E,172,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,.,.,.,.,.,.,.,.,.,"2,832",.,.,.,.,"2,832"
CB02E,180,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,"7,713",.,.,"9,004",.,.,.,.,.,"1,031","3,817",.,.,.,.,"21,565"
CB02E,300,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4","34,779","49,311","3,180","29,954","38,341","13,947","11,844",.,"8,506",.,"13,636","53,090",.,"21,589",.,"61,554","339,732"
CB02E,301,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,"2,614",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,614"
CB02E,302,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,.,.,.,.,.,.,.,.,"1,198","2,793",.,.,.,.,"3,991"
CB02E,303,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4","1,693",.,"12,091",.,.,.,.,.,.,.,.,.,.,.,.,.,"13,784"
CB02E,320,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,"2,745",.,"1,897","3,436",.,.,.,.,.,"3,431","1,989",.,"4,850",.,"1,830","20,177"
CB02E,340,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,"7,729",.,.,.,.,.,.,.,.,.,"3,197",.,.,.,.,"10,927"
CB02E,350,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,.,.,.,.,.,.,.,.,.,"2,681",.,.,.,.,"2,681"
CB02E,361,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4","2,732",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,732"
CB02E,370,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,"4,732",.,.,.,.,.,.,.,.,.,.,.,.,.,"4,732"
CB02E,430,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4","9,285","14,128","4,846",.,"13,920",.,.,.,"1,331","3,777","3,908","8,373","6,161","3,282",.,"20,248","89,259"
CB02E,502,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,.,.,"3,187",.,.,.,.,.,.,.,.,.,.,.,"3,187"
CB02E,800,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,"6,446",.,.,.,.,.,.,.,.,.,.,.,.,.,"6,446"
CB02E,823,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,.,.,"8,286",.,.,.,.,.,.,.,.,.,.,.,"8,286"
CB02F,100,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0","5,801","6,665",.,"2,196","3,951","3,501",.,.,.,.,.,444,.,"5,249",.,"1,771","29,577"
CB02F,120,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0","19,034","15,321",.,.,"26,506",.,.,.,.,.,.,"67,345",.,.,.,.,"128,206"
CB02F,130,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,495,.,.,.,.,495
CB02F,140,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0","3,506",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"6,904","10,411"
CB02F,150,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"1,128",.,.,.,.,"1,128"
CB02F,160,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,970,970
CB02F,180,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0",.,"1,102",.,.,"4,002",.,.,.,.,.,669,"8,200",.,.,.,.,"13,973"
CB02F,300,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0","2,229","6,815",861,"1,404","3,759","1,162","2,575",.,"1,110",.,"1,402","8,567",.,"2,570",.,"3,278","35,733"
CB02F,302,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0",.,.,.,.,.,.,.,.,.,.,345,.,.,.,.,.,345
CB02F,340,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0",.,703,519,.,.,.,.,.,.,.,.,456,.,.,.,.,"1,678"
CB02F,430,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0",.,.,.,.,376,.,.,.,.,378,.,535,.,656,.,307,"2,252"
CB02F,501,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0",.,"4,629",.,.,.,.,.,.,.,.,.,.,.,846,.,.,"5,475"
CB02F,502,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0",474,.,547,.,797,.,.,.,.,.,.,.,.,.,.,595,"2,413"
CD04A,140,"Major Surgical Removal of Tooth, 19 years and over","3,627",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,935","7,561"
DZ02J,170,"Complex Thoracic Procedures, 19 years and over, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"10,230",.,.,.,.,"10,230"
DZ02J,172,"Complex Thoracic Procedures, 19 years and over, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"7,110",.,.,.,.,"7,110"
DZ02J,320,"Complex Thoracic Procedures, 19 years and over, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"6,690",.,.,.,.,"6,690"
DZ02K,170,"Complex Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"26,604",.,.,.,.,"26,604"
DZ02K,172,"Complex Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"137,165",.,.,.,.,"137,165"
DZ02L,172,"Complex Thoracic Procedures, between 2 and 18 years",.,.,.,.,.,.,.,.,.,.,.,"53,664",.,.,.,.,"53,664"
DZ02M,420,"Complex Thoracic Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,"15,912",.,.,.,.,"15,912"
DZ09J,300,"Pulmonary Embolus with Interventions, with CC Score 9+",.,"2,405",.,.,.,.,"23,053",.,.,.,.,.,.,.,.,"7,031","32,489"
DZ09J,340,"Pulmonary Embolus with Interventions, with CC Score 9+",.,"5,973",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,973"
DZ09J,350,"Pulmonary Embolus with Interventions, with CC Score 9+",.,.,.,.,.,.,.,.,.,.,.,"33,281",.,.,.,.,"33,281"
DZ09J,430,"Pulmonary Embolus with Interventions, with CC Score 9+",.,"17,064",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"17,064"
DZ09K,300,"Pulmonary Embolus with Interventions, with CC Score 0-8",.,"14,432",.,"6,084","3,007","4,068",.,.,.,.,.,.,.,.,.,"19,717","47,309"
DZ09K,340,"Pulmonary Embolus with Interventions, with CC Score 0-8",.,"26,209","3,847",.,.,.,.,.,.,.,.,"6,655",.,.,.,.,"36,711"
DZ09K,430,"Pulmonary Embolus with Interventions, with CC Score 0-8",.,.,.,.,"9,406",.,.,.,.,.,.,.,.,.,.,.,"9,406"
DZ09K,800,"Pulmonary Embolus with Interventions, with CC Score 0-8",.,.,"17,742",.,.,.,.,.,.,.,.,.,.,.,.,.,"17,742"
DZ09L,300,"Pulmonary Embolus without Interventions, with CC Score 12+",.,.,.,.,"17,667","2,615","6,695",.,.,.,"2,375",.,.,.,.,"2,550","31,902"
DZ09L,320,"Pulmonary Embolus without Interventions, with CC Score 12+",.,.,.,.,"8,589",.,.,.,.,.,.,.,.,.,.,.,"8,589"
DZ09L,340,"Pulmonary Embolus without Interventions, with CC Score 12+",.,"8,081",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"8,081"
DZ09L,430,"Pulmonary Embolus without Interventions, with CC Score 12+",.,.,.,.,"2,257",.,.,.,.,.,.,.,.,.,.,"2,148","4,405"
DZ09M,100,"Pulmonary Embolus without Interventions, with CC Score 9-11",.,.,"5,708",.,.,.,.,.,.,.,.,.,.,.,.,.,"5,708"
DZ09M,101,"Pulmonary Embolus without Interventions, with CC Score 9-11",.,.,"1,067",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,067"
DZ09M,300,"Pulmonary Embolus without Interventions, with CC Score 9-11","6,688","2,004","3,612","23,401","23,306","10,460",.,.,"7,397",.,"1,916","4,337",.,.,.,"7,649","90,770"
DZ09M,302,"Pulmonary Embolus without Interventions, with CC Score 9-11",.,.,.,.,.,.,.,.,.,.,.,"1,964",.,.,.,.,"1,964"
DZ09M,320,"Pulmonary Embolus without Interventions, with CC Score 9-11",.,.,"2,497",.,"6,442",.,.,.,"6,485",.,"10,293",.,.,.,.,.,"25,717"
DZ09M,340,"Pulmonary Embolus without Interventions, with CC Score 9-11",.,"7,729",.,.,.,.,.,.,.,.,"2,649","1,216",.,.,.,.,"11,594"
DZ09M,370,"Pulmonary Embolus without Interventions, with CC Score 9-11",.,.,"10,050",.,.,.,.,.,.,.,.,.,.,.,.,.,"10,050"
DZ09M,430,"Pulmonary Embolus without Interventions, with CC Score 9-11","6,071",.,"4,163",.,.,.,.,.,.,.,.,.,"10,122",.,.,.,"20,356"
DZ09N,100,"Pulmonary Embolus without Interventions, with CC Score 6-8",893,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,893
DZ09N,101,"Pulmonary Embolus without Interventions, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,161","1,161"
DZ09N,300,"Pulmonary Embolus without Interventions, with CC Score 6-8","8,918","16,838","4,224","25,267","20,298","4,649","2,060",.,"15,903",.,"8,960","7,894",.,"8,739",.,"25,495","149,245"
DZ09N,301,"Pulmonary Embolus without Interventions, with CC Score 6-8",.,"2,240",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,240"
DZ09N,302,"Pulmonary Embolus without Interventions, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,"5,848",.,.,.,.,.,"5,848"
DZ09N,320,"Pulmonary Embolus without Interventions, with CC Score 6-8",.,784,"6,377","5,690","13,313","3,906",.,.,.,.,"16,368",.,.,.,.,.,"46,439"
DZ09N,340,"Pulmonary Embolus without Interventions, with CC Score 6-8",.,"19,675","6,601",.,.,.,.,.,.,.,"19,934","18,965",.,.,.,.,"65,174"
DZ09N,370,"Pulmonary Embolus without Interventions, with CC Score 6-8",.,.,"3,825",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,825"
DZ09N,400,"Pulmonary Embolus without Interventions, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,"7,401",.,.,.,.,"7,401"
DZ09N,410,"Pulmonary Embolus without Interventions, with CC Score 6-8",.,.,.,.,.,.,.,"4,295",.,.,.,.,.,.,.,.,"4,295"
DZ09N,430,"Pulmonary Embolus without Interventions, with CC Score 6-8","13,213","4,479","10,102",.,"16,178",.,.,.,.,"4,532",.,.,"6,161",.,.,.,"54,666"
DZ09P,100,"Pulmonary Embolus without Interventions, with CC Score 3-5",.,"12,441",.,"3,842",.,"1,556",.,.,.,.,.,"1,088",.,.,.,.,"18,927"
DZ09P,300,"Pulmonary Embolus without Interventions, with CC Score 3-5","51,723","24,856","5,334","19,189","33,831","26,151","16,479",.,"9,986",.,"1,863","8,946",.,"22,103",.,"90,155","310,615"
DZ09P,301,"Pulmonary Embolus without Interventions, with CC Score 3-5",.,"5,227",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,227"
DZ09P,303,"Pulmonary Embolus without Interventions, with CC Score 3-5",.,"2,396","2,147",.,.,.,.,.,.,.,.,.,.,.,.,.,"4,543"
DZ09P,320,"Pulmonary Embolus without Interventions, with CC Score 3-5","10,444","32,546","11,774","9,009",.,"8,929","10,189",.,.,.,"1,862","9,670",.,"4,850",.,"9,607","108,880"
DZ09P,340,"Pulmonary Embolus without Interventions, with CC Score 3-5",.,"37,242","16,954",.,.,.,.,.,.,.,"18,688","63,891",.,.,.,.,"136,775"
DZ09P,361,"Pulmonary Embolus without Interventions, with CC Score 3-5",.,"4,726","7,792",.,.,.,.,.,.,.,.,.,.,.,.,.,"12,517"
DZ09P,370,"Pulmonary Embolus without Interventions, with CC Score 3-5",.,.,"15,327",.,.,.,.,.,.,.,.,.,.,.,.,.,"15,327"
DZ09P,430,"Pulmonary Embolus without Interventions, with CC Score 3-5","9,285",.,"8,198",.,"15,049",.,.,.,.,.,647,"3,432",.,.,.,"2,148","38,759"
DZ09P,800,"Pulmonary Embolus without Interventions, with CC Score 3-5",.,.,"3,768",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,768"
DZ09Q,100,"Pulmonary Embolus without Interventions, with CC Score 0-2","1,339","2,666",.,.,"3,951","6,613",.,.,.,.,.,836,.,"3,937",.,"5,314","24,654"
DZ09Q,120,"Pulmonary Embolus without Interventions, with CC Score 0-2","3,461",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,461"
DZ09Q,180,"Pulmonary Embolus without Interventions, with CC Score 0-2",.,"2,571",.,.,.,.,.,.,.,.,.,485,.,.,.,.,"3,056"
DZ09Q,300,"Pulmonary Embolus without Interventions, with CC Score 0-2","18,727","8,820","5,323","29,486","30,448","12,494","6,180",.,"4,808",.,"5,639","12,531",.,"14,393",.,"44,799","193,647"
DZ09Q,302,"Pulmonary Embolus without Interventions, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,960,"2,274",.,.,.,.,"3,233"
DZ09Q,303,"Pulmonary Embolus without Interventions, with CC Score 0-2",.,.,"3,149",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,149"
DZ09Q,320,"Pulmonary Embolus without Interventions, with CC Score 0-2",.,"10,195","2,137","5,690","5,154","9,487",.,.,.,.,.,"4,587",.,.,.,"4,117","41,366"
DZ09Q,340,"Pulmonary Embolus without Interventions, with CC Score 0-2",.,"18,621","3,960",.,.,.,.,.,.,.,"10,496","25,072",.,.,.,.,"58,149"
DZ09Q,430,"Pulmonary Embolus without Interventions, with CC Score 0-2",714,"2,067",.,.,"3,010",.,.,.,.,.,.,"2,469",.,.,.,"1,841","10,101"
DZ09Q,502,"Pulmonary Embolus without Interventions, with CC Score 0-2",.,.,.,.,"3,984",.,.,.,.,.,.,.,.,.,.,"3,568","7,551"
DZ09Q,800,"Pulmonary Embolus without Interventions, with CC Score 0-2",.,.,"7,092",.,.,.,.,.,.,.,.,.,.,.,.,.,"7,092"
DZ09Q,823,"Pulmonary Embolus without Interventions, with CC Score 0-2",.,.,.,.,"3,452",.,.,.,.,.,.,.,.,.,.,.,"3,452"
DZ10H,300,"Lung Abscess-Empyema with Interventions, with CC Score 9+",.,.,.,.,"24,433",.,.,.,.,.,.,.,.,.,.,.,"24,433"
DZ10J,100,"Lung Abscess-Empyema with Interventions, with CC Score 5-8",.,.,.,.,.,"8,369",.,.,.,.,.,.,.,.,.,.,"8,369"
DZ10J,172,"Lung Abscess-Empyema with Interventions, with CC Score 5-8",.,.,.,.,.,.,.,.,.,.,.,"5,267",.,.,.,.,"5,267"
DZ10J,300,"Lung Abscess-Empyema with Interventions, with CC Score 5-8","4,459",.,.,.,"4,511",.,.,.,.,.,.,.,.,.,.,"5,732","14,701"
DZ10J,340,"Lung Abscess-Empyema with Interventions, with CC Score 5-8",.,.,.,.,.,.,.,.,.,.,"5,592","17,523",.,.,.,.,"23,115"
DZ10K,300,"Lung Abscess-Empyema with Interventions, with CC Score 0-4",.,.,.,.,"4,887","5,811",.,.,"5,307",.,.,.,.,.,.,"19,539","35,544"
DZ10K,340,"Lung Abscess-Empyema with Interventions, with CC Score 0-4",.,.,.,.,"3,329",.,.,.,.,.,.,"8,163",.,.,.,.,"11,492"
DZ10L,300,"Lung Abscess-Empyema without Interventions, with CC Score 9+",.,.,.,.,"14,284",.,"6,695",.,.,.,.,.,.,.,.,.,"20,979"
DZ10L,340,"Lung Abscess-Empyema without Interventions, with CC Score 9+",.,"22,134",.,.,.,.,.,.,.,.,.,"5,033",.,.,.,.,"27,167"
DZ10M,100,"Lung Abscess-Empyema without Interventions, with CC Score 5-8",.,.,.,.,.,"1,167",.,.,.,.,.,.,.,.,.,.,"1,167"
DZ10M,300,"Lung Abscess-Empyema without Interventions, with CC Score 5-8","11,147",.,.,.,"1,128","3,196","8,239",.,.,.,.,"7,715",.,.,.,"28,409","59,835"
DZ10M,340,"Lung Abscess-Empyema without Interventions, with CC Score 5-8",.,.,.,.,.,.,.,.,.,.,.,"8,463",.,.,.,.,"8,463"
DZ10M,800,"Lung Abscess-Empyema without Interventions, with CC Score 5-8",.,.,"6,698",.,.,.,.,.,.,.,.,.,.,.,.,.,"6,698"
DZ10N,172,"Lung Abscess-Empyema without Interventions, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"16,325",.,.,.,.,"16,325"
DZ10N,300,"Lung Abscess-Empyema without Interventions, with CC Score 0-4",.,.,.,.,"13,156","6,683","2,060",.,.,.,"5,437",697,.,"5,140",.,"8,013","41,186"
DZ10N,302,"Lung Abscess-Empyema without Interventions, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,613,.,.,.,.,.,613
DZ10N,340,"Lung Abscess-Empyema without Interventions, with CC Score 0-4",.,"6,324",.,.,"2,497",.,.,.,.,.,"5,637",.,.,.,.,.,"14,458"
DZ10N,370,"Lung Abscess-Empyema without Interventions, with CC Score 0-4",.,.,"2,788",.,.,.,.,.,.,.,.,.,.,.,.,.,"2,788"
DZ10N,800,"Lung Abscess-Empyema without Interventions, with CC Score 0-4",.,.,"6,291",.,.,.,.,.,.,.,.,.,.,.,.,.,"6,291"
DZ11K,300,"Lobar, Atypical or Viral Pneumonia, with Multiple Interventions, with CC Score 14+",.,.,.,"5,616",.,.,"8,694",.,.,.,.,.,.,.,.,.,"14,310"
DZ11K,320,"Lobar, Atypical or Viral Pneumonia, with Multiple Interventions, with CC Score 14+",.,.,.,.,"9,878",.,.,.,.,.,.,.,.,.,.,.,"9,878"
DZ11K,340,"Lobar, Atypical or Viral Pneumonia, with Multiple Interventions, with CC Score 14+",.,"13,351",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"13,351"
DZ11L,100,"Lobar, Atypical or Viral Pneumonia, with Multiple Interventions, with CC Score 9-13",.,"24,364",.,.,"4,319",.,.,.,.,.,.,.,.,.,.,.,"28,683"
DZ11L,300,"Lobar, Atypical or Viral Pneumonia, with Multiple Interventions, with CC Score 9-13",.,"8,419",.,"8,893",.,"3,196",.,.,.,.,.,"7,539",.,.,.,"8,962","37,009"
DZ11L,320,"Lobar, Atypical or Viral Pneumonia, with Multiple Interventions, with CC Score 9-13",.,"3,921",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,921"
DZ11L,340,"Lobar, Atypical or Viral Pneumonia, with Multiple Interventions, with CC Score 9-13",.,"19,323",.,.,.,.,.,.,.,.,.,"14,254",.,.,.,.,"33,577"
DZ11L,410,"Lobar, Atypical or Viral Pneumonia, with Multiple Interventions, with CC Score 9-13",.,.,.,.,.,.,.,"12,362",.,.,.,.,.,.,.,.,"12,362"
DZ11M,300,"Lobar, Atypical or Viral Pneumonia, with Multiple Interventions, with CC Score 0-8",.,"4,410","3,161","12,169","4,135","5,811",.,.,"16,035",.,.,"26,753",.,"12,337",.,"1,931","86,741"
DZ11M,302,"Lobar, Atypical or Viral Pneumonia, with Multiple Interventions, with CC Score 0-8",.,.,.,.,.,.,.,.,.,.,"13,723",.,.,.,.,.,"13,723"
DZ11M,340,"Lobar, Atypical or Viral Pneumonia, with Multiple Interventions, with CC Score 0-8",.,"11,243","6,667",.,.,.,.,.,.,.,.,.,.,.,.,.,"17,910"
DZ11M,360,"Lobar, Atypical or Viral Pneumonia, with Multiple Interventions, with CC Score 0-8",.,.,.,.,.,.,.,.,.,.,.,"5,459",.,.,.,.,"5,459"
DZ11M,410,"Lobar, Atypical or Viral Pneumonia, with Multiple Interventions, with CC Score 0-8",.,.,.,.,.,.,.,"8,601",.,.,.,.,.,.,.,.,"8,601"
DZ11N,300,"Lobar, Atypical or Viral Pneumonia, with Single Intervention, with CC Score 13+","2,229","22,049","26,363","17,785","39,093",.,"10,996",.,"8,136",.,.,.,.,.,.,"6,192","132,844"
