HRG,Spec,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal Victoria,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,N. Ireland Unit Cost
CD06B,823,"Extraction of Multiple Teeth, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,913,.,.,.,.,.,913
CD07A,140,"Minor Extraction of Tooth, 19 years and over",529,.,.,.,.,"1,494",.,901,.,.,.,.,806,.,.,.,"1,224",.,715
CD07B,140,"Minor Extraction of Tooth, 18 years and under",529,.,.,.,.,788,.,901,.,.,.,.,887,.,.,.,"1,224",.,835
CD07B,142,"Minor Extraction of Tooth, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,566,.,.,.,.,.,566
CD08Z,140,Minor Dental Biopsy,421,.,.,.,.,.,.,"1,076",.,.,.,.,.,.,.,.,.,.,456
CD09A,140,"Minor Dental Restoration Procedures, 19 years and over",529,.,.,.,.,"1,675",.,.,.,.,.,.,"1,087",.,.,.,.,.,"1,077"
CD09B,140,"Minor Dental Restoration Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,275",.,.,.,.,.,"1,275"
CD09B,142,"Minor Dental Restoration Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,226",.,.,.,.,.,"1,226"
CD11A,140,"Dental Fitting or Insertion Procedures, 19 years and over",637,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,637
CD11B,140,"Dental Fitting or Insertion Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,330",.,"1,330"
CD12A,140,"Adjustment of Dental Device, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,865,.,.,.,.,.,865
DZ02K,340,"Complex Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,.,.,751,.,.,.,.,.,.,.,.,.,.,.,.,751
DZ06A,100,"Minor Thoracic Procedures, 19 years and over",437,791,.,"1,701",.,"1,157",757,.,.,.,832,.,.,.,.,791,"1,145",.,854
DZ06A,101,"Minor Thoracic Procedures, 19 years and over",.,.,.,.,.,729,.,.,.,.,.,.,.,.,.,.,.,.,729
DZ06A,120,"Minor Thoracic Procedures, 19 years and over",970,"1,350",.,.,.,713,543,.,.,.,.,.,795,.,.,.,.,.,809
DZ06A,172,"Minor Thoracic Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,623,.,.,.,.,.,623
DZ06A,300,"Minor Thoracic Procedures, 19 years and over",.,.,.,"1,146",340,614,376,.,.,548,524,.,298,.,"1,046",.,708,.,688
DZ06A,340,"Minor Thoracic Procedures, 19 years and over",.,.,.,809,.,"1,117",705,.,.,.,.,.,656,.,.,.,.,.,875
DZ06A,361,"Minor Thoracic Procedures, 19 years and over",.,.,.,857,.,.,.,.,.,.,.,.,.,.,.,.,.,.,857
DZ06A,370,"Minor Thoracic Procedures, 19 years and over",.,.,.,"2,068",.,"1,009",.,.,.,.,.,.,.,.,.,.,.,.,"1,538"
DZ06A,410,"Minor Thoracic Procedures, 19 years and over",.,.,.,.,.,229,.,.,.,.,.,.,.,.,.,.,.,.,229
DZ06A,502,"Minor Thoracic Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,441",.,.,.,"1,441"
DZ06A,800,"Minor Thoracic Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,636,.,636
DZ07A,120,"Fibreoptic Bronchoscopy, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"1,109",.,.,.,.,.,"1,109"
DZ07A,300,"Fibreoptic Bronchoscopy, 19 years and over",368,309,.,557,340,614,.,.,.,.,524,.,457,.,"1,026",.,766,.,534
DZ07A,301,"Fibreoptic Bronchoscopy, 19 years and over",.,"1,460",.,.,.,243,.,.,.,.,.,.,.,.,.,.,.,.,852
DZ07A,340,"Fibreoptic Bronchoscopy, 19 years and over",.,.,.,440,.,946,590,.,.,.,.,.,684,.,.,.,.,.,663
DZ07A,800,"Fibreoptic Bronchoscopy, 19 years and over",.,.,.,.,.,"2,350",.,.,.,.,.,.,.,.,.,.,.,.,"2,350"
DZ07B,120,"Fibreoptic Bronchoscopy, 18 years and under",.,.,.,.,.,780,.,.,.,.,.,.,812,.,.,.,"1,227",.,905
DZ07B,300,"Fibreoptic Bronchoscopy, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,356,.,.,.,696,.,469
DZ07B,420,"Fibreoptic Bronchoscopy, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,709",.,.,.,.,.,"1,709"
DZ08Z,120,Rigid Bronchoscopy,.,.,.,.,.,.,.,.,.,.,.,.,836,.,.,.,.,.,836
DZ08Z,171,Rigid Bronchoscopy,.,.,.,.,.,.,.,.,.,.,.,.,"2,969",.,.,.,.,.,"2,969"
DZ08Z,340,Rigid Bronchoscopy,.,.,.,569,.,.,.,.,.,.,.,.,.,.,.,.,.,.,569
DZ08Z,810,Rigid Bronchoscopy,.,.,.,.,.,.,.,.,.,.,.,.,700,.,.,.,.,.,700
DZ09G,370,Pulmonary Embolus with CC Score 3-5,.,233,.,116,.,.,.,.,.,.,.,.,.,.,.,.,.,.,175
DZ09H,300,Pulmonary Embolus with CC Score 0-2,.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,376
DZ09H,370,Pulmonary Embolus with CC Score 0-2,.,.,.,116,.,.,.,.,.,.,.,.,.,.,.,.,.,.,116
DZ09H,800,Pulmonary Embolus with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,636,.,636
DZ10G,300,Lung Abscess-Empyema with CC Score 0-2,.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,376
DZ11G,300,"Lobar, Atypical or Viral Pneumonia, with CC Score 6-8",.,309,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,309
DZ11H,300,"Lobar, Atypical or Viral Pneumonia, with CC Score 3-5",329,309,.,.,.,.,.,.,.,552,.,.,.,.,.,.,.,.,397
DZ11H,370,"Lobar, Atypical or Viral Pneumonia, with CC Score 3-5",.,.,.,116,.,.,.,.,.,.,.,.,.,.,.,.,.,.,116
DZ11J,300,"Lobar, Atypical or Viral Pneumonia, with CC Score 0-2",.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,376
DZ11J,340,"Lobar, Atypical or Viral Pneumonia, with CC Score 0-2",.,.,.,236,.,.,.,.,.,.,.,.,.,.,.,.,.,.,236
DZ12C,300,Bronchiectasis with CC Score 8+,.,309,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,309
DZ12D,300,Bronchiectasis with CC Score 5-7,.,.,.,.,.,.,.,.,.,552,.,.,.,.,.,.,.,.,552
DZ12E,300,Bronchiectasis with CC Score 2-4,.,.,.,.,.,.,.,.,.,550,.,.,.,.,.,.,696,.,586
DZ12F,300,Bronchiectasis with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,267,.,267
DZ12F,340,Bronchiectasis with CC Score 0-1,.,.,.,236,.,.,.,.,.,.,.,.,.,.,.,.,.,.,236
DZ13B,303,Cystic Fibrosis with CC Score 0,.,.,.,251,.,.,.,.,.,.,.,.,.,.,.,.,.,.,251
DZ14E,340,"Pulmonary, Pleural or Other Tuberculosis, with CC Score 0-1",.,.,.,.,.,583,.,.,.,.,.,.,.,.,.,.,.,.,583
DZ15L,300,"Asthma without Intubation, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,"1,043",.,.,.,267,.,655
DZ16F,370,Pleural Effusion with CC Score 4-7,.,233,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,233
DZ16F,430,Pleural Effusion with CC Score 4-7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,619,.,619
DZ16F,800,Pleural Effusion with CC Score 4-7,335,.,.,.,.,"2,350",.,.,.,.,.,.,.,.,.,.,.,.,911
DZ16G,172,Pleural Effusion with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,412,.,.,.,.,.,412
DZ16G,300,Pleural Effusion with CC Score 0-3,.,.,.,182,.,614,.,.,.,.,.,.,.,.,.,.,267,.,319
DZ16G,340,Pleural Effusion with CC Score 0-3,.,.,.,.,.,583,.,.,.,.,.,.,.,.,.,.,.,.,583
DZ16G,370,Pleural Effusion with CC Score 0-3,.,.,.,129,.,.,.,.,.,.,.,.,.,.,.,.,.,.,129
DZ16G,800,Pleural Effusion with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,636,.,636
DZ17F,370,Respiratory Neoplasms with CC Score 8-10,.,233,.,122,.,.,.,.,.,.,.,.,.,.,.,.,.,.,129
DZ17G,370,Respiratory Neoplasms with CC Score 5-7,.,233,.,131,.,"1,009",.,.,.,.,.,.,.,.,.,.,.,.,250
DZ17G,800,Respiratory Neoplasms with CC Score 5-7,.,.,.,.,.,"2,350",.,.,.,.,.,.,.,.,.,.,636,.,"1,279"
DZ17H,300,Respiratory Neoplasms with CC Score 3-4,.,.,.,.,.,.,.,.,.,.,60,.,.,.,.,.,.,.,60
DZ17H,370,Respiratory Neoplasms with CC Score 3-4,.,233,.,125,.,"1,009",.,.,.,.,.,.,.,.,.,.,.,.,165
DZ17H,800,Respiratory Neoplasms with CC Score 3-4,335,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,636,.,554
DZ17H,810,Respiratory Neoplasms with CC Score 3-4,.,.,.,.,.,.,.,.,.,.,.,.,162,.,.,.,.,.,162
DZ17J,340,Respiratory Neoplasms with CC Score 1-2,.,.,.,.,.,583,.,.,.,.,.,.,.,.,.,.,.,.,583
DZ17J,370,Respiratory Neoplasms with CC Score 1-2,.,233,.,124,.,"1,009",.,.,.,.,.,.,.,.,.,.,.,.,210
DZ17J,800,Respiratory Neoplasms with CC Score 1-2,335,.,.,.,.,"2,350",.,.,.,.,.,.,.,.,.,.,636,.,"1,987"
DZ17K,340,Respiratory Neoplasms with CC Score 0,.,.,.,236,.,.,202,.,.,.,.,.,.,.,.,.,.,.,228
DZ17K,370,Respiratory Neoplasms with CC Score 0,.,233,.,127,.,.,.,.,.,.,.,.,.,.,.,.,.,.,133
DZ17K,800,Respiratory Neoplasms with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,636,.,636
DZ19F,300,Other Respiratory Disorders with CC Score 6-8,.,.,.,182,.,.,.,.,.,.,.,.,.,.,.,.,.,.,182
DZ19G,100,Other Respiratory Disorders with CC Score 0-5,.,.,.,.,.,.,226,.,.,.,.,.,.,.,.,.,.,.,226
DZ19G,300,Other Respiratory Disorders with CC Score 0-5,351,309,.,.,.,.,376,.,.,.,.,.,148,.,"1,050",.,267,.,372
DZ19G,340,Other Respiratory Disorders with CC Score 0-5,.,.,.,236,.,583,.,.,.,.,.,.,.,.,.,.,.,.,286
DZ19G,370,Other Respiratory Disorders with CC Score 0-5,.,233,.,125,.,.,.,.,.,.,.,.,.,.,.,.,.,.,152
DZ19G,810,Other Respiratory Disorders with CC Score 0-5,.,.,.,.,.,.,.,.,.,.,.,.,217,.,.,.,.,.,217
DZ20B,361,Pulmonary Oedema with CC Score 4-8,.,.,.,518,.,.,.,.,.,.,.,.,.,.,.,.,.,.,518
DZ21A,300,"Chronic Obstructive Pulmonary Disease or Bronchitis, with length of stay 1 day or less, discharged home",.,.,.,.,.,.,376,.,.,474,.,.,.,.,.,.,.,.,441
DZ21A,301,"Chronic Obstructive Pulmonary Disease or Bronchitis, with length of stay 1 day or less, discharged home",.,.,.,.,.,.,.,.,.,.,.,.,.,191,.,.,.,.,191
DZ21A,303,"Chronic Obstructive Pulmonary Disease or Bronchitis, with length of stay 1 day or less, discharged home",.,.,.,240,.,.,.,.,.,.,.,.,.,.,.,.,.,.,240
DZ21A,340,"Chronic Obstructive Pulmonary Disease or Bronchitis, with length of stay 1 day or less, discharged home",.,.,.,.,.,583,.,.,.,.,.,.,.,.,.,.,.,.,583
DZ21A,361,"Chronic Obstructive Pulmonary Disease or Bronchitis, with length of stay 1 day or less, discharged home",.,.,.,518,.,.,.,.,.,.,.,.,.,.,.,.,.,.,518
DZ22F,300,Unspecified Acute Lower Respiratory Infection with CC Score 8-10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,267,.,267
DZ22G,300,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,.,309,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,309
DZ22G,370,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,.,.,.,116,.,.,.,.,.,.,.,.,.,.,.,.,.,.,116
DZ22G,800,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,636,.,636
DZ22H,300,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,376
DZ22H,303,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,220,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,220
DZ22H,361,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,240,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,240
DZ22H,370,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,.,.,116,.,.,.,.,.,.,.,.,.,.,.,.,.,.,116
DZ22H,800,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,.,.,.,.,"2,350",.,.,.,.,.,.,.,.,.,.,.,.,"2,350"
DZ22J,101,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,.,.,.,163,.,.,.,.,.,.,.,.,.,.,.,.,.,.,163
DZ22J,300,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,.,.,.,.,.,614,376,.,.,.,.,.,.,.,.,.,.,.,495
DZ22J,303,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,.,220,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,220
DZ22J,370,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,.,.,.,116,.,.,.,.,.,.,.,.,.,.,.,.,.,.,116
DZ23F,370,Bronchopneumonia with CC Score 5-8,.,.,.,.,.,"1,009",.,.,.,.,.,.,.,.,.,.,.,.,"1,009"
DZ24F,361,"Inhalation Lung Injury or Foreign Body, with CC Score 7-9",.,.,.,518,.,.,.,.,.,.,.,.,.,.,.,.,.,.,518
DZ25F,300,"Fibrosis or Pneumoconiosis, with CC Score 0-1",.,.,.,.,.,614,.,.,.,.,.,.,.,.,.,.,703,.,681
DZ25F,340,"Fibrosis or Pneumoconiosis, with CC Score 0-1",.,.,.,.,.,583,.,.,.,.,.,.,.,.,.,.,.,.,583
DZ25F,410,"Fibrosis or Pneumoconiosis, with CC Score 0-1",.,.,.,.,.,229,.,.,.,.,.,.,.,.,.,.,.,.,229
DZ26D,370,"Pneumothorax or Intrathoracic Injuries, with CC Score 5-7",.,.,.,116,.,.,.,.,.,.,.,.,.,.,.,.,.,.,116
DZ26F,300,"Pneumothorax or Intrathoracic Injuries, with CC Score 0-1",.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,376
DZ27L,340,"Respiratory Failure without Intubation, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,582,.,.,.,.,.,582
DZ29E,410,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 2-3",.,87,.,.,.,229,.,.,.,.,.,.,.,.,.,.,.,.,158
DZ29F,191,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,"2,381",.,.,.,.,"2,381"
DZ29F,300,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 0-1",336,.,.,.,.,614,.,.,.,.,.,.,683,.,.,.,.,.,480
DZ29F,361,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 0-1",.,.,.,529,.,.,.,.,.,.,.,.,.,.,.,.,.,.,529
DZ29F,410,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 0-1",.,87,.,.,.,229,.,.,.,.,.,.,.,.,.,.,.,.,203
DZ32Z,370,Field Exercise Testing,.,.,.,.,.,.,.,.,.,.,.,.,548,.,.,.,.,.,548
DZ38Z,120,Oxygen Assessment and Monitoring,.,.,.,.,.,.,.,.,.,.,.,.,735,.,.,.,.,.,735
DZ42Z,300,TB Nurse Support,.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,376
DZ42Z,420,TB Nurse Support,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,333,.,333
DZ57Z,300,Oximetry or Blood Gas Studies,.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,376
DZ59Z,420,Airflow Studies,.,.,.,.,.,.,.,.,.,.,.,.,770,.,.,.,.,.,770
DZ63B,300,"Major Thoracic Procedures, 19 years and over, with CC Score 3-5",.,.,.,368,.,.,.,.,.,.,.,.,.,.,.,.,.,.,368
DZ63C,120,"Major Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,.,.,514,.,.,.,.,.,.,.,.,.,.,.,.,514
DZ63C,300,"Major Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,569,.,.,.,.,.,.,.,.,.,.,.,.,.,.,569
DZ64A,300,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,365",.,.,.,"1,365"
DZ64B,300,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 3-5",.,.,.,858,.,.,.,.,.,.,.,.,.,.,"1,365",.,.,.,"1,314"
DZ64C,100,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,.,.,929,.,.,.,.,.,.,.,.,.,.,.,.,929
DZ64C,300,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,632,340,.,.,.,.,.,.,.,.,.,"1,365",.,.,.,"1,224"
DZ64C,340,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,.,.,"1,002",.,.,.,.,.,.,.,.,.,.,.,.,"1,002"
DZ64C,810,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,837,.,.,.,.,.,837
EA03B,320,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,"3,361",.,.,.,.,.,"3,361"
EA03C,320,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 5-7",.,.,.,"2,357",.,"2,803",.,.,.,.,.,.,"2,878",.,.,.,.,.,"2,611"
EA03D,320,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 2-4",.,.,.,"2,869",.,"2,803",.,.,.,.,.,.,"3,109",.,.,.,.,.,"2,929"
EA03E,100,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"2,812",.,.,.,.,.,"2,812"
EA03E,300,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,699,.,699
EA03E,320,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 0-1",.,.,.,"2,925",.,"2,803",.,.,.,.,.,.,"2,938",.,.,.,.,.,"2,886"
EA05B,320,"Pace 2: Dual Chamber, with CC Score 5-8",.,.,.,.,.,.,.,.,.,.,.,.,"3,343",.,.,.,.,.,"3,343"
EA05C,320,"Pace 2: Dual Chamber, with CC Score 2-4",.,.,.,"3,282",.,"2,873",.,.,.,.,.,.,"3,356",.,.,.,.,.,"3,287"
EA05D,320,"Pace 2: Dual Chamber, with CC Score 0-1",.,.,.,"3,277",.,"2,879",.,.,.,.,.,.,"3,357",.,.,.,.,.,"3,265"
EA07B,320,"Pace 3: Biventricular and all Congenital Pacemaker Procedures; Resynchronisation Therapy, with CC Score 4-7",.,.,.,"7,876",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"7,876"
EA07C,320,"Pace 3: Biventricular and all Congenital Pacemaker Procedures; Resynchronisation Therapy, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"4,703",.,.,.,.,.,"4,703"
EA11B,100,"Percutaneous Interventions: Other including Septostomy, Embolisation, Non-Coronary Stents and Energy Moderated Perforation, with CC Score 0-2",.,.,.,"2,289",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,289"
EA11B,101,"Percutaneous Interventions: Other including Septostomy, Embolisation, Non-Coronary Stents and Energy Moderated Perforation, with CC Score 0-2",.,.,.,"2,847",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,847"
EA11B,320,"Percutaneous Interventions: Other including Septostomy, Embolisation, Non-Coronary Stents and Energy Moderated Perforation, with CC Score 0-2",.,.,.,.,.,"4,036",.,.,.,.,.,.,.,.,609,.,.,.,"2,323"
EA12B,320,"Implantation of Cardioverter; Defibrillator only, with CC Score 6-8",.,.,.,"15,408",.,.,.,.,.,.,.,.,"14,121",.,.,.,.,.,"14,765"
EA12C,320,"Implantation of Cardioverter; Defibrillator only, with CC Score 3-5",.,.,.,"14,956",.,.,.,.,.,.,.,.,"13,767",.,.,.,.,.,"14,659"
EA12D,100,"Implantation of Cardioverter; Defibrillator only, with CC Score 0-2",.,.,.,"13,136",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"13,136"
EA12D,320,"Implantation of Cardioverter; Defibrillator only, with CC Score 0-2",.,.,.,"15,272",.,.,.,.,.,.,.,.,"13,855",.,.,.,.,.,"14,867"
EA17D,300,Single Cardiac Valve Procedures with CC Score 0-2,.,.,.,404,.,.,.,.,.,.,.,.,"2,961",.,.,.,.,.,"1,682"
EA17D,320,Single Cardiac Valve Procedures with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,"4,838",.,.,.,.,.,"4,838"
EA29C,320,"Percutaneous Complex Ablation, including for Atrial Fibrillation and Ventricular Tachycardia, with CC Score 0-1",.,.,.,.,.,"6,288",.,.,.,.,.,.,.,.,.,.,.,.,"6,288"
EA31B,320,"Percutaneous Coronary Intervention, 0 to 2 Stents, with CC Score 7-10",.,.,.,"1,574",.,"2,490",.,.,.,.,.,.,.,.,.,.,.,.,"2,032"
EA31C,320,"Percutaneous Coronary Intervention, 0 to 2 Stents, with CC Score 3-6",.,.,.,"1,865",.,"2,463",.,.,.,.,.,.,"2,057",.,.,.,.,.,"2,177"
EA31D,320,"Percutaneous Coronary Intervention, 0 to 2 Stents, with CC Score 0-2","2,231",.,.,"1,750",.,"2,470",.,.,.,.,.,.,"2,103",.,.,.,.,.,"2,208"
EA35A,320,Other Percutaneous Interventions with CC Score 8+,.,.,.,"1,490",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,490"
EA35B,320,Other Percutaneous Interventions with CC Score 5-7,.,.,.,"1,265",.,"1,973",.,.,.,.,.,.,"1,883",.,.,.,.,.,"1,481"
EA35C,300,Other Percutaneous Interventions with CC Score 2-4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,703,.,703
EA35C,320,Other Percutaneous Interventions with CC Score 2-4,"1,317",.,.,"1,370",.,"1,949",.,.,.,.,.,.,"1,879",.,.,.,.,.,"1,624"
EA35D,100,Other Percutaneous Interventions with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,.,.,809,.,.,.,.,809
EA35D,300,Other Percutaneous Interventions with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,696,.,696
EA35D,320,Other Percutaneous Interventions with CC Score 0-1,"1,317",.,.,"1,353",.,"1,961",.,.,.,.,.,.,"1,908",.,.,.,.,.,"1,729"
EA36D,320,Catheter with CC Score 10-12,.,.,.,495,.,.,.,.,.,.,.,.,.,.,.,.,.,.,495
EA36E,300,Catheter with CC Score 7-9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,696,.,696
EA36E,320,Catheter with CC Score 7-9,"1,209",.,.,829,.,"1,235",.,.,.,.,.,.,"1,250",.,.,.,.,.,"1,080"
EA36F,300,Catheter with CC Score 4-6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,700,.,700
EA36F,320,Catheter with CC Score 4-6,"1,209",.,.,632,.,"1,235",.,.,.,.,.,.,"1,270",.,.,.,.,.,"1,081"
EA36G,100,Catheter with CC Score 2-3,.,.,.,"1,033",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,033"
EA36G,300,Catheter with CC Score 2-3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,700,.,700
EA36G,320,Catheter with CC Score 2-3,"1,209",.,.,688,.,"1,235",.,.,.,.,.,.,"1,264",.,.,.,.,.,"1,152"
EA36H,300,Catheter with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,700,.,700
EA36H,301,Catheter with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,473,473
EA36H,320,Catheter with CC Score 0-1,"1,210",.,.,622,.,"1,235",.,.,.,.,.,.,"1,267",.,.,.,.,.,"1,197"
EA39A,320,"Pacemaker Procedure without Generator Implant, including Re-Siting and Removal of Cardiac Pacemaker System, with CC Score 5+",.,.,.,"1,730",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,730"
EA39B,320,"Pacemaker Procedure without Generator Implant, including Re-Siting and Removal of Cardiac Pacemaker System, with CC Score 2-4",.,.,.,"3,286",.,.,.,.,.,.,.,.,"1,529",.,.,.,.,.,"2,407"
EA39C,320,"Pacemaker Procedure without Generator Implant, including Re-Siting and Removal of Cardiac Pacemaker System, with CC Score 0-1",.,.,.,"1,730",.,.,.,.,.,.,.,.,"1,594",.,.,.,.,.,"1,639"
EA40Z,300,Other Non-Complex Cardiac Surgery,.,.,.,"2,279",.,.,.,.,.,.,.,.,.,.,"1,033",.,.,.,"1,344"
EA40Z,320,Other Non-Complex Cardiac Surgery,.,.,.,.,.,.,.,.,.,.,.,.,"1,629",.,817,.,.,.,"1,358"
EA44A,320,Minor Cardiac Procedures with CC Score 2+,.,.,.,616,.,"1,396",.,.,.,.,.,.,.,.,.,.,.,.,665
EA44B,320,Minor Cardiac Procedures with CC Score 0-1,.,.,.,655,.,"1,396",.,.,.,.,.,.,"1,266",.,.,.,.,.,"1,083"
EA45Z,120,"Complex Echocardiogram, including Transoesophageal and Fetal Echocardiography",.,.,.,.,.,275,.,.,.,.,.,.,.,.,.,.,.,.,275
EA45Z,300,"Complex Echocardiogram, including Transoesophageal and Fetal Echocardiography",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,076",301,699,.,706
EA45Z,320,"Complex Echocardiogram, including Transoesophageal and Fetal Echocardiography","1,317",.,.,445,.,232,.,.,.,.,"1,148",.,"1,385",.,965,"1,858",.,.,995
EA47Z,300,Electrocardiogram Monitoring and Stress Testing,.,.,.,.,.,.,376,.,.,550,.,.,188,.,.,.,703,.,463
EA47Z,320,Electrocardiogram Monitoring and Stress Testing,887,.,.,797,.,232,.,.,.,.,.,.,681,.,.,.,.,.,785
EA47Z,420,Electrocardiogram Monitoring and Stress Testing,545,.,.,.,.,.,.,.,.,.,.,.,822,.,.,.,.,.,787
EA49B,320,"Percutaneous Coronary Interventions with 3 or more Stents, Rotablation, IVUS or Pressure Wire, with CC Score 6-8",.,.,.,"2,794",.,"2,490",.,.,.,.,.,.,.,.,.,.,.,.,"2,692"
