HRG,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,RoyalVictoria,South Tyrone,SouthWestAcute,Tyrone County,Ulster,N. Ireland Total Cost
EB14C,430,Other Acquired Cardiac Conditions with CC Score 6-8,.,.,.,.,.,.,.,.,"1,829",.,.,.,.,.,.,.,"1,829"
EB14D,100,Other Acquired Cardiac Conditions with CC Score 3-5,"4,111",.,"2,814",.,.,.,.,.,.,.,.,"14,595",.,.,.,.,"21,520"
EB14D,101,Other Acquired Cardiac Conditions with CC Score 3-5,.,.,"2,920",.,"2,098",.,.,.,.,.,.,.,.,.,.,.,"5,018"
EB14D,170,Other Acquired Cardiac Conditions with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,"3,972",.,.,.,.,"3,972"
EB14D,300,Other Acquired Cardiac Conditions with CC Score 3-5,.,"6,912","2,490",.,"3,921","3,615",.,.,.,.,.,"2,551",.,.,.,.,"19,489"
EB14D,320,Other Acquired Cardiac Conditions with CC Score 3-5,"15,844",845,"2,062",.,"10,395",.,.,.,.,.,.,"40,260",.,.,.,"12,306","81,712"
EB14D,340,Other Acquired Cardiac Conditions with CC Score 3-5,.,.,"13,525",.,.,.,.,.,.,.,.,.,.,.,.,.,"13,525"
EB14D,361,Other Acquired Cardiac Conditions with CC Score 3-5,.,"1,768","18,950",.,.,.,.,.,.,.,.,.,.,.,.,.,"20,717"
EB14D,370,Other Acquired Cardiac Conditions with CC Score 3-5,.,.,"3,986",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,986"
EB14E,100,Other Acquired Cardiac Conditions with CC Score 0-2,"3,932",.,.,.,"6,382",.,.,.,.,.,.,"6,196",.,.,.,.,"16,510"
EB14E,300,Other Acquired Cardiac Conditions with CC Score 0-2,.,.,.,.,"3,268",301,.,.,.,750,.,"7,425",.,.,.,.,"11,744"
EB14E,303,Other Acquired Cardiac Conditions with CC Score 0-2,.,"1,072",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,072"
EB14E,320,Other Acquired Cardiac Conditions with CC Score 0-2,"19,977",.,"8,546",547,"1,540",.,.,.,.,.,.,"16,596",.,"7,993",.,"12,762","67,962"
EB14E,340,Other Acquired Cardiac Conditions with CC Score 0-2,.,.,"3,411",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,411"
EB15C,320,Primary Pulmonary Hypertension with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,617,.,.,.,.,617
EC01A,120,"Congenital Cardiac Surgery with Intervention Score 58 or less, with Diagnosis Score 64 or less",.,.,.,.,.,.,.,.,.,.,.,"2,937",.,.,.,.,"2,937"
EC01A,170,"Congenital Cardiac Surgery with Intervention Score 58 or less, with Diagnosis Score 64 or less",.,.,.,.,.,.,.,.,.,.,.,"114,573",.,.,.,.,"114,573"
EC01A,320,"Congenital Cardiac Surgery with Intervention Score 58 or less, with Diagnosis Score 64 or less",689,.,.,.,.,.,.,.,.,.,.,"662,649",.,.,.,.,"663,337"
EC01A,370,"Congenital Cardiac Surgery with Intervention Score 58 or less, with Diagnosis Score 64 or less",.,.,.,.,.,.,.,.,.,.,.,"4,381",.,.,.,.,"4,381"
EC01B,170,"Congenital Cardiac Surgery with Intervention Score 58 or less, with Diagnosis Score 65-117",.,.,.,.,.,.,.,.,.,.,.,"27,893",.,.,.,.,"27,893"
EC01B,320,"Congenital Cardiac Surgery with Intervention Score 58 or less, with Diagnosis Score 65-117",.,.,.,.,.,.,.,.,.,.,.,"11,194",.,.,.,.,"11,194"
EC01C,320,"Congenital Cardiac Surgery with Intervention Score 58 or less, with Diagnosis Score 118 or more",.,.,.,.,.,.,.,.,.,.,.,"18,616",.,.,.,.,"18,616"
EC02A,170,"Congenital Cardiac Surgery with Intervention Score 59-121, with Diagnosis Score 64 or less",.,.,.,.,.,.,.,.,.,.,.,"41,326",.,.,.,.,"41,326"
EC03A,170,"Congenital Cardiac Surgery with Intervention Score 122 or more, with Diagnosis Score 64 or less",.,.,.,.,.,.,.,.,.,.,.,"7,814",.,.,.,.,"7,814"
EC03B,170,"Congenital Cardiac Surgery with Intervention Score 122 or more, with Diagnosis Score 65-117",.,.,.,.,.,.,.,.,.,.,.,"9,012",.,.,.,.,"9,012"
EC03C,170,"Congenital Cardiac Surgery with Intervention Score 122 or more, with Diagnosis Score 118 or more",.,.,.,.,.,.,.,.,.,.,.,"5,511",.,.,.,.,"5,511"
FZ12M,100,"Major General Abdominal Procedures, 19 years and over, with CC Score 6-9",.,"13,747",.,.,.,.,.,.,.,"4,639",.,"6,718",.,.,.,.,"25,104"
FZ12M,160,"Major General Abdominal Procedures, 19 years and over, with CC Score 6-9",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"21,355","21,355"
FZ12N,100,"Major General Abdominal Procedures, 19 years and over, with CC Score 3-5","5,362",.,.,.,.,"17,336",.,.,.,.,.,"4,145",.,.,.,"16,315","43,158"
FZ12N,101,"Major General Abdominal Procedures, 19 years and over, with CC Score 3-5",.,.,.,.,"7,717",.,.,.,.,.,.,.,.,.,.,.,"7,717"
FZ12N,160,"Major General Abdominal Procedures, 19 years and over, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"10,180","10,180"
FZ12N,340,"Major General Abdominal Procedures, 19 years and over, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"10,505",.,.,.,.,"10,505"
FZ12N,361,"Major General Abdominal Procedures, 19 years and over, with CC Score 3-5",.,.,"7,698",.,.,.,.,.,.,.,.,.,.,.,.,.,"7,698"
FZ12N,370,"Major General Abdominal Procedures, 19 years and over, with CC Score 3-5",.,.,"3,474",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,474"
FZ12N,502,"Major General Abdominal Procedures, 19 years and over, with CC Score 3-5",.,.,"16,776",.,"3,913",.,.,.,.,.,.,.,.,"10,809",.,"6,356","37,854"
FZ12P,100,"Major General Abdominal Procedures, 19 years and over, with CC Score 1-2","8,090","15,863","39,714","1,131","7,566","5,146",.,.,.,"22,245",.,.,.,"13,613",.,"6,474","119,842"
FZ12P,101,"Major General Abdominal Procedures, 19 years and over, with CC Score 1-2",.,.,"20,157","3,286","8,360",.,.,.,.,.,.,.,.,.,.,.,"31,803"
FZ12P,160,"Major General Abdominal Procedures, 19 years and over, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,"23,443",.,.,.,"31,520","54,963"
FZ12P,300,"Major General Abdominal Procedures, 19 years and over, with CC Score 1-2",.,.,"2,723",.,.,.,.,.,.,.,.,.,.,.,.,"2,969","5,691"
FZ12P,301,"Major General Abdominal Procedures, 19 years and over, with CC Score 1-2",.,"8,747",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"8,747"
FZ12P,303,"Major General Abdominal Procedures, 19 years and over, with CC Score 1-2",.,"7,858",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"7,858"
FZ12P,361,"Major General Abdominal Procedures, 19 years and over, with CC Score 1-2",.,.,"8,599",.,.,.,.,.,.,.,.,.,.,.,.,.,"8,599"
FZ12P,370,"Major General Abdominal Procedures, 19 years and over, with CC Score 1-2",.,.,"3,217",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,217"
FZ12P,502,"Major General Abdominal Procedures, 19 years and over, with CC Score 1-2","2,285","8,524","49,180","5,072","5,372",.,.,.,.,.,.,.,.,"12,161",.,"5,268","87,862"
FZ12Q,100,"Major General Abdominal Procedures, 19 years and over, with CC Score 0","21,029","14,214","19,828","7,545",.,"6,054",.,.,.,"12,702",.,"11,521",.,"11,852",.,"7,757","112,502"
FZ12Q,101,"Major General Abdominal Procedures, 19 years and over, with CC Score 0",.,.,"20,165",.,"6,682",.,.,.,.,.,.,.,.,.,.,.,"26,846"
FZ12Q,120,"Major General Abdominal Procedures, 19 years and over, with CC Score 0",.,"1,643",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,643"
FZ12Q,160,"Major General Abdominal Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"40,982","40,982"
FZ12Q,300,"Major General Abdominal Procedures, 19 years and over, with CC Score 0",.,.,964,.,.,.,.,.,.,.,.,"3,954",.,.,.,821,"5,738"
FZ12Q,303,"Major General Abdominal Procedures, 19 years and over, with CC Score 0",.,.,"6,950",.,.,.,.,.,.,.,.,.,.,.,.,.,"6,950"
FZ12Q,330,"Major General Abdominal Procedures, 19 years and over, with CC Score 0",.,.,"6,061",.,.,.,.,.,.,.,.,.,.,.,.,.,"6,061"
FZ12Q,361,"Major General Abdominal Procedures, 19 years and over, with CC Score 0",.,.,"10,517",.,.,.,.,.,.,.,.,.,.,.,.,.,"10,517"
FZ12Q,370,"Major General Abdominal Procedures, 19 years and over, with CC Score 0",.,.,"7,210",.,.,.,.,.,.,.,.,.,.,.,.,.,"7,210"
FZ12Q,502,"Major General Abdominal Procedures, 19 years and over, with CC Score 0","2,875","2,538","59,583",.,"1,822","3,041",.,.,.,.,.,.,.,"33,105",.,"1,453","104,417"
FZ12R,100,"Major General Abdominal Procedures, between 2 and 18 years, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,339","3,339"
FZ12R,171,"Major General Abdominal Procedures, between 2 and 18 years, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,"30,016",.,.,.,.,"30,016"
FZ12R,420,"Major General Abdominal Procedures, between 2 and 18 years, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,"2,464",.,.,.,.,"2,464"
FZ12S,171,"Major General Abdominal Procedures, between 2 and 18 years, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"17,575",.,.,.,.,"17,575"
FZ12U,171,"Major General Abdominal Procedures, 1 year and under, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"4,899",.,.,.,.,"4,899"
FZ13C,100,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 19 years and over","6,382",.,"44,405","6,918","7,230","5,006",.,.,.,"15,529",.,"3,605",.,"3,571",.,.,"92,646"
FZ13C,101,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 19 years and over",.,.,"2,206",.,.,.,.,.,.,.,.,.,.,.,.,.,"2,206"
FZ13C,172,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,"4,063",.,.,.,.,"4,063"
FZ13C,300,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 19 years and over",877,.,"1,195",454,.,603,.,.,.,609,.,"2,537",.,"1,506",.,"3,370","11,150"
FZ13C,301,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 19 years and over",.,374,.,.,.,.,.,.,.,.,.,.,.,.,.,.,374
FZ13C,303,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 19 years and over",555,.,"2,743",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,298"
FZ13C,370,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 19 years and over",.,.,"8,792",.,.,.,.,.,.,.,.,.,.,.,.,.,"8,792"
FZ13C,502,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 19 years and over","8,256","14,429","14,114","2,264","10,722","12,764",.,.,.,.,.,.,.,"12,191",.,"2,906","77,646"
FZ13D,171,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"2,975",.,.,.,.,"2,975"
FZ17D,171,"Abdominal Hernia Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"2,475",.,.,.,.,"2,475"
FZ17E,100,"Abdominal Hernia Procedures, 19 years and over, with CC Score 4+",.,.,.,"4,145",.,.,.,.,.,.,.,.,.,"4,441",.,.,"8,586"
FZ17E,361,"Abdominal Hernia Procedures, 19 years and over, with CC Score 4+",.,.,"3,195",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,195"
FZ17F,100,"Abdominal Hernia Procedures, 19 years and over, with CC Score 1-3","32,137","39,200","105,813","23,295","32,785","21,427",.,.,.,"22,310",.,"26,288",.,"26,513",.,"36,407","366,175"
FZ17F,170,"Abdominal Hernia Procedures, 19 years and over, with CC Score 1-3",.,.,.,.,.,.,.,.,.,.,.,"6,500",.,.,.,.,"6,500"
FZ17F,361,"Abdominal Hernia Procedures, 19 years and over, with CC Score 1-3",.,.,"19,652",.,.,.,.,.,.,.,.,.,.,.,.,.,"19,652"
FZ17G,100,"Abdominal Hernia Procedures, 19 years and over, with CC Score 0","41,329","15,327","88,243","56,345","92,907","31,311",.,.,.,"43,925",.,"16,676",.,"36,848",.,"47,095","470,007"
FZ17G,361,"Abdominal Hernia Procedures, 19 years and over, with CC Score 0",.,.,"3,972",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,972"
FZ18E,100,"Inguinal, Umbilical or Femoral Hernia Procedures, between 2 and 18 years","1,961",.,.,.,"1,483","2,775",.,.,.,.,.,.,.,"2,578",.,.,"8,796"
FZ18E,120,"Inguinal, Umbilical or Femoral Hernia Procedures, between 2 and 18 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,343","1,343"
FZ18E,171,"Inguinal, Umbilical or Femoral Hernia Procedures, between 2 and 18 years",.,.,.,.,.,.,.,.,.,.,.,"1,787",.,.,.,.,"1,787"
FZ18F,171,"Inguinal, Umbilical or Femoral Hernia Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,"29,911",.,.,.,.,"29,911"
FZ18G,100,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 6+","9,447","7,862",.,.,"2,141",.,.,.,.,.,.,.,.,.,.,"1,332","20,783"
FZ18G,361,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 6+",.,.,"2,987",.,.,.,.,.,.,.,.,.,.,.,.,.,"2,987"
FZ18H,100,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 3-5","23,426","5,262","5,429","6,196","12,206","12,403",.,.,.,"12,076",.,.,.,"33,042",.,"38,585","148,625"
FZ18H,361,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 3-5",.,.,"7,518",.,.,.,.,.,.,.,.,.,.,.,.,.,"7,518"
FZ18J,100,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 1-2","74,346","53,634","35,051","52,030","27,332","34,592",.,.,.,"48,840",.,"14,245",.,"97,935",.,"52,006","490,011"
FZ18J,101,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 1-2",.,.,"3,383",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,383"
FZ18J,361,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 1-2",.,.,"7,142",.,.,.,.,.,.,.,.,.,.,.,.,.,"7,142"
FZ18K,100,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 0","97,210","144,212","98,786","170,956","121,218","270,185",.,.,.,"87,445",.,"48,862",.,"203,870",.,"55,730","1,298,475"
FZ18K,101,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 0",.,.,.,.,"5,755",.,.,.,.,.,.,.,.,.,.,.,"5,755"
FZ18K,361,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 0",.,.,"2,762",.,.,.,.,.,.,.,.,.,.,.,.,.,"2,762"
FZ19A,100,"Herniotomy Procedures, 2 years and over",.,.,.,"1,154","1,328",.,.,.,.,.,.,.,.,.,.,.,"2,482"
FZ19A,142,"Herniotomy Procedures, 2 years and over",.,.,.,.,.,.,.,.,.,.,.,993,.,.,.,.,993
FZ19A,171,"Herniotomy Procedures, 2 years and over",.,.,.,.,.,.,.,.,.,.,.,"7,097",.,.,.,.,"7,097"
FZ19A,361,"Herniotomy Procedures, 2 years and over",.,.,"4,167",.,.,.,.,.,.,.,.,.,.,.,.,.,"4,167"
FZ19B,100,"Herniotomy Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,893,893
FZ19B,171,"Herniotomy Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,"46,148",.,.,.,.,"46,148"
FZ20G,100,"Appendicectomy Procedures, 19 years and over, with CC Score 3-4",.,"2,776",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,776"
FZ20H,100,"Appendicectomy Procedures, 19 years and over, with CC Score 1-2",.,"2,463",.,.,"5,024",.,.,.,.,.,.,.,.,.,.,.,"7,486"
FZ20J,100,"Appendicectomy Procedures, 19 years and over, with CC Score 0","2,621","9,685","4,147","3,802","1,909","6,095",.,.,.,"4,609",.,.,.,.,.,"7,000","39,870"
FZ20J,502,"Appendicectomy Procedures, 19 years and over, with CC Score 0",.,"5,927","16,284","2,902",.,.,.,.,.,.,.,.,.,.,.,.,"25,113"
FZ20M,100,"Appendicectomy Procedures, 18 years and under, with CC Score 0","3,078",.,.,"4,163",.,"2,316",.,.,.,.,.,.,.,.,.,"3,573","13,131"
FZ21B,100,"Major Anal Procedures, 18 years and under",.,.,.,"2,330",.,.,.,.,.,.,.,.,.,.,.,"1,186","3,516"
FZ21B,160,"Major Anal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"7,233",.,.,.,.,"7,233"
FZ21C,100,"Major Anal Procedures, 19 years and over, with CC Score 1+","4,958","1,414","4,993",.,.,.,.,.,.,.,.,"1,089",.,.,.,"19,702","32,157"
FZ21C,160,"Major Anal Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,"9,749",.,.,.,.,"9,749"
FZ21D,100,"Major Anal Procedures, 19 years and over, with CC Score 0","29,803",.,"18,672","15,778","2,212","3,893",.,.,.,"1,974",.,"12,281",.,.,.,"28,059","112,671"
FZ21D,160,"Major Anal Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,333","3,333"
FZ22B,100,"Intermediate Anal Procedures, 18 years and under","1,311",.,.,"1,394",.,"1,050",.,.,.,.,.,"1,243",.,.,.,"2,257","7,255"
FZ22B,171,"Intermediate Anal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"16,117",.,.,.,.,"16,117"
FZ22B,420,"Intermediate Anal Procedures, 18 years and under","3,049",.,.,.,.,.,.,.,.,.,.,"3,355",.,.,.,.,"6,404"
FZ22C,100,"Intermediate Anal Procedures, 19 years and over, with CC Score 3+","1,311","6,268","1,080",.,.,"1,467",.,.,.,.,.,.,.,.,.,"3,208","13,334"
FZ22C,101,"Intermediate Anal Procedures, 19 years and over, with CC Score 3+",.,.,.,.,"3,043",.,.,.,.,.,.,.,.,.,.,.,"3,043"
FZ22D,100,"Intermediate Anal Procedures, 19 years and over, with CC Score 1-2","13,859","8,310","14,580","2,241","5,963",.,.,.,.,"1,668",.,"4,112",.,.,.,"19,439","70,170"
FZ22E,100,"Intermediate Anal Procedures, 19 years and over, with CC Score 0","66,311","58,379","32,828","22,434","22,783","22,371",.,.,.,"4,724",.,"24,829",.,"34,684",.,"56,093","345,435"
FZ23A,100,"Minor Anal Procedures, 19 years and over","24,163","8,313","10,323","6,727","12,627","10,256",.,.,.,"3,660",.,"6,895",.,"7,142",.,"4,729","94,835"
FZ23B,100,"Minor Anal Procedures, 18 years and under","1,311",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,311"
FZ24E,300,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, between 2 and 18 years",.,.,.,.,.,.,.,.,.,.,.,"1,647",.,.,.,.,"1,647"
FZ24E,420,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, between 2 and 18 years",.,.,.,.,.,.,.,.,.,.,.,"4,483",.,.,.,.,"4,483"
FZ24F,120,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,"1,404",.,.,.,.,"1,404"
FZ24F,171,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,"6,092",.,.,.,.,"6,092"
FZ24G,100,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 3+",.,.,.,"1,620","1,019",.,.,.,.,.,.,"2,047",.,.,.,.,"4,686"
FZ24G,172,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 3+",.,.,"6,507",.,.,.,.,.,.,.,.,.,.,.,.,.,"6,507"
FZ24G,301,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 3+",.,"4,057",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,057"
FZ24H,100,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 1-2",.,.,"6,417",.,"1,895",.,.,.,.,.,.,.,.,.,.,.,"8,312"
FZ24H,120,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 1-2","1,450","1,412",.,.,896,.,.,.,.,.,.,"7,201",.,.,.,.,"10,959"
FZ24H,172,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 1-2",.,.,"2,756",.,.,.,.,.,.,.,.,"5,964",.,.,.,.,"8,720"
FZ24J,100,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 0",.,"2,658",.,.,"9,830",.,.,.,.,.,.,"2,674",.,.,.,.,"15,161"
FZ24J,120,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 0",.,"2,558",.,.,"5,091",.,.,.,.,.,.,"99,072",.,.,.,.,"106,722"
FZ24J,172,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"3,371",.,.,.,.,"3,371"
FZ24J,300,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"2,880",.,.,.,.,"2,880"
FZ24J,301,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 0",.,"5,082",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,082"
FZ27D,100,"Intermediate Therapeutic General Abdominal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,044",.,.,"3,044"
FZ27E,100,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 3+","2,285",452,"3,873",.,"23,880",.,.,.,.,.,.,.,.,.,.,.,"30,489"
FZ27F,100,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 1-2","9,752",.,"7,455","1,344",.,.,.,.,.,.,.,"4,465",.,.,.,.,"23,016"
FZ27F,502,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 1-2","5,989","4,269","6,427",.,.,.,.,.,.,.,.,.,.,.,.,"4,538","21,222"
FZ27G,100,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 0","2,621",.,"6,199","3,389","3,792",.,.,.,.,"7,934",.,.,.,"2,924",.,"7,016","33,875"
FZ27G,361,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 0",.,.,"2,945",.,.,.,.,.,.,.,.,.,.,.,.,.,"2,945"
FZ27G,502,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 0","14,263","16,464","53,563","17,354","11,399","6,336",.,.,.,.,.,.,.,.,.,"9,955","129,334"
FZ36H,340,"Gastrointestinal Infections with Multiple Interventions, with CC Score 0-3",.,.,"5,875",.,.,.,.,.,.,.,.,.,.,.,.,.,"5,875"
FZ36J,100,"Gastrointestinal Infections with Single Intervention, with CC Score 5+",.,.,.,.,.,"2,323",.,.,.,.,.,.,.,.,.,.,"2,323"
FZ36J,361,"Gastrointestinal Infections with Single Intervention, with CC Score 5+",.,.,"7,428",.,.,.,.,.,.,.,.,.,.,.,.,.,"7,428"
FZ36K,100,"Gastrointestinal Infections with Single Intervention, with CC Score 2-4","1,323",.,.,.,.,"3,114",.,.,.,.,.,.,.,.,.,.,"4,437"
FZ36K,300,"Gastrointestinal Infections with Single Intervention, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,"5,363",.,.,.,.,"5,363"
FZ36L,300,"Gastrointestinal Infections with Single Intervention, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,921","1,921"
FZ36L,301,"Gastrointestinal Infections with Single Intervention, with CC Score 0-1",.,.,.,.,.,"2,014",.,.,.,.,.,.,.,.,.,.,"2,014"
FZ36N,100,"Gastrointestinal Infections without Interventions, with CC Score 5-7","1,370",.,.,.,"1,314",.,.,.,.,.,.,.,.,.,.,.,"2,685"
FZ36N,300,"Gastrointestinal Infections without Interventions, with CC Score 5-7",.,.,.,.,"1,307","1,506",.,.,.,.,.,.,.,.,.,.,"2,813"
FZ36N,340,"Gastrointestinal Infections without Interventions, with CC Score 5-7",.,.,.,.,"20,288",.,.,.,.,.,.,.,.,.,.,.,"20,288"
FZ36N,361,"Gastrointestinal Infections without Interventions, with CC Score 5-7","5,210",.,"2,842",.,.,.,.,.,.,.,.,.,.,.,.,.,"8,052"
FZ36P,100,"Gastrointestinal Infections without Interventions, with CC Score 2-4","4,052",.,"2,494",.,.,.,.,.,.,.,.,.,.,647,.,.,"7,193"
FZ36P,300,"Gastrointestinal Infections without Interventions, with CC Score 2-4","2,630",.,"1,660",.,327,.,.,.,.,.,.,463,.,.,.,.,"5,079"
FZ36P,303,"Gastrointestinal Infections without Interventions, with CC Score 2-4","2,220",.,"1,261",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,481"
FZ36P,361,"Gastrointestinal Infections without Interventions, with CC Score 2-4",.,.,"10,299",.,.,.,.,.,.,.,.,.,.,.,.,.,"10,299"
FZ36Q,100,"Gastrointestinal Infections without Interventions, with CC Score 0-1",.,.,.,.,876,.,.,.,.,.,.,.,.,.,.,.,876
FZ36Q,300,"Gastrointestinal Infections without Interventions, with CC Score 0-1","3,945",.,847,.,980,"1,205",.,.,.,375,.,.,.,.,.,734,"8,086"
FZ36Q,303,"Gastrointestinal Infections without Interventions, with CC Score 0-1","2,220",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,220"
FZ36Q,361,"Gastrointestinal Infections without Interventions, with CC Score 0-1",521,.,"1,237",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,758"
FZ36Q,502,"Gastrointestinal Infections without Interventions, with CC Score 0-1",.,.,"2,678",.,.,.,.,.,.,.,.,.,.,.,.,.,"2,678"
FZ37K,100,"Inflammatory Bowel Disease with Multiple Interventions, with CC Score 3+",.,.,.,.,"17,627",.,.,.,.,.,.,.,.,.,.,.,"17,627"
FZ37L,100,"Inflammatory Bowel Disease with Multiple Interventions, with CC Score 0-2",.,.,"19,514","1,531",.,.,.,.,.,.,.,.,.,.,.,.,"21,045"
FZ37L,300,"Inflammatory Bowel Disease with Multiple Interventions, with CC Score 0-2","1,857",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,857"
FZ37M,300,"Inflammatory Bowel Disease with Single Intervention, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,"2,928",.,.,.,.,"2,928"
FZ37N,100,"Inflammatory Bowel Disease with Single Intervention, with CC Score 0-3",.,"1,808","5,334",.,"11,965","2,209",.,.,.,.,.,.,.,.,.,"10,976","32,292"
