HRG Code,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,DaisyHill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal ,South Tyrone,South West Acute,Tyrone County,Ulster,N. Ireland Unit Cost
EB10B,320,"Actual or Suspected Myocardial Infarction, with CC Score 10-12",580,392,586,.,429,558,.,.,.,.,560,.,613,.,808,.,457,446
EB10B,340,"Actual or Suspected Myocardial Infarction, with CC Score 10-12",.,351,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,351
EB10B,361,"Actual or Suspected Myocardial Infarction, with CC Score 10-12",.,.,.,.,.,452,.,.,.,.,.,.,.,.,.,.,.,452
EB10B,400,"Actual or Suspected Myocardial Infarction, with CC Score 10-12",.,.,.,.,.,.,.,.,.,.,.,.,851,.,.,.,.,851
EB10B,430,"Actual or Suspected Myocardial Infarction, with CC Score 10-12",.,345,.,.,376,.,.,.,.,.,.,.,.,.,.,.,.,360
EB10C,100,"Actual or Suspected Myocardial Infarction, with CC Score 7-9",.,444,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,444
EB10C,300,"Actual or Suspected Myocardial Infarction, with CC Score 7-9",446,401,.,468,376,291,515,.,370,.,344,.,370,.,514,.,364,391
EB10C,320,"Actual or Suspected Myocardial Infarction, with CC Score 7-9",580,392,600,474,429,558,728,.,721,.,613,.,613,.,808,.,457,491
EB10C,340,"Actual or Suspected Myocardial Infarction, with CC Score 7-9",.,351,.,.,.,.,.,.,.,.,327,.,.,.,.,.,.,335
EB10C,361,"Actual or Suspected Myocardial Infarction, with CC Score 7-9",546,.,.,.,.,452,.,.,.,.,.,.,.,.,.,.,.,476
EB10C,430,"Actual or Suspected Myocardial Infarction, with CC Score 7-9",.,345,.,.,376,.,.,.,.,.,.,.,.,.,656,.,.,459
EB10D,180,"Actual or Suspected Myocardial Infarction, with CC Score 4-6",.,367,.,.,"1,000",.,.,.,.,.,223,.,.,.,.,.,.,530
EB10D,300,"Actual or Suspected Myocardial Infarction, with CC Score 4-6",446,401,.,468,376,291,515,.,370,.,367,.,368,.,514,.,364,388
EB10D,301,"Actual or Suspected Myocardial Infarction, with CC Score 4-6",.,.,.,.,349,.,.,.,.,.,.,.,.,.,.,.,.,349
EB10D,302,"Actual or Suspected Myocardial Infarction, with CC Score 4-6",.,.,.,.,.,.,.,.,.,.,331,.,474,.,.,.,.,379
EB10D,320,"Actual or Suspected Myocardial Infarction, with CC Score 4-6",580,392,588,474,429,558,728,.,721,.,477,.,615,.,808,498,457,503
EB10D,340,"Actual or Suspected Myocardial Infarction, with CC Score 4-6",.,351,445,.,.,.,.,.,.,.,336,.,.,.,.,.,.,358
EB10D,361,"Actual or Suspected Myocardial Infarction, with CC Score 4-6",.,.,682,.,.,.,.,.,.,.,.,.,.,.,.,.,.,682
EB10D,430,"Actual or Suspected Myocardial Infarction, with CC Score 4-6",357,345,.,.,376,.,.,.,.,.,340,.,535,.,.,.,307,362
EB10E,100,"Actual or Suspected Myocardial Infarction, with CC Score 0-3",.,.,.,.,439,.,.,.,.,.,.,.,.,.,.,.,.,439
EB10E,180,"Actual or Suspected Myocardial Infarction, with CC Score 0-3",.,.,.,.,"1,000",.,.,.,.,.,223,.,.,.,.,.,.,612
EB10E,300,"Actual or Suspected Myocardial Infarction, with CC Score 0-3",446,401,.,468,376,291,515,.,370,.,356,.,377,.,514,.,364,408
EB10E,301,"Actual or Suspected Myocardial Infarction, with CC Score 0-3",.,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,373
EB10E,302,"Actual or Suspected Myocardial Infarction, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,381,.,.,.,.,.,.,381
EB10E,320,"Actual or Suspected Myocardial Infarction, with CC Score 0-3",580,392,589,474,429,558,728,.,721,.,489,.,626,.,808,498,457,534
EB10E,340,"Actual or Suspected Myocardial Infarction, with CC Score 0-3",.,351,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,351
EB10E,430,"Actual or Suspected Myocardial Infarction, with CC Score 0-3",.,345,.,.,.,.,.,.,.,.,.,.,.,.,656,.,.,448
EB12A,300,Unspecified Chest Pain with CC Score 11+,.,401,.,468,376,.,.,.,370,.,.,.,372,.,514,.,364,385
EB12A,320,Unspecified Chest Pain with CC Score 11+,580,392,586,.,.,.,728,.,.,.,.,.,613,.,.,.,457,544
EB12A,340,Unspecified Chest Pain with CC Score 11+,.,351,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,351
EB12A,361,Unspecified Chest Pain with CC Score 11+,.,.,.,.,.,452,.,.,.,.,.,.,.,.,.,.,.,452
EB12B,100,Unspecified Chest Pain with CC Score 5-10,.,.,.,549,.,389,.,.,.,.,.,.,390,.,.,.,.,443
EB12B,180,Unspecified Chest Pain with CC Score 5-10,.,367,.,.,.,.,.,.,.,.,223,.,280,.,.,.,.,249
EB12B,300,Unspecified Chest Pain with CC Score 5-10,446,401,441,468,376,291,515,.,370,.,357,.,369,.,514,.,364,403
EB12B,301,Unspecified Chest Pain with CC Score 5-10,.,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,373
EB12B,302,Unspecified Chest Pain with CC Score 5-10,.,.,.,.,.,.,.,.,.,.,355,.,476,.,.,.,.,372
EB12B,303,Unspecified Chest Pain with CC Score 5-10,.,.,676,.,.,.,.,.,.,.,.,.,.,.,.,.,.,676
EB12B,320,Unspecified Chest Pain with CC Score 5-10,580,392,598,474,429,558,728,.,721,.,494,.,629,.,808,498,461,511
EB12B,340,Unspecified Chest Pain with CC Score 5-10,.,351,449,.,.,353,.,.,.,.,331,.,453,.,.,.,.,356
EB12B,361,Unspecified Chest Pain with CC Score 5-10,546,.,.,.,.,452,.,.,.,.,.,.,.,.,.,.,.,499
EB12B,430,Unspecified Chest Pain with CC Score 5-10,357,345,523,.,376,.,.,.,.,.,405,.,.,.,656,.,.,426
EB12C,100,Unspecified Chest Pain with CC Score 0-4,446,444,.,549,439,389,.,.,.,.,571,.,393,.,656,.,443,475
EB12C,110,Unspecified Chest Pain with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,414,414
EB12C,120,Unspecified Chest Pain with CC Score 0-4,577,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,577
EB12C,170,Unspecified Chest Pain with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,.,939,.,.,.,.,939
EB12C,180,Unspecified Chest Pain with CC Score 0-4,.,367,.,313,"1,000",.,.,.,.,.,223,.,281,.,.,.,.,311
EB12C,300,Unspecified Chest Pain with CC Score 0-4,446,409,430,468,376,291,515,.,370,.,350,.,369,.,514,.,364,408
EB12C,301,Unspecified Chest Pain with CC Score 0-4,.,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,373
EB12C,302,Unspecified Chest Pain with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,347,.,.,.,.,.,.,347
EB12C,320,Unspecified Chest Pain with CC Score 0-4,580,392,590,474,429,558,728,.,721,.,483,.,615,.,808,498,457,495
EB12C,340,Unspecified Chest Pain with CC Score 0-4,.,351,454,.,832,.,.,.,.,.,342,.,453,.,.,.,.,387
EB12C,361,Unspecified Chest Pain with CC Score 0-4,546,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,546
EB12C,370,Unspecified Chest Pain with CC Score 0-4,.,.,713,.,.,.,.,.,.,.,.,.,.,.,.,.,.,713
EB12C,430,Unspecified Chest Pain with CC Score 0-4,357,345,515,.,376,.,.,.,.,.,342,.,535,.,656,.,307,427
EB12C,501,Unspecified Chest Pain with CC Score 0-4,593,926,.,"1,225",906,"1,096",.,.,.,.,.,.,509,.,.,.,729,839
EB12C,502,Unspecified Chest Pain with CC Score 0-4,.,.,.,.,797,.,.,.,.,.,.,.,.,.,.,.,.,797
EB12C,800,Unspecified Chest Pain with CC Score 0-4,.,.,594,.,.,.,.,.,.,.,.,.,.,.,.,.,.,594
EB13A,300,Angina with CC Score 12+,.,.,.,.,376,291,.,.,370,.,.,.,.,.,514,.,.,385
EB13A,320,Angina with CC Score 12+,.,392,594,.,.,.,728,.,.,.,520,.,.,.,.,.,.,487
EB13B,300,Angina with CC Score 8-11,446,.,452,.,376,291,515,.,370,.,344,.,.,.,514,.,364,375
EB13B,320,Angina with CC Score 8-11,580,392,600,474,429,558,.,.,721,.,493,.,640,.,808,.,457,503
EB13B,361,Angina with CC Score 8-11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,422,422
EB13B,430,Angina with CC Score 8-11,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,.,376
EB13C,180,Angina with CC Score 4-7,.,.,.,.,"1,000",.,.,.,.,.,.,.,.,.,.,.,.,"1,000"
EB13C,300,Angina with CC Score 4-7,446,401,.,468,376,291,515,.,370,.,378,.,367,.,514,.,364,397
EB13C,302,Angina with CC Score 4-7,.,.,.,.,.,.,.,.,.,.,366,.,.,.,.,.,.,366
EB13C,320,Angina with CC Score 4-7,580,392,636,474,429,558,728,.,721,.,492,.,641,.,808,.,457,509
EB13C,340,Angina with CC Score 4-7,.,.,.,.,.,.,.,.,.,.,327,.,.,.,.,.,.,327
EB13C,430,Angina with CC Score 4-7,.,.,.,.,.,.,.,.,.,.,340,.,535,.,.,.,.,437
EB13D,180,Angina with CC Score 0-3,.,367,.,.,"1,000",.,.,.,.,.,223,.,280,.,.,.,.,473
EB13D,300,Angina with CC Score 0-3,446,401,.,468,376,291,515,.,370,.,349,.,366,.,514,.,364,417
EB13D,302,Angina with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,330,.,.,.,.,.,.,330
EB13D,320,Angina with CC Score 0-3,580,392,594,474,429,558,728,.,721,.,486,.,619,.,808,498,457,501
EB13D,340,Angina with CC Score 0-3,.,351,.,.,.,.,.,.,.,.,327,.,453,.,.,.,.,377
EB13D,430,Angina with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,391,.,.,.,656,.,.,523
EB14A,100,Other Acquired Cardiac Conditions with CC Score 13+,.,.,.,.,439,.,.,.,.,.,.,.,.,.,656,.,.,548
EB14A,300,Other Acquired Cardiac Conditions with CC Score 13+,.,401,.,.,376,.,.,.,.,.,.,.,366,.,.,.,.,377
EB14A,301,Other Acquired Cardiac Conditions with CC Score 13+,.,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,373
EB14A,320,Other Acquired Cardiac Conditions with CC Score 13+,.,392,588,.,.,.,.,.,.,.,.,.,613,.,.,.,457,528
EB14A,361,Other Acquired Cardiac Conditions with CC Score 13+,.,.,711,.,.,452,.,.,.,.,.,.,.,.,.,.,.,591
EB14A,430,Other Acquired Cardiac Conditions with CC Score 13+,.,345,.,.,.,.,.,.,.,.,.,.,723,.,.,.,.,534
EB14B,100,Other Acquired Cardiac Conditions with CC Score 9-12,446,.,.,.,439,389,.,.,.,.,.,.,.,.,.,.,.,430
EB14B,170,Other Acquired Cardiac Conditions with CC Score 9-12,.,.,.,.,.,.,.,.,.,.,.,.,940,.,.,.,.,940
EB14B,300,Other Acquired Cardiac Conditions with CC Score 9-12,446,401,.,.,376,291,515,.,370,.,344,.,381,.,514,.,364,405
EB14B,320,Other Acquired Cardiac Conditions with CC Score 9-12,580,392,588,474,429,.,.,.,.,.,.,.,617,.,808,.,457,559
EB14B,330,Other Acquired Cardiac Conditions with CC Score 9-12,.,.,462,.,.,.,.,.,.,.,.,.,.,.,.,.,.,462
EB14B,361,Other Acquired Cardiac Conditions with CC Score 9-12,546,.,685,.,.,452,.,.,.,.,.,.,.,.,.,.,.,563
EB14B,400,Other Acquired Cardiac Conditions with CC Score 9-12,.,.,.,.,.,.,.,.,.,.,.,.,851,.,.,.,.,851
EB14B,430,Other Acquired Cardiac Conditions with CC Score 9-12,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,307,342
EB14C,100,Other Acquired Cardiac Conditions with CC Score 6-8,446,.,.,549,439,389,.,.,.,.,.,.,997,.,.,.,.,519
EB14C,170,Other Acquired Cardiac Conditions with CC Score 6-8,.,.,.,.,.,.,.,.,.,.,.,.,984,.,.,.,.,984
EB14C,180,Other Acquired Cardiac Conditions with CC Score 6-8,.,.,.,.,.,.,.,.,.,.,.,.,280,.,.,.,.,280
EB14C,300,Other Acquired Cardiac Conditions with CC Score 6-8,446,401,429,468,376,291,515,.,.,.,348,.,376,.,514,.,364,394
EB14C,320,Other Acquired Cardiac Conditions with CC Score 6-8,580,392,592,474,429,.,728,.,.,.,.,.,651,.,808,.,457,546
EB14C,340,Other Acquired Cardiac Conditions with CC Score 6-8,.,351,445,.,.,.,.,.,.,.,.,.,464,.,.,.,.,403
EB14C,361,Other Acquired Cardiac Conditions with CC Score 6-8,546,.,695,.,.,.,.,.,.,.,.,.,.,.,.,.,.,670
EB14C,410,Other Acquired Cardiac Conditions with CC Score 6-8,.,.,.,.,.,.,.,580,.,.,.,.,.,.,.,.,.,580
EB14C,430,Other Acquired Cardiac Conditions with CC Score 6-8,.,.,531,.,376,.,.,.,.,.,341,.,535,.,.,.,307,448
EB14D,100,Other Acquired Cardiac Conditions with CC Score 3-5,446,.,.,.,439,389,.,.,.,.,.,.,390,.,.,.,.,423
EB14D,110,Other Acquired Cardiac Conditions with CC Score 3-5,525,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,525
EB14D,120,Other Acquired Cardiac Conditions with CC Score 3-5,577,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,577
EB14D,130,Other Acquired Cardiac Conditions with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,471,.,.,.,.,471
EB14D,170,Other Acquired Cardiac Conditions with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,948,.,.,.,.,948
EB14D,172,Other Acquired Cardiac Conditions with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,845,.,.,.,.,845
EB14D,300,Other Acquired Cardiac Conditions with CC Score 3-5,446,401,.,468,376,291,515,.,370,.,374,.,369,.,514,.,364,397
EB14D,302,Other Acquired Cardiac Conditions with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,340,.,474,.,.,.,.,407
EB14D,303,Other Acquired Cardiac Conditions with CC Score 3-5,564,.,676,.,.,.,.,.,.,.,.,.,.,.,.,.,.,639
EB14D,320,Other Acquired Cardiac Conditions with CC Score 3-5,580,392,630,474,429,558,728,.,.,.,477,.,682,.,808,498,457,557
EB14D,340,Other Acquired Cardiac Conditions with CC Score 3-5,.,351,445,.,.,353,.,.,.,.,.,.,453,.,.,.,.,401
EB14D,361,Other Acquired Cardiac Conditions with CC Score 3-5,.,338,682,.,.,.,.,.,.,.,.,.,.,.,.,.,.,510
EB14D,370,Other Acquired Cardiac Conditions with CC Score 3-5,.,.,713,.,.,.,.,.,.,.,.,.,.,.,.,.,.,713
EB14D,430,Other Acquired Cardiac Conditions with CC Score 3-5,.,345,.,.,376,.,.,.,.,.,340,.,536,.,.,.,.,403
EB14E,100,Other Acquired Cardiac Conditions with CC Score 0-2,446,.,.,.,439,389,.,.,.,.,.,.,"1,000",.,.,.,.,544
EB14E,170,Other Acquired Cardiac Conditions with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,937,.,.,.,.,937
EB14E,180,Other Acquired Cardiac Conditions with CC Score 0-2,.,.,.,.,"1,000",.,.,.,.,.,223,.,280,.,.,.,.,545
EB14E,300,Other Acquired Cardiac Conditions with CC Score 0-2,446,401,429,468,376,291,515,.,370,.,344,.,366,.,514,.,364,393
EB14E,303,Other Acquired Cardiac Conditions with CC Score 0-2,.,.,676,.,.,.,.,.,.,.,.,.,.,.,.,.,.,676
EB14E,320,Other Acquired Cardiac Conditions with CC Score 0-2,580,392,590,474,429,558,728,.,.,.,488,.,666,.,808,498,457,535
EB14E,340,Other Acquired Cardiac Conditions with CC Score 0-2,.,351,.,.,832,.,.,.,.,.,329,.,.,.,.,.,.,417
EB14E,361,Other Acquired Cardiac Conditions with CC Score 0-2,.,338,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,338
EB14E,430,Other Acquired Cardiac Conditions with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,365,.,.,.,.,.,.,365
EB14E,501,Other Acquired Cardiac Conditions with CC Score 0-2,.,926,.,.,.,"1,096",.,.,.,.,.,.,.,.,846,.,729,778
EB14E,502,Other Acquired Cardiac Conditions with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,708,.,.,708
EB15B,340,Primary Pulmonary Hypertension with CC Score 4-8,.,.,445,.,.,.,.,.,.,.,.,.,.,.,.,.,.,445
EB15B,430,Primary Pulmonary Hypertension with CC Score 4-8,.,.,.,.,.,.,.,.,.,.,.,.,.,440,.,.,.,440
EB15C,300,Primary Pulmonary Hypertension with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,364,364
EC10C,170,Very Complex Procedures for Congenital Heart Disease with CC Score 0-6,.,.,.,.,.,.,.,.,.,.,.,.,"9,105",.,.,.,.,"9,105"
EC11B,170,Complex Procedures for Congenital Heart Disease with CC Score 7-14,.,.,.,.,.,.,.,.,.,.,.,.,"11,720",.,.,.,.,"11,720"
EC11C,170,Complex Procedures for Congenital Heart Disease with CC Score 0-6,.,.,.,.,.,.,.,.,.,.,.,.,"8,482",.,.,.,.,"8,482"
EC12B,170,Very Major Procedures for Congenital Heart Disease with CC Score 4-8,.,.,.,.,.,.,.,.,.,.,.,.,"8,005",.,.,.,.,"8,005"
EC12C,170,Very Major Procedures for Congenital Heart Disease with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,"11,233",.,.,.,.,"11,233"
EC13C,170,Major Procedures for Congenital Heart Disease with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,"6,951",.,.,.,.,"6,951"
EC14C,170,Intermediate Procedures for Congenital Heart Disease with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,"2,187",.,.,.,.,"2,187"
EC15B,320,Minor Procedures for Congenital Heart Disease with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,"4,080",.,.,.,.,"4,080"
EC20A,320,Diagnostic Percutaneous Intervention for Congenital Heart Disease with CC Score 4+,"1,539",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,539"
EC20B,320,Diagnostic Percutaneous Intervention for Congenital Heart Disease with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,"1,407",.,.,.,.,"1,407"
ED11Z,100,Standard Repair of Descending Thoracic Aorta,.,.,.,.,.,.,.,.,.,.,.,.,"5,357",.,.,.,.,"5,357"
ED12B,172,Complex Repair of Aortic Root with CC Score 0-6,.,.,.,.,.,.,.,.,.,.,.,.,"21,266",.,.,.,.,"21,266"
ED14A,320,Complex Repair of Ascending Thoracic Aorta with CC Score 7+,.,.,.,.,.,.,.,.,.,.,.,.,"12,532",.,.,.,.,"12,532"
ED15A,170,Standard Repair of Ascending Thoracic Aorta with CC Score 7+,.,.,.,.,.,.,.,.,.,.,.,.,"7,190",.,.,.,.,"7,190"
ED15A,320,Standard Repair of Ascending Thoracic Aorta with CC Score 7+,.,.,.,.,.,.,.,.,.,.,.,.,"4,599",.,.,.,.,"4,599"
ED15B,172,Standard Repair of Ascending Thoracic Aorta with CC Score 0-6,.,.,.,.,.,.,.,.,.,.,.,.,"26,823",.,.,.,.,"26,823"
ED15B,300,Standard Repair of Ascending Thoracic Aorta with CC Score 0-6,.,.,.,.,.,.,.,.,.,.,.,.,"7,154",.,.,.,.,"7,154"
ED20A,170,"Complex, Repair or Replacement, of Multiple Heart Valves, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,.,"11,723",.,.,.,.,"11,723"
ED20B,170,"Complex, Repair or Replacement, of Multiple Heart Valves, with CC Score 0-7",.,.,.,.,.,.,.,.,.,.,.,.,"29,402",.,.,.,.,"29,402"
ED22C,170,"Complex, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,"20,388",.,.,.,.,"20,388"
ED23C,170,"Standard, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,"10,951",.,.,.,.,"10,951"
ED25B,170,"Standard, Single Heart Valve Replacement or Repair, with CC Score 6-10",.,.,.,.,.,.,.,.,.,.,.,.,"9,868",.,.,.,.,"9,868"
ED25B,172,"Standard, Single Heart Valve Replacement or Repair, with CC Score 6-10",.,.,.,.,.,.,.,.,.,.,.,.,"14,839",.,.,.,.,"14,839"
ED25C,170,"Standard, Single Heart Valve Replacement or Repair, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,"9,810",.,.,.,.,"9,810"
ED25C,320,"Standard, Single Heart Valve Replacement or Repair, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,"8,542",.,.,.,.,"8,542"
ED26A,320,Complex Coronary Artery Bypass Graft with CC Score 10+,.,.,.,.,.,.,.,.,.,.,.,.,"10,256",.,.,.,.,"10,256"
ED26B,170,Complex Coronary Artery Bypass Graft with CC Score 5-9,.,.,.,.,.,.,.,.,.,.,.,.,"12,982",.,.,.,.,"12,982"
ED27B,170,Major Coronary Artery Bypass Graft with CC Score 5-9,.,.,.,.,.,.,.,.,.,.,.,.,"9,332",.,.,.,.,"9,332"
ED28A,170,Standard Coronary Artery Bypass Graft with CC Score 10+,.,.,.,.,.,.,.,.,.,.,.,.,"8,661",.,.,.,.,"8,661"
ED28C,320,Standard Coronary Artery Bypass Graft with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,.,"6,088",.,.,.,.,"6,088"
ED31A,300,"Standard, Other Operations on Heart or Pericardium, with CC Score 10+",.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,.,376
ED31B,320,"Standard, Other Operations on Heart or Pericardium, with CC Score 5-9",.,.,.,.,"1,464",.,.,.,.,.,.,.,"1,451",.,.,.,802,"1,239"
ED31B,340,"Standard, Other Operations on Heart or Pericardium, with CC Score 5-9",.,.,.,.,.,.,.,.,.,.,"1,271",.,.,.,.,.,.,"1,271"
ED31B,430,"Standard, Other Operations on Heart or Pericardium, with CC Score 5-9",.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,.,376
ED31C,320,"Standard, Other Operations on Heart or Pericardium, with CC Score 0-4","2,075",.,"2,555",.,"1,464",.,.,.,.,.,.,.,"1,671",.,.,.,.,"1,941"
EY01A,320,"Implantation of Cardioverter Defibrillator with Cardiac Resynchronisation Therapy, with CC Score 9+",.,.,.,.,.,.,.,.,.,.,.,.,"15,601",.,.,.,.,"15,601"
EY01B,320,"Implantation of Cardioverter Defibrillator with Cardiac Resynchronisation Therapy, with CC Score 0-8",.,.,"16,167",.,.,.,.,.,.,.,.,.,"16,136",.,.,.,.,"16,144"
EY02A,320,Implantation of Cardioverter Defibrillator with CC Score 9+,.,.,.,.,.,.,.,.,.,.,.,.,"15,319",.,.,.,.,"15,319"
EY02B,320,Implantation of Cardioverter Defibrillator with CC Score 0-8,580,.,"14,473",.,"1,809",.,.,.,.,.,.,.,"14,904",.,.,.,.,"14,200"
EY03Z,320,Implantation of Biventricular Pacemaker with Other Percutaneous Intervention,.,.,.,.,.,.,.,.,.,.,.,.,"10,123",.,.,.,.,"10,123"
EY05B,320,"Implantation of Dual Chamber Pacemaker with Other Percutaneous Intervention, with CC Score 0-5",.,.,.,.,"2,928",.,.,.,.,.,.,.,.,.,.,.,.,"2,928"
EY06B,320,Implantation of Dual Chamber Pacemaker with CC Score 9-11,.,.,"4,039",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,039"
EY06C,320,Implantation of Dual Chamber Pacemaker with CC Score 6-8,.,.,"3,985",.,"2,928",.,.,.,.,.,.,.,"3,566",.,.,.,.,"3,816"
EY06D,320,Implantation of Dual Chamber Pacemaker with CC Score 3-5,.,.,"4,030",.,"2,608",.,.,.,.,.,.,.,"4,374",.,.,.,.,"3,918"
EY06E,320,Implantation of Dual Chamber Pacemaker with CC Score 0-2,.,.,"4,072",.,"2,608",.,.,.,.,.,.,.,"4,522",.,.,.,.,"4,050"
EY07A,320,"Implantation of Single Chamber Pacemaker with Other Percutaneous Intervention, with CC Score 6+","3,094",.,.,.,"2,828",.,.,.,.,.,.,.,"6,494",.,.,.,.,"4,139"
EY07B,320,"Implantation of Single Chamber Pacemaker with Other Percutaneous Intervention, with CC Score 0-5",.,.,"5,497",.,.,.,.,.,.,.,.,.,"5,673",.,.,.,.,"5,648"
EY08A,320,Implantation of Single Chamber Pacemaker with CC Score 12+,.,.,.,.,"2,828",.,.,.,.,.,.,.,.,.,.,.,.,"2,828"
EY08B,320,Implantation of Single Chamber Pacemaker with CC Score 9-11,.,.,.,.,"2,828",.,.,.,.,.,.,.,.,.,.,.,802,"1,815"
EY08C,320,Implantation of Single Chamber Pacemaker with CC Score 6-8,"1,837",.,"3,630",.,"2,573",.,.,.,.,.,.,.,"2,955",.,.,.,802,"2,708"
EY08D,320,Implantation of Single Chamber Pacemaker with CC Score 3-5,"3,094",.,"3,402",.,"2,828",.,.,.,.,.,.,.,"2,959",.,.,.,.,"3,260"
EY08E,320,Implantation of Single Chamber Pacemaker with CC Score 0-2,.,.,"3,298",474,"2,735",.,.,.,.,.,.,.,"2,998",.,.,.,.,"2,989"
EY09A,170,"Removal of Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,.,"4,437",.,.,.,.,"4,437"
EY09A,320,"Removal of Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,.,"1,375",.,.,.,.,"1,375"
EY09B,170,"Removal of Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,"4,437",.,.,.,.,"4,437"
EY10A,320,"Attention to Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 6+",.,.,"3,302",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,302"
EY10B,320,"Attention to Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 0-5",.,.,"3,214",.,.,.,.,.,.,.,.,.,"3,109",.,.,.,.,"3,188"
EY11Z,300,Testing of Cardiac Pacemaker or Cardioverter Defibrillator,.,.,.,.,.,.,.,.,.,.,.,.,397,.,.,.,.,397
EY11Z,320,Testing of Cardiac Pacemaker or Cardioverter Defibrillator,580,.,617,.,.,.,.,.,.,.,.,.,.,.,.,.,.,598
EY12B,320,Implantation of Electrocardiography Loop Recorder with CC Score 0-2,.,.,"3,027",.,.,.,.,.,.,.,.,.,.,.,.,.,802,"1,914"
EY20B,170,"Transcatheter Aortic Valve Implantation (TAVI) using Other Approach, with CC Score 0-7",.,.,.,.,.,.,.,.,.,.,.,.,"24,044",.,.,.,.,"24,044"
EY22B,320,Complex Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 5-9,.,.,.,.,.,.,.,.,.,.,.,.,"3,811",.,.,.,.,"3,811"
EY22C,300,Complex Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,921,921
EY22C,320,Complex Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,.,"3,640",.,.,.,.,"3,640"
EY23B,320,Standard Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 5-9,.,.,.,.,.,.,.,.,.,.,.,.,"2,821",.,.,.,.,"2,821"
EY23C,320,Standard Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 0-4,.,.,"4,435",.,"1,119",.,.,.,.,.,.,.,"2,719",.,.,.,.,"2,554"
