Quarter Ending ,HSC Trust,Specialty,Programme of Care,0 - 6 weeks,> 6 - 13 weeks,> 13 - 21 weeks,> 21 - 26 weeks,> 26 weeks,>26-52 weeks,>52 weeks,> 26-30 weeks,> 30 weeks,>30-36 weeks,> 26 - 36 weeks,> 36 weeks,Total,
31-Dec-2009,South Eastern,General Medicine,Acute Services,345,309,95,8,1,,,--,--,--,--,--,758,
31-Dec-2009,South Eastern,Gastroenterology,Acute Services,26,12,0,0,0,,,--,--,--,--,--,38,
31-Dec-2009,South Eastern,Haematology (Clinical),Acute Services,1,1,0,0,0,,,--,--,--,--,--,2,
31-Dec-2009,South Eastern,Cardiology,Acute Services,82,60,26,1,0,,,--,--,--,--,--,169,
31-Dec-2009,South Eastern,Dermatology,Acute Services,99,97,10,0,2,,,--,--,--,--,--,208,
31-Dec-2009,South Eastern,Nephrology,Acute Services,1,1,0,0,0,,,--,--,--,--,--,2,
31-Dec-2009,South Eastern,Neurology,Acute Services,0,1,0,0,0,,,--,--,--,--,--,1,
31-Dec-2009,South Eastern,Paediatrics,Acute Services,5,0,0,0,0,,,--,--,--,--,--,5,
31-Dec-2009,South Eastern,Gynaecology,Acute Services,302,223,42,11,0,,,--,--,--,--,--,578,
31-Dec-2009,South Eastern,GP Other,Acute Services,25,2,0,0,0,,,--,--,--,--,--,27,
31-Dec-2009,South Eastern,Clinical Oncology,Acute Services,3,0,0,0,0,,,--,--,--,--,--,3,
31-Dec-2009,South Eastern,Geriatric Medicine,Elderly Care,21,0,0,0,0,,,--,--,--,--,--,21,
31-Dec-2009,Southern,General Surgery,Acute Services,835,733,0,0,0,,,--,--,--,--,--,"1,568",
31-Dec-2009,Southern,Urology,Acute Services,169,207,57,15,8,,,--,--,--,--,--,456,
31-Dec-2009,Southern,T & O Surgery,Acute Services,94,116,35,0,0,,,--,--,--,--,--,245,
31-Dec-2009,Southern,ENT,Acute Services,299,213,0,0,0,,,--,--,--,--,--,512,
31-Dec-2009,Southern,Ophthalmology,Acute Services,111,94,0,0,0,,,--,--,--,--,--,205,
31-Dec-2009,Southern,Oral Surgery,Acute Services,15,15,0,0,0,,,--,--,--,--,--,30,
31-Dec-2009,Southern,Pain Management,Acute Services,27,17,0,0,0,,,--,--,--,--,--,44,
31-Dec-2009,Southern,General Medicine,Acute Services,54,24,0,0,0,,,--,--,--,--,--,78,
31-Dec-2009,Southern,Gastroenterology,Acute Services,194,116,0,0,0,,,--,--,--,--,--,310,
31-Dec-2009,Southern,Haematology (Clinical),Acute Services,20,0,0,0,0,,,--,--,--,--,--,20,
31-Dec-2009,Southern,Cardiology,Acute Services,222,207,0,0,0,,,--,--,--,--,--,429,
31-Dec-2009,Southern,Dermatology,Acute Services,59,64,0,0,0,,,--,--,--,--,--,123,
31-Dec-2009,Southern,Thoracic Medicine,Acute Services,29,7,0,0,0,,,--,--,--,--,--,36,
31-Dec-2009,Southern,Neurology,Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,
31-Dec-2009,Southern,Rheumatology,Acute Services,157,227,2,0,0,,,--,--,--,--,--,386,
31-Dec-2009,Southern,Gynaecology,Acute Services,243,180,0,0,0,,,--,--,--,--,--,423,
31-Dec-2009,Southern,GP Other,Acute Services,82,12,0,0,0,,,--,--,--,--,--,94,
31-Dec-2009,Southern,Clinical Oncology,Acute Services,4,0,0,0,0,,,--,--,--,--,--,4,
31-Dec-2009,Western,General Surgery,Acute Services,823,555,154,25,27,,,--,--,--,--,--,"1,584",
31-Dec-2009,Western,Urology,Acute Services,179,99,41,7,23,,,--,--,--,--,--,349,
31-Dec-2009,Western,T & O Surgery,Acute Services,204,386,331,105,151,,,--,--,--,--,--,"1,177",
31-Dec-2009,Western,ENT,Acute Services,195,175,85,38,3,,,--,--,--,--,--,496,
31-Dec-2009,Western,Ophthalmology,Acute Services,297,219,53,0,0,,,--,--,--,--,--,569,
31-Dec-2009,Western,Oral Surgery,Acute Services,317,62,24,0,0,,,--,--,--,--,--,403,
31-Dec-2009,Western,Pain Management,Acute Services,53,29,0,0,0,,,--,--,--,--,--,82,
31-Dec-2009,Western,General Medicine,Acute Services,601,609,95,0,0,,,--,--,--,--,--,"1,305",
31-Dec-2009,Western,Cardiology,Acute Services,56,51,0,0,0,,,--,--,--,--,--,107,
31-Dec-2009,Western,Paediatrics,Acute Services,10,3,0,0,0,,,--,--,--,--,--,13,
31-Dec-2009,Western,Gynaecology,Acute Services,254,279,54,4,0,,,--,--,--,--,--,591,
31-Dec-2009,Western,GP Other,Acute Services,49,3,0,0,0,,,--,--,--,--,--,52,
31-Mar-2010,Belfast,General Surgery,Acute Services,911,729,26,0,0,,,--,--,--,--,--,"1,666",
31-Mar-2010,Belfast,Urology,Acute Services,766,507,258,62,25,,,--,--,--,--,--,"1,618",
31-Mar-2010,Belfast,T & O Surgery,Acute Services,977,1168,664,122,30,,,--,--,--,--,--,"2,961",
31-Mar-2010,Belfast,ENT,Acute Services,492,462,10,2,0,,,--,--,--,--,--,966,
31-Mar-2010,Belfast,Ophthalmology,Acute Services,988,1100,6,0,6,,,--,--,--,--,--,"2,100",
31-Mar-2010,Belfast,Oral Surgery,Acute Services,77,71,27,0,0,,,--,--,--,--,--,175,
31-Mar-2010,Belfast,Paediatric Dentistry,Acute Services,35,10,11,0,0,,,--,--,--,--,--,56,
31-Mar-2010,Belfast,Neurosurgery,Acute Services,73,73,26,15,1,,,--,--,--,--,--,188,
31-Mar-2010,Belfast,Plastic Surgery,Acute Services,102,107,78,0,2,,,--,--,--,--,--,289,
31-Mar-2010,Belfast,Cardiac Surgery,Acute Services,85,121,83,0,0,,,--,--,--,--,--,289,
31-Mar-2010,Belfast,Paediatric Surgery,Acute Services,101,59,0,0,0,,,--,--,--,--,--,160,
31-Mar-2010,Belfast,Thoracic Surgery,Acute Services,34,17,0,0,0,,,--,--,--,--,--,51,
31-Mar-2010,Belfast,Anaesthetics,Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,
31-Mar-2010,Belfast,Pain Management,Acute Services,187,241,172,5,5,,,--,--,--,--,--,610,
31-Mar-2010,Belfast,General Medicine,Acute Services,519,293,0,0,0,,,--,--,--,--,--,812,
31-Mar-2010,Belfast,Gastroenterology,Acute Services,500,302,0,0,0,,,--,--,--,--,--,802,
31-Mar-2010,Belfast,Endocrinology,Acute Services,20,9,0,0,0,,,--,--,--,--,--,29,
31-Mar-2010,Belfast,Cardiology,Acute Services,310,172,21,5,0,,,--,--,--,--,--,508,
31-Mar-2010,Belfast,Dermatology,Acute Services,25,20,0,0,0,,,--,--,--,--,--,45,
31-Mar-2010,Belfast,Thoracic Medicine,Acute Services,4,3,0,0,0,,,--,--,--,--,--,7,
31-Mar-2010,Belfast,Nephrology,Acute Services,32,24,0,1,3,,,--,--,--,--,--,60,
31-Mar-2010,Belfast,Neurology,Acute Services,36,47,37,0,0,,,--,--,--,--,--,120,
31-Mar-2010,Belfast,Rheumatology,Acute Services,12,0,0,0,0,,,--,--,--,--,--,12,
31-Mar-2010,Belfast,Paediatrics,Acute Services,0,8,0,0,0,,,--,--,--,--,--,8,
31-Mar-2010,Belfast,Gynaecology,Acute Services,314,288,97,0,0,,,--,--,--,--,--,699,
31-Mar-2010,Belfast,Radiology,Acute Services,23,6,0,0,0,,,--,--,--,--,--,29,
31-Mar-2010,Belfast,Mental Illness,Mental Health,4,0,0,0,0,,,--,--,--,--,--,4,
31-Mar-2010,Belfast,Child & Adolescent Psychiatry,Mental Health,6,0,0,0,0,,,--,--,--,--,--,6,
31-Mar-2010,Northern,General Surgery,Acute Services,1250,663,107,0,0,,,--,--,--,--,--,"2,020",
31-Mar-2010,Northern,Urology,Acute Services,247,117,10,0,0,,,--,--,--,--,--,374,
31-Mar-2010,Northern,ENT,Acute Services,258,215,1,0,0,,,--,--,--,--,--,474,
31-Mar-2010,Northern,Oral Surgery,Acute Services,14,9,0,0,0,,,--,--,--,--,--,23,
31-Mar-2010,Northern,Pain Management,Acute Services,102,78,0,0,0,,,--,--,--,--,--,180,
31-Mar-2010,Northern,General Medicine,Acute Services,223,130,50,0,0,,,--,--,--,--,--,403,
31-Mar-2010,Northern,Gastroenterology,Acute Services,595,390,123,0,0,,,--,--,--,--,--,"1,108",
31-Mar-2010,Northern,Cardiology,Acute Services,26,0,0,0,0,,,--,--,--,--,--,26,
31-Mar-2010,Northern,Dermatology,Acute Services,28,17,0,0,0,,,--,--,--,--,--,45,
31-Mar-2010,Northern,Gynaecology,Acute Services,403,266,0,0,0,,,--,--,--,--,--,669,
31-Mar-2010,Northern,GP Other,Acute Services,145,43,0,0,0,,,--,--,--,--,--,188,
31-Mar-2010,South Eastern,General Surgery,Acute Services,591,351,0,0,0,,,--,--,--,--,--,942,
31-Mar-2010,South Eastern,Urology,Acute Services,221,83,0,0,0,,,--,--,--,--,--,304,
31-Mar-2010,South Eastern,T & O Surgery,Acute Services,16,4,0,0,0,,,--,--,--,--,--,20,
31-Mar-2010,South Eastern,ENT,Acute Services,82,50,0,0,0,,,--,--,--,--,--,132,
31-Mar-2010,South Eastern,Ophthalmology,Acute Services,107,100,0,0,0,,,--,--,--,--,--,207,
31-Mar-2010,South Eastern,Oral Surgery,Acute Services,85,43,0,0,0,,,--,--,--,--,--,128,
31-Mar-2010,South Eastern,Plastic Surgery,Acute Services,217,157,115,56,0,,,--,--,--,--,--,545,
31-Mar-2010,South Eastern,Paediatric Surgery,Acute Services,66,50,0,0,0,,,--,--,--,--,--,116,
31-Mar-2010,South Eastern,Pain Management,Acute Services,39,28,0,0,0,,,--,--,--,--,--,67,
31-Mar-2010,South Eastern,General Medicine,Acute Services,508,228,0,0,0,,,--,--,--,--,--,736,
31-Mar-2010,South Eastern,Gastroenterology,Acute Services,32,8,0,0,0,,,--,--,--,--,--,40,
31-Mar-2010,South Eastern,Haematology (Clinical),Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,
31-Mar-2010,South Eastern,Cardiology,Acute Services,89,28,0,0,0,,,--,--,--,--,--,117,
31-Mar-2010,South Eastern,Dermatology,Acute Services,356,191,0,0,0,,,--,--,--,--,--,547,
31-Mar-2010,South Eastern,Nephrology,Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,
31-Mar-2010,South Eastern,Neurology,Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,
31-Mar-2010,South Eastern,Paediatrics,Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,
31-Mar-2010,South Eastern,Gynaecology,Acute Services,282,177,0,0,0,,,--,--,--,--,--,459,
31-Mar-2010,South Eastern,GP Other,Acute Services,34,0,0,0,0,,,--,--,--,--,--,34,
31-Mar-2010,South Eastern,Clinical Oncology,Acute Services,7,0,0,0,0,,,--,--,--,--,--,7,
31-Mar-2010,South Eastern,Geriatric Medicine,Elderly Care,34,1,0,0,0,,,--,--,--,--,--,35,
31-Mar-2010,Southern,General Surgery,Acute Services,840,854,55,0,0,,,--,--,--,--,--,"1,749",
31-Mar-2010,Southern,Urology,Acute Services,209,140,75,0,0,,,--,--,--,--,--,424,
31-Mar-2010,Southern,T & O Surgery,Acute Services,110,118,35,1,0,,,--,--,--,--,--,264,
31-Mar-2010,Southern,ENT,Acute Services,241,213,0,0,0,,,--,--,--,--,--,454,
31-Mar-2010,Southern,Ophthalmology,Acute Services,91,79,0,0,0,,,--,--,--,--,--,170,
31-Mar-2010,Southern,Oral Surgery,Acute Services,13,8,0,0,0,,,--,--,--,--,--,21,
31-Mar-2010,Southern,Pain Management,Acute Services,63,22,0,0,0,,,--,--,--,--,--,85,
31-Mar-2010,Southern,General Medicine,Acute Services,45,27,2,0,0,,,--,--,--,--,--,74,
31-Mar-2010,Southern,Gastroenterology,Acute Services,216,197,35,0,0,,,--,--,--,--,--,448,
31-Mar-2010,Southern,Haematology (Clinical),Acute Services,20,0,0,0,0,,,--,--,--,--,--,20,
31-Mar-2010,Southern,Cardiology,Acute Services,281,155,0,0,0,,,--,--,--,--,--,436,
31-Mar-2010,Southern,Dermatology,Acute Services,56,36,0,0,0,,,--,--,--,--,--,92,
31-Mar-2010,Southern,Thoracic Medicine,Acute Services,40,1,0,0,0,,,--,--,--,--,--,41,
31-Mar-2010,Southern,Rheumatology,Acute Services,268,203,0,0,0,,,--,--,--,--,--,471,
31-Mar-2010,Southern,Paediatrics,Acute Services,2,0,0,0,0,,,--,--,--,--,--,2,
31-Mar-2010,Southern,Gynaecology,Acute Services,226,206,0,0,0,,,--,--,--,--,--,432,
31-Mar-2010,Southern,GP Other,Acute Services,89,15,0,0,0,,,--,--,--,--,--,104,
31-Mar-2010,Southern,Clinical Oncology,Acute Services,4,0,0,0,0,,,--,--,--,--,--,4,
31-Mar-2010,Western,General Surgery,Acute Services,857,553,90,24,0,,,--,--,--,--,--,"1,524",
31-Mar-2010,Western,Urology,Acute Services,274,77,18,12,0,,,--,--,--,--,--,381,
31-Mar-2010,Western,T & O Surgery,Acute Services,323,233,333,251,0,,,--,--,--,--,--,"1,140",
31-Mar-2010,Western,ENT,Acute Services,226,223,13,8,0,,,--,--,--,--,--,470,
31-Mar-2010,Western,Ophthalmology,Acute Services,333,158,0,0,0,,,--,--,--,--,--,491,
31-Mar-2010,Western,Oral Surgery,Acute Services,295,62,0,0,0,,,--,--,--,--,--,357,
31-Mar-2010,Western,Pain Management,Acute Services,72,29,0,0,0,,,--,--,--,--,--,101,
31-Mar-2010,Western,General Medicine,Acute Services,732,510,0,0,0,,,--,--,--,--,--,"1,242",
31-Mar-2010,Western,Cardiology,Acute Services,64,60,0,0,0,,,--,--,--,--,--,124,
31-Mar-2010,Western,Paediatrics,Acute Services,4,10,0,0,0,,,--,--,--,--,--,14,
31-Mar-2010,Western,Gynaecology,Acute Services,355,224,38,0,0,,,--,--,--,--,--,617,
31-Mar-2010,Western,GP Other,Acute Services,65,3,0,0,0,,,--,--,--,--,--,68,
30-Jun-2010,Belfast,General Surgery,Acute Services,962,692,163,38,--,,,--,--,--,22,0,"1,877",
30-Jun-2010,Belfast,Urology,Acute Services,706,530,434,133,--,,,--,--,--,55,16,"1,874",
30-Jun-2010,Belfast,T & O Surgery,Acute Services,"1,026",956,805,198,--,,,--,--,--,87,18,"3,090",
30-Jun-2010,Belfast,ENT,Acute Services,487,511,135,14,--,,,--,--,--,0,0,"1,147",
30-Jun-2010,Belfast,Ophthalmology,Acute Services,822,"1,002",458,22,--,,,--,--,--,2,2,"2,308",
30-Jun-2010,Belfast,Oral Surgery,Acute Services,58,65,71,7,--,,,--,--,--,3,0,204,
30-Jun-2010,Belfast,Paediatric Dentistry,Acute Services,38,12,10,1,--,,,--,--,--,1,0,62,
30-Jun-2010,Belfast,Neurosurgery,Acute Services,88,60,30,18,--,,,--,--,--,4,4,204,
30-Jun-2010,Belfast,Plastic Surgery,Acute Services,173,124,78,42,--,,,--,--,--,11,1,429,
30-Jun-2010,Belfast,Cardiac Surgery,Acute Services,130,100,84,13,--,,,--,--,--,4,1,332,
30-Jun-2010,Belfast,Paediatric Surgery,Acute Services,141,76,33,2,--,,,--,--,--,0,0,252,
30-Jun-2010,Belfast,Thoracic Surgery,Acute Services,40,25,14,4,--,,,--,--,--,0,0,83,
30-Jun-2010,Belfast,Pain Management,Acute Services,155,214,224,68,--,,,--,--,--,18,0,679,
30-Jun-2010,Belfast,General Medicine,Acute Services,417,349,195,2,--,,,--,--,--,0,0,963,
30-Jun-2010,Belfast,Gastroenterology,Acute Services,594,371,24,0,--,,,--,--,--,1,0,990,
30-Jun-2010,Belfast,Endocrinology,Acute Services,20,0,0,0,--,,,--,--,--,0,0,20,
30-Jun-2010,Belfast,Cardiology,Acute Services,296,197,87,10,--,,,--,--,--,6,1,597,
30-Jun-2010,Belfast,Dermatology,Acute Services,23,6,0,0,--,,,--,--,--,0,0,29,
30-Jun-2010,Belfast,Thoracic Medicine,Acute Services,3,0,0,0,--,,,--,--,--,0,0,3,
30-Jun-2010,Belfast,Nephrology,Acute Services,35,16,2,1,--,,,--,--,--,0,1,55,
30-Jun-2010,Belfast,Neurology,Acute Services,57,36,47,22,--,,,--,--,--,7,0,169,
30-Jun-2010,Belfast,Rheumatology,Acute Services,0,1,4,0,--,,,--,--,--,0,0,5,
30-Jun-2010,Belfast,Gynaecology,Acute Services,327,251,160,42,--,,,--,--,--,15,1,796,
30-Jun-2010,Belfast,GP Other,Acute Services,8,0,0,0,--,,,--,--,--,0,0,8,
30-Jun-2010,Belfast,Radiology,Acute Services,21,5,10,3,--,,,--,--,--,0,0,39,
30-Jun-2010,Belfast,Mental Illness,Mental Health,1,0,0,0,--,,,--,--,--,0,0,1,
30-Jun-2010,Belfast,Child & Adolescent Psychiatry,Mental Health,6,0,0,0,--,,,--,--,--,0,0,6,
30-Jun-2010,Northern,General Surgery,Acute Services,952,663,454,102,--,,,--,--,--,37,1,"2,209",
30-Jun-2010,Northern,Urology,Acute Services,270,182,85,25,--,,,--,--,--,7,3,572,
30-Jun-2010,Northern,ENT,Acute Services,241,197,49,7,--,,,--,--,--,0,0,494,
30-Jun-2010,Northern,Oral Surgery,Acute Services,10,8,1,0,--,,,--,--,--,0,0,19,
30-Jun-2010,Northern,Pain Management,Acute Services,64,40,65,3,--,,,--,--,--,0,0,172,
30-Jun-2010,Northern,General Medicine,Acute Services,172,107,107,37,--,,,--,--,--,28,0,451,
30-Jun-2010,Northern,Gastroenterology,Acute Services,619,414,287,56,--,,,--,--,--,3,0,"1,379",
30-Jun-2010,Northern,Cardiology,Acute Services,42,13,0,0,--,,,--,--,--,0,0,55,
30-Jun-2010,Northern,Dermatology,Acute Services,25,17,3,1,--,,,--,--,--,0,0,46,
30-Jun-2010,Northern,Rheumatology,Acute Services,2,0,0,0,--,,,--,--,--,0,0,2,
30-Jun-2010,Northern,Gynaecology,Acute Services,291,324,167,11,--,,,--,--,--,1,0,794,
30-Jun-2010,Northern,GP Other,Acute Services,110,31,0,0,--,,,--,--,--,0,0,141,
30-Jun-2010,South Eastern,General Surgery,Acute Services,684,215,74,14,--,,,--,--,--,1,0,988,
30-Jun-2010,South Eastern,Urology,Acute Services,169,24,6,0,--,,,--,--,--,0,0,199,
30-Jun-2010,South Eastern,T & O Surgery,Acute Services,17,7,0,0,--,,,--,--,--,0,0,24,
30-Jun-2010,South Eastern,ENT,Acute Services,118,59,2,0,--,,,--,--,--,0,0,179,
30-Jun-2010,South Eastern,Ophthalmology,Acute Services,138,82,0,0,--,,,--,--,--,0,0,220,
30-Jun-2010,South Eastern,Oral Surgery,Acute Services,35,20,6,0,--,,,--,--,--,0,0,61,
30-Jun-2010,South Eastern,Plastic Surgery,Acute Services,250,154,447,63,--,,,--,--,--,117,48,"1,079",
30-Jun-2010,South Eastern,Paediatric Surgery,Acute Services,51,37,0,0,--,,,--,--,--,0,0,88,
30-Jun-2010,South Eastern,Pain Management,Acute Services,40,18,0,0,--,,,--,--,--,0,0,58,
30-Jun-2010,South Eastern,General Medicine,Acute Services,395,261,87,3,--,,,--,--,--,0,0,746,
30-Jun-2010,South Eastern,Gastroenterology,Acute Services,1,6,0,0,--,,,--,--,--,0,0,7,
30-Jun-2010,South Eastern,Haematology (Clinical),Acute Services,5,0,0,0,--,,,--,--,--,0,0,5,
30-Jun-2010,South Eastern,Cardiology,Acute Services,86,58,18,3,--,,,--,--,--,0,0,165,
30-Jun-2010,South Eastern,Dermatology,Acute Services,73,79,37,1,--,,,--,--,--,0,0,190,
30-Jun-2010,South Eastern,Nephrology,Acute Services,2,0,0,0,--,,,--,--,--,0,0,2,
30-Jun-2010,South Eastern,Neurology,Acute Services,2,1,0,0,--,,,--,--,--,0,0,3,
30-Jun-2010,South Eastern,Paediatrics,Acute Services,6,0,0,0,--,,,--,--,--,0,0,6,
30-Jun-2010,South Eastern,Gynaecology,Acute Services,332,210,35,6,--,,,--,--,--,1,0,584,
30-Jun-2010,South Eastern,GP Other,Acute Services,6,3,0,0,--,,,--,--,--,0,0,9,
30-Jun-2010,South Eastern,Clinical Oncology,Acute Services,5,0,0,0,--,,,--,--,--,0,0,5,
30-Jun-2010,South Eastern,Geriatric Medicine,Elderly Care,28,0,0,0,--,,,--,--,--,0,0,28,
30-Jun-2010,Southern,General Surgery,Acute Services,857,720,468,97,--,,,--,--,--,0,0,"2,142",
30-Jun-2010,Southern,Urology,Acute Services,165,159,141,62,--,,,--,--,--,49,4,580,
30-Jun-2010,Southern,T & O Surgery,Acute Services,102,101,43,4,--,,,--,--,--,0,0,250,
30-Jun-2010,Southern,ENT,Acute Services,250,239,0,0,--,,,--,--,--,0,0,489,
30-Jun-2010,Southern,Ophthalmology,Acute Services,86,83,0,0,--,,,--,--,--,0,0,169,
30-Jun-2010,Southern,Oral Surgery,Acute Services,14,17,0,0,--,,,--,--,--,0,0,31,
30-Jun-2010,Southern,Pain Management,Acute Services,88,95,0,0,--,,,--,--,--,0,0,183,
30-Jun-2010,Southern,General Medicine,Acute Services,49,19,18,5,--,,,--,--,--,0,0,91,
30-Jun-2010,Southern,Gastroenterology,Acute Services,179,148,223,38,--,,,--,--,--,0,0,588,
30-Jun-2010,Southern,Haematology (Clinical),Acute Services,7,3,0,0,--,,,--,--,--,0,0,10,
30-Jun-2010,Southern,Cardiology,Acute Services,240,206,80,1,--,,,--,--,--,0,0,527,
30-Jun-2010,Southern,Dermatology,Acute Services,55,44,0,0,--,,,--,--,--,0,0,99,
30-Jun-2010,Southern,Thoracic Medicine,Acute Services,51,6,0,0,--,,,--,--,--,0,0,57,
30-Jun-2010,Southern,Neurology,Acute Services,2,0,0,0,--,,,--,--,--,0,0,2,
30-Jun-2010,Southern,Rheumatology,Acute Services,180,241,230,2,--,,,--,--,--,0,0,653,
30-Jun-2010,Southern,Paediatrics,Acute Services,4,1,0,0,--,,,--,--,--,0,0,5,
30-Jun-2010,Southern,Gynaecology,Acute Services,321,223,0,0,--,,,--,--,--,0,0,544,
30-Jun-2010,Southern,GP Other,Acute Services,103,20,0,0,--,,,--,--,--,0,0,123,
30-Jun-2010,Southern,Clinical Oncology,Acute Services,0,1,0,0,--,,,--,--,--,0,0,1,
30-Jun-2010,Western,General Surgery,Acute Services,727,551,265,36,--,,,--,--,--,43,4,"1,626",
30-Jun-2010,Western,Urology,Acute Services,210,101,59,21,--,,,--,--,--,14,2,407,
30-Jun-2010,Western,T & O Surgery,Acute Services,220,258,300,135,--,,,--,--,--,332,35,"1,280",
30-Jun-2010,Western,ENT,Acute Services,239,219,95,13,--,,,--,--,--,12,0,578,
30-Jun-2010,Western,Ophthalmology,Acute Services,304,218,47,1,--,,,--,--,--,1,0,571,
30-Jun-2010,Western,Oral Surgery,Acute Services,208,55,25,0,--,,,--,--,--,0,0,288,
30-Jun-2010,Western,Pain Management,Acute Services,58,41,23,0,--,,,--,--,--,0,0,122,
30-Jun-2010,Western,General Medicine,Acute Services,730,673,23,0,--,,,--,--,--,0,0,"1,426",
30-Jun-2010,Western,Cardiology,Acute Services,69,73,2,0,--,,,--,--,--,0,0,144,
30-Jun-2010,Western,Paediatrics,Acute Services,5,4,3,0,--,,,--,--,--,0,0,12,
30-Jun-2010,Western,Gynaecology,Acute Services,257,219,112,13,--,,,--,--,--,0,0,601,
30-Jun-2010,Western,GP Other,Acute Services,69,5,0,0,--,,,--,--,--,0,0,74,
30-Sep-2010,Belfast,General Surgery,Acute Services,"1,032",707,427,70,--,,,--,--,--,47,22,"2,305",
30-Sep-2010,Belfast,Urology,Acute Services,768,559,356,171,--,,,--,--,--,227,37,"2,118",
30-Sep-2010,Belfast,T & O Surgery,Acute Services,69,35,"1,331",589,--,,,--,--,--,871,201,"3,096",
30-Sep-2010,Belfast,ENT,Acute Services,382,371,345,101,--,,,--,--,--,29,2,"1,230",
30-Sep-2010,Belfast,Ophthalmology,Acute Services,908,"1,073",582,67,--,,,--,--,--,50,6,"2,686",
30-Sep-2010,Belfast,Oral Surgery,Acute Services,63,58,66,16,--,,,--,--,--,8,0,211,
30-Sep-2010,Belfast,Paediatric Dentistry,Acute Services,29,21,8,1,--,,,--,--,--,0,0,59,
30-Sep-2010,Belfast,Neurosurgery,Acute Services,59,55,42,3,--,,,--,--,--,8,6,173,
30-Sep-2010,Belfast,Plastic Surgery,Acute Services,103,82,123,43,--,,,--,--,--,43,20,414,
30-Sep-2010,Belfast,Cardiac Surgery,Acute Services,131,97,98,20,--,,,--,--,--,1,0,347,
30-Sep-2010,Belfast,Paediatric Surgery,Acute Services,77,65,84,15,--,,,--,--,--,9,0,250,
30-Sep-2010,Belfast,Thoracic Surgery,Acute Services,48,16,18,11,--,,,--,--,--,9,0,102,
30-Sep-2010,Belfast,Pain Management,Acute Services,111,169,223,80,--,,,--,--,--,182,19,784,
30-Sep-2010,Belfast,General Medicine,Acute Services,363,321,199,132,--,,,--,--,--,55,1,"1,071",
30-Sep-2010,Belfast,Gastroenterology,Acute Services,533,321,263,10,--,,,--,--,--,0,1,"1,128",
30-Sep-2010,Belfast,Endocrinology,Acute Services,16,6,0,0,--,,,--,--,--,0,0,22,
30-Sep-2010,Belfast,Rehabilitation,Acute Services,0,0,0,0,--,,,--,--,--,1,2,3,
30-Sep-2010,Belfast,Cardiology,Acute Services,308,215,61,26,--,,,--,--,--,23,1,634,
30-Sep-2010,Belfast,Dermatology,Acute Services,29,9,5,0,--,,,--,--,--,0,0,43,
30-Sep-2010,Belfast,Thoracic Medicine,Acute Services,2,2,0,0,--,,,--,--,--,0,0,4,
30-Sep-2010,Belfast,Nephrology,Acute Services,41,17,5,0,--,,,--,--,--,1,0,64,
30-Sep-2010,Belfast,Neurology,Acute Services,23,23,49,24,--,,,--,--,--,45,5,169,
30-Sep-2010,Belfast,Rheumatology,Acute Services,0,0,0,0,--,,,--,--,--,5,0,5,
30-Sep-2010,Belfast,Paediatrics,Acute Services,20,11,4,1,--,,,--,--,--,0,0,36,
30-Sep-2010,Belfast,Gynaecology,Acute Services,318,238,203,55,--,,,--,--,--,47,9,870,
30-Sep-2010,Belfast,GP Other,Acute Services,9,0,0,0,--,,,--,--,--,0,0,9,
30-Sep-2010,Belfast,Radiology,Acute Services,12,2,4,2,--,,,--,--,--,10,2,32,
30-Sep-2010,Belfast,Mental Illness,Mental Health,0,1,0,0,--,,,--,--,--,0,0,1,
30-Sep-2010,Belfast,Child & Adolescent Psychiatry,Mental Health,4,0,0,0,--,,,--,--,--,0,0,4,
30-Sep-2010,Belfast,Forensic Psychiatry,Mental Health,1,0,0,0,--,,,--,--,--,0,0,1,
30-Sep-2010,Northern,General Surgery,Acute Services,893,557,444,167,--,,,--,--,--,262,70,"2,393",
30-Sep-2010,Northern,Urology,Acute Services,241,113,108,22,--,,,--,--,--,52,0,536,
30-Sep-2010,Northern,ENT,Acute Services,225,119,63,22,--,,,--,--,--,4,0,433,
30-Sep-2010,Northern,Ophthalmology,Acute Services,2,11,2,10,--,,,--,--,--,1,0,26,
30-Sep-2010,Northern,Oral Surgery,Acute Services,5,7,6,0,--,,,--,--,--,0,0,18,
30-Sep-2010,Northern,Pain Management,Acute Services,63,46,31,18,--,,,--,--,--,2,0,160,
30-Sep-2010,Northern,General Medicine,Acute Services,169,101,94,37,--,,,--,--,--,86,31,518,
30-Sep-2010,Northern,Gastroenterology,Acute Services,435,358,376,161,--,,,--,--,--,208,16,"1,554",
30-Sep-2010,Northern,Cardiology,Acute Services,32,1,1,0,--,,,--,--,--,0,0,34,
30-Sep-2010,Northern,Dermatology,Acute Services,33,25,13,2,--,,,--,--,--,0,0,73,
30-Sep-2010,Northern,Gynaecology,Acute Services,288,235,199,61,--,,,--,--,--,48,1,832,
30-Sep-2010,Northern,GP Other,Acute Services,40,1,0,0,--,,,--,--,--,0,0,41,
30-Sep-2010,Northern,Other,Acute Services,82,26,0,0,--,,,--,--,--,0,0,108,
