HRG,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Total
DZ02L,"Complex Thoracic Procedures, between 2 and 18 years",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
DZ09D,Pulmonary Embolus with CC Score 12+,1,3,1,.,3,.,.,.,.,1,.,.,.,.,.,1,10
DZ09E,Pulmonary Embolus with CC Score 9-11,1,8,4,2,4,2,.,.,2,1,1,11,.,.,.,6,42
DZ09F,Pulmonary Embolus with CC Score 6-8,14,15,10,9,14,8,4,.,3,1,8,19,.,6,.,15,126
DZ09G,Pulmonary Embolus with CC Score 3-5,28,39,34,15,27,13,8,.,10,.,17,33,.,7,.,35,266
DZ09H,Pulmonary Embolus with CC Score 0-2,16,43,30,21,28,20,8,.,5,.,27,37,.,14,.,60,309
DZ10D,Lung Abscess-Empyema with CC Score 10+,1,.,.,.,1,.,.,.,.,.,1,5,.,2,.,1,11
DZ10E,Lung Abscess-Empyema with CC Score 7-9,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,1,2
DZ10F,Lung Abscess-Empyema with CC Score 3-6,.,5,7,.,2,2,.,.,.,.,.,5,2,1,.,4,28
DZ10G,Lung Abscess-Empyema with CC Score 0-2,4,1,1,.,.,.,.,.,1,.,3,3,.,.,.,2,15
DZ11D,"Lobar, Atypical or Viral Pneumonia, with CC Score 15+",2,16,.,1,7,1,5,.,10,11,6,2,4,2,.,24,91
DZ11E,"Lobar, Atypical or Viral Pneumonia, with CC Score 12-14",24,77,2,12,39,8,14,.,23,7,15,16,5,18,.,72,332
DZ11F,"Lobar, Atypical or Viral Pneumonia, with CC Score 9-11",69,196,49,34,92,33,47,.,60,11,35,58,8,47,.,228,967
DZ11G,"Lobar, Atypical or Viral Pneumonia, with CC Score 6-8",208,409,119,65,220,83,103,.,120,14,154,164,8,89,.,389,"2,145"
DZ11H,"Lobar, Atypical or Viral Pneumonia, with CC Score 3-5",282,426,169,120,242,164,89,.,101,3,226,248,1,101,.,454,"2,626"
DZ11J,"Lobar, Atypical or Viral Pneumonia, with CC Score 0-2",111,188,92,50,132,73,42,.,44,.,142,133,.,44,.,189,"1,240"
DZ12C,Bronchiectasis with CC Score 8+,7,8,7,7,.,.,3,.,5,.,3,2,.,5,.,1,48
DZ12D,Bronchiectasis with CC Score 5-7,16,20,28,8,1,2,4,.,8,.,4,9,.,4,.,17,121
DZ12E,Bronchiectasis with CC Score 2-4,22,18,63,14,4,5,5,.,10,.,30,13,.,5,.,10,199
DZ12F,Bronchiectasis with CC Score 0-1,5,3,33,2,3,.,.,.,2,.,9,6,.,1,.,2,66
DZ14C,"Pulmonary, Pleural or Other Tuberculosis, with CC Score 5+",5,.,.,2,4,.,.,.,.,.,.,1,.,.,.,2,14
DZ14D,"Pulmonary, Pleural or Other Tuberculosis, with CC Score 2-4",2,1,5,.,4,.,.,.,2,.,.,9,.,1,.,1,25
DZ14E,"Pulmonary, Pleural or Other Tuberculosis, with CC Score 0-1",.,1,3,.,6,.,.,.,.,.,.,11,.,.,.,.,21
DZ15G,Asthma with Intubation,.,1,.,.,1,.,.,.,1,.,.,.,.,.,.,.,3
DZ15H,"Asthma without Intubation, with CC Score 9+",1,3,.,4,.,.,.,.,3,.,.,.,.,1,.,2,14
DZ15J,"Asthma without Intubation, with CC Score 6-8",12,7,4,7,7,5,2,.,6,.,.,1,.,4,.,12,67
DZ15K,"Asthma without Intubation, with CC Score 3-5",34,19,16,11,14,8,5,.,14,.,15,24,.,6,.,30,196
DZ15L,"Asthma without Intubation, with CC Score 0-2",61,41,23,19,45,26,16,.,21,.,39,52,.,13,.,54,410
DZ16D,Pleural Effusion with CC Score 12+,.,3,.,.,2,.,1,.,.,.,.,1,.,.,.,5,12
DZ16E,Pleural Effusion with CC Score 8-11,3,5,4,3,9,2,.,.,2,.,5,5,2,2,.,12,54
DZ16F,Pleural Effusion with CC Score 4-7,20,20,16,10,23,5,1,.,2,.,11,18,.,4,.,44,174
DZ16G,Pleural Effusion with CC Score 0-3,16,8,46,4,19,7,1,.,.,.,6,40,.,5,.,39,191
DZ17E,Respiratory Neoplasms with CC Score 11+,4,7,6,1,5,.,1,.,2,1,6,3,4,1,.,11,52
DZ17F,Respiratory Neoplasms with CC Score 8-10,19,21,31,8,20,1,2,.,2,.,12,11,1,4,.,32,164
DZ17G,Respiratory Neoplasms with CC Score 5-7,44,33,78,10,26,8,1,.,9,.,21,20,1,14,.,56,321
DZ17H,Respiratory Neoplasms with CC Score 3-4,18,19,87,4,18,8,3,.,6,.,17,21,.,4,.,42,247
DZ17J,Respiratory Neoplasms with CC Score 1-2,11,11,39,5,8,2,.,.,1,.,7,4,.,3,.,22,113
DZ17K,Respiratory Neoplasms with CC Score 0,2,1,12,2,2,2,.,.,.,.,4,1,.,.,.,1,27
DZ18A,Sleeping Disorders Affecting Breathing with CC Score 5+,2,.,.,.,.,1,.,.,.,.,.,2,.,.,.,1,6
DZ18B,Sleeping Disorders Affecting Breathing with CC Score 2-4,.,.,4,.,3,2,.,.,.,.,1,2,.,1,.,2,15
DZ18C,Sleeping Disorders Affecting Breathing with CC Score 0-1,.,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,2
DZ19D,Other Respiratory Disorders with CC Score 12+,.,.,1,.,2,.,1,.,1,.,.,.,.,.,.,1,6
DZ19E,Other Respiratory Disorders with CC Score 9-11,4,7,1,.,5,3,.,.,1,1,.,.,.,1,.,5,28
DZ19F,Other Respiratory Disorders with CC Score 6-8,18,12,9,6,12,1,2,.,1,3,3,9,1,5,.,16,98
DZ19G,Other Respiratory Disorders with CC Score 0-5,70,37,47,14,53,23,3,.,10,2,33,52,.,15,.,60,419
DZ20A,Pulmonary Oedema with CC Score 9+,1,.,.,.,5,1,.,.,.,.,.,7,.,.,.,.,14
DZ20B,Pulmonary Oedema with CC Score 4-8,7,1,1,.,9,5,.,.,.,.,4,4,.,6,.,4,41
DZ20C,Pulmonary Oedema with CC Score 0-3,2,1,1,1,.,3,.,.,.,.,.,2,.,2,.,1,13
DZ21L,"Chronic Obstructive Pulmonary Disease or Bronchitis, with Intubation",2,3,1,.,.,.,.,.,.,.,.,.,.,.,.,.,6
DZ21M,"Chronic Obstructive Pulmonary Disease or Bronchitis, with NIV, without Intubation, with CC Score 8+",3,5,.,.,4,1,3,.,.,.,3,7,.,.,.,2,28
DZ21N,"Chronic Obstructive Pulmonary Disease or Bronchitis, with NIV, without Intubation, with CC Score 4-7",18,25,.,13,8,5,10,.,6,.,14,34,.,.,.,4,137
DZ21P,"Chronic Obstructive Pulmonary Disease or Bronchitis, with NIV, without Intubation, with CC Score 0-3",18,19,2,16,12,11,2,.,2,.,27,25,.,1,.,10,145
DZ21Q,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 13+",4,9,.,3,.,.,1,.,1,4,3,.,4,1,.,3,33
DZ21R,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 10-12",7,8,2,7,11,.,9,.,5,5,7,8,1,10,.,20,100
DZ21S,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 7-9",54,61,39,20,54,7,20,.,16,4,27,44,1,58,.,86,491
DZ21T,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 4-6",151,180,166,62,141,59,81,.,65,3,142,187,4,123,.,239,"1,603"
DZ21U,"Chronic Obstructive Pulmonary Disease or Bronchitis, without NIV, without Intubation, with CC Score 0-3",193,256,285,86,272,140,48,.,74,1,347,253,.,84,.,316,"2,355"
DZ22D,Unspecified Acute Lower Respiratory Infection with CC Score 14+,.,4,7,1,6,.,1,.,.,3,.,.,2,5,.,13,42
DZ22E,Unspecified Acute Lower Respiratory Infection with CC Score 11-13,2,4,7,12,15,4,6,.,8,7,.,3,5,9,.,28,110
DZ22F,Unspecified Acute Lower Respiratory Infection with CC Score 8-10,33,32,46,24,48,11,23,.,13,4,8,27,2,64,.,90,425
DZ22G,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,116,89,144,40,123,48,43,1,47,7,29,57,3,128,.,194,"1,069"
DZ22H,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,122,134,182,76,152,76,31,.,48,2,45,107,1,96,.,178,"1,250"
DZ22J,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,27,29,55,15,49,25,8,.,6,.,17,51,.,30,.,37,349
DZ23D,Bronchopneumonia with CC Score 13+,7,13,1,1,9,.,.,.,2,1,4,1,1,3,.,17,60
DZ23E,Bronchopneumonia with CC Score 9-12,59,53,16,10,14,4,.,.,7,3,3,6,.,18,.,72,265
DZ23F,Bronchopneumonia with CC Score 5-8,48,73,20,19,52,22,1,.,18,3,13,15,.,42,.,70,396
DZ23G,Bronchopneumonia with CC Score 0-4,49,30,34,10,39,15,.,.,9,.,7,7,.,35,.,43,278
DZ24D,"Inhalation Lung Injury or Foreign Body, with CC Score 13+",.,12,3,2,8,2,1,.,2,5,.,1,2,.,.,3,41
DZ24E,"Inhalation Lung Injury or Foreign Body, with CC Score 10-12",4,20,15,3,10,7,2,.,5,2,8,.,2,1,.,19,98
DZ24F,"Inhalation Lung Injury or Foreign Body, with CC Score 7-9",16,63,22,21,36,9,10,.,16,3,15,20,1,19,.,35,286
DZ24G,"Inhalation Lung Injury or Foreign Body, with CC Score 4-6",35,113,29,44,51,41,15,.,18,.,29,39,.,30,.,66,510
DZ24H,"Inhalation Lung Injury or Foreign Body, with CC Score 0-3",36,74,38,20,55,26,1,.,4,.,37,31,.,9,.,21,352
DZ25C,"Fibrosis or Pneumoconiosis, with CC Score 8+",4,3,1,.,9,.,2,.,7,1,1,2,.,4,.,6,40
DZ25D,"Fibrosis or Pneumoconiosis, with CC Score 5-7",11,11,12,.,10,3,3,.,3,.,7,7,2,6,.,13,88
DZ25E,"Fibrosis or Pneumoconiosis, with CC Score 2-4",14,12,6,5,6,4,5,.,11,.,7,10,1,7,.,31,119
DZ25F,"Fibrosis or Pneumoconiosis, with CC Score 0-1",1,7,.,2,4,.,.,.,1,.,4,5,.,.,.,6,30
DZ26C,"Pneumothorax or Intrathoracic Injuries, with CC Score 8+",2,5,.,2,1,.,.,.,.,.,.,3,.,2,.,1,16
DZ26D,"Pneumothorax or Intrathoracic Injuries, with CC Score 5-7",3,10,1,2,9,.,.,.,.,.,.,7,1,4,.,10,47
DZ26E,"Pneumothorax or Intrathoracic Injuries, with CC Score 2-4",13,9,3,5,15,6,.,.,.,.,15,18,.,3,.,11,98
DZ26F,"Pneumothorax or Intrathoracic Injuries, with CC Score 0-1",11,19,5,4,26,6,.,.,1,.,17,30,.,9,.,16,144
DZ27G,Respiratory Failure with Intubation,5,5,.,.,1,.,.,.,1,.,.,.,.,1,.,.,13
DZ27H,"Respiratory Failure without Intubation, with CC Score 12+",2,2,.,.,2,.,.,.,1,.,.,2,.,1,.,2,12
DZ27J,"Respiratory Failure without Intubation, with CC Score 8-11",4,3,7,3,6,8,3,.,1,2,5,7,1,5,.,19,74
DZ27K,"Respiratory Failure without Intubation, with CC Score 4-7",29,16,20,7,13,26,4,1,7,.,9,20,.,8,.,31,191
DZ27L,"Respiratory Failure without Intubation, with CC Score 0-3",16,12,5,10,13,12,1,.,1,.,2,12,.,5,.,7,96
DZ28A,Pleurisy with CC Score 3+,.,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,3
DZ28B,Pleurisy with CC Score 0-2,.,.,3,.,3,.,.,.,1,.,4,.,.,.,.,.,11
DZ29C,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 7+",1,2,1,.,3,1,.,.,.,.,.,.,.,.,.,.,8
DZ29D,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 4-6",2,3,.,1,2,2,.,1,.,.,.,.,.,2,.,.,13
DZ29E,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 2-3",5,6,10,.,3,4,.,2,.,.,2,.,.,.,.,.,32
DZ29F,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 0-1",8,.,3,.,1,1,.,1,.,.,2,4,.,.,.,1,21
DZ51Z,Complex Tuberculosis,.,.,.,1,.,.,.,.,.,.,.,1,.,.,.,1,3
DZ54Z,Complex Bronchoscopy,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
DZ63A,"Major Thoracic Procedures, 19 years and over, with CC Score 6+",.,.,2,.,.,.,.,.,.,.,.,4,.,.,.,.,6
DZ63B,"Major Thoracic Procedures, 19 years and over, with CC Score 3-5",.,.,.,.,1,.,.,.,.,.,.,1,.,.,.,.,2
DZ63C,"Major Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
DZ64A,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 6+",.,4,2,.,3,.,.,.,.,.,.,6,.,.,.,.,15
DZ64B,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 3-5",.,5,4,.,3,.,.,.,.,.,.,10,.,1,.,.,23
DZ64C,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,5,.,2,.,.,.,.,.,.,16,.,1,.,.,24
EA03A,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 11+",.,.,.,.,1,.,.,.,.,.,.,2,.,.,.,.,3
EA03B,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 8-10",.,.,2,.,1,.,.,.,.,.,1,2,.,.,.,1,7
EA03C,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 5-7",.,.,2,2,2,.,.,.,.,.,.,5,.,.,.,1,12
EA03D,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 2-4",4,3,4,.,3,.,.,.,.,.,.,12,.,.,.,3,29
EA03E,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 0-1",1,1,4,.,2,.,.,.,.,.,.,2,.,.,.,.,10
EA05A,"Pace 2: Dual Chamber, with CC Score 9+",.,.,3,.,.,.,.,.,.,.,.,8,.,.,.,.,11
EA05B,"Pace 2: Dual Chamber, with CC Score 5-8",.,.,8,.,2,.,.,.,.,.,.,10,.,.,.,.,20
EA05C,"Pace 2: Dual Chamber, with CC Score 2-4",.,.,26,.,3,.,.,.,.,.,.,29,.,.,.,.,58
EA05D,"Pace 2: Dual Chamber, with CC Score 0-1",.,.,13,.,2,.,.,.,.,.,.,8,.,.,.,.,23
EA07B,"Pace 3: Biventricular and all Congenital Pacemaker Procedures; Resynchronisation Therapy, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
EA07C,"Pace 3: Biventricular and all Congenital Pacemaker Procedures; Resynchronisation Therapy, with CC Score 0-3",.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
EA11A,"Percutaneous Interventions: Other including Septostomy, Embolisation, Non-Coronary Stents and Energy Moderated Perforation, with CC Score 3+",.,.,1,.,.,.,.,.,.,.,.,1,.,.,.,.,2
EA11B,"Percutaneous Interventions: Other including Septostomy, Embolisation, Non-Coronary Stents and Energy Moderated Perforation, with CC Score 0-2",1,.,5,.,.,.,.,.,.,.,.,2,.,.,.,1,9
EA12A,"Implantation of Cardioverter; Defibrillator only, with CC Score 9+",.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,6
EA12B,"Implantation of Cardioverter; Defibrillator only, with CC Score 6-8",.,.,5,.,.,.,.,.,.,.,.,6,.,.,.,.,11
EA12C,"Implantation of Cardioverter; Defibrillator only, with CC Score 3-5",.,.,5,.,.,.,.,.,.,.,.,13,.,.,.,.,18
EA12D,"Implantation of Cardioverter; Defibrillator only, with CC Score 0-2",.,.,9,.,.,.,.,.,.,.,.,22,.,.,.,.,31
EA14A,Coronary Artery Bypass Graft (First Time) with CC Score 12+,.,.,.,.,.,.,.,.,.,.,.,12,.,.,.,.,12
EA14B,Coronary Artery Bypass Graft (First Time) with CC Score 7-11,.,.,.,.,.,.,.,.,.,.,.,35,.,.,.,.,35
EA14C,Coronary Artery Bypass Graft (First Time) with CC Score 3-6,.,.,.,.,.,.,.,.,.,.,.,60,.,.,.,.,60
EA14D,Coronary Artery Bypass Graft (First Time) with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,42,.,.,.,.,42
EA16D,"Coronary Artery Bypass Graft (First Time) with Percutaneous Coronary Intervention, Pacing, EP or RFA, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
EA17A,Single Cardiac Valve Procedures with CC Score 9+,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
EA17B,Single Cardiac Valve Procedures with CC Score 6-8,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
EA17C,Single Cardiac Valve Procedures with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,9,.,.,.,.,9
EA17D,Single Cardiac Valve Procedures with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,10,.,.,.,.,10
EA19A,"Single Cardiac Valve Procedures with Percutaneous Coronary Intervention, Pacing, EP or RFA, with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
EA19C,"Single Cardiac Valve Procedures with Percutaneous Coronary Intervention, Pacing, EP or RFA, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
EA20A,"Other Complex Cardiac Surgery and Re-do's, with CC Score 10+",.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,6
EA20B,"Other Complex Cardiac Surgery and Re-do's, with CC Score 5-9",.,.,.,.,2,.,.,.,.,.,.,10,.,.,.,2,14
EA20C,"Other Complex Cardiac Surgery and Re-do's, with CC Score 0-4",.,1,.,.,1,.,.,.,.,.,.,16,.,.,.,.,18
EA22Z,"Other Complex Cardiac Surgery with Percutaneous Coronary Intervention, Pacing, EP or RFA",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
EA29A,"Percutaneous Complex Ablation, including for Atrial Fibrillation and Ventricular Tachycardia, with CC Score 5+",.,.,.,.,1,.,.,.,.,.,.,1,.,.,.,.,2
EA29C,"Percutaneous Complex Ablation, including for Atrial Fibrillation and Ventricular Tachycardia, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
EA31A,"Percutaneous Coronary Intervention, 0 to 2 Stents, with CC Score 11+",1,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,5
EA31B,"Percutaneous Coronary Intervention, 0 to 2 Stents, with CC Score 7-10",8,.,10,.,1,.,.,.,.,.,.,7,.,.,.,.,26
EA31C,"Percutaneous Coronary Intervention, 0 to 2 Stents, with CC Score 3-6",88,.,42,.,22,.,.,.,.,.,.,109,.,.,.,.,261
EA31D,"Percutaneous Coronary Intervention, 0 to 2 Stents, with CC Score 0-2",134,.,53,.,67,1,.,.,.,.,.,106,.,.,.,.,361
EA35A,Other Percutaneous Interventions with CC Score 8+,.,.,1,.,.,.,.,.,.,.,.,4,.,.,.,.,5
EA35B,Other Percutaneous Interventions with CC Score 5-7,.,.,1,.,.,.,.,.,.,.,.,4,.,.,.,1,6
EA35C,Other Percutaneous Interventions with CC Score 2-4,7,1,6,.,1,.,.,.,.,.,.,15,.,.,.,.,30
EA35D,Other Percutaneous Interventions with CC Score 0-1,.,.,3,.,.,.,.,.,.,.,.,3,.,.,.,.,6
EA36C,Catheter with CC Score 13+,1,.,1,.,3,.,.,.,.,.,.,2,.,.,.,2,9
EA36D,Catheter with CC Score 10-12,3,.,3,.,3,.,.,.,.,.,.,11,.,.,.,.,20
EA36E,Catheter with CC Score 7-9,17,.,8,.,7,.,.,.,.,.,.,18,.,.,.,6,56
EA36F,Catheter with CC Score 4-6,43,.,37,.,23,.,.,.,.,.,.,54,.,.,.,43,200
EA36G,Catheter with CC Score 2-3,65,.,38,.,39,.,.,.,.,.,.,69,.,.,.,54,265
EA36H,Catheter with CC Score 0-1,47,.,35,.,33,.,.,.,.,.,.,49,.,.,.,38,202
EA39A,"Pacemaker Procedure without Generator Implant, including Re-Siting and Removal of Cardiac Pacemaker System, with CC Score 5+",.,.,1,.,.,.,.,.,.,.,.,3,.,.,.,.,4
EA39C,"Pacemaker Procedure without Generator Implant, including Re-Siting and Removal of Cardiac Pacemaker System, with CC Score 0-1",.,.,1,.,.,.,.,.,.,.,.,1,.,.,.,.,2
EA40Z,Other Non-Complex Cardiac Surgery,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
EA44A,Minor Cardiac Procedures with CC Score 2+,.,.,2,.,.,.,.,.,.,.,.,1,.,.,.,.,3
EA44B,Minor Cardiac Procedures with CC Score 0-1,.,.,1,.,.,.,.,.,.,.,.,1,.,.,.,.,2
EA48Z,"Single or Dual Chamber, Pacemaker or Implantable Diagnostic Device, with Percutaneous Coronary Intervention, EP or RFA",.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
EA49A,"Percutaneous Coronary Interventions with 3 or more Stents, Rotablation, IVUS or Pressure Wire, with CC Score 9+",1,.,.,.,1,.,.,.,.,.,.,7,.,.,.,.,9
EA49B,"Percutaneous Coronary Interventions with 3 or more Stents, Rotablation, IVUS or Pressure Wire, with CC Score 6-8",4,.,8,.,1,.,.,.,.,.,.,13,.,.,.,.,26
EA49C,"Percutaneous Coronary Interventions with 3 or more Stents, Rotablation, IVUS or Pressure Wire, with CC Score 3-5",10,.,17,.,3,.,.,.,.,.,.,28,.,.,.,.,58
EA49D,"Percutaneous Coronary Interventions with 3 or more Stents, Rotablation, IVUS or Pressure Wire, with CC Score 0-2",20,.,14,.,6,.,.,.,.,.,.,30,.,.,.,.,70
EA51A,"Coronary Artery Bypass Graft, with Valve Replacement or Repair, with CC Score 9+",.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,6
EA51B,"Coronary Artery Bypass Graft, with Valve Replacement or Repair, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,10,.,.,.,.,10
EA51C,"Coronary Artery Bypass Graft, with Valve Replacement or Repair, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,9,.,.,.,.,9
EA51D,"Coronary Artery Bypass Graft, with Valve Replacement or Repair, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,8
EA52A,"Repair or Replacement of more than one Heart Valve, with CC Score 9+",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
EA52B,"Repair or Replacement of more than one Heart Valve, with CC Score 4-8",.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
EA52C,"Repair or Replacement of more than one Heart Valve, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
EA54A,Percutaneous Standard Ablation with CC Score 3+,.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,8
EA54B,Percutaneous Standard Ablation with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,9,.,.,.,.,9
EA55A,Percutaneous Diagnostic Electrophysiology Studies with CC Score 3+,.,.,1,.,.,.,.,.,.,.,.,2,.,.,.,.,3
EA55B,Percutaneous Diagnostic Electrophysiology Studies with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
EA56A,"Implantation of Cardiac Resynchronization Therapy Defibrillator (CRT-D), with CC Score 6+",.,.,3,.,.,.,.,.,.,.,.,2,.,.,.,.,5
EA56B,"Implantation of Cardiac Resynchronization Therapy Defibrillator (CRT-D), with CC Score 3-5",.,.,4,.,.,.,.,.,.,.,.,2,.,.,.,.,6
EA56C,"Implantation of Cardiac Resynchronization Therapy Defibrillator (CRT-D), with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
EA57A,"Percutaneous Interventions: Percutaneous Transluminal ASD, VSD or PFO Closure and Valve Insertion, or Balloon Valve Intermediate Interventions and Arterial Duct Closure, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
EA57B,"Percutaneous Interventions: Percutaneous Transluminal ASD, VSD or PFO Closure and Valve Insertion, or Balloon Valve Intermediate Interventions and Arterial Duct Closure, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
EA58Z,Transcatheter Aortic Valve Implantation (TAVI) using Transfemoral Approach,.,.,.,.,.,.,.,.,.,.,.,17,.,.,.,.,17
EA59Z,Transcatheter Aortic Valve Implantation (TAVI) not using Transfemoral Approach,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,6
EB02A,Endocarditis with CC Score 10+,.,.,.,1,2,1,3,.,.,.,.,3,.,.,.,3,13
EB02B,Endocarditis with CC Score 5-9,4,.,4,2,3,.,.,.,.,.,.,12,.,1,.,2,28
EB02C,Endocarditis with CC Score 0-4,5,7,.,1,2,.,.,.,.,.,.,3,.,.,.,.,18
EB03A,"Heart Failure or Shock, with CC Score 14+",1,14,11,3,14,9,5,.,10,5,4,2,8,.,.,23,109
EB03B,"Heart Failure or Shock, with CC Score 11-13",9,25,18,5,28,13,19,.,27,4,12,20,4,7,.,51,242
EB03C,"Heart Failure or Shock, with CC Score 8-10",54,89,67,32,55,18,32,.,34,7,31,48,7,38,.,174,686
EB03D,"Heart Failure or Shock, with CC Score 4-7",137,243,114,94,109,81,46,.,76,5,119,90,2,90,.,291,"1,497"
EB03E,"Heart Failure or Shock, with CC Score 0-3",38,73,36,33,48,25,8,.,6,.,39,36,2,19,.,55,418
EB04Z,Hypertension,11,26,11,7,5,10,7,.,4,.,14,20,.,15,.,19,149
EB05A,Cardiac Arrest with CC Score 9+,1,6,23,.,1,1,.,.,2,.,1,.,.,1,.,2,38
EB05B,Cardiac Arrest with CC Score 5-8,4,5,1,1,.,.,.,.,2,.,1,2,.,1,.,4,21
EB05C,Cardiac Arrest with CC Score 0-4,3,3,.,.,2,.,.,.,.,.,1,10,.,3,.,4,26
EB06A,Cardiac Valve Disorders with CC Score 13+,.,2,.,1,1,.,.,.,.,.,1,1,.,.,.,2,8
EB06B,Cardiac Valve Disorders with CC Score 9-12,2,6,1,2,5,2,1,.,2,.,3,2,.,3,.,9,38
EB06C,Cardiac Valve Disorders with CC Score 5-8,8,15,8,10,17,6,5,.,2,.,14,10,.,3,.,21,119
EB06D,Cardiac Valve Disorders with CC Score 0-4,8,12,9,16,17,9,1,.,1,.,16,6,.,10,1,16,122
EB07A,"Arrhythmia or Conduction Disorders, with CC Score 13+",3,10,8,1,5,.,1,.,3,3,1,2,.,.,.,4,41
EB07B,"Arrhythmia or Conduction Disorders, with CC Score 10-12",6,4,3,3,9,3,4,.,11,2,2,6,1,4,.,16,74
EB07C,"Arrhythmia or Conduction Disorders, with CC Score 7-9",25,52,15,13,43,14,18,.,29,1,15,26,.,13,.,71,335
EB07D,"Arrhythmia or Conduction Disorders, with CC Score 4-6",70,122,42,53,95,41,30,.,51,.,56,66,1,31,.,116,774
EB07E,"Arrhythmia or Conduction Disorders, with CC Score 0-3",67,115,34,68,94,44,16,.,35,.,54,75,.,52,1,135,790
EB08A,"Syncope or Collapse, with CC Score 13+",2,1,.,.,5,1,1,.,3,.,.,.,1,.,.,9,23
EB08B,"Syncope or Collapse, with CC Score 10-12",5,14,2,3,9,4,6,.,9,2,2,8,3,10,.,25,102
EB08C,"Syncope or Collapse, with CC Score 7-9",17,29,14,6,41,13,10,1,18,5,4,33,1,21,.,65,278
EB08D,"Syncope or Collapse, with CC Score 4-6",51,66,30,18,62,35,11,.,31,.,26,52,.,37,.,114,533
EB08E,"Syncope or Collapse, with CC Score 0-3",75,134,28,48,50,37,13,.,20,1,41,80,.,29,.,88,644
