HRG Code,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,DaisyHill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal ,South Tyrone,South West Acute,Tyrone County,Ulster,N. Ireland Total Cost
EB10C,100,"Actual or Suspected Myocardial Infarction, with CC Score 7-9",.,444,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,444
EB10C,300,"Actual or Suspected Myocardial Infarction, with CC Score 7-9","1,784","4,811",.,936,"7,518",581,515,.,370,.,344,.,"2,220",.,"3,084",.,"9,470","31,633"
EB10C,320,"Actual or Suspected Myocardial Infarction, with CC Score 7-9","9,864","17,253","3,001","2,845","6,442","2,790","1,456",.,721,.,"3,676",.,"1,840",.,"4,042",.,"6,405","60,334"
EB10C,340,"Actual or Suspected Myocardial Infarction, with CC Score 7-9",.,351,.,.,.,.,.,.,.,.,653,.,.,.,.,.,.,"1,004"
EB10C,361,"Actual or Suspected Myocardial Infarction, with CC Score 7-9",546,.,.,.,.,"1,356",.,.,.,.,.,.,.,.,.,.,.,"1,902"
EB10C,430,"Actual or Suspected Myocardial Infarction, with CC Score 7-9",.,345,.,.,376,.,.,.,.,.,.,.,.,.,656,.,.,"1,377"
EB10D,180,"Actual or Suspected Myocardial Infarction, with CC Score 4-6",.,367,.,.,"1,000",.,.,.,.,.,223,.,.,.,.,.,.,"1,591"
EB10D,300,"Actual or Suspected Myocardial Infarction, with CC Score 4-6","3,121","8,018",.,"1,872","11,277","2,615","1,545",.,"2,959",.,"1,836",.,"5,518",.,"4,626",.,"10,198","53,585"
EB10D,301,"Actual or Suspected Myocardial Infarction, with CC Score 4-6",.,.,.,.,349,.,.,.,.,.,.,.,.,.,.,.,.,349
EB10D,302,"Actual or Suspected Myocardial Infarction, with CC Score 4-6",.,.,.,.,.,.,.,.,.,.,661,.,474,.,.,.,.,"1,136"
EB10D,320,"Actual or Suspected Myocardial Infarction, with CC Score 4-6","22,629","24,311","4,704","7,112","21,474","5,581","2,911",.,"3,603",.,"7,635",.,"2,461",.,"15,360","4,981","10,522","133,283"
EB10D,340,"Actual or Suspected Myocardial Infarction, with CC Score 4-6",.,"2,108",445,.,.,.,.,.,.,.,671,.,.,.,.,.,.,"3,224"
EB10D,361,"Actual or Suspected Myocardial Infarction, with CC Score 4-6",.,.,682,.,.,.,.,.,.,.,.,.,.,.,.,.,.,682
EB10D,430,"Actual or Suspected Myocardial Infarction, with CC Score 4-6","1,071","1,378",.,.,"1,129",.,.,.,.,.,340,.,535,.,.,.,614,"5,067"
EB10E,100,"Actual or Suspected Myocardial Infarction, with CC Score 0-3",.,.,.,.,439,.,.,.,.,.,.,.,.,.,.,.,.,439
EB10E,180,"Actual or Suspected Myocardial Infarction, with CC Score 0-3",.,.,.,.,"3,001",.,.,.,.,.,669,.,.,.,.,.,.,"3,670"
EB10E,300,"Actual or Suspected Myocardial Infarction, with CC Score 0-3","5,351","5,212",.,"8,893","16,540","2,615","1,545",.,"1,479",.,"1,781",.,753,.,"7,196",.,"2,550","53,914"
EB10E,301,"Actual or Suspected Myocardial Infarction, with CC Score 0-3",.,747,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,747
EB10E,302,"Actual or Suspected Myocardial Infarction, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,762,.,.,.,.,.,.,762
EB10E,320,"Actual or Suspected Myocardial Infarction, with CC Score 0-3","27,852","24,311","8,251","38,405","22,332","13,393","1,456",.,"5,044",.,"23,940",.,"8,761",.,"55,780","20,918","17,384","267,828"
EB10E,340,"Actual or Suspected Myocardial Infarction, with CC Score 0-3",.,703,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,703
EB10E,430,"Actual or Suspected Myocardial Infarction, with CC Score 0-3",.,689,.,.,.,.,.,.,.,.,.,.,.,.,656,.,.,"1,345"
EB12A,300,Unspecified Chest Pain with CC Score 11+,.,802,.,468,"3,007",.,.,.,370,.,.,.,"2,230",.,514,.,"1,457","8,848"
EB12A,320,Unspecified Chest Pain with CC Score 11+,"3,481","1,568",586,.,.,.,"1,456",.,.,.,.,.,613,.,.,.,457,"8,162"
EB12A,340,Unspecified Chest Pain with CC Score 11+,.,351,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,351
EB12A,361,Unspecified Chest Pain with CC Score 11+,.,.,.,.,.,452,.,.,.,.,.,.,.,.,.,.,.,452
EB12B,100,Unspecified Chest Pain with CC Score 5-10,.,.,.,549,.,389,.,.,.,.,.,.,390,.,.,.,.,"1,328"
EB12B,180,Unspecified Chest Pain with CC Score 5-10,.,735,.,.,.,.,.,.,.,.,"2,898",.,841,.,.,.,.,"4,474"
EB12B,300,Unspecified Chest Pain with CC Score 5-10,"39,238","13,230","1,322","7,020","37,590","8,136","7,725",.,"15,903",.,"12,494",.,"21,411",.,"30,842",.,"23,674","218,585"
EB12B,301,Unspecified Chest Pain with CC Score 5-10,.,747,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,747
EB12B,302,Unspecified Chest Pain with CC Score 5-10,.,.,.,.,.,.,.,.,.,.,"2,131",.,476,.,.,.,.,"2,606"
EB12B,303,Unspecified Chest Pain with CC Score 5-10,.,.,676,.,.,.,.,.,.,.,.,.,.,.,.,.,.,676
EB12B,320,Unspecified Chest Pain with CC Score 5-10,"79,493","63,131","26,892","9,957","15,890","6,139","13,828",.,"12,250",.,"25,202",.,"28,319",.,"9,701","50,304","48,379","389,484"
EB12B,340,Unspecified Chest Pain with CC Score 5-10,.,"5,973",449,.,.,353,.,.,.,.,"2,647",.,905,.,.,.,.,"10,327"
EB12B,361,Unspecified Chest Pain with CC Score 5-10,546,.,.,.,.,452,.,.,.,.,.,.,.,.,.,.,.,998
EB12B,430,Unspecified Chest Pain with CC Score 5-10,357,"1,378","2,092",.,752,.,.,.,.,.,"2,429",.,.,.,656,.,.,"7,666"
EB12C,100,Unspecified Chest Pain with CC Score 0-4,"2,231",444,.,549,439,389,.,.,.,.,571,.,"3,539",.,"3,280",.,443,"11,886"
EB12C,110,Unspecified Chest Pain with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,414,414
EB12C,120,Unspecified Chest Pain with CC Score 0-4,"1,154",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,154"
EB12C,170,Unspecified Chest Pain with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,.,939,.,.,.,.,939
EB12C,180,Unspecified Chest Pain with CC Score 0-4,.,"26,812",.,"1,880","26,012",.,.,.,.,.,"35,893",.,"71,632",.,.,.,.,"162,229"
EB12C,300,Unspecified Chest Pain with CC Score 0-4,"165,870","24,967","3,444","21,997","110,891","20,630","16,479",.,"25,519",.,"17,171",.,"67,485",.,"72,993",.,"38,607","586,052"
EB12C,301,Unspecified Chest Pain with CC Score 0-4,.,"2,240",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,240"
EB12C,302,Unspecified Chest Pain with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,"3,472",.,.,.,.,.,.,"3,472"
EB12C,320,Unspecified Chest Pain with CC Score 0-4,"147,962","201,157","40,119","47,414","45,524","24,554","32,024",.,"18,735",.,"63,774",.,"31,388",.,"34,762","754,055","110,250","1,551,717"
EB12C,340,Unspecified Chest Pain with CC Score 0-4,.,"13,351","4,991",.,832,.,.,.,.,.,"10,951",.,"10,877",.,.,.,.,"41,003"
EB12C,361,Unspecified Chest Pain with CC Score 0-4,"1,093",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,093"
EB12C,370,Unspecified Chest Pain with CC Score 0-4,.,.,713,.,.,.,.,.,.,.,.,.,.,.,.,.,.,713
EB12C,430,Unspecified Chest Pain with CC Score 0-4,"1,071","2,067",515,.,752,.,.,.,.,.,"3,419",.,"2,138",.,"3,938",.,614,"14,515"
EB12C,501,Unspecified Chest Pain with CC Score 0-4,"2,372","3,703",.,"4,899","3,625","1,096",.,.,.,.,.,.,509,.,.,.,"7,293","23,496"
EB12C,502,Unspecified Chest Pain with CC Score 0-4,.,.,.,.,797,.,.,.,.,.,.,.,.,.,.,.,.,797
EB12C,800,Unspecified Chest Pain with CC Score 0-4,.,.,594,.,.,.,.,.,.,.,.,.,.,.,.,.,.,594
EB13A,300,Angina with CC Score 12+,.,.,.,.,752,291,.,.,370,.,.,.,.,.,514,.,.,"1,926"
EB13A,320,Angina with CC Score 12+,.,"1,568",594,.,.,.,728,.,.,.,520,.,.,.,.,.,.,"3,410"
EB13B,300,Angina with CC Score 8-11,892,.,"1,355",.,"4,887","2,906",515,.,"3,329",.,344,.,.,.,"1,542",.,728,"16,497"
EB13B,320,Angina with CC Score 8-11,"5,222","6,274","4,800","1,897","3,436","1,116",.,.,"1,441",.,"2,463",.,"2,559",.,"1,617",.,"6,405","37,229"
EB13B,361,Angina with CC Score 8-11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,422,422
EB13B,430,Angina with CC Score 8-11,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,.,376
EB13C,180,Angina with CC Score 4-7,.,.,.,.,"1,000",.,.,.,.,.,.,.,.,.,.,.,.,"1,000"
EB13C,300,Angina with CC Score 4-7,"4,459","1,604",.,"6,084","20,675","9,588","1,030",.,"8,136",.,756,.,"2,202",.,"18,505",.,"4,371","77,411"
EB13C,302,Angina with CC Score 4-7,.,.,.,.,.,.,.,.,.,.,"1,098",.,.,.,.,.,.,"1,098"
EB13C,320,Angina with CC Score 4-7,"24,950","35,291","18,436","18,491","12,455","5,022","5,095",.,"4,323",.,"15,239",.,"9,612",.,"14,551",.,"23,331","186,796"
EB13C,340,Angina with CC Score 4-7,.,.,.,.,.,.,.,.,.,.,653,.,.,.,.,.,.,653
EB13C,430,Angina with CC Score 4-7,.,.,.,.,.,.,.,.,.,.,340,.,535,.,.,.,.,875
EB13D,180,Angina with CC Score 0-3,.,"2,204",.,.,"3,001",.,.,.,.,.,669,.,280,.,.,.,.,"6,154"
EB13D,300,Angina with CC Score 0-3,"2,675",802,.,"5,616","15,412","4,940","1,030",.,"3,698",.,349,.,732,.,"19,533",.,"1,093","55,880"
EB13D,302,Angina with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,991,.,.,.,.,.,.,991
EB13D,320,Angina with CC Score 0-3,"12,765","35,683","2,375","18,965","17,608","5,022","3,639",.,721,.,"8,263",.,"4,332",.,"26,678","3,486","7,320","146,857"
EB13D,340,Angina with CC Score 0-3,.,351,.,.,.,.,.,.,.,.,327,.,453,.,.,.,.,"1,131"
EB13D,430,Angina with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,391,.,.,.,656,.,.,"1,047"
EB14A,100,Other Acquired Cardiac Conditions with CC Score 13+,.,.,.,.,439,.,.,.,.,.,.,.,.,.,656,.,.,"1,095"
EB14A,300,Other Acquired Cardiac Conditions with CC Score 13+,.,401,.,.,376,.,.,.,.,.,.,.,732,.,.,.,.,"1,509"
EB14A,301,Other Acquired Cardiac Conditions with CC Score 13+,.,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,373
EB14A,320,Other Acquired Cardiac Conditions with CC Score 13+,.,392,"1,175",.,.,.,.,.,.,.,.,.,613,.,.,.,457,"2,638"
EB14A,361,Other Acquired Cardiac Conditions with CC Score 13+,.,.,"10,665",.,.,"5,876",.,.,.,.,.,.,.,.,.,.,.,"16,540"
EB14A,430,Other Acquired Cardiac Conditions with CC Score 13+,.,345,.,.,.,.,.,.,.,.,.,.,723,.,.,.,.,"1,068"
EB14B,100,Other Acquired Cardiac Conditions with CC Score 9-12,893,.,.,.,439,389,.,.,.,.,.,.,.,.,.,.,.,"1,720"
EB14B,170,Other Acquired Cardiac Conditions with CC Score 9-12,.,.,.,.,.,.,.,.,.,.,.,.,"3,761",.,.,.,.,"3,761"
EB14B,300,Other Acquired Cardiac Conditions with CC Score 9-12,"6,688",401,.,.,752,581,515,.,370,.,344,.,"9,142",.,"2,056",.,"1,821","22,670"
EB14B,320,Other Acquired Cardiac Conditions with CC Score 9-12,"6,383",784,"5,296",948,859,.,.,.,.,.,.,.,"1,235",.,808,.,457,"16,770"
EB14B,330,Other Acquired Cardiac Conditions with CC Score 9-12,.,.,462,.,.,.,.,.,.,.,.,.,.,.,.,.,.,462
EB14B,361,Other Acquired Cardiac Conditions with CC Score 9-12,546,.,"7,532",.,.,"5,424",.,.,.,.,.,.,.,.,.,.,.,"13,502"
EB14B,400,Other Acquired Cardiac Conditions with CC Score 9-12,.,.,.,.,.,.,.,.,.,.,.,.,851,.,.,.,.,851
EB14B,430,Other Acquired Cardiac Conditions with CC Score 9-12,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,307,683
EB14C,100,Other Acquired Cardiac Conditions with CC Score 6-8,"1,339",.,.,549,878,389,.,.,.,.,.,.,997,.,.,.,.,"4,152"
EB14C,170,Other Acquired Cardiac Conditions with CC Score 6-8,.,.,.,.,.,.,.,.,.,.,.,.,"1,968",.,.,.,.,"1,968"
EB14C,180,Other Acquired Cardiac Conditions with CC Score 6-8,.,.,.,.,.,.,.,.,.,.,.,.,280,.,.,.,.,280
EB14C,300,Other Acquired Cardiac Conditions with CC Score 6-8,"3,121","1,604","1,286",936,"2,631",872,"1,545",.,.,.,"1,391",.,"11,265",.,"3,084",.,"6,920","34,655"
EB14C,320,Other Acquired Cardiac Conditions with CC Score 6-8,"6,963","3,137","2,959",948,"2,147",.,"1,456",.,.,.,.,.,"3,906",.,"2,425",.,"2,287","26,228"
EB14C,340,Other Acquired Cardiac Conditions with CC Score 6-8,.,703,445,.,.,.,.,.,.,.,.,.,464,.,.,.,.,"1,612"
EB14C,361,Other Acquired Cardiac Conditions with CC Score 6-8,546,.,"3,475",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,021"
EB14C,410,Other Acquired Cardiac Conditions with CC Score 6-8,.,.,.,.,.,.,.,580,.,.,.,.,.,.,.,.,.,580
EB14C,430,Other Acquired Cardiac Conditions with CC Score 6-8,.,.,"1,594",.,376,.,.,.,.,.,682,.,"1,069",.,.,.,307,"4,028"
EB14D,100,Other Acquired Cardiac Conditions with CC Score 3-5,"1,339",.,.,.,878,389,.,.,.,.,.,.,780,.,.,.,.,"3,386"
EB14D,110,Other Acquired Cardiac Conditions with CC Score 3-5,525,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,525
EB14D,120,Other Acquired Cardiac Conditions with CC Score 3-5,577,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,577
EB14D,130,Other Acquired Cardiac Conditions with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,471,.,.,.,.,471
EB14D,170,Other Acquired Cardiac Conditions with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,"2,843",.,.,.,.,"2,843"
EB14D,172,Other Acquired Cardiac Conditions with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,845,.,.,.,.,845
EB14D,300,Other Acquired Cardiac Conditions with CC Score 3-5,"6,688","2,806",.,"1,872","7,894","1,162","2,575",.,370,.,"2,242",.,"9,218",.,"2,056",.,"4,006","40,890"
EB14D,302,Other Acquired Cardiac Conditions with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,340,.,474,.,.,.,.,814
EB14D,303,Other Acquired Cardiac Conditions with CC Score 3-5,564,.,"1,352",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,917"
EB14D,320,Other Acquired Cardiac Conditions with CC Score 3-5,"16,247","5,490","10,707",948,"7,730","1,674","2,911",.,.,.,"5,727",.,"17,058",.,"4,042","1,494","5,032","79,061"
EB14D,340,Other Acquired Cardiac Conditions with CC Score 3-5,.,351,445,.,.,353,.,.,.,.,.,.,453,.,.,.,.,"1,602"
EB14D,361,Other Acquired Cardiac Conditions with CC Score 3-5,.,338,682,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,020"
EB14D,370,Other Acquired Cardiac Conditions with CC Score 3-5,.,.,713,.,.,.,.,.,.,.,.,.,.,.,.,.,.,713
EB14D,430,Other Acquired Cardiac Conditions with CC Score 3-5,.,"1,034",.,.,376,.,.,.,.,.,340,.,"1,072",.,.,.,.,"2,822"
EB14E,100,Other Acquired Cardiac Conditions with CC Score 0-2,893,.,.,.,439,389,.,.,.,.,.,.,"1,000",.,.,.,.,"2,720"
EB14E,170,Other Acquired Cardiac Conditions with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,937,.,.,.,.,937
EB14E,180,Other Acquired Cardiac Conditions with CC Score 0-2,.,.,.,.,"2,001",.,.,.,.,.,446,.,280,.,.,.,.,"2,727"
EB14E,300,Other Acquired Cardiac Conditions with CC Score 0-2,"6,242",401,857,"1,404","7,142","2,906","2,060",.,"1,110",.,"2,753",.,"2,928",.,"3,598",.,"4,371","35,772"
EB14E,303,Other Acquired Cardiac Conditions with CC Score 0-2,.,.,676,.,.,.,.,.,.,.,.,.,.,.,.,.,.,676
EB14E,320,Other Acquired Cardiac Conditions with CC Score 0-2,"15,667","8,234","8,849","5,215","4,295","4,464","1,456",.,.,.,"6,835",.,"13,991",.,"4,850","1,992","9,149","84,998"
EB14E,340,Other Acquired Cardiac Conditions with CC Score 0-2,.,351,.,.,832,.,.,.,.,.,"1,316",.,.,.,.,.,.,"2,500"
EB14E,361,Other Acquired Cardiac Conditions with CC Score 0-2,.,338,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,338
EB14E,430,Other Acquired Cardiac Conditions with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,"1,094",.,.,.,.,.,.,"1,094"
EB14E,501,Other Acquired Cardiac Conditions with CC Score 0-2,.,926,.,.,.,"1,096",.,.,.,.,.,.,.,.,846,.,"8,022","10,890"
EB14E,502,Other Acquired Cardiac Conditions with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,708,.,.,708
EB15B,340,Primary Pulmonary Hypertension with CC Score 4-8,.,.,445,.,.,.,.,.,.,.,.,.,.,.,.,.,.,445
EB15B,430,Primary Pulmonary Hypertension with CC Score 4-8,.,.,.,.,.,.,.,.,.,.,.,.,.,440,.,.,.,440
EB15C,300,Primary Pulmonary Hypertension with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,364,364
EC10C,170,Very Complex Procedures for Congenital Heart Disease with CC Score 0-6,.,.,.,.,.,.,.,.,.,.,.,.,"18,210",.,.,.,.,"18,210"
EC11B,170,Complex Procedures for Congenital Heart Disease with CC Score 7-14,.,.,.,.,.,.,.,.,.,.,.,.,"11,720",.,.,.,.,"11,720"
EC11C,170,Complex Procedures for Congenital Heart Disease with CC Score 0-6,.,.,.,.,.,.,.,.,.,.,.,.,"25,446",.,.,.,.,"25,446"
EC12B,170,Very Major Procedures for Congenital Heart Disease with CC Score 4-8,.,.,.,.,.,.,.,.,.,.,.,.,"16,011",.,.,.,.,"16,011"
EC12C,170,Very Major Procedures for Congenital Heart Disease with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,"11,233",.,.,.,.,"11,233"
EC13C,170,Major Procedures for Congenital Heart Disease with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,"6,951",.,.,.,.,"6,951"
EC14C,170,Intermediate Procedures for Congenital Heart Disease with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,"2,187",.,.,.,.,"2,187"
EC15B,320,Minor Procedures for Congenital Heart Disease with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,"4,080",.,.,.,.,"4,080"
EC20A,320,Diagnostic Percutaneous Intervention for Congenital Heart Disease with CC Score 4+,"1,539",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,539"
EC20B,320,Diagnostic Percutaneous Intervention for Congenital Heart Disease with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,"2,813",.,.,.,.,"2,813"
ED11Z,100,Standard Repair of Descending Thoracic Aorta,.,.,.,.,.,.,.,.,.,.,.,.,"5,357",.,.,.,.,"5,357"
ED12B,172,Complex Repair of Aortic Root with CC Score 0-6,.,.,.,.,.,.,.,.,.,.,.,.,"21,266",.,.,.,.,"21,266"
ED14A,320,Complex Repair of Ascending Thoracic Aorta with CC Score 7+,.,.,.,.,.,.,.,.,.,.,.,.,"12,532",.,.,.,.,"12,532"
ED15A,170,Standard Repair of Ascending Thoracic Aorta with CC Score 7+,.,.,.,.,.,.,.,.,.,.,.,.,"7,190",.,.,.,.,"7,190"
ED15A,320,Standard Repair of Ascending Thoracic Aorta with CC Score 7+,.,.,.,.,.,.,.,.,.,.,.,.,"4,599",.,.,.,.,"4,599"
ED15B,172,Standard Repair of Ascending Thoracic Aorta with CC Score 0-6,.,.,.,.,.,.,.,.,.,.,.,.,"26,823",.,.,.,.,"26,823"
ED15B,300,Standard Repair of Ascending Thoracic Aorta with CC Score 0-6,.,.,.,.,.,.,.,.,.,.,.,.,"7,154",.,.,.,.,"7,154"
ED20A,170,"Complex, Repair or Replacement, of Multiple Heart Valves, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,.,"11,723",.,.,.,.,"11,723"
ED20B,170,"Complex, Repair or Replacement, of Multiple Heart Valves, with CC Score 0-7",.,.,.,.,.,.,.,.,.,.,.,.,"29,402",.,.,.,.,"29,402"
ED22C,170,"Complex, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,"20,388",.,.,.,.,"20,388"
ED23C,170,"Standard, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,"10,951",.,.,.,.,"10,951"
ED25B,170,"Standard, Single Heart Valve Replacement or Repair, with CC Score 6-10",.,.,.,.,.,.,.,.,.,.,.,.,"9,868",.,.,.,.,"9,868"
ED25B,172,"Standard, Single Heart Valve Replacement or Repair, with CC Score 6-10",.,.,.,.,.,.,.,.,.,.,.,.,"14,839",.,.,.,.,"14,839"
ED25C,170,"Standard, Single Heart Valve Replacement or Repair, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,"19,620",.,.,.,.,"19,620"
ED25C,320,"Standard, Single Heart Valve Replacement or Repair, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,"8,542",.,.,.,.,"8,542"
ED26A,320,Complex Coronary Artery Bypass Graft with CC Score 10+,.,.,.,.,.,.,.,.,.,.,.,.,"10,256",.,.,.,.,"10,256"
ED26B,170,Complex Coronary Artery Bypass Graft with CC Score 5-9,.,.,.,.,.,.,.,.,.,.,.,.,"12,982",.,.,.,.,"12,982"
ED27B,170,Major Coronary Artery Bypass Graft with CC Score 5-9,.,.,.,.,.,.,.,.,.,.,.,.,"9,332",.,.,.,.,"9,332"
ED28A,170,Standard Coronary Artery Bypass Graft with CC Score 10+,.,.,.,.,.,.,.,.,.,.,.,.,"8,661",.,.,.,.,"8,661"
ED28C,320,Standard Coronary Artery Bypass Graft with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,.,"6,088",.,.,.,.,"6,088"
ED31A,300,"Standard, Other Operations on Heart or Pericardium, with CC Score 10+",.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,.,376
ED31B,320,"Standard, Other Operations on Heart or Pericardium, with CC Score 5-9",.,.,.,.,"1,464",.,.,.,.,.,.,.,"1,451",.,.,.,802,"3,718"
ED31B,340,"Standard, Other Operations on Heart or Pericardium, with CC Score 5-9",.,.,.,.,.,.,.,.,.,.,"1,271",.,.,.,.,.,.,"1,271"
ED31B,430,"Standard, Other Operations on Heart or Pericardium, with CC Score 5-9",.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,.,376
ED31C,320,"Standard, Other Operations on Heart or Pericardium, with CC Score 0-4","2,075",.,"2,555",.,"1,464",.,.,.,.,.,.,.,"1,671",.,.,.,.,"7,765"
EY01A,320,"Implantation of Cardioverter Defibrillator with Cardiac Resynchronisation Therapy, with CC Score 9+",.,.,.,.,.,.,.,.,.,.,.,.,"15,601",.,.,.,.,"15,601"
EY01B,320,"Implantation of Cardioverter Defibrillator with Cardiac Resynchronisation Therapy, with CC Score 0-8",.,.,"32,335",.,.,.,.,.,.,.,.,.,"96,818",.,.,.,.,"129,153"
EY02A,320,Implantation of Cardioverter Defibrillator with CC Score 9+,.,.,.,.,.,.,.,.,.,.,.,.,"15,319",.,.,.,.,"15,319"
EY02B,320,Implantation of Cardioverter Defibrillator with CC Score 0-8,580,.,"72,366",.,"1,809",.,.,.,.,.,.,.,"521,627",.,.,.,.,"596,382"
EY03Z,320,Implantation of Biventricular Pacemaker with Other Percutaneous Intervention,.,.,.,.,.,.,.,.,.,.,.,.,"10,123",.,.,.,.,"10,123"
EY05B,320,"Implantation of Dual Chamber Pacemaker with Other Percutaneous Intervention, with CC Score 0-5",.,.,.,.,"2,928",.,.,.,.,.,.,.,.,.,.,.,.,"2,928"
EY06B,320,Implantation of Dual Chamber Pacemaker with CC Score 9-11,.,.,"4,039",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,039"
EY06C,320,Implantation of Dual Chamber Pacemaker with CC Score 6-8,.,.,"47,816",.,"5,856",.,.,.,.,.,.,.,"3,566",.,.,.,.,"57,238"
EY06D,320,Implantation of Dual Chamber Pacemaker with CC Score 3-5,.,.,"229,729",.,"18,258",.,.,.,.,.,.,.,"26,241",.,.,.,.,"274,229"
EY06E,320,Implantation of Dual Chamber Pacemaker with CC Score 0-2,.,.,"488,602",.,"18,258",.,.,.,.,.,.,.,"72,355",.,.,.,.,"579,215"
EY07A,320,"Implantation of Single Chamber Pacemaker with Other Percutaneous Intervention, with CC Score 6+","3,094",.,.,.,"2,828",.,.,.,.,.,.,.,"6,494",.,.,.,.,"12,416"
EY07B,320,"Implantation of Single Chamber Pacemaker with Other Percutaneous Intervention, with CC Score 0-5",.,.,"5,497",.,.,.,.,.,.,.,.,.,"34,040",.,.,.,.,"39,537"
EY08A,320,Implantation of Single Chamber Pacemaker with CC Score 12+,.,.,.,.,"2,828",.,.,.,.,.,.,.,.,.,.,.,.,"2,828"
EY08B,320,Implantation of Single Chamber Pacemaker with CC Score 9-11,.,.,.,.,"2,828",.,.,.,.,.,.,.,.,.,.,.,802,"3,630"
EY08C,320,Implantation of Single Chamber Pacemaker with CC Score 6-8,"3,674",.,"14,522",.,"10,293",.,.,.,.,.,.,.,"5,910",.,.,.,802,"35,202"
EY08D,320,Implantation of Single Chamber Pacemaker with CC Score 3-5,"3,094",.,"68,039",.,"5,656",.,.,.,.,.,.,.,"17,752",.,.,.,.,"94,541"
EY08E,320,Implantation of Single Chamber Pacemaker with CC Score 0-2,.,.,"56,073",474,"30,090",.,.,.,.,.,.,.,"17,989",.,.,.,.,"104,626"
EY09A,170,"Removal of Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,.,"4,437",.,.,.,.,"4,437"
EY09A,320,"Removal of Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,.,"1,375",.,.,.,.,"1,375"
EY09B,170,"Removal of Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,"4,437",.,.,.,.,"4,437"
EY10A,320,"Attention to Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 6+",.,.,"3,302",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,302"
EY10B,320,"Attention to Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 0-5",.,.,"9,642",.,.,.,.,.,.,.,.,.,"3,109",.,.,.,.,"12,751"
