HRG,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Average
EB08E,"Syncope or Collapse, with CC Score 0-3","1,320","1,125","1,346","1,524","1,001","1,015","1,473",.,921,"1,439","1,064","1,310",.,"1,820",.,"1,073","1,216"
EB09A,Non-Interventional Congenital Cardiac Conditions with CC Score 3+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,912,912
EB09B,Non-Interventional Congenital Cardiac Conditions with CC Score 0-2,.,.,.,.,"1,459",.,.,.,.,.,.,"1,993",.,.,.,.,"1,815"
EB10A,"Actual or Suspected Myocardial Infarction, with CC Score 13+","4,133","4,098","3,662","9,626","4,545","3,314","4,386",.,"11,470","5,754",.,"4,107","9,365",.,.,"4,195","5,193"
EB10B,"Actual or Suspected Myocardial Infarction, with CC Score 10-12","4,015","2,724","5,254","7,736","3,096","3,253","4,039",.,"5,878","2,517","4,349","4,470",.,"8,859",.,"4,047","4,126"
EB10C,"Actual or Suspected Myocardial Infarction, with CC Score 7-9","4,994","3,080","3,675","4,445","2,710","2,292","4,185","10,133","4,023",.,"3,471","3,861","4,479","5,349",.,"2,689","3,284"
EB10D,"Actual or Suspected Myocardial Infarction, with CC Score 4-6","3,512","2,360","2,567","3,191","2,089","2,065","3,367",.,"2,938","2,877","2,419","3,111","4,886","4,017",.,"2,256","2,569"
EB10E,"Actual or Suspected Myocardial Infarction, with CC Score 0-3","2,664","1,583","2,639","2,379","1,683","1,631","2,646",.,"2,162",.,"1,575","1,929",.,"3,429",.,"1,809","1,900"
EB12A,Unspecified Chest Pain with CC Score 11+,"2,160","1,056","1,087",.,"1,091",861,"2,494",.,"2,054",.,.,"1,461",.,"2,306",.,"1,705","1,737"
EB12B,Unspecified Chest Pain with CC Score 5-10,"1,585","1,236","1,621","1,528","1,135","1,086","1,960",.,"1,302",.,"1,279","1,340","1,629","1,859",.,"1,217","1,389"
EB12C,Unspecified Chest Pain with CC Score 0-4,565,458,528,518,368,330,616,.,462,.,421,480,.,632,.,452,472
EB13A,Angina with CC Score 12+,"7,597","1,126","2,125",.,.,"5,724","11,447",.,"2,195",.,.,"1,302",.,"7,816",.,"3,068","5,185"
EB13B,Angina with CC Score 8-11,"3,023","1,900","3,163","2,588","1,996","1,569","3,138",.,"1,672",.,"1,604","2,902","2,850","2,204",.,"1,916","2,331"
EB13C,Angina with CC Score 4-7,"2,042","1,339","1,661","1,569","1,096",996,"2,140",.,"1,293",.,"1,255","1,426",.,"2,197",.,"1,411","1,493"
EB13D,Angina with CC Score 0-3,"2,067","1,170","1,596","1,449","1,145","1,085","2,244",.,"1,401",.,"1,191","1,369",.,"2,264",.,"1,449","1,387"
EB14A,Other Acquired Cardiac Conditions with CC Score 13+,"4,821","3,576","5,754","16,956","2,246","2,033",.,.,"9,512",.,.,"8,303","6,107",.,.,"6,265","4,700"
EB14B,Other Acquired Cardiac Conditions with CC Score 9-12,"1,746","3,453","2,232","5,380","3,412","2,530","6,385",.,"3,917","2,158","4,538","4,227",.,"5,086",.,"2,236","3,324"
EB14C,Other Acquired Cardiac Conditions with CC Score 6-8,"3,347","2,979","2,856","3,345","1,958","2,038","3,276","1,666","1,755",.,"3,208","4,024","4,886","5,079",.,"2,469","3,029"
EB14D,Other Acquired Cardiac Conditions with CC Score 3-5,"2,840","2,796","2,707","2,463","2,352","1,857","3,833","2,724","3,278",.,"2,848","3,135",.,"3,892",.,"2,967","2,813"
EB14E,Other Acquired Cardiac Conditions with CC Score 0-2,"1,982","1,899","2,780","3,318","2,297","1,846","3,306",.,.,.,"1,542","2,125","3,664","3,778",.,"2,414","2,466"
EB15B,Primary Pulmonary Hypertension with CC Score 4-8,.,.,.,.,.,.,.,.,.,.,.,"1,970",.,.,.,.,"1,970"
EB15C,Primary Pulmonary Hypertension with CC Score 0-3,.,.,835,.,.,.,"4,906",.,.,.,.,.,.,.,.,"2,934","3,395"
EC01A,"Congenital Cardiac Surgery with Intervention Score 58 or less, with Diagnosis Score 64 or less","1,378",.,.,.,"1,540",.,.,.,.,.,.,"7,896",.,.,.,"2,095","5,821"
EC01B,"Congenital Cardiac Surgery with Intervention Score 58 or less, with Diagnosis Score 65-117",.,.,.,.,.,.,.,.,.,.,.,"7,885",.,.,.,.,"7,885"
EC02B,"Congenital Cardiac Surgery with Intervention Score 59-121, with Diagnosis Score 65-117",.,.,.,.,.,.,.,.,.,.,.,"13,128",.,.,.,.,"13,128"
FZ12L,"Major General Abdominal Procedures, 19 years and over, with CC Score 10+","8,472","4,460",.,"3,785",.,.,.,.,.,.,"21,285",.,.,.,.,"14,150","10,614"
FZ12M,"Major General Abdominal Procedures, 19 years and over, with CC Score 6-9","11,862","10,339","8,482","21,659","8,269","4,694",.,.,.,.,"6,251","7,799",.,"24,978",.,"9,790","9,996"
FZ12N,"Major General Abdominal Procedures, 19 years and over, with CC Score 3-5","8,401","8,662","7,289","6,401","6,918","3,251",.,.,.,.,"5,647","4,315",.,"13,437",.,"8,548","7,197"
FZ12P,"Major General Abdominal Procedures, 19 years and over, with CC Score 1-2","6,431","7,147","6,546","5,391","3,588","4,351",.,.,.,.,.,"3,907",.,"7,904",.,"5,922","5,463"
FZ12Q,"Major General Abdominal Procedures, 19 years and over, with CC Score 0","5,579","4,920","6,381","3,818","5,234","4,386",.,.,.,.,"4,573","4,680",.,"6,724",.,"5,112","5,239"
FZ12R,"Major General Abdominal Procedures, between 2 and 18 years, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"6,112","6,112"
FZ12S,"Major General Abdominal Procedures, between 2 and 18 years, with CC Score 0","5,480",.,.,"5,492",.,.,.,.,.,.,.,"8,940",.,"7,676",.,"5,493","6,962"
FZ12T,"Major General Abdominal Procedures, 1 year and under, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"7,227",.,.,.,.,"7,227"
FZ17E,"Abdominal Hernia Procedures, 19 years and over, with CC Score 4+",.,"2,405",.,"6,544","7,764","4,574",.,.,.,.,"8,048","3,411",.,.,.,"5,846","5,346"
FZ17F,"Abdominal Hernia Procedures, 19 years and over, with CC Score 1-3","3,196","3,060",.,"2,757","5,099",.,.,.,.,.,"3,296","4,813",.,"6,036",.,"3,605","3,993"
FZ17G,"Abdominal Hernia Procedures, 19 years and over, with CC Score 0",.,"2,489","3,428","2,101","4,126",.,.,.,.,.,.,"3,230",.,"6,110",.,"2,703","3,199"
FZ18F,"Inguinal, Umbilical or Femoral Hernia Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,"2,985",.,.,.,.,"2,985"
FZ18G,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 6+","6,160","3,659",.,.,.,"3,716",.,.,.,.,.,"4,227",.,.,.,"2,852","3,760"
FZ18H,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 3-5","3,642","4,385","2,775","4,458","3,231","3,306",.,.,.,.,"3,994","3,867",.,"5,667",.,"3,207","3,829"
FZ18J,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 1-2","3,829","2,895","2,825","2,078","3,195","3,862",.,.,.,.,"3,391","3,254",.,"4,517",.,"2,144","3,187"
FZ18K,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 0","2,962","1,706","2,582","1,574","1,707","2,251",.,.,.,.,"4,119","2,287",.,"2,920",.,"1,277","2,145"
FZ19B,"Herniotomy Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,"2,060",.,.,.,.,"2,060"
FZ20F,"Appendicectomy Procedures, 19 years and over, with CC Score 5+","6,851","10,829",.,.,.,.,.,.,.,.,.,.,.,"8,476",.,"3,253","6,902"
FZ20G,"Appendicectomy Procedures, 19 years and over, with CC Score 3-4","7,764","5,714",.,"7,591","3,746",.,.,.,.,.,"4,447","4,494",.,"9,285",.,"4,105","5,767"
FZ20H,"Appendicectomy Procedures, 19 years and over, with CC Score 1-2","4,588","3,594","4,659","3,488","3,749","3,273",.,.,.,.,"3,682","3,807",.,"5,102",.,"3,044","3,716"
FZ20J,"Appendicectomy Procedures, 19 years and over, with CC Score 0","3,749","2,886","3,234","2,766","2,891","3,210",.,.,.,.,"3,994","3,581",.,"4,690",.,"2,420","3,266"
FZ20K,"Appendicectomy Procedures, 18 years and under, with CC Score 3+",.,.,.,.,.,"4,521",.,.,.,.,"6,115","9,430",.,.,.,"2,878","5,682"
FZ20L,"Appendicectomy Procedures, 18 years and under, with CC Score 1-2","4,281","3,240",.,"6,093","3,294","2,218",.,.,.,.,"4,567","6,678",.,"4,852",.,"2,707","4,524"
FZ20M,"Appendicectomy Procedures, 18 years and under, with CC Score 0","3,584","2,599","3,747","2,410","2,724","2,770",.,.,.,.,"3,806","5,215",.,"4,490",.,"2,272","3,414"
FZ21B,"Major Anal Procedures, 18 years and under","3,349",.,.,.,.,.,.,.,.,.,.,"2,616",.,"3,283",.,"3,385","3,204"
FZ21C,"Major Anal Procedures, 19 years and over, with CC Score 1+","7,042","4,742","7,768",.,"3,701","3,005",.,.,.,.,"3,589","2,015",.,.,.,"2,883","3,711"
FZ21D,"Major Anal Procedures, 19 years and over, with CC Score 0","2,968","2,402","1,608",.,"1,302","2,348",.,.,.,.,.,"2,484",.,.,.,"2,047","2,249"
FZ22B,"Intermediate Anal Procedures, 18 years and under","2,055","2,418",.,.,"1,695",.,.,.,.,.,.,"4,255",.,"1,957",.,"1,824","2,380"
FZ22C,"Intermediate Anal Procedures, 19 years and over, with CC Score 3+","7,537",714,.,"2,824","6,289",.,.,.,.,.,.,"4,419",.,.,.,"5,098","4,858"
FZ22D,"Intermediate Anal Procedures, 19 years and over, with CC Score 1-2","2,441","2,395","2,952","2,366","2,040","2,013",.,.,.,.,"2,814","2,237",.,"2,281",.,"1,923","2,213"
FZ22E,"Intermediate Anal Procedures, 19 years and over, with CC Score 0","2,306","2,431","2,361","3,137","1,902","1,868",.,.,.,.,"1,989","1,891",.,"3,027",.,"1,597","2,131"
FZ24E,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, between 2 and 18 years",.,.,.,.,"1,087",.,.,.,.,.,.,"5,723",.,.,.,.,"3,405"
FZ24G,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 3+",.,.,.,.,.,"5,655",.,.,.,.,.,"13,152",.,.,.,"4,255","7,454"
FZ24H,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 1-2",.,"1,582",.,"2,668","2,125",.,.,.,.,.,"1,791",.,.,"2,620",.,"2,104","2,070"
FZ24J,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 0",.,"3,119","2,220","2,377","2,327","2,691",.,.,.,.,.,"2,029",.,.,.,"2,710","2,366"
FZ27E,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 3+",.,"4,997",.,.,.,.,.,.,.,.,"5,453",.,.,.,.,.,"5,225"
FZ27F,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 1-2",.,"1,220","5,096","6,720",.,.,.,.,.,.,"6,960",.,.,"6,595",.,.,"5,469"
FZ27G,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 0",.,"2,140","5,055","2,292","2,418","2,275",.,.,.,.,.,"4,746",.,.,.,"2,577","2,856"
FZ36G,"Gastrointestinal Infections with Multiple Interventions, with CC Score 4+",877,"8,843",.,.,"4,248",.,.,.,.,.,.,"6,066",.,"7,030",.,"9,851","6,140"
FZ36H,"Gastrointestinal Infections with Multiple Interventions, with CC Score 0-3","1,315",.,.,.,.,"5,803",.,.,.,.,"4,084","2,873",.,.,.,"8,604","4,479"
FZ36J,"Gastrointestinal Infections with Single Intervention, with CC Score 5+",.,"2,440","7,706",.,"4,901","3,013",.,.,.,.,"3,060","2,350",.,.,.,"2,733","3,076"
FZ36K,"Gastrointestinal Infections with Single Intervention, with CC Score 2-4","4,075",.,"2,367",.,"3,187","1,561",.,.,"3,395",.,"4,535","2,258",.,"6,860",.,"3,757","3,184"
FZ36L,"Gastrointestinal Infections with Single Intervention, with CC Score 0-1",.,"2,858","1,248","1,997","3,084","2,225",.,.,"2,044",.,"1,699","2,569",.,"2,007",.,"3,008","2,566"
FZ36M,"Gastrointestinal Infections without Interventions, with CC Score 8+","5,371","3,388","2,460","3,719","3,598",.,"5,011",.,"6,030","2,877",.,"1,864",.,"4,761",.,"2,651","3,376"
FZ36N,"Gastrointestinal Infections without Interventions, with CC Score 5-7","2,515","3,988","3,037","3,024","2,182","1,939","3,517",.,"2,004",.,"3,421","1,505","5,700","2,487",.,"2,326","2,384"
FZ36P,"Gastrointestinal Infections without Interventions, with CC Score 2-4","1,703","2,590","2,135","2,669","1,491","1,461","2,576",.,"1,483","3,237","1,761","1,391",.,"2,957",.,"1,463","1,767"
FZ36Q,"Gastrointestinal Infections without Interventions, with CC Score 0-1","1,656","1,312","1,525","2,008","1,366","1,362","1,726",.,"1,445","2,158","1,389","1,211","2,443","2,020",.,"1,391","1,446"
FZ37K,"Inflammatory Bowel Disease with Multiple Interventions, with CC Score 3+",.,.,.,.,.,.,.,.,"15,343",.,.,.,.,.,.,.,"15,343"
FZ37L,"Inflammatory Bowel Disease with Multiple Interventions, with CC Score 0-2","5,364","3,089",.,.,"5,583","4,070",.,.,.,.,"3,949","1,591",.,"12,837",.,.,"5,521"
FZ37M,"Inflammatory Bowel Disease with Single Intervention, with CC Score 4+",.,"2,659",.,"6,541","10,456","3,771",.,.,"8,514",.,.,.,.,.,.,"4,117","5,495"
FZ37N,"Inflammatory Bowel Disease with Single Intervention, with CC Score 0-3","3,413","2,390","2,421","4,122","2,607","2,131",.,.,.,.,"4,470","2,023",.,"3,522",.,"2,819","2,852"
FZ37P,"Inflammatory Bowel Disease without Interventions, with CC Score 5+","4,770","2,197","6,192","2,818","4,136","3,489","10,023",.,"2,459",.,.,"5,431",.,"4,873",.,"2,171","2,983"
FZ37Q,"Inflammatory Bowel Disease without Interventions, with CC Score 3-4","1,907","1,597","1,650","2,267","2,409","1,205","2,110",.,"1,503","3,237","1,220",715,.,"3,161",.,"2,050","1,850"
FZ37R,"Inflammatory Bowel Disease without Interventions, with CC Score 1-2","2,220","1,973","1,965","1,997","1,815","1,082","1,583",.,"2,443","3,237","1,572","1,339",.,"2,648",.,"1,646","1,860"
FZ37S,"Inflammatory Bowel Disease without Interventions, with CC Score 0","2,030","1,844","1,586","1,784","1,817","1,486","1,055",.,"2,088",.,"1,083","1,426",.,"2,595",.,"1,937","1,796"
FZ38G,"Gastrointestinal Bleed with Multiple Interventions, with CC Score 5+",.,"2,909","5,866","13,607","4,325","1,666",.,.,.,.,.,"2,739",.,"10,545",.,"7,109","6,090"
FZ38H,"Gastrointestinal Bleed with Multiple Interventions, with CC Score 0-4",.,"4,002","12,417","4,608","2,875","3,679",.,.,.,.,"6,222","2,517",.,"2,483",.,"3,608","3,581"
FZ38J,"Gastrointestinal Bleed with Single Intervention, with CC Score 8+",.,"2,330",.,"6,203",980,.,.,.,.,.,"3,052","1,463",.,"4,919",.,"9,984","3,563"
FZ38K,"Gastrointestinal Bleed with Single Intervention, with CC Score 5-7",.,"3,276",.,"4,020","2,104","1,032",.,.,.,.,"3,788","1,882",.,"8,329",.,"3,995","3,584"
FZ38L,"Gastrointestinal Bleed with Single Intervention, with CC Score 0-4","2,833","2,275","2,020","2,986","1,923","2,481",.,.,.,.,"2,714","1,626",.,"2,898",.,"2,590","2,289"
FZ38M,"Gastrointestinal Bleed without Interventions, with CC Score 9+","4,052","5,528","2,697","3,829","4,804","1,186","6,066",.,.,"5,754",.,"1,377",.,.,.,"4,008","4,199"
FZ38N,"Gastrointestinal Bleed without Interventions, with CC Score 5-8","3,411","2,961","1,721","3,811","2,491","1,128","1,583",.,.,.,"3,093","1,679","1,629","3,480",.,"2,645","2,498"
FZ38P,"Gastrointestinal Bleed without Interventions, with CC Score 0-4","1,424","1,286","1,316","1,571","1,239","1,105","2,110",.,867,"1,439","1,301","1,016",.,"1,867",.,"1,122","1,286"
FZ49D,"Nutritional Disorders with Interventions, with CC Score 2+","6,846",.,"6,549",.,"2,772",.,.,.,.,.,"1,337","1,884",.,.,.,"5,758","4,379"
FZ49E,"Nutritional Disorders with Interventions, with CC Score 0-1",.,.,.,.,"3,758","1,576",.,.,.,.,.,"3,351",.,"4,272",.,.,"3,343"
FZ49F,"Nutritional Disorders without Interventions, with CC Score 6+",.,"2,128","3,234","4,989","3,273","1,149",.,.,"1,315","2,517",.,"1,829",.,.,.,"3,115","2,665"
FZ49G,"Nutritional Disorders without Interventions, with CC Score 2-5","2,614","2,393","3,070","4,422","1,731","1,200","2,110","3,539","2,220","2,517","1,600","3,414","4,377","4,017",.,"2,707","2,635"
FZ49H,"Nutritional Disorders without Interventions, with CC Score 0-1","1,832","1,733","2,460",907,"1,344","2,109","3,693",.,"1,127","3,237","1,536","3,188","3,664","3,039",.,"2,006","2,052"
FZ66C,"Very Major Small Intestine Procedures, 19 years and over, with CC Score 8+","14,385","13,643",.,.,"12,253","7,375",.,.,.,.,.,"4,175",.,"18,941",.,"5,927","11,175"
FZ66D,"Very Major Small Intestine Procedures, 19 years and over, with CC Score 5-7","10,274","20,068","11,954",.,"10,892","8,095",.,.,.,.,"16,960","5,630",.,"23,131",.,"16,754","12,640"
FZ66E,"Very Major Small Intestine Procedures, 19 years and over, with CC Score 2-4","12,726","8,741","16,084","9,767","8,756","5,768",.,.,.,.,"18,008","12,071",.,"10,944",.,"10,482","10,676"
FZ66F,"Very Major Small Intestine Procedures, 19 years and over, with CC Score 0-1","11,644","6,105","9,363","5,551","5,574","5,245",.,.,.,.,"8,304","6,249",.,"12,855",.,"5,129","6,688"
FZ67C,"Major Small Intestine Procedures, 19 years and over, with CC Score 7+","11,386","16,696","11,844","11,875","10,120","2,866",.,.,.,.,.,"6,286",.,.,.,"10,328","10,822"
FZ67D,"Major Small Intestine Procedures, 19 years and over, with CC Score 4-6","11,583","8,068","12,304","15,814",.,"5,823",.,.,.,.,.,"5,614",.,.,.,"2,710","9,753"
FZ67E,"Major Small Intestine Procedures, 19 years and over, with CC Score 2-3","6,690","5,980","9,972",.,"9,788","7,125",.,.,.,.,.,"8,024",.,"11,420",.,"7,687","7,942"
FZ67F,"Major Small Intestine Procedures, 19 years and over, with CC Score 0-1","6,231","6,737","6,155","2,263","4,370","6,101",.,.,.,.,.,"4,786",.,"6,535",.,"4,864","5,239"
FZ68G,"Very Major or Major, Small Intestine Procedures, between 2 and 18 years, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,114","5,114"
FZ68H,"Very Major or Major, Small Intestine Procedures, between 2 and 18 years, with CC Score 0-1",.,.,.,.,"3,704",.,.,.,.,.,.,"8,300",.,"11,159",.,.,"7,508"
FZ68J,"Very Major or Major, Small Intestine Procedures, 1 year and under, with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,"31,695",.,.,.,.,"31,695"
FZ68K,"Very Major or Major, Small Intestine Procedures, 1 year and under, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,"12,940",.,.,.,.,"12,940"
FZ68L,"Very Major or Major, Small Intestine Procedures, 1 year and under, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"2,349",.,.,.,.,"2,349"
FZ69C,"Complex Small Intestine Procedures, 19 years and over, with CC Score 7+","12,329","11,266",.,"4,103",.,.,.,.,.,.,.,.,.,.,.,"13,882","11,121"
FZ69D,"Complex Small Intestine Procedures, 19 years and over, with CC Score 3-6","19,183","28,579","16,817",.,.,.,.,.,.,.,.,"38,177",.,"42,869",.,.,"31,015"
FZ69E,"Complex Small Intestine Procedures, 19 years and over, with CC Score 0-2",.,"17,262",.,.,"10,607","4,901",.,.,.,.,.,.,.,.,.,.,"12,508"
FZ71D,Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 7+,.,"8,314",.,.,.,"3,858",.,.,"3,693",.,"7,110","1,319",.,.,.,"9,490","6,787"
FZ71E,Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 4-6,"1,832",.,.,"2,589",.,.,.,.,"5,572",.,.,"9,280",.,"11,549",.,"6,342","6,214"
FZ71F,Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 1-3,"7,968","4,689",.,.,"4,693",.,.,.,.,.,.,"4,917",.,.,.,"4,299","4,802"
FZ71G,Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 0,"1,832","1,731","5,510",.,"2,288","2,673",.,.,.,.,.,"5,035",.,"2,461",.,"3,312","3,278"
FZ73C,Very Complex Large Intestine Procedures with CC Score 9+,.,.,.,.,"13,938",.,.,.,.,.,"15,229","7,343",.,.,.,.,"12,170"
FZ73D,Very Complex Large Intestine Procedures with CC Score 6-8,.,.,.,.,.,.,.,.,.,.,.,"8,386",.,.,.,.,"8,386"
FZ73E,Very Complex Large Intestine Procedures with CC Score 3-5,"8,777",.,"12,148",.,.,.,.,.,.,.,.,.,.,"27,927",.,"10,429","13,184"
FZ73F,Very Complex Large Intestine Procedures with CC Score 0-2,"19,607","10,248","8,764","11,686",.,"10,508",.,.,.,.,.,"9,688",.,.,.,"5,229","10,927"
FZ74C,"Complex Large Intestine Procedures, 19 years and over, with CC Score 9+","29,688","11,405",.,.,"10,229",.,.,.,.,.,.,.,.,.,.,"10,302","14,072"
FZ74D,"Complex Large Intestine Procedures, 19 years and over, with CC Score 6-8","22,379","7,520","8,984",.,"5,649","5,470",.,.,.,.,"12,687","12,647",.,"12,980",.,.,"9,497"
FZ74E,"Complex Large Intestine Procedures, 19 years and over, with CC Score 3-5","17,222","16,309","12,809","12,913","9,191","8,601",.,.,.,.,"12,714","6,812",.,"17,688",.,"11,338","12,102"
FZ74F,"Complex Large Intestine Procedures, 19 years and over, with CC Score 0-2","12,412","9,150","9,387","10,439","7,110","5,786",.,.,.,.,.,"7,797",.,"14,694",.,"6,957","8,769"
FZ75C,"Proximal Colon Procedures, 19 years and over, with CC Score 6+","28,421","3,563","13,952",.,"8,496",.,.,.,.,.,"9,261",.,.,.,.,"7,739","11,433"
FZ75D,"Proximal Colon Procedures, 19 years and over, with CC Score 3-5","11,518","5,169","13,260",.,.,"5,673",.,.,.,.,.,"7,539",.,.,.,"5,664","8,424"
FZ75E,"Proximal Colon Procedures, 19 years and over, with CC Score 0-2","9,519","9,870","9,023","7,319","5,788","6,781",.,.,.,.,"8,996","6,131",.,"11,704",.,"5,005","7,399"
FZ76C,"Distal Colon Procedures, 19 years and over, with CC Score 3+",.,.,.,"13,764",.,.,.,.,.,.,.,.,.,"19,604",.,.,"16,684"
FZ76D,"Distal Colon Procedures, 19 years and over, with CC Score 0-2","10,146","9,555","8,019","7,515","4,957","8,137",.,.,.,.,.,"6,408",.,.,.,"3,884","6,304"
FZ77C,"Major Large Intestine Procedures, 19 years and over, with CC Score 3+","19,516",.,.,"8,354",.,"6,625",.,.,.,.,.,.,.,.,.,.,"10,712"
FZ77D,"Major Large Intestine Procedures, 19 years and over, with CC Score 1-2",.,"7,892","16,145",.,.,"3,698",.,.,.,.,.,.,.,.,.,.,"9,245"
FZ77E,"Major Large Intestine Procedures, 19 years and over, with CC Score 0",.,"6,693",.,.,.,.,.,.,.,.,.,.,.,"8,681",.,"2,230","6,339"
FZ78A,"Complex or Major, Large Intestine Procedures, between 2 and 18 years, with CC Score 1+",.,.,.,.,"8,683",.,.,.,.,.,.,.,.,.,.,.,"8,683"
FZ78B,"Complex or Major, Large Intestine Procedures, between 2 and 18 years, with CC Score 0",.,"12,020",.,.,"7,292",.,.,.,.,.,.,"4,410",.,.,.,.,"7,754"
FZ78D,"Complex or Major, Large Intestine Procedures, 1 year and under, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"5,239",.,.,.,.,"5,239"
FZ79C,Complex General Abdominal Procedures with CC Score 6+,.,.,.,.,.,.,.,.,.,.,.,"10,976",.,.,.,.,"10,976"
FZ79D,Complex General Abdominal Procedures with CC Score 3-5,.,.,.,"9,525",.,.,.,.,.,.,.,.,.,.,.,"26,769","18,147"
FZ79E,Complex General Abdominal Procedures with CC Score 0-2,"7,394","10,847","10,113","3,315",.,"2,173",.,.,.,.,.,"18,491",.,.,.,.,"8,532"
FZ80C,"Very Complex, Oesophageal, Stomach or Duodenum Procedures, 19 years and over, with CC Score 6+",.,.,"10,957",.,"14,346",.,.,.,.,.,.,.,.,.,.,.,"12,652"
FZ80D,"Very Complex, Oesophageal, Stomach or Duodenum Procedures, 19 years and over, with CC Score 3-5",.,.,"12,479",.,"4,210",.,.,.,.,.,.,.,.,.,.,.,"6,966"
FZ80E,"Very Complex, Oesophageal, Stomach or Duodenum Procedures, 19 years and over, with CC Score 0-2",.,.,"8,892",.,"7,453",.,.,.,.,.,"10,194",.,.,.,.,.,"9,125"
FZ81C,"Complex, Oesophageal, Stomach or Duodenum Procedures, 19 years and over, with CC Score 4+","17,765",.,"15,685",.,"10,301",.,.,.,.,.,"18,685",.,.,"14,363",.,.,"15,398"
FZ81D,"Complex, Oesophageal, Stomach or Duodenum Procedures, 19 years and over, with CC Score 2-3","10,276",.,"7,445","7,323","9,823",.,.,.,.,.,"10,925","12,535",.,.,.,"12,191","10,380"
FZ81E,"Complex, Oesophageal, Stomach or Duodenum Procedures, 19 years and over, with CC Score 0-1",.,.,"10,908",.,"8,263",.,.,.,.,.,"13,113",.,.,.,.,"3,619","9,484"
FZ82C,"Very Complex or Complex, Oesophageal, Stomach or Duodenum Procedures, 18 years and under, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"8,114",.,.,.,.,"8,114"
FZ82D,"Very Complex or Complex, Oesophageal, Stomach or Duodenum Procedures, 18 years and under, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"5,397",.,.,.,.,"5,397"
FZ83C,"Major, Oesophageal, Stomach or Duodenum Procedures, between 2 and 18 years, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,"20,692",.,"5,887",.,.,"13,290"
FZ83D,"Major, Oesophageal, Stomach or Duodenum Procedures, between 2 and 18 years, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"14,005",.,.,.,.,"14,005"
FZ83E,"Major, Oesophageal, Stomach or Duodenum Procedures, 1 year and under, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,"17,007",.,.,.,.,"17,007"
FZ83F,"Major, Oesophageal, Stomach or Duodenum Procedures, 1 year and under, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"4,317",.,.,.,.,"4,317"
FZ83G,"Major, Oesophageal, Stomach or Duodenum Procedures, 19 years and over, with CC Score 7+",.,.,.,"4,545",.,.,.,.,.,.,"17,360",.,.,.,.,.,"10,953"
FZ83H,"Major, Oesophageal, Stomach or Duodenum Procedures, 19 years and over, with CC Score 4-6","7,535","5,186","10,599","6,688","6,104","2,812",.,.,.,.,.,"6,330",.,"16,889",.,.,"7,117"
FZ83J,"Major, Oesophageal, Stomach or Duodenum Procedures, 19 years and over, with CC Score 2-3","7,715","3,844","6,301","2,673","3,337","6,844",.,.,.,.,"5,185","4,439",.,"10,436",.,"5,375","5,241"
FZ83K,"Major, Oesophageal, Stomach or Duodenum Procedures, 19 years and over, with CC Score 0-1","3,996",.,"6,557","3,302","2,456","6,975",.,.,.,.,.,"5,802",.,.,.,"3,013","4,822"
