HRG,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Average
EA55A,Percutaneous Diagnostic Electrophysiology Studies with CC Score 3+,.,.,"4,273",.,"4,805",.,.,.,.,.,.,"2,824",.,.,.,.,"3,150"
EA55B,Percutaneous Diagnostic Electrophysiology Studies with CC Score 0-2,.,.,"3,562",.,"4,805",.,.,.,.,.,.,"2,733",.,.,.,.,"2,832"
EA56A,"Implantation of Cardiac Resynchronization Therapy Defibrillator (CRT-D), with CC Score 6+",.,.,"19,357",.,.,.,.,.,.,.,.,"17,005",.,.,.,.,"17,476"
EA56B,"Implantation of Cardiac Resynchronization Therapy Defibrillator (CRT-D), with CC Score 3-5",.,.,"18,453",.,.,.,.,.,.,.,.,"15,808",.,.,.,.,"16,816"
EA56C,"Implantation of Cardiac Resynchronization Therapy Defibrillator (CRT-D), with CC Score 0-2",.,.,"17,870",.,.,.,.,.,.,.,.,"15,976",.,.,.,.,"16,413"
EA57A,"Percutaneous Interventions: Percutaneous Transluminal ASD, VSD or PFO Closure and Valve Insertion, or Balloon Valve Intermediate Interventions and Arterial Duct Closure, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,"8,935",.,.,.,.,"8,935"
EA57B,"Percutaneous Interventions: Percutaneous Transluminal ASD, VSD or PFO Closure and Valve Insertion, or Balloon Valve Intermediate Interventions and Arterial Duct Closure, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"3,922",.,.,.,.,"3,922"
EA58Z,Transcatheter Aortic Valve Implantation (TAVI) using Transfemoral Approach,689,.,.,.,.,.,.,.,.,.,.,"20,671",.,.,.,.,"20,381"
EA59Z,Transcatheter Aortic Valve Implantation (TAVI) not using Transfemoral Approach,.,.,.,.,.,.,.,.,.,.,.,"24,544",.,.,.,.,"24,544"
EB03A,"Heart Failure or Shock, with CC Score 14+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,254","4,254"
EB03B,"Heart Failure or Shock, with CC Score 11-13",.,.,.,.,.,.,.,"4,293",.,.,.,"4,358",.,.,.,"1,762","2,787"
EB03C,"Heart Failure or Shock, with CC Score 8-10",.,"2,393","2,602",.,.,"4,401",.,.,"3,201","2,228",.,"2,020",.,"2,511",.,"5,697","3,126"
EB03D,"Heart Failure or Shock, with CC Score 4-7",657,"3,005","3,703","1,641","3,024","1,808",.,.,"3,555","1,635",.,"5,507",.,"7,760",.,"3,874","3,847"
EB03E,"Heart Failure or Shock, with CC Score 0-3",.,"1,689","3,343",547,.,"1,506",.,.,376,"6,088",.,"6,696",.,"5,595",.,.,"3,351"
EB04Z,Hypertension,605,"1,411","1,074",584,"1,155","1,023",.,.,.,.,.,842,.,753,552,367,891
EB05A,Cardiac Arrest with CC Score 9+,.,.,.,.,"4,581",.,.,.,.,.,.,.,.,.,.,.,"4,581"
EB05B,Cardiac Arrest with CC Score 5-8,.,.,535,.,.,.,.,.,.,.,.,"1,539",.,.,.,.,"1,037"
EB06A,Cardiac Valve Disorders with CC Score 13+,.,.,.,.,.,.,.,.,.,.,.,"4,607",.,.,.,.,"4,607"
EB06B,Cardiac Valve Disorders with CC Score 9-12,.,.,"1,403",.,.,.,.,.,.,.,.,"15,152",.,.,.,.,"7,295"
EB06C,Cardiac Valve Disorders with CC Score 5-8,"2,067","4,645","5,989",.,"1,412","2,712",.,.,.,449,.,"1,722",.,.,.,"6,198","2,628"
EB06D,Cardiac Valve Disorders with CC Score 0-4,689,"1,277",535,"2,188","3,850",904,.,.,.,845,.,802,.,"8,793",.,"7,097","3,477"
EB07A,"Arrhythmia or Conduction Disorders, with CC Score 13+",.,"1,126",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,126"
EB07B,"Arrhythmia or Conduction Disorders, with CC Score 10-12",.,.,.,.,.,.,.,.,"1,127",.,.,"1,553",.,"3,197",.,.,"1,959"
EB07C,"Arrhythmia or Conduction Disorders, with CC Score 7-9",.,"2,111","1,246",547,385,.,.,.,.,.,.,.,.,.,.,"1,048","1,174"
EB07D,"Arrhythmia or Conduction Disorders, with CC Score 4-6","2,448","2,038","2,110","2,735","1,155","1,072","1,846",.,"2,547",.,.,617,.,"3,997",.,"2,051","1,992"
EB07E,"Arrhythmia or Conduction Disorders, with CC Score 0-3",835,839,"1,688",543,448,388,617,"2,176",752,817,.,"1,556",.,980,552,"1,560",976
EB08A,"Syncope or Collapse, with CC Score 13+",.,.,.,.,.,.,.,.,.,.,.,"11,373",.,.,.,.,"11,373"
EB08B,"Syncope or Collapse, with CC Score 10-12",.,.,748,.,.,.,.,.,.,.,.,.,.,.,.,.,748
EB08C,"Syncope or Collapse, with CC Score 7-9",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,767,767
EB08D,"Syncope or Collapse, with CC Score 4-6",.,"1,626",.,500,918,.,.,.,"1,670",.,.,.,.,.,552,.,"1,114"
EB08E,"Syncope or Collapse, with CC Score 0-3","1,753","1,056","1,707",.,.,"1,205",.,.,.,.,.,"1,903",.,.,552,367,"1,205"
EB09B,Non-Interventional Congenital Cardiac Conditions with CC Score 0-2,.,.,"3,014",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,014"
EB10A,"Actual or Suspected Myocardial Infarction, with CC Score 13+","3,278",834,.,.,.,"1,228",.,.,.,.,.,.,.,.,.,.,"1,693"
EB10B,"Actual or Suspected Myocardial Infarction, with CC Score 10-12","1,378","1,191",.,.,"1,155",.,.,.,.,.,.,.,.,.,.,"2,735","1,433"
EB10C,"Actual or Suspected Myocardial Infarction, with CC Score 7-9","5,052",422,.,.,.,301,.,.,.,.,.,"2,020",.,.,.,"1,533","2,776"
EB10D,"Actual or Suspected Myocardial Infarction, with CC Score 4-6",.,"2,027",.,"5,470","4,248",715,.,.,.,.,.,.,.,.,.,912,"2,386"
EB10E,"Actual or Suspected Myocardial Infarction, with CC Score 0-3",689,407,.,820,.,.,.,.,.,.,.,.,.,.,.,"2,279",951
EB12A,Unspecified Chest Pain with CC Score 11+,.,.,702,.,.,.,.,.,.,.,.,.,.,.,.,.,702
EB12B,Unspecified Chest Pain with CC Score 5-10,689,845,843,"1,367",.,.,.,.,655,.,.,617,.,.,.,.,876
EB12C,Unspecified Chest Pain with CC Score 0-4,689,396,.,.,356,301,"1,134",.,.,.,.,463,.,.,552,428,534
EB13B,Angina with CC Score 8-11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,102","4,102"
EB13C,Angina with CC Score 4-7,.,"1,689",.,.,.,"1,205",.,.,376,449,.,.,.,799,.,"1,367","1,181"
EB13D,Angina with CC Score 0-3,689,.,.,820,.,"1,429",.,.,.,449,.,.,.,"1,199",552,456,817
EB14A,Other Acquired Cardiac Conditions with CC Score 13+,.,"3,977","1,156",.,.,.,.,.,.,.,.,.,.,.,.,"2,300","1,651"
EB14B,Other Acquired Cardiac Conditions with CC Score 9-12,"2,703","1,868",784,.,.,409,.,.,.,.,.,"3,802",.,.,.,.,"1,647"
EB14C,Other Acquired Cardiac Conditions with CC Score 6-8,865,"2,548","1,336","3,008","3,066",.,.,.,"1,829",.,.,"4,231",.,.,.,"2,097","2,075"
EB14D,Other Acquired Cardiac Conditions with CC Score 3-5,"1,535","1,361","1,336",.,"2,345","3,615",.,.,.,.,.,"3,836",.,.,.,"4,102","2,072"
EB14E,Other Acquired Cardiac Conditions with CC Score 0-2,"1,494","1,072","2,989",547,"2,238",301,.,.,.,375,.,"2,747",.,"3,997",.,"3,191","2,143"
EB15C,Primary Pulmonary Hypertension with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,617,.,.,.,.,617
EC01A,"Congenital Cardiac Surgery with Intervention Score 58 or less, with Diagnosis Score 64 or less",689,.,.,.,.,.,.,.,.,.,.,"5,265",.,.,.,.,"5,235"
EC01B,"Congenital Cardiac Surgery with Intervention Score 58 or less, with Diagnosis Score 65-117",.,.,.,.,.,.,.,.,.,.,.,"6,515",.,.,.,.,"6,515"
EC01C,"Congenital Cardiac Surgery with Intervention Score 58 or less, with Diagnosis Score 118 or more",.,.,.,.,.,.,.,.,.,.,.,"18,616",.,.,.,.,"18,616"
EC02A,"Congenital Cardiac Surgery with Intervention Score 59-121, with Diagnosis Score 64 or less",.,.,.,.,.,.,.,.,.,.,.,"10,331",.,.,.,.,"10,331"
EC03A,"Congenital Cardiac Surgery with Intervention Score 122 or more, with Diagnosis Score 64 or less",.,.,.,.,.,.,.,.,.,.,.,"7,814",.,.,.,.,"7,814"
EC03B,"Congenital Cardiac Surgery with Intervention Score 122 or more, with Diagnosis Score 65-117",.,.,.,.,.,.,.,.,.,.,.,"9,012",.,.,.,.,"9,012"
EC03C,"Congenital Cardiac Surgery with Intervention Score 122 or more, with Diagnosis Score 118 or more",.,.,.,.,.,.,.,.,.,.,.,"5,511",.,.,.,.,"5,511"
FZ12M,"Major General Abdominal Procedures, 19 years and over, with CC Score 6-9",.,"13,747",.,.,.,.,.,.,.,"4,639",.,"6,718",.,.,.,"10,677","9,292"
FZ12N,"Major General Abdominal Procedures, 19 years and over, with CC Score 3-5","5,362",.,"5,590",.,"3,877","5,779",.,.,.,.,.,"7,325",.,"10,809",.,"8,213","6,347"
FZ12P,"Major General Abdominal Procedures, 19 years and over, with CC Score 1-2","2,075","5,856","5,618","3,163","3,550","2,573",.,.,.,"5,561",.,"11,722",.,"6,444",.,"5,137","5,134"
FZ12Q,"Major General Abdominal Procedures, 19 years and over, with CC Score 0","2,390","2,628","3,978","3,772","4,252","2,274",.,.,.,"3,175",.,"5,158",.,"4,995",.,"4,251","3,754"
FZ12R,"Major General Abdominal Procedures, between 2 and 18 years, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,"10,826",.,.,.,"3,339","8,955"
FZ12S,"Major General Abdominal Procedures, between 2 and 18 years, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"8,788",.,.,.,.,"8,788"
FZ12U,"Major General Abdominal Procedures, 1 year and under, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"4,899",.,.,.,.,"4,899"
FZ13C,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 19 years and over","1,236","1,645","1,530","1,606","1,995","1,670",.,.,.,"2,017",.,"1,134",.,"1,919",.,"1,255","1,576"
FZ13D,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"2,975",.,.,.,.,"2,975"
FZ17D,"Abdominal Hernia Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"2,475",.,.,.,.,"2,475"
FZ17E,"Abdominal Hernia Procedures, 19 years and over, with CC Score 4+",.,.,"3,195","4,145",.,.,.,.,.,.,.,.,.,"4,441",.,.,"3,927"
FZ17F,"Abdominal Hernia Procedures, 19 years and over, with CC Score 1-3","4,017","3,920","5,455","2,330","4,098","3,571",.,.,.,"4,462",.,"5,465",.,"5,303",.,"2,801","4,174"
FZ17G,"Abdominal Hernia Procedures, 19 years and over, with CC Score 0","2,755","3,832","4,611","2,087","3,441","2,409",.,.,.,"3,379",.,"4,169",.,"3,685",.,"2,479","3,118"
FZ18E,"Inguinal, Umbilical or Femoral Hernia Procedures, between 2 and 18 years","1,961",.,.,.,"1,483","2,775",.,.,.,.,.,"1,787",.,"2,578",.,"1,343","1,988"
FZ18F,"Inguinal, Umbilical or Femoral Hernia Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,"2,493",.,.,.,.,"2,493"
FZ18G,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 6+","3,149","7,862","2,987",.,"2,141",.,.,.,.,.,.,.,.,.,.,"1,332","3,396"
FZ18H,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 3-5","2,928","1,754","3,237","1,549","3,051","3,101",.,.,.,"2,415",.,.,.,"3,671",.,"2,412","2,739"
FZ18J,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 1-2","2,655","2,063","2,849","1,577","1,952","2,661",.,.,.,"2,571",.,"2,035",.,"2,968",.,"1,926","2,317"
FZ18K,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 0","2,430","1,717","2,821","1,368","1,814","2,309",.,.,.,"2,429",.,"2,221",.,"2,793",.,"1,296","2,023"
FZ19A,"Herniotomy Procedures, 2 years and over",.,.,"4,167","1,154","1,328",.,.,.,.,.,.,"2,023",.,.,.,.,"2,106"
FZ19B,"Herniotomy Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,"2,307",.,.,.,893,"2,240"
FZ20G,"Appendicectomy Procedures, 19 years and over, with CC Score 3-4",.,"2,776",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,776"
FZ20H,"Appendicectomy Procedures, 19 years and over, with CC Score 1-2",.,"2,463",.,.,"5,024",.,.,.,.,.,.,.,.,.,.,.,"3,743"
FZ20J,"Appendicectomy Procedures, 19 years and over, with CC Score 0","2,621","3,903","6,811","2,235","1,909","3,047",.,.,.,"4,609",.,.,.,.,.,"2,333","3,610"
FZ20M,"Appendicectomy Procedures, 18 years and under, with CC Score 0","3,078",.,.,"2,082",.,"2,316",.,.,.,.,.,.,.,.,.,"1,787","2,189"
FZ21B,"Major Anal Procedures, 18 years and under",.,.,.,"1,165",.,.,.,.,.,.,.,"7,233",.,.,.,"1,186","2,687"
FZ21C,"Major Anal Procedures, 19 years and over, with CC Score 1+","1,653","1,414","1,664",.,.,.,.,.,.,.,.,"5,419",.,.,.,"2,463","2,465"
FZ21D,"Major Anal Procedures, 19 years and over, with CC Score 0","1,656",.,"1,867","1,434","1,106","1,946",.,.,.,"1,974",.,"1,754",.,.,.,"1,847","1,706"
FZ22B,"Intermediate Anal Procedures, 18 years and under","2,180",.,.,"1,394",.,"1,050",.,.,.,.,.,"2,959",.,.,.,"2,257","2,481"
FZ22C,"Intermediate Anal Procedures, 19 years and over, with CC Score 3+","1,311","6,268","1,080",.,"3,043","1,467",.,.,.,.,.,.,.,.,.,"1,604","2,340"
FZ22D,"Intermediate Anal Procedures, 19 years and over, with CC Score 1-2","1,732","1,662","1,822","1,120","1,491",.,.,.,.,"1,668",.,"2,056",.,.,.,"1,620","1,671"
FZ22E,"Intermediate Anal Procedures, 19 years and over, with CC Score 0","1,617","1,668","1,728","1,496","1,266","1,598",.,.,.,"1,575",.,"1,379",.,"2,312",.,"1,438","1,592"
FZ23A,"Minor Anal Procedures, 19 years and over","1,342","1,663","1,475","1,121","1,263","1,282",.,.,.,"1,220",.,"1,379",.,"1,786",.,"1,182","1,355"
FZ23B,"Minor Anal Procedures, 18 years and under","1,311",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,311"
FZ24E,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, between 2 and 18 years",.,.,.,.,.,.,.,.,.,.,.,"2,043",.,.,.,.,"2,043"
FZ24F,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,"1,499",.,.,.,.,"1,499"
FZ24G,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 3+",.,"1,352","6,507","1,620","1,019",.,.,.,.,.,.,"2,047",.,.,.,.,"2,179"
FZ24H,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 1-2","1,450","1,412","3,058",.,"1,395",.,.,.,.,.,.,"2,194",.,.,.,.,"2,153"
FZ24J,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 0",.,"1,287",.,.,"1,243",.,.,.,.,.,.,"1,929",.,.,.,.,"1,753"
FZ27D,"Intermediate Therapeutic General Abdominal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,044",.,.,"3,044"
FZ27E,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 3+","2,285",452,"3,873",.,"23,880",.,.,.,.,.,.,.,.,.,.,.,"7,622"
FZ27F,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 1-2","3,148","4,269","3,470","1,344",.,.,.,.,.,.,.,"4,465",.,.,.,"2,269","3,160"
FZ27G,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 0","2,814","2,352","3,919","2,593","3,038","2,112",.,.,.,"3,967",.,.,.,"2,924",.,"2,121","2,967"
FZ36H,"Gastrointestinal Infections with Multiple Interventions, with CC Score 0-3",.,.,"5,875",.,.,.,.,.,.,.,.,.,.,.,.,.,"5,875"
FZ36J,"Gastrointestinal Infections with Single Intervention, with CC Score 5+",.,.,"7,428",.,.,"2,323",.,.,.,.,.,.,.,.,.,.,"4,876"
FZ36K,"Gastrointestinal Infections with Single Intervention, with CC Score 2-4","1,323",.,.,.,.,"3,114",.,.,.,.,.,"5,363",.,.,.,.,"3,267"
FZ36L,"Gastrointestinal Infections with Single Intervention, with CC Score 0-1",.,.,.,.,.,"2,014",.,.,.,.,.,.,.,.,.,"1,921","1,968"
FZ36N,"Gastrointestinal Infections without Interventions, with CC Score 5-7","1,097",.,"2,842",.,"7,636","1,506",.,.,.,.,.,.,.,.,.,.,"3,076"
FZ36P,"Gastrointestinal Infections without Interventions, with CC Score 2-4","1,780",.,"1,964",.,327,.,.,.,.,.,.,463,.,647,.,.,"1,628"
FZ36Q,"Gastrointestinal Infections without Interventions, with CC Score 0-1","1,114",.,"1,191",.,928,"1,205",.,.,.,375,.,.,.,.,.,734,"1,041"
FZ37K,"Inflammatory Bowel Disease with Multiple Interventions, with CC Score 3+",.,.,.,.,"17,627",.,.,.,.,.,.,.,.,.,.,.,"17,627"
FZ37L,"Inflammatory Bowel Disease with Multiple Interventions, with CC Score 0-2","1,857",.,"9,757","1,531",.,.,.,.,.,.,.,.,.,.,.,.,"5,726"
FZ37M,"Inflammatory Bowel Disease with Single Intervention, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,"2,928",.,.,.,.,"2,928"
FZ37N,"Inflammatory Bowel Disease with Single Intervention, with CC Score 0-3","3,172","2,030","1,874","1,361","3,741","2,209",.,.,"1,127","2,789",.,"3,314",.,.,.,"2,744","2,578"
FZ37P,"Inflammatory Bowel Disease without Interventions, with CC Score 5+",.,"1,031",.,.,.,.,.,.,.,.,.,"3,499",.,.,.,.,"2,759"
FZ37Q,"Inflammatory Bowel Disease without Interventions, with CC Score 3-4",457,"1,581",288,.,.,"1,186",.,.,.,.,.,.,.,502,.,"2,727","1,270"
FZ37R,"Inflammatory Bowel Disease without Interventions, with CC Score 1-2","2,191",921,761,"1,658","1,667","1,808",.,.,"1,879",.,.,"1,615",.,.,.,"3,939","1,469"
FZ37S,"Inflammatory Bowel Disease without Interventions, with CC Score 0","1,753","1,483",928,"4,580","1,083",734,.,.,"3,382",.,.,911,.,"2,511",.,"1,940","1,345"
FZ38G,"Gastrointestinal Bleed with Multiple Interventions, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,554","1,554"
FZ38H,"Gastrointestinal Bleed with Multiple Interventions, with CC Score 0-4",.,.,"1,737",.,.,.,.,.,.,"2,338",.,.,.,.,.,.,"2,037"
FZ38L,"Gastrointestinal Bleed with Single Intervention, with CC Score 0-4","1,323",.,"2,676","1,475","1,699","2,188",.,.,.,.,.,.,.,"2,330",.,.,"2,053"
FZ38N,"Gastrointestinal Bleed without Interventions, with CC Score 5-8",.,.,887,.,.,.,.,.,.,.,.,.,.,.,.,"1,467","1,104"
FZ38P,"Gastrointestinal Bleed without Interventions, with CC Score 0-4","1,564",786,"1,528","1,595",730,593,.,.,.,.,.,602,.,940,.,455,976
FZ42A,"Wireless Capsule Endoscopy, 19 years and over",788,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,788
FZ49D,"Nutritional Disorders with Interventions, with CC Score 2+","6,660",.,.,"1,973",.,.,.,.,.,483,.,.,.,.,.,"8,523","3,923"
FZ49E,"Nutritional Disorders with Interventions, with CC Score 0-1",.,.,"9,153",.,"2,159","3,526",.,.,.,.,.,"1,417",.,"1,104",.,.,"3,077"
FZ49F,"Nutritional Disorders without Interventions, with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,863",.,.,"3,863"
FZ49G,"Nutritional Disorders without Interventions, with CC Score 2-5",.,"1,704",.,573,.,.,.,.,.,.,.,"4,931",.,.,.,"3,897","2,786"
FZ49H,"Nutritional Disorders without Interventions, with CC Score 0-1","2,275","1,798",.,.,"2,628",904,.,.,.,.,.,645,.,"2,009",.,.,"1,738"
FZ50Z,"Intermediate Large Intestine Procedures, 19 years and over","1,411","1,462","1,382","1,221","1,462","1,874",.,.,.,.,.,"1,166",.,"1,786",.,"1,174","1,408"
FZ51Z,"Diagnostic Colonoscopy, 19 years and over",942,801,835,"1,121","1,140","1,006",.,.,998,371,.,"1,034",.,996,.,"1,321",930
FZ52Z,"Diagnostic Colonoscopy with Biopsy, 19 years and over",966,680,"1,108","1,199","1,735","1,342",.,.,.,513,.,908,.,"1,002",.,"1,332","1,017"
FZ53Z,"Therapeutic Colonoscopy, 19 years and over",875,881,"1,381","1,140","1,328","2,401",.,.,.,562,.,"1,100",.,"1,719",.,"1,332","1,245"
FZ54Z,"Diagnostic Flexible Sigmoidoscopy, 19 years and over",958,652,642,913,767,.,.,.,.,"1,020",.,"1,058",.,"1,012",.,893,886
FZ55Z,"Diagnostic Flexible Sigmoidoscopy with Biopsy, 19 years and over",952,709,"1,098",.,"1,658",810,.,.,687,339,.,904,.,"1,036",.,869,978
FZ56Z,"Therapeutic Flexible Sigmoidoscopy, 19 years and over",875,545,"2,097",.,"1,411","3,437",.,.,687,"1,194",.,692,.,502,.,948,"1,347"
FZ57Z,"Diagnostic or Therapeutic, Rigid Sigmoidoscopy, 19 years and over",.,.,.,913,.,"1,268",.,.,.,.,.,.,.,"1,036",.,.,"1,073"
FZ58A,"Endoscopic or Intermediate, Lower Gastrointestinal Tract Procedures, between 2 and 18 years",.,.,"1,390",454,.,.,.,.,.,.,.,"3,451",.,.,.,747,"2,342"
FZ58B,"Endoscopic or Intermediate, Lower Gastrointestinal Tract Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,"5,400",.,.,.,.,"5,400"
FZ59Z,"Intermediate Upper Gastrointestinal Tract Procedures, 19 years and over",.,.,855,.,.,.,.,.,.,.,.,.,.,.,.,.,855
FZ60Z,"Diagnostic Endoscopic Upper Gastrointestinal Tract Procedures, 19 years and over","1,085",542,663,990,912,975,.,.,.,"1,219",.,"1,000",.,867,.,772,844
FZ61Z,"Diagnostic Endoscopic Upper Gastrointestinal Tract Procedures with Biopsy, 19 years and over",981,651,513,772,845,918,.,.,687,902,.,"1,087",.,867,.,864,805
FZ62A,"Endoscopic or Intermediate, Upper Gastrointestinal Tract Procedures, between 2 and 18 years",817,.,375,"1,292",932,.,.,.,.,.,.,"1,664",.,.,.,976,"1,390"
FZ62B,"Endoscopic or Intermediate, Upper Gastrointestinal Tract Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,"1,509",.,.,.,.,"1,509"
FZ63Z,Combined Upper and Lower Gastrointestinal Tract Diagnostic Endoscopic Procedures,.,878,"1,057","1,151",922,"1,512",.,.,.,"1,564",.,"1,833",.,924,.,.,"1,251"
FZ64A,"Combined Upper and Lower Gastrointestinal Tract Diagnostic Endoscopic Procedures with Biopsy, 19 years and over",981,820,652,968,"1,696","1,290",.,.,687,"1,006",.,795,.,867,.,893,"1,001"
FZ64B,"Combined Upper and Lower Gastrointestinal Tract Diagnostic Endoscopic Procedures with Biopsy, 18 years and under",762,.,"1,549",.,.,.,.,.,.,.,.,"1,988",.,.,.,"1,332","1,707"
FZ65Z,Combined Upper and Lower Gastrointestinal Tract Therapeutic Endoscopic Procedures,438,"1,140","1,057","1,314",.,"1,945",.,.,.,679,.,"1,647",.,.,.,.,"1,316"
FZ66C,"Very Major Small Intestine Procedures, 19 years and over, with CC Score 8+",.,"17,128",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"17,128"
FZ66D,"Very Major Small Intestine Procedures, 19 years and over, with CC Score 5-7","9,295","2,909","11,697","2,349",.,.,.,.,.,"6,680",.,"5,949",.,.,.,.,"7,825"
FZ66E,"Very Major Small Intestine Procedures, 19 years and over, with CC Score 2-4","14,260","9,293","10,622","5,656","14,177","7,900",.,.,.,"4,853",.,"14,571",.,.,.,"4,094","9,467"
FZ66F,"Very Major Small Intestine Procedures, 19 years and over, with CC Score 0-1","8,361","5,956","7,035","7,559","7,345","7,875",.,.,.,"5,385",.,"11,333",.,.,.,"4,723","7,237"
FZ67C,"Major Small Intestine Procedures, 19 years and over, with CC Score 7+",.,.,"7,722",.,"9,242","9,713",.,.,.,.,.,.,.,.,.,"9,806","9,121"
FZ67D,"Major Small Intestine Procedures, 19 years and over, with CC Score 4-6",.,"6,266","4,936",.,"4,599",.,.,.,.,.,.,.,.,"10,424",.,"3,542","5,728"
FZ67E,"Major Small Intestine Procedures, 19 years and over, with CC Score 2-3","7,181","11,026","6,657","5,223","3,196","4,443",.,.,.,"4,220",.,"4,900",.,.,.,"4,084","6,082"
FZ67F,"Major Small Intestine Procedures, 19 years and over, with CC Score 0-1","6,364","4,839","5,091","5,106","3,861","3,959",.,.,.,"7,199",.,"4,827",.,"9,084",.,"3,567","4,748"
FZ68G,"Very Major or Major, Small Intestine Procedures, between 2 and 18 years, with CC Score 2+",.,.,"21,940",.,.,.,.,.,.,.,.,.,.,.,.,.,"21,940"
FZ68H,"Very Major or Major, Small Intestine Procedures, between 2 and 18 years, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"8,910",.,.,.,.,"8,910"
FZ68K,"Very Major or Major, Small Intestine Procedures, 1 year and under, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,"11,672",.,.,.,.,"11,672"
FZ68L,"Very Major or Major, Small Intestine Procedures, 1 year and under, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"6,982",.,.,.,.,"6,982"
FZ69D,"Complex Small Intestine Procedures, 19 years and over, with CC Score 3-6",.,.,"12,106","33,863",.,.,.,.,.,.,.,.,.,.,.,"9,752","16,957"
FZ69E,"Complex Small Intestine Procedures, 19 years and over, with CC Score 0-2",.,.,"34,444","2,752","7,149",.,.,.,.,"8,362",.,.,.,.,.,"5,700","10,684"
FZ70Z,"Therapeutic Endoscopic Upper Gastrointestinal Tract Procedures, 19 years and over",467,938,980,454,"1,208",.,.,.,.,.,.,"1,686",.,.,.,821,"1,051"
FZ71D,Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 7+,.,"1,851",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,851"
FZ71E,Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 4-6,"1,393","3,172","2,389",454,.,.,.,.,.,.,.,"10,137",.,.,.,.,"3,816"
FZ71F,Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 1-3,"3,585","2,182","2,438",.,"1,768",.,.,.,.,"2,125",.,"4,642",.,.,.,"1,278","2,422"
FZ71G,Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 0,"1,393","1,185","2,869",.,"1,731",.,.,.,.,.,.,"5,682",.,"3,013",.,"1,244","2,631"
FZ73C,Very Complex Large Intestine Procedures with CC Score 9+,.,.,"20,757",.,.,.,.,.,.,.,.,.,.,.,.,.,"20,757"
FZ73D,Very Complex Large Intestine Procedures with CC Score 6-8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"20,051","20,051"
