Area,Authority,ward,Type,Electoral system,Island,Region,Area type,TA Type,City Size,Progress results issued,Progress results time,Preliminary results announced,Voting papers order,Other elections were:,Poles were:,Number of documents sent,Number of documents returned unopened,Number of documents returned late,Contested wards,"Positions 
(N)","Elected unopposed 
(N)","Candidates 
(N)",Candidates per position,Electors per electable position,Voters per electable contested position,"Candidates Council sitting members 
(N)","Candidates Council sitting members 
(%)","Also candidates for Council
(N)",Sitting Mayor,Mayor/ Council members re-elected (N),"Mayor/ Council members re-elected
(%)",Council members re-elected or Mayor (N),"Council members re-elected or Mayor
(%)","Candidates (community) board members 
(N)","Candidates (community) board members 
(%)","(Community) board members elected 
(N)","(Community) board members elected 
(%)","Residential electors 
(N)","Ratepayer electors 
(N)","Ratepayer electors 
(%)","Total electors 
(N)",Estimated population resident 2009,Electors as % of total population,Residential electors (contested wards only),Ratepayer electors (contested wards only),Total electors (Contested wards only),"Residential voters 
(N)","Residential turnout 
(%)","Ratepayer voters 
(N)","Ratepayer turnout
(%)","Total voters 
(N)",Overall turnout (%),"Residential special votes cast 
(N)","Residential special votes cast 
(%)","Ratepayer special votes cast 
(N)","Ratepayer special votes cast 
(%)","Total special votes cast 
(N)","Total special votes cast 
(%)","Residential special votes allowed 
(N)","Residential special votes allowed 
(%)","Ratepayer special votes allowed 
(N)","Ratepayer special votes allowed 
(%)","Total special votes allowed 
(N)","Total special votes allowed 
(%)","Informal votes
(N)","Informal votes
(%)","Blank votes 
(N)","Blank votes 
(%)","Blank and informal votes 
(N)","Blank and informal votes 
(%)","Women candidates
(N)","Women candidates
(%)","Women councillors
(N)","Women councillors
(%)",Unfilled positions
DUNEDIN CITY,CHALMERS COMMUNITY BOARD,AT LARGE,CB,STV,s,Otago,Metro,City,l,,,,,,,,,,Contested,6,0,7,1.17,673,399,,,,,,,,,4,57.1%,4,66.7%,"4,021",14,0.35%,"4,035",5450,74.0%,"4,021",14,"4,035","2,379",59.2%,13,92.9%,"2,392",59.3%,37,1.6%,0,0.0%,37,1.5%,36,97.3%,0,,36,97.3%,13,0.5%,84,3.5%,97,4.1%,3,42.9%,3,50.0%,
DUNEDIN CITY,MOSGIEL-TAIERI COMMUNITY BOARD,AT LARGE,CB,STV,s,Otago,Metro,City,l,,,,,,,,,,Contested,6,0,7,1.17,"2,013","1,198",,,,,,,,,5,71.4%,4,66.7%,"12,061",15,0.12%,"12,076",15850,76.2%,"12,061",15,"12,076","7,172",59.5%,13,86.7%,"7,185",59.5%,54,0.8%,2,15.4%,56,0.8%,53,98.1%,2,100.0%,55,98.2%,47,0.7%,341,4.7%,388,5.4%,3,42.9%,2,33.3%,
DUNEDIN CITY,OTAGO PENINSULA COMMUNITY BOARD,AT LARGE,CB,STV,s,Otago,Metro,City,l,,,,,,,,,,Unopposed,6,6,6,1.00,551,,,,,,,,,,5,83.3%,5,83.3%,"3,295",8,0.24%,"3,303",4380,75.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,33.3%,2,33.3%,
DUNEDIN CITY,SADDLE HILL COMMUNITY BOARD,AT LARGE,CB,STV,s,Otago,Metro,City,l,,,,,,,,,,Unopposed,6,6,6,1.00,746,,,,,,,,,,6,100.0%,6,100.0%,"4,471",7,0.16%,"4,478",5920,75.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16.7%,1,16.7%,
DUNEDIN CITY,STRATH TAIERI COMMUNITY BOARD,AT LARGE,CB,STV,s,Otago,Metro,City,l,,,,,,,,,,Unopposed,6,6,6,1.00,73,,,,,,,,,,4,66.7%,4,66.7%,429,7,1.61%,436,680,64.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16.7%,1,16.7%,
DUNEDIN CITY,WAIKOUAITI COAST COMMUNITY BOARD,AT LARGE,CB,STV,s,Otago,Metro,City,l,,,,,,,,,,Contested,6,0,9,1.50,433,261,,,,,,,,,5,55.6%,4,66.7%,"2,573",27,1.04%,"2,600",3330,78.1%,"2,573",27,"2,600","1,537",59.7%,27,100.0%,"1,564",60.2%,25,1.6%,6,22.2%,31,2.0%,22,88.0%,5,83.3%,27,87.1%,10,0.6%,38,2.4%,48,3.1%,2,22.2%,1,16.7%,
DUNEDIN CITY,DUNEDIN CITY COUNCIL,CENTRAL,CC,STV,s,Otago,Metro,City,l,,,,,,,,,,Contested,11,0,39,3.55,"6,094","3,112",11,28.2%,,,8,72.7%,8,,1,2.6%,0,0.0%,"66,955",83,0.12%,"67,038",98400,68.1%,"66,955",83,"67,038","34,152",51.0%,76,91.6%,"34,228",51.1%,518,1.5%,14,18.4%,532,1.6%,446,86.1%,14,100.0%,460,86.5%,665,1.9%,566,1.7%,"1,231",3.6%,7,17.9%,3,27.3%,
DUNEDIN CITY,DUNEDIN CITY COUNCIL,MOSGIEL-TAIERI,CC,STV,s,Otago,Metro,City,l,,,,,,,,,,Contested,2,0,6,3.00,"6,256","3,732",2,33.3%,,,2,100.0%,2,,0,0.0%,0,0.0%,"12,490",22,0.18%,"12,512",16500,75.8%,"12,490",22,"12,512","7,448",59.6%,16,72.7%,"7,464",59.7%,54,0.7%,2,12.5%,56,0.8%,53,98.1%,2,100.0%,55,98.2%,55,0.7%,165,2.2%,220,2.9%,1,16.7%,1,50.0%,
DUNEDIN CITY,DUNEDIN CITY COUNCIL,WAIKOUAITI COAST-CHALMERS,CC,STV,s,Otago,Metro,City,l,N,N/A,7.15 pm,Alphabetical,N/A,N/A,"86,192",957,111,Contested,1,0,2,2.00,"6,613","3,935",1,50.0%,,,1,100.0%,1,,1,50.0%,0,0.0%,"6,594",19,0.29%,"6,613",8780,75.3%,"6,594",19,"6,613","3,916",59.4%,19,100.0%,"3,935",59.5%,63,1.6%,5,26.3%,68,1.7%,58,92.1%,4,80.0%,62,91.2%,2,0.1%,172,4.4%,174,4.4%,1,50.0%,0,0.0%,
DUNEDIN CITY,DUNEDIN CITY COUNCIL,AT LARGE,MAYOR,STV,s,Otago,Metro,City,l,,,,,,,,,,Contested,1,0,7,7.00,"86,163","45,627",2,28.6%,4,Defeated,0,0.0%,1,,,,,,"86,039",124,0.14%,"86,163",123680,69.7%,"86,039",124,"86,163","45,516",52.9%,111,89.5%,"45,627",53.0%,635,1.4%,21,18.9%,656,1.4%,557,87.7%,20,95.2%,577,88.0%,57,0.1%,393,0.9%,450,1.0%,0,0.0%,0,0.0%,
FAR NORTH DISTRICT,BAY OF ISLANDS-WHANGAROA COMMUNITY BOARD,KAWAKAWA-MOEREWA,CB,FPP,n,Northland,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"2,130",,,,,,,,,,0,0.0%,0,0.0%,"2,127",3,0.14%,"2,130",3790,56.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
FAR NORTH DISTRICT,BAY OF ISLANDS-WHANGAROA COMMUNITY BOARD,KERIKERI,CB,FPP,n,Northland,Provincial,District,,,,,,,,,,,Contested,3,0,5,1.67,"2,500","1,305",,,,,,,,,2,40.0%,1,33.3%,"7,487",14,0.19%,"7,501",11100,67.6%,"7,487",14,"7,501","3,903",52.1%,13,92.9%,"3,916",52.2%,25,0.6%,10,76.9%,35,0.9%,16,64.0%,7,70.0%,23,65.7%,11,0.3%,352,9.0%,363,9.3%,1,20.0%,1,33.3%,
FAR NORTH DISTRICT,BAY OF ISLANDS-WHANGAROA COMMUNITY BOARD,PAIHIA,CB,FPP,n,Northland,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"2,530",,,,,,,,,,0,0.0%,0,0.0%,"2,517",13,0.51%,"2,530",3790,66.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.0%,1,100.0%,
FAR NORTH DISTRICT,BAY OF ISLANDS-WHANGAROA COMMUNITY BOARD,RUSSELL-OPUA,CB,FPP,n,Northland,Provincial,District,,,,,,,,,,,Contested,1,0,3,3.00,"2,455","1,266",,,,,,,,,0,0.0%,0,0.0%,"2,399",56,2.28%,"2,455",3530,69.5%,"2,399",56,"2,455","1,210",50.4%,56,100.0%,"1,266",51.6%,13,1.1%,5,8.9%,18,1.4%,8,61.5%,3,60.0%,11,61.1%,0,0.0%,109,8.6%,109,8.6%,0,0.0%,0,0.0%,
FAR NORTH DISTRICT,BAY OF ISLANDS-WHANGAROA COMMUNITY BOARD,WHANGAROA,CB,FPP,n,Northland,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"2,492",,,,,,,,,,0,0.0%,0,0.0%,"2,469",23,0.92%,"2,492",3850,64.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
FAR NORTH DISTRICT,KAIKOHE-HOKIANGA COMMUNITY BOARD,KAIKOHE,CB,FPP,n,Northland,Provincial,District,,,,,,,,,,,Contested,3,0,4,1.33,"1,387",646,,,,,,,,,2,50.0%,2,66.7%,"4,155",5,0.12%,"4,160",7550,55.1%,"4,155",5,"4,160","1,936",46.6%,3,60.0%,"1,939",46.6%,43,2.2%,7,233.3%,50,2.6%,29,67.4%,7,100.0%,36,72.0%,1,0.1%,90,4.6%,91,4.7%,0,0.0%,0,0.0%,
FAR NORTH DISTRICT,KAIKOHE-HOKIANGA COMMUNITY BOARD,NORTH HOKIANGA,CB,FPP,n,Northland,Provincial,District,,,,,,,,,,,Contested,1,0,2,2.00,"1,267",569,,,,,,,,,1,50.0%,0,0.0%,"1,260",7,0.55%,"1,267",2240,56.6%,"1,260",7,"1,267",562,44.6%,7,100.0%,569,44.9%,2,0.4%,6,85.7%,8,1.4%,0,0.0%,3,50.0%,3,37.5%,0,0.0%,46,8.1%,46,8.1%,1,50.0%,0,0.0%,
FAR NORTH DISTRICT,KAIKOHE-HOKIANGA COMMUNITY BOARD,SOUTH HOKIANGA,CB,FPP,n,Northland,Provincial,District,,,,,,,,,,,Unopposed,2,2,2,1.00,"1,280",,,,,,,,,,1,50.0%,1,50.0%,"2,541",19,0.74%,"2,560",4250,60.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
FAR NORTH DISTRICT,TE HIKU COMMUNITY BOARD,DOUBTLESS BAY,CB,FPP,n,Northland,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"2,067",,,,,,,,,,0,0.0%,0,0.0%,"2,039",28,1.35%,"2,067",2790,74.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.0%,1,100.0%,
FAR NORTH DISTRICT,TE HIKU COMMUNITY BOARD,KAITAIA,CB,FPP,n,Northland,Provincial,District,,,,,,,,,,,Contested,3,0,5,1.67,"2,010",852,,,,,,,,,2,40.0%,2,66.7%,"6,018",11,0.18%,"6,029",9730,62.0%,"6,018",11,"6,029","2,549",42.4%,8,72.7%,"2,557",42.4%,21,0.8%,3,37.5%,24,0.9%,16,76.2%,2,66.7%,18,75.0%,2,0.1%,138,5.4%,140,5.5%,1,20.0%,1,33.3%,
FAR NORTH DISTRICT,TE HIKU COMMUNITY BOARD,NORTH CAPE,CB,FPP,n,Northland,Provincial,District,,,,,,,,,,,Contested,1,0,2,2.00,"1,817",890,,,,,,,,,1,50.0%,1,100.0%,"1,810",7,0.39%,"1,817",2730,66.6%,"1,810",7,"1,817",882,48.7%,8,114.3%,890,49.0%,5,0.6%,2,25.0%,7,0.8%,1,20.0%,1,50.0%,2,28.6%,0,0.0%,82,9.2%,82,9.2%,0,0.0%,0,0.0%,
FAR NORTH DISTRICT,TE HIKU COMMUNITY BOARD,WHATUWHIWHI,CB,FPP,n,Northland,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"1,838",,,,,,,,,,1,100.0%,1,100.0%,"1,819",19,1.03%,"1,838",2710,67.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
FAR NORTH DISTRICT,FAR NORTH DISTRICT COUNCIL,BAY OF ISLANDS-WHANGAROA,DC,FPP,n,Northland,Provincial,District,,,,,,,,,,,Contested,4,0,13,3.25,"4,277","2,040",4,30.8%,,,4,100.0%,4,,3,23.1%,0,0.0%,"16,999",109,0.64%,"17,108",26000,65.8%,"16,999",109,"17,108","8,055",47.4%,104,95.4%,"8,159",47.7%,59,0.7%,25,24.0%,84,1.0%,33,55.9%,18,72.0%,51,60.7%,20,0.2%,294,3.6%,314,3.8%,4,30.8%,2,50.0%,
FAR NORTH DISTRICT,FAR NORTH DISTRICT COUNCIL,KAIKOHE-HOKIANGA,DC,FPP,n,Northland,Provincial,District,,,,,,,,,,,Contested,2,0,6,3.00,"3,994","1,891",1,16.7%,,,1,50.0%,1,,3,50.0%,1,50.0%,"7,956",31,0.39%,"7,987",14050,56.8%,"7,956",31,"7,987","3,752",47.2%,29,93.5%,"3,781",47.3%,57,1.5%,17,58.6%,74,2.0%,31,54.4%,13,76.5%,44,59.5%,26,0.7%,107,2.8%,133,3.5%,2,33.3%,2,100.0%,
FAR NORTH DISTRICT,FAR NORTH DISTRICT COUNCIL,TE HIKU,DC,FPP,n,Northland,Provincial,District,,Y,12.02 pm,10.44 pm,Alphabetical,N/A,N/A,"36,852",400,80,Contested,3,0,8,2.67,"3,917","1,781",3,37.5%,,,1,33.3%,1,,0,0.0%,0,0.0%,"11,686",65,0.55%,"11,751",17950,65.5%,"11,686",65,"11,751","5,287",45.2%,55,84.6%,"5,342",45.5%,43,0.8%,13,23.6%,56,1.0%,28,65.1%,9,69.2%,37,66.1%,11,0.2%,86,1.6%,97,1.8%,1,12.5%,0,0.0%,
FAR NORTH DISTRICT,FAR NORTH DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Northland,Provincial,District,,,,,,,,,,,Contested,1,0,4,4.00,"36,846","17,282",2,50.0%,0,Re-elected,1,100.0%,1,,,,,,"36,641",205,0.56%,"36,846",58000,63.5%,"36,641",205,"36,846","17,094",46.7%,188,91.7%,"17,282",46.9%,159,0.9%,55,29.3%,214,1.2%,92,57.9%,40,72.7%,132,61.7%,20,0.1%,391,2.3%,411,2.4%,0,0.0%,0,0.0%,
GISBORNE DISTRICT,GISBORNE DISTRICT COUNCIL,COOK,DC,FPP,n,Gisborne,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"1,139",,1,100.0%,,,1,100.0%,1,,,,,,"1,135",4,0.35%,"1,139",1750,65.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
GISBORNE DISTRICT,GISBORNE DISTRICT COUNCIL,GISBORNE,DC,FPP,n,Gisborne,Provincial,District,,,,,,,,,,,Contested,8,0,16,2.00,"2,750","1,478",7,43.8%,,,6,75.0%,6,,,,,,"21,992",9,0.04%,"22,001",32700,67.3%,"21,992",9,"22,001","11,815",53.7%,9,100.0%,"11,824",53.7%,243,2.1%,4,44.4%,247,2.1%,200,82.3%,4,100.0%,204,82.6%,36,0.3%,161,1.4%,197,1.7%,6,37.5%,2,25.0%,
GISBORNE DISTRICT,GISBORNE DISTRICT COUNCIL,MATAKAOA,DC,FPP,n,Gisborne,Provincial,District,,,,,,,,,,,Contested,1,0,3,3.00,934,524,0,0.0%,,,0,0.0%,0,,,,,,931,3,0.32%,934,1820,51.3%,931,3,934,521,56.0%,3,100.0%,524,56.1%,14,2.7%,0,0.0%,14,2.7%,9,64.3%,0,,9,64.3%,0,0.0%,3,0.6%,3,0.6%,1,33.3%,0,0.0%,
GISBORNE DISTRICT,GISBORNE DISTRICT COUNCIL,TARUHERU-PATUTAHI,DC,FPP,n,Gisborne,Provincial,District,,,,,,,,,,,Contested,1,0,2,2.00,"2,650","1,617",1,50.0%,,,1,100.0%,1,,,,,,"2,649",1,0.04%,"2,650",3770,70.3%,"2,649",1,"2,650","1,616",61.0%,1,100.0%,"1,617",61.0%,15,0.9%,0,0.0%,15,0.9%,12,80.0%,0,,12,80.0%,5,0.3%,47,2.9%,52,3.2%,0,0.0%,0,0.0%,
GISBORNE DISTRICT,GISBORNE DISTRICT COUNCIL,UAWA,DC,FPP,n,Gisborne,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"1,158",,1,100.0%,,,1,100.0%,1,,,,,,"1,155",3,0.26%,"1,158",1950,59.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.0%,1,100.0%,
GISBORNE DISTRICT,GISBORNE DISTRICT COUNCIL,WAIAPU,DC,FPP,n,Gisborne,Provincial,District,,,,,,,,,,,Contested,1,0,3,3.00,"1,254",718,1,33.3%,,,1,100.0%,1,,,,,,"1,252",2,0.16%,"1,254",2170,57.8%,"1,252",2,"1,254",716,57.2%,2,100.0%,718,57.3%,24,3.4%,2,100.0%,26,3.6%,18,75.0%,1,50.0%,19,73.1%,6,0.8%,9,1.3%,15,2.1%,2,66.7%,0,0.0%,
GISBORNE DISTRICT,GISBORNE DISTRICT COUNCIL,WAIKOHU,DC,FPP,n,Gisborne,Provincial,District,,N,N/A,5.00 pm,Alphabetical,N/A,N/A,"30,339",550,58,Contested,1,0,3,3.00,"1,203",695,0,0.0%,,,0,0.0%,0,,,,,,"1,203",0,0.00%,"1,203",2050,58.7%,"1,203",0,"1,203",695,57.8%,0,,695,57.8%,7,1.0%,0,,7,1.0%,6,85.7%,0,,6,85.7%,1,0.1%,9,1.3%,10,1.4%,1,33.3%,1,100.0%,
GISBORNE DISTRICT,GISBORNE DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Gisborne,Provincial,District,,,,,,,,,,,Contested,1,0,2,2.00,"30,339","16,598",2,100.0%,0,Re-elected,1,100.0%,1,,,,,,"30,317",22,0.07%,"30,339",46210,65.7%,"30,317",22,"30,339","16,570",54.7%,28,127.3%,"16,598",54.7%,313,1.9%,8,28.6%,321,1.9%,253,80.8%,7,87.5%,260,81.0%,15,0.1%,234,1.4%,249,1.5%,0,0.0%,0,0.0%,
GORE DISTRICT,MATAURA COMMUNITY BOARD,AT LARGE,CB,FPP,s,Southland,Rural,District,,,,,,,,,,,Contested,5,0,9,1.80,216,107,,,,,,,,,2,22.2%,1,20.0%,"1,077",1,0.09%,"1,078",1530,70.5%,"1,077",1,"1,078",535,49.7%,0,0.0%,535,49.6%,0,0.0%,0,,0,0.0%,0,,0,,0,,0,0.0%,1,0.2%,1,0.2%,3,33.3%,1,20.0%,
GORE DISTRICT,GORE DISTRICT COUNCIL,GORE DISTRICT AT LARGE,DC,FPP,s,Southland,Rural,District,,,,,,,,,,,Contested,3,0,4,1.33,"2,996","1,516",3,75.0%,,,3,100.0%,3,,0,0.0%,0,0.0%,"8,973",15,0.17%,"8,988",12250,73.4%,"8,973",15,"8,988","4,535",50.5%,13,86.7%,"4,548",50.6%,20,0.4%,4,30.8%,24,0.5%,16,80.0%,4,100.0%,20,83.3%,1,0.0%,149,3.3%,150,3.3%,1,25.0%,1,33.3%,
GORE DISTRICT,GORE DISTRICT COUNCIL,GORE,DC,FPP,s,Southland,Rural,District,,,,,,,,,,,Contested,5,0,8,1.60,"1,138",580,3,37.5%,,,2,40.0%,2,,0,0.0%,0,0.0%,"5,677",14,0.25%,"5,691",7590,75.0%,"5,677",14,"5,691","2,889",50.9%,10,71.4%,"2,899",50.9%,10,0.3%,1,10.0%,11,0.4%,10,100.0%,1,100.0%,11,100.0%,5,0.2%,12,0.4%,17,0.6%,2,25.0%,1,20.0%,
GORE DISTRICT,GORE DISTRICT COUNCIL,KAIWERA-WAIMUMU,DC,FPP,s,Southland,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"1,243",,1,100.0%,,,1,100.0%,1,,0,0.0%,0,0.0%,"1,243",0,0.00%,"1,243",1720,72.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
GORE DISTRICT,GORE DISTRICT COUNCIL,MATAURA,DC,FPP,s,Southland,Rural,District,,,,,,,,,,,Contested,1,0,2,2.00,"1,078",535,1,50.0%,,,1,100.0%,1,,1,50.0%,0,0.0%,"1,077",1,0.09%,"1,078",1530,70.5%,"1,077",1,"1,078",535,49.7%,0,0.0%,535,49.6%,0,0.0%,0,,0,0.0%,0,,0,,0,,0,0.0%,14,2.6%,14,2.6%,1,50.0%,0,0.0%,
GORE DISTRICT,GORE DISTRICT COUNCIL,WAIKAKA,DC,FPP,s,Southland,Rural,District,,N,N/A,12.30 pm,Alphabetical,N/A,N/A,"8,988",80,6,Unopposed,1,1,1,1.00,976,,0,0.0%,,,0,0.0%,0,,0,0.0%,0,0.0%,976,0,0.00%,976,1410,69.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
GORE DISTRICT,MATAURA LICENSING TRUST,WARD 1 TAPANUI,LT,FPP,s,Southland,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"1,286",,,,,,,,,,1,100.0%,1,100.0%,"1,286",,,"1,286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
GORE DISTRICT,MATAURA LICENSING TRUST,WARD 2 GORE,LT,FPP,s,Southland,Rural,District,,,,,,,,,,,Contested,3,0,4,1.33,"1,892",963,,,,,,,,,3,75.0%,3,100.0%,"5,677",,,"5,677",,,"5,677",,"5,677","2,889",50.9%,,,"2,889",50.9%,10,0.3%,,,10,0.3%,0,0.0%,,,0,0.0%,0,0.0%,150,5.2%,150,5.2%,1,25.0%,1,33.3%,
GORE DISTRICT,MATAURA LICENSING TRUST,WARD 3 MATAURA,LT,FPP,s,Southland,Rural,District,,,,,,,,,,,Contested,1,0,2,2.00,"1,077",535,,,,,,,,,1,50.0%,0,0.0%,"1,077",,,"1,077",,,"1,077",,"1,077",535,49.7%,,,535,49.7%,0,0.0%,,,0,0.0%,0,,,,0,,0,0.0%,20,3.7%,20,3.7%,0,0.0%,0,0.0%,
GORE DISTRICT,MATAURA LICENSING TRUST,WARD 4 RURAL,LT,FPP,s,Southland,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"1,712",,,,,,,,,,1,100.0%,1,100.0%,"1,712",,,"1,712",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.0%,1,100.0%,
GORE DISTRICT,MATAURA LICENSING TRUST,WARD 5 EDENDALE,LT,FPP,s,Southland,Rural,District,,,,,,,,,,,Contested,1,0,2,2.00,"1,361",517,,,,,,,,,1,50.0%,0,0.0%,"1,361",,,"1,361",,,"1,361",,"1,361",517,38.0%,,,517,38.0%,0,0.0%,,,0,0.0%,0,,,,0,,0,0.0%,21,4.1%,21,4.1%,1,50.0%,1,100.0%,
GORE DISTRICT,MATAURA LICENSING TRUST,WARD 6 WYNDHAM,LT,FPP,s,Southland,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1.00,692,,,,,,,,,,1,100.0%,1,100.0%,692,,,692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
GORE DISTRICT,MATAURA LICENSING TRUST,WARD 7 TOKANUI,LT,FPP,s,Southland,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1.00,583,,,,,,,,,,0,0.0%,0,0.0%,583,,,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
GORE DISTRICT,GORE DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,Southland,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"8,988",,1,100.0%,0,Unopposed,1,100.0%,1,,,,,,"8,973",15,0.17%,"8,988",12250,73.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
GREY DISTRICT,GREY DISTRICT COUNCIL,CENTRAL,DC,FPP,s,West Coast,Rural,District,,,,,,,,,,,Contested,4,0,6,1.50,"1,204",576,3,50.0%,,,3,75.0%,3,,,,,,"4,812",3,0.06%,"4,815",6820,70.6%,"4,812",3,"4,815","2,299",47.8%,3,100.0%,"2,302",47.8%,8,0.3%,1,33.3%,9,0.4%,8,100.0%,0,0.0%,8,88.9%,2,0.1%,25,1.1%,27,1.2%,2,33.3%,1,25.0%,
GREY DISTRICT,GREY DISTRICT COUNCIL,EASTERN,DC,FPP,s,West Coast,Rural,District,,,,,,,,,,,Unopposed,2,2,2,1.00,"1,110",,2,100.0%,,,2,100.0%,2,,,,,,"2,200",20,0.90%,"2,220",3210,69.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
GREY DISTRICT,GREY DISTRICT COUNCIL,NORTHERN,DC,FPP,s,West Coast,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"1,201",,1,100.0%,,,1,100.0%,1,,,,,,"1,199",2,0.17%,"1,201",1580,76.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
GREY DISTRICT,GREY DISTRICT COUNCIL,SOUTHERN,DC,FPP,s,West Coast,Rural,District,,N,N/A,12.45 pm,Pseudo-random,N/A,N/A,"9,862",117,15,Unopposed,1,1,1,1.00,"1,626",,1,100.0%,,,1,100.0%,1,,,,,,"1,624",2,0.12%,"1,626",2140,76.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
GREY DISTRICT,GREY DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,West Coast,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"9,862",,1,100.0%,0,Unopposed,1,100.0%,1,,,,,,"9,835",27,0.27%,"9,862",13750,71.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
GREY DISTRICT,WEST COAST DEVELOPMENT TRUST,GREY,OTHER,FPP,s,West Coast,Rural,District,,,,,,,,,,,Contested,1,0,2,2.00,"9,862","4,601",,,,,,,,,1,50.0%,0,0.0%,"9,835",27,0.27%,"9,862",13750,71.7%,"9,835",27,"9,862","4,584",46.6%,17,63.0%,"4,601",46.7%,20,0.4%,2,11.8%,22,0.5%,20,100.0%,1,50.0%,21,95.5%,4,0.1%,246,5.3%,250,5.4%,0,0.0%,0,0.0%,
HAMILTON CITY,HAMILTON CITY COUNCIL,EAST,CC,FPP,n,Waikato,Metro,City,l,,,,,,,,,,Contested,6,0,18,3.00,"7,785","3,004",6,33.3%,,,5,83.3%,5,,,,,,"46,672",35,0.07%,"46,707",71100,65.7%,"46,672",35,"46,707","17,983",38.5%,41,117.1%,"18,024",38.6%,198,1.1%,25,61.0%,223,1.2%,143,72.2%,11,44.0%,154,69.1%,81,0.4%,380,2.1%,461,2.6%,8,44.4%,3,50.0%,
HAMILTON CITY,HAMILTON CITY COUNCIL,WEST,CC,FPP,n,Waikato,Metro,City,l,Y,12.12 pm,9.16 pm,Pseudo-random,N/A,N/A,"92,599","1,281",20,Contested,6,0,21,3.50,"7,649","2,830",4,19.0%,,,4,66.7%,4,,,,,,"45,844",48,0.10%,"45,892",69600,65.9%,"45,844",48,"45,892","16,925",36.9%,54,112.5%,"16,979",37.0%,122,0.7%,19,35.2%,141,0.8%,90,73.8%,8,42.1%,98,69.5%,128,0.8%,221,1.3%,349,2.1%,6,28.6%,2,33.3%,
HAMILTON CITY,HAMILTON CITY COUNCIL,AT LARGE,MAYOR,FPP,n,Waikato,Metro,City,l,,,,,,,,,,Contested,1,0,6,6.00,"92,599","35,003",2,33.3%,2,Defeated,0,0.0%,0,,,,,,"92,516",83,0.09%,"92,599",140700,65.8%,"92,516",83,"92,599","34,908",37.7%,95,114.5%,"35,003",37.8%,320,0.9%,44,46.3%,364,1.0%,233,72.8%,19,43.2%,252,69.2%,100,0.3%,535,1.5%,635,1.8%,2,33.3%,1,100.0%,
