HRG Code,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal,South Tryone,SouthWestAcute,Tyrone County,Ulster,N. Ireland Unit Cost,
FZ37P,301,"Inflammatory Bowel Disease without Interventions, with CC Score 5+",.,498,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,498,
FZ37P,340,"Inflammatory Bowel Disease without Interventions, with CC Score 5+",.,703,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,703,
FZ37P,361,"Inflammatory Bowel Disease without Interventions, with CC Score 5+",.,.,"1,798",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,798",
FZ37Q,100,"Inflammatory Bowel Disease without Interventions, with CC Score 3-4",.,"1,511","1,015",.,"2,634",.,.,.,.,.,.,.,.,.,.,.,443,"1,456",
FZ37Q,300,"Inflammatory Bowel Disease without Interventions, with CC Score 3-4","1,338","3,608",429,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,791",
FZ37Q,301,"Inflammatory Bowel Disease without Interventions, with CC Score 3-4",.,933,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,933,
FZ37R,100,"Inflammatory Bowel Disease without Interventions, with CC Score 1-2",.,"1,055",.,.,"1,756","3,501",.,.,.,.,.,.,.,.,.,.,.,"1,434",
FZ37R,300,"Inflammatory Bowel Disease without Interventions, with CC Score 1-2","2,006","1,737",979,.,.,.,.,.,.,.,.,.,.,.,514,.,"1,821","1,315",
FZ37R,301,"Inflammatory Bowel Disease without Interventions, with CC Score 1-2",.,"2,187",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,187",
FZ37R,340,"Inflammatory Bowel Disease without Interventions, with CC Score 1-2",.,351,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,351,
FZ37S,100,"Inflammatory Bowel Disease without Interventions, with CC Score 0","1,190","1,703",.,.,"2,634","1,556",.,.,.,.,.,.,.,.,.,.,"2,214","1,712",
FZ37S,300,"Inflammatory Bowel Disease without Interventions, with CC Score 0","1,059","1,517",724,.,940,.,.,.,.,.,713,.,465,.,514,.,"1,457",861,
FZ37S,301,"Inflammatory Bowel Disease without Interventions, with CC Score 0",.,937,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,937,
FZ37S,340,"Inflammatory Bowel Disease without Interventions, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,382,.,.,.,.,382,
FZ37S,370,"Inflammatory Bowel Disease without Interventions, with CC Score 0",.,.,974,.,.,.,.,.,.,.,.,.,.,.,.,.,.,974,
FZ38H,100,"Gastrointestinal Bleed with Multiple Interventions, with CC Score 0-4",.,.,.,"1,526","4,038",.,.,.,.,.,.,.,.,.,.,.,.,"3,410",
FZ38H,300,"Gastrointestinal Bleed with Multiple Interventions, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,"1,495",.,.,.,.,"1,495",
FZ38K,100,"Gastrointestinal Bleed with Single Intervention, with CC Score 5-7","1,896",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,896",
FZ38K,320,"Gastrointestinal Bleed with Single Intervention, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,077","3,077",
FZ38L,100,"Gastrointestinal Bleed with Single Intervention, with CC Score 0-4","1,003","1,759","1,658",.,"4,555","2,324",.,.,.,.,"2,010",.,.,.,.,.,.,"2,233",
FZ38L,300,"Gastrointestinal Bleed with Single Intervention, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,296","2,296",
FZ38L,301,"Gastrointestinal Bleed with Single Intervention, with CC Score 0-4",.,"6,780",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"6,780",
FZ38N,100,"Gastrointestinal Bleed without Interventions, with CC Score 5-8",893,.,.,549,.,389,.,.,.,.,.,.,.,.,.,.,.,610,
FZ38N,300,"Gastrointestinal Bleed without Interventions, with CC Score 5-8",.,.,527,.,.,.,.,.,.,.,.,.,.,.,.,.,.,527,
FZ38N,301,"Gastrointestinal Bleed without Interventions, with CC Score 5-8",.,591,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,591,
FZ38N,303,"Gastrointestinal Bleed without Interventions, with CC Score 5-8",.,.,"3,641",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,641",
FZ38N,361,"Gastrointestinal Bleed without Interventions, with CC Score 5-8",.,"2,025",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,025",
FZ38N,823,"Gastrointestinal Bleed without Interventions, with CC Score 5-8",.,.,.,.,"1,381",.,.,.,.,.,.,.,.,.,.,.,.,"1,381",
FZ38P,100,"Gastrointestinal Bleed without Interventions, with CC Score 0-4","1,636","1,000",603,"1,647",549,778,.,.,.,.,.,.,.,.,729,.,.,890,
FZ38P,300,"Gastrointestinal Bleed without Interventions, with CC Score 0-4",446,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,093",608,
FZ38P,301,"Gastrointestinal Bleed without Interventions, with CC Score 0-4",.,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,373,
FZ38P,303,"Gastrointestinal Bleed without Interventions, with CC Score 0-4","2,258",.,694,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,476",
FZ38P,340,"Gastrointestinal Bleed without Interventions, with CC Score 0-4",.,.,989,.,.,.,.,.,.,.,.,.,.,.,.,.,.,989,
FZ38P,430,"Gastrointestinal Bleed without Interventions, with CC Score 0-4","1,071",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,071",
FZ38P,502,"Gastrointestinal Bleed without Interventions, with CC Score 0-4",.,.,556,.,.,.,.,.,.,.,.,.,.,.,.,.,.,556,
FZ42A,300,"Wireless Capsule Endoscopy, 19 years and over",796,.,.,.,.,.,.,.,.,.,.,.,575,.,.,.,.,722,
FZ49D,100,"Nutritional Disorders with Interventions, with CC Score 2+",.,.,"3,270","2,184",.,"2,062",.,.,.,.,.,.,.,.,.,.,.,"2,505",
FZ49D,160,"Nutritional Disorders with Interventions, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"20,805","20,805",
FZ49D,300,"Nutritional Disorders with Interventions, with CC Score 2+",.,"7,617",.,.,.,.,.,.,.,.,.,.,"6,318",.,.,.,.,"6,968",
FZ49E,100,"Nutritional Disorders with Interventions, with CC Score 0-1",.,.,"3,902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,902",
FZ49E,120,"Nutritional Disorders with Interventions, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"4,818",.,.,.,.,"4,818",
FZ49E,300,"Nutritional Disorders with Interventions, with CC Score 0-1","1,639","3,930",.,.,.,.,.,.,.,.,.,.,"1,360",.,.,.,.,"2,310",
FZ49F,361,"Nutritional Disorders without Interventions, with CC Score 6+",.,"2,363",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,363",
FZ49G,100,"Nutritional Disorders without Interventions, with CC Score 2-5",.,889,"2,682",.,"1,317",.,.,.,.,.,.,.,.,.,.,.,.,"2,050",
FZ49G,300,"Nutritional Disorders without Interventions, with CC Score 2-5","1,784","2,004",938,.,.,"1,162",.,.,.,.,.,.,.,.,.,.,"2,185","1,433",
FZ49G,303,"Nutritional Disorders without Interventions, with CC Score 2-5","1,693",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,693",
FZ49G,340,"Nutritional Disorders without Interventions, with CC Score 2-5",.,"1,405",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,405",
FZ49G,410,"Nutritional Disorders without Interventions, with CC Score 2-5",.,.,.,.,.,.,.,"1,495",.,.,.,.,.,.,.,.,.,"1,495",
FZ49H,100,"Nutritional Disorders without Interventions, with CC Score 0-1","2,678",444,.,.,.,.,.,.,.,.,"3,841",.,.,.,656,.,443,"1,790",
FZ49H,300,"Nutritional Disorders without Interventions, with CC Score 0-1",446,802,"3,084",.,.,.,.,.,.,.,.,.,.,.,.,.,728,"1,066",
FZ49H,302,"Nutritional Disorders without Interventions, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"1,309",.,.,.,.,"1,309",
FZ49H,340,"Nutritional Disorders without Interventions, with CC Score 0-1",.,.,"3,280",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,280",
FZ49H,430,"Nutritional Disorders without Interventions, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,728,440,.,.,.,632,
FZ50Z,100,"Intermediate Large Intestine Procedures, 19 years and over","1,558","1,229","1,743",962,"1,397","1,243",.,.,.,.,"1,681",.,.,.,"2,275",.,953,"1,438",
FZ50Z,301,"Intermediate Large Intestine Procedures, 19 years and over",.,629,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,629,
FZ50Z,502,"Intermediate Large Intestine Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,848,848,
FZ51Z,100,"Diagnostic Colonoscopy, 19 years and over",557,"3,863","2,167",965,872,"1,106",.,.,.,.,"1,548",.,995,.,997,.,"1,360","1,538",
FZ51Z,300,"Diagnostic Colonoscopy, 19 years and over",.,986,884,.,.,.,.,.,.,.,564,.,552,.,"1,045",.,"1,313",868,
FZ51Z,301,"Diagnostic Colonoscopy, 19 years and over",.,805,.,.,"4,085","1,728",.,.,.,.,.,.,.,.,.,.,.,"1,190",
FZ52Z,100,"Diagnostic Colonoscopy with Biopsy, 19 years and over",557,"3,606","1,551",984,"1,173","1,064",.,.,.,.,.,.,.,.,997,.,"1,360","1,774",
FZ52Z,300,"Diagnostic Colonoscopy with Biopsy, 19 years and over",747,"1,072","1,089",.,.,.,.,.,"1,115",.,608,.,618,.,"1,045",.,.,898,
FZ52Z,301,"Diagnostic Colonoscopy with Biopsy, 19 years and over",.,703,.,.,.,"1,201",.,.,.,.,.,.,.,.,.,.,.,770,
FZ53Z,100,"Therapeutic Colonoscopy, 19 years and over","1,411","3,411","1,979","1,227","1,292","1,131",.,.,.,.,.,.,"1,526",.,997,.,"1,360","1,691",
FZ53Z,300,"Therapeutic Colonoscopy, 19 years and over",747,816,"1,013",941,.,.,.,.,.,.,641,.,552,.,"1,045",.,992,931,
FZ53Z,301,"Therapeutic Colonoscopy, 19 years and over",.,750,.,.,.,"1,140",.,.,.,.,.,.,.,.,.,.,.,812,
FZ53Z,320,"Therapeutic Colonoscopy, 19 years and over",.,.,.,"1,570",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,570",
FZ54Z,100,"Diagnostic Flexible Sigmoidoscopy, 19 years and over",557,"2,948","1,148","1,411",.,"1,334",.,.,.,.,.,.,641,.,997,.,902,"1,350",
FZ54Z,300,"Diagnostic Flexible Sigmoidoscopy, 19 years and over",.,.,698,.,.,.,.,.,.,.,.,.,.,.,"1,045",.,.,797,
FZ54Z,301,"Diagnostic Flexible Sigmoidoscopy, 19 years and over",.,614,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,614,
FZ54Z,502,"Diagnostic Flexible Sigmoidoscopy, 19 years and over","1,470",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,470",
FZ55Z,100,"Diagnostic Flexible Sigmoidoscopy with Biopsy, 19 years and over",557,"1,746","1,241",794,861,"1,182",.,.,.,.,.,.,.,.,.,.,902,"1,094",
FZ55Z,300,"Diagnostic Flexible Sigmoidoscopy with Biopsy, 19 years and over",747,.,682,.,.,.,.,.,.,.,483,.,.,.,.,.,.,682,
FZ55Z,301,"Diagnostic Flexible Sigmoidoscopy with Biopsy, 19 years and over",.,590,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,590,
FZ56Z,100,"Therapeutic Flexible Sigmoidoscopy, 19 years and over","1,411","3,286",.,715,"1,319",.,.,.,.,.,.,.,.,.,997,.,"1,054","1,919",
FZ56Z,300,"Therapeutic Flexible Sigmoidoscopy, 19 years and over",747,.,"1,905",.,.,.,.,.,.,.,.,.,.,.,"1,045",.,.,"1,329",
FZ56Z,301,"Therapeutic Flexible Sigmoidoscopy, 19 years and over",.,602,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,602,
FZ57Z,100,"Diagnostic or Therapeutic, Rigid Sigmoidoscopy, 19 years and over",.,.,"1,139",.,.,.,.,.,.,.,"1,087",.,.,.,.,.,.,"1,113",
FZ57Z,502,"Diagnostic or Therapeutic, Rigid Sigmoidoscopy, 19 years and over",.,.,813,.,.,.,.,.,.,.,.,.,.,.,.,.,.,813,
FZ58A,100,"Endoscopic or Intermediate, Lower Gastrointestinal Tract Procedures, between 2 and 18 years",557,.,.,.,"1,246","1,283",.,.,.,.,.,.,.,.,.,.,"1,322","1,048",
FZ58A,171,"Endoscopic or Intermediate, Lower Gastrointestinal Tract Procedures, between 2 and 18 years",.,.,.,.,.,.,.,.,.,.,.,.,"2,924",.,.,.,.,"2,924",
FZ58A,420,"Endoscopic or Intermediate, Lower Gastrointestinal Tract Procedures, between 2 and 18 years",.,.,.,.,.,.,.,.,.,.,.,.,"1,645",.,.,.,.,"1,645",
FZ58B,171,"Endoscopic or Intermediate, Lower Gastrointestinal Tract Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,"7,805",.,.,.,.,"7,805",
FZ59Z,100,"Intermediate Upper Gastrointestinal Tract Procedures, 19 years and over",.,.,"2,322",.,.,743,.,.,.,.,.,.,.,.,.,.,.,"1,928",
FZ59Z,300,"Intermediate Upper Gastrointestinal Tract Procedures, 19 years and over",.,.,"1,010",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,010",
FZ60Z,100,"Diagnostic Endoscopic Upper Gastrointestinal Tract Procedures, 19 years and over",557,.,"1,473",792,830,996,.,.,.,.,"2,474",.,542,.,997,.,.,"1,216",
FZ60Z,120,"Diagnostic Endoscopic Upper Gastrointestinal Tract Procedures, 19 years and over","1,810",.,.,.,"1,135",.,.,.,.,.,.,.,"1,188",.,.,.,.,"1,317",
FZ60Z,172,"Diagnostic Endoscopic Upper Gastrointestinal Tract Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"1,186",.,.,.,.,"1,186",
FZ60Z,300,"Diagnostic Endoscopic Upper Gastrointestinal Tract Procedures, 19 years and over",747,822,697,881,.,.,.,.,742,.,627,.,367,.,"1,045",.,.,709,
FZ60Z,301,"Diagnostic Endoscopic Upper Gastrointestinal Tract Procedures, 19 years and over",.,798,.,.,789,.,.,.,.,.,.,.,.,.,.,.,.,796,
FZ61Z,100,"Diagnostic Endoscopic Upper Gastrointestinal Tract Procedures with Biopsy, 19 years and over",.,"7,552","1,711",.,"1,301","1,207",.,.,.,.,"2,345",.,853,.,997,.,902,"1,844",
FZ61Z,120,"Diagnostic Endoscopic Upper Gastrointestinal Tract Procedures with Biopsy, 19 years and over","1,810",.,.,.,"1,145",.,.,.,.,.,.,.,867,.,.,.,.,"1,408",
FZ61Z,172,"Diagnostic Endoscopic Upper Gastrointestinal Tract Procedures with Biopsy, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"1,553",.,.,.,.,"1,553",
FZ61Z,300,"Diagnostic Endoscopic Upper Gastrointestinal Tract Procedures with Biopsy, 19 years and over",747,620,800,"1,054",376,.,.,.,.,.,560,.,426,.,"1,045",.,839,716,
FZ61Z,301,"Diagnostic Endoscopic Upper Gastrointestinal Tract Procedures with Biopsy, 19 years and over",.,488,.,.,"1,140",.,.,.,.,.,.,.,.,.,.,.,.,597,
FZ62A,100,"Endoscopic or Intermediate, Upper Gastrointestinal Tract Procedures, between 2 and 18 years",.,.,.,933,.,.,.,.,.,.,.,.,.,.,.,.,902,917,
FZ62A,171,"Endoscopic or Intermediate, Upper Gastrointestinal Tract Procedures, between 2 and 18 years",.,.,.,.,.,.,.,.,.,.,.,.,"1,556",.,.,.,.,"1,556",
FZ62A,420,"Endoscopic or Intermediate, Upper Gastrointestinal Tract Procedures, between 2 and 18 years",.,.,.,826,.,.,.,.,.,.,.,.,"1,266",.,.,.,"1,043","1,138",
FZ62B,171,"Endoscopic or Intermediate, Upper Gastrointestinal Tract Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,542",.,.,.,.,"1,542",
FZ63Z,100,Combined Upper and Lower Gastrointestinal Tract Diagnostic Endoscopic Procedures,.,"5,119","2,192","2,881","1,026","1,418",.,.,.,.,.,.,.,.,.,.,672,"2,104",
FZ63Z,300,Combined Upper and Lower Gastrointestinal Tract Diagnostic Endoscopic Procedures,.,846,.,.,.,.,.,.,.,.,.,.,.,.,"1,045",.,.,945,
FZ63Z,301,Combined Upper and Lower Gastrointestinal Tract Diagnostic Endoscopic Procedures,.,570,.,.,.,755,.,.,.,.,.,.,.,.,.,.,.,631,
FZ63Z,420,Combined Upper and Lower Gastrointestinal Tract Diagnostic Endoscopic Procedures,.,.,.,.,.,.,.,.,.,.,.,.,"2,014",.,.,.,.,"2,014",
FZ64A,100,"Combined Upper and Lower Gastrointestinal Tract Diagnostic Endoscopic Procedures with Biopsy, 19 years and over",.,"3,992","1,647","1,003","1,430","1,233",.,.,.,.,"1,753",.,"1,220",.,997,.,"1,360","1,325",
FZ64A,300,"Combined Upper and Lower Gastrointestinal Tract Diagnostic Endoscopic Procedures with Biopsy, 19 years and over",747,.,937,725,.,.,.,.,"1,115",.,.,.,757,.,"1,045",.,.,912,
FZ64A,301,"Combined Upper and Lower Gastrointestinal Tract Diagnostic Endoscopic Procedures with Biopsy, 19 years and over",.,663,.,.,.,998,.,.,.,.,.,.,.,.,.,.,.,724,
FZ64B,100,"Combined Upper and Lower Gastrointestinal Tract Diagnostic Endoscopic Procedures with Biopsy, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,055","2,055",
FZ64B,171,"Combined Upper and Lower Gastrointestinal Tract Diagnostic Endoscopic Procedures with Biopsy, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,863",.,.,.,.,"1,863",
FZ64B,350,"Combined Upper and Lower Gastrointestinal Tract Diagnostic Endoscopic Procedures with Biopsy, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"6,114",.,.,.,.,"6,114",
FZ64B,420,"Combined Upper and Lower Gastrointestinal Tract Diagnostic Endoscopic Procedures with Biopsy, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,835",.,.,.,.,"1,835",
FZ65Z,100,Combined Upper and Lower Gastrointestinal Tract Therapeutic Endoscopic Procedures,.,.,.,"1,071",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,071",
FZ65Z,300,Combined Upper and Lower Gastrointestinal Tract Therapeutic Endoscopic Procedures,.,.,"1,157",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,157",
FZ65Z,301,Combined Upper and Lower Gastrointestinal Tract Therapeutic Endoscopic Procedures,.,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,373,
FZ66C,100,"Very Major Small Intestine Procedures, 19 years and over, with CC Score 8+",.,.,"14,615",.,.,.,.,.,.,.,"8,323",.,.,.,.,.,.,"11,469",
FZ66D,100,"Very Major Small Intestine Procedures, 19 years and over, with CC Score 5-7",.,.,"13,410",.,.,.,.,.,.,.,"10,788",.,.,.,.,.,"4,659","9,182",
FZ66D,502,"Very Major Small Intestine Procedures, 19 years and over, with CC Score 5-7","20,190",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"20,190",
FZ66E,100,"Very Major Small Intestine Procedures, 19 years and over, with CC Score 2-4","11,384","11,776","9,588",.,"5,346",.,.,.,.,.,"6,828",.,.,.,.,.,"6,839","8,973",
FZ66E,101,"Very Major Small Intestine Procedures, 19 years and over, with CC Score 2-4",.,.,"12,898",.,"10,056",.,.,.,.,.,.,.,.,.,.,.,.,"11,477",
FZ66E,340,"Very Major Small Intestine Procedures, 19 years and over, with CC Score 2-4",.,"9,929",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"9,929",
FZ66E,502,"Very Major Small Intestine Procedures, 19 years and over, with CC Score 2-4",.,.,"2,467",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,467",
FZ66F,100,"Very Major Small Intestine Procedures, 19 years and over, with CC Score 0-1",.,"12,614","6,805","6,811","5,311",.,.,.,.,.,"4,806",.,.,.,.,.,"4,191","5,965",
FZ66F,300,"Very Major Small Intestine Procedures, 19 years and over, with CC Score 0-1",.,.,"9,434",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"9,434",
FZ66F,502,"Very Major Small Intestine Procedures, 19 years and over, with CC Score 0-1",.,.,"12,296","9,958",.,.,.,.,.,.,.,.,.,.,.,.,"5,090","8,108",
FZ67C,100,"Major Small Intestine Procedures, 19 years and over, with CC Score 7+",.,.,.,.,"17,402",.,.,.,.,.,.,.,.,.,.,.,.,"17,402",
FZ67D,100,"Major Small Intestine Procedures, 19 years and over, with CC Score 4-6","8,767","5,255","7,996",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"7,407",
FZ67E,100,"Major Small Intestine Procedures, 19 years and over, with CC Score 2-3","7,696","2,721","6,970","5,121","4,646","9,055",.,.,.,.,.,.,.,.,.,.,"3,889","6,028",
FZ67F,100,"Major Small Intestine Procedures, 19 years and over, with CC Score 0-1","5,698","3,599","6,322","4,949","3,240","4,284",.,.,.,.,.,.,.,.,"11,748",.,"3,466","4,874",
FZ67F,300,"Major Small Intestine Procedures, 19 years and over, with CC Score 0-1",.,.,861,.,.,.,.,.,.,.,.,.,.,.,.,.,.,861,
FZ67F,361,"Major Small Intestine Procedures, 19 years and over, with CC Score 0-1",.,.,"5,292",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,292",
FZ67F,502,"Major Small Intestine Procedures, 19 years and over, with CC Score 0-1",.,"9,868","8,463",.,.,.,.,.,.,.,.,.,.,.,.,.,"5,706","8,270",
FZ68G,171,"Very Major or Major, Small Intestine Procedures, between 2 and 18 years, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,"13,260",.,.,.,.,"13,260",
FZ68H,171,"Very Major or Major, Small Intestine Procedures, between 2 and 18 years, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"7,909",.,.,.,.,"7,909",
FZ68J,171,"Very Major or Major, Small Intestine Procedures, 1 year and under, with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,.,"45,250",.,.,.,.,"45,250",
FZ68K,171,"Very Major or Major, Small Intestine Procedures, 1 year and under, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,.,"5,259",.,.,.,.,"5,259",
FZ68L,171,"Very Major or Major, Small Intestine Procedures, 1 year and under, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,"6,061",.,.,.,.,"6,061",
FZ68L,320,"Very Major or Major, Small Intestine Procedures, 1 year and under, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,"7,108",.,.,.,.,"7,108",
FZ69B,171,"Complex Small Intestine Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"8,087",.,.,.,.,"8,087",
FZ69C,100,"Complex Small Intestine Procedures, 19 years and over, with CC Score 7+",.,"16,165",.,"46,554",.,.,.,.,.,.,.,.,"6,601",.,.,.,.,"23,106",
FZ69D,100,"Complex Small Intestine Procedures, 19 years and over, with CC Score 3-6","16,051",.,"16,326",.,"7,694",.,.,.,.,.,"21,329",.,.,.,.,.,"25,151","18,290",
FZ69D,300,"Complex Small Intestine Procedures, 19 years and over, with CC Score 3-6",.,.,"28,241",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"28,241",
FZ69E,100,"Complex Small Intestine Procedures, 19 years and over, with CC Score 0-2","8,392",.,"16,982",.,"5,089","5,421",.,.,.,.,.,.,.,.,.,.,"5,252","8,578",
FZ70Z,100,"Therapeutic Endoscopic Upper Gastrointestinal Tract Procedures, 19 years and over",.,.,"1,690",.,696,.,.,.,.,.,.,.,.,.,.,.,902,"1,467",
FZ70Z,120,"Therapeutic Endoscopic Upper Gastrointestinal Tract Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"1,215",.,.,.,.,"1,215",
FZ70Z,172,"Therapeutic Endoscopic Upper Gastrointestinal Tract Procedures, 19 years and over",.,.,"1,154",.,.,.,.,.,.,.,.,.,"1,229",.,.,.,.,"1,204",
FZ70Z,300,"Therapeutic Endoscopic Upper Gastrointestinal Tract Procedures, 19 years and over",785,.,997,937,.,.,.,.,.,.,662,.,.,.,.,.,839,893,
FZ70Z,301,"Therapeutic Endoscopic Upper Gastrointestinal Tract Procedures, 19 years and over",.,850,.,.,.,"1,221",.,.,.,.,.,.,.,.,.,.,.,974,
FZ71D,172,Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 7+,.,.,.,.,.,.,.,.,.,.,.,.,"9,351",.,.,.,.,"9,351",
FZ71D,300,Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 7+,.,"1,538","2,746",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,142",
FZ71E,100,Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 4-6,.,.,"4,176",.,898,.,.,.,.,.,.,.,.,.,.,.,.,"2,537",
FZ71E,172,Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 4-6,.,.,.,.,.,.,.,.,.,.,.,.,"10,626",.,.,.,.,"10,626",
FZ71E,300,Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 4-6,"1,610",.,"2,341",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,983","2,083",
FZ71E,301,Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 4-6,.,"2,286",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,286",
FZ71F,100,Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 1-3,.,.,"8,840",.,"1,821","1,284",.,.,.,.,.,.,.,.,.,.,.,"2,631",
FZ71F,172,Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 1-3,.,.,.,.,.,.,.,.,.,.,.,.,"4,265",.,.,.,.,"4,265",
FZ71F,300,Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 1-3,"1,702",.,"3,607",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,788","2,221",
FZ71F,301,Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 1-3,.,"1,665",.,.,349,"1,206",.,.,.,.,.,.,.,.,.,.,.,"1,412",
FZ71G,100,Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 0,.,.,.,.,"1,022",.,.,.,.,.,.,.,.,.,.,.,.,"1,022",
FZ71G,172,Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,.,"4,494",.,.,.,.,"4,494",
FZ71G,300,Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 0,"1,775",.,"2,502",.,.,.,.,.,.,.,"2,259",.,653,.,.,.,992,"1,779",
FZ71G,301,Endoscopic Insertion of Luminal Stent into Gastrointestinal Tract with CC Score 0,.,"1,462",.,.,710,"1,039",.,.,.,.,.,.,.,.,.,.,.,"1,127",
FZ73D,100,Very Complex Large Intestine Procedures with CC Score 6-8,"22,060",.,"22,941",.,"6,664",.,.,.,.,.,"17,822",.,.,.,.,.,.,"13,802",
FZ73E,100,Very Complex Large Intestine Procedures with CC Score 3-5,"12,616","11,167","13,906",.,"5,664",.,.,.,.,.,"11,855",.,.,.,"11,541",.,"8,207","10,591",
FZ73E,101,Very Complex Large Intestine Procedures with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,924","4,924",
