HRG Code,Spec,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal ,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,N. Ireland Total FCEs
CD09A,140,"Minor Dental Restoration Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,56,.,.,.,.,.,56
CD09B,140,"Minor Dental Restoration Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,.,7
CD09B,142,"Minor Dental Restoration Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,13,.,.,.,.,.,13
CD11A,140,"Dental Fitting or Insertion Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,4
CD11A,172,"Dental Fitting or Insertion Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
CD11B,140,"Dental Fitting or Insertion Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
DZ02K,100,"Complex Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ09L,303,"Pulmonary Embolus without Interventions, with CC Score 12+",.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
DZ09P,800,"Pulmonary Embolus without Interventions, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
DZ09Q,300,"Pulmonary Embolus without Interventions, with CC Score 0-2",.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
DZ09Q,370,"Pulmonary Embolus without Interventions, with CC Score 0-2",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ09Q,800,"Pulmonary Embolus without Interventions, with CC Score 0-2",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ11S,300,"Lobar, Atypical or Viral Pneumonia, without Interventions, with CC Score 10-13",.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
DZ11S,301,"Lobar, Atypical or Viral Pneumonia, without Interventions, with CC Score 10-13",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ11T,300,"Lobar, Atypical or Viral Pneumonia, without Interventions, with CC Score 7-9",.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
DZ11T,301,"Lobar, Atypical or Viral Pneumonia, without Interventions, with CC Score 7-9",.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4
DZ11T,410,"Lobar, Atypical or Viral Pneumonia, without Interventions, with CC Score 7-9",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ11U,300,"Lobar, Atypical or Viral Pneumonia, without Interventions, with CC Score 4-6",.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
DZ11U,301,"Lobar, Atypical or Viral Pneumonia, without Interventions, with CC Score 4-6",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ11U,330,"Lobar, Atypical or Viral Pneumonia, without Interventions, with CC Score 4-6",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ11U,340,"Lobar, Atypical or Viral Pneumonia, without Interventions, with CC Score 4-6",.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
DZ11U,361,"Lobar, Atypical or Viral Pneumonia, without Interventions, with CC Score 4-6",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ11U,800,"Lobar, Atypical or Viral Pneumonia, without Interventions, with CC Score 4-6",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
DZ11V,100,"Lobar, Atypical or Viral Pneumonia, without Interventions, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
DZ11V,300,"Lobar, Atypical or Viral Pneumonia, without Interventions, with CC Score 0-3",.,.,.,.,.,1,1,.,.,.,.,.,.,.,.,.,1,.,3
DZ11V,340,"Lobar, Atypical or Viral Pneumonia, without Interventions, with CC Score 0-3",.,.,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,3
DZ11V,800,"Lobar, Atypical or Viral Pneumonia, without Interventions, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
DZ12D,300,Bronchiectasis with CC Score 5-7,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,2
DZ12E,300,Bronchiectasis with CC Score 2-4,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,1
DZ12E,303,Bronchiectasis with CC Score 2-4,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ12F,300,Bronchiectasis with CC Score 0-1,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,4,.,6
DZ14J,340,"Pulmonary, Pleural or Other Tuberculosis, without Interventions, with CC Score 0-2",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ15R,300,"Asthma without Interventions, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,4
DZ15R,320,"Asthma without Interventions, with CC Score 0-2",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ16Q,410,"Pleural Effusion without Interventions, with CC Score 6-10",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ16Q,800,"Pleural Effusion without Interventions, with CC Score 6-10",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ16R,300,"Pleural Effusion without Interventions, with CC Score 0-5",.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,3,.,5
DZ16R,303,"Pleural Effusion without Interventions, with CC Score 0-5",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ16R,340,"Pleural Effusion without Interventions, with CC Score 0-5",.,.,.,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,2
DZ16R,361,"Pleural Effusion without Interventions, with CC Score 0-5",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ16R,370,"Pleural Effusion without Interventions, with CC Score 0-5",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ16R,800,"Pleural Effusion without Interventions, with CC Score 0-5",.,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,1,.,7
DZ17T,300,"Respiratory Neoplasms without Interventions, with CC Score 8-12",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ17T,340,"Respiratory Neoplasms without Interventions, with CC Score 8-12",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ17T,370,"Respiratory Neoplasms without Interventions, with CC Score 8-12",.,.,.,8,.,1,.,.,.,.,.,.,.,.,.,.,.,.,9
DZ17T,800,"Respiratory Neoplasms without Interventions, with CC Score 8-12",.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,2,.,5
DZ17U,100,"Respiratory Neoplasms without Interventions, with CC Score 4-7",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ17U,300,"Respiratory Neoplasms without Interventions, with CC Score 4-7",.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
DZ17U,370,"Respiratory Neoplasms without Interventions, with CC Score 4-7",.,3,.,17,.,10,.,.,.,.,.,.,.,.,.,.,.,.,30
DZ17U,800,"Respiratory Neoplasms without Interventions, with CC Score 4-7",.,.,.,19,.,5,.,.,.,.,.,.,.,.,.,.,37,.,61
DZ17V,300,"Respiratory Neoplasms without Interventions, with CC Score 0-3",.,.,.,.,1,.,.,.,.,.,.,.,1,.,.,.,2,.,4
DZ17V,303,"Respiratory Neoplasms without Interventions, with CC Score 0-3",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ17V,340,"Respiratory Neoplasms without Interventions, with CC Score 0-3",.,.,.,3,.,.,.,.,.,.,.,.,1,.,.,.,.,.,4
DZ17V,370,"Respiratory Neoplasms without Interventions, with CC Score 0-3",.,9,.,32,.,4,.,.,.,.,.,.,.,.,.,.,.,.,45
DZ17V,800,"Respiratory Neoplasms without Interventions, with CC Score 0-3",3,.,.,11,.,.,.,.,.,.,.,.,.,.,.,.,26,.,40
DZ19M,100,"Other Respiratory Disorders without Interventions, with CC Score 5-10",.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
DZ19M,301,"Other Respiratory Disorders without Interventions, with CC Score 5-10",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ19M,320,"Other Respiratory Disorders without Interventions, with CC Score 5-10",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ19M,340,"Other Respiratory Disorders without Interventions, with CC Score 5-10",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ19M,361,"Other Respiratory Disorders without Interventions, with CC Score 5-10",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ19N,300,"Other Respiratory Disorders without Interventions, with CC Score 0-4",1,.,.,.,1,.,2,.,.,.,.,.,1,.,3,.,2,.,10
DZ19N,303,"Other Respiratory Disorders without Interventions, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
DZ19N,320,"Other Respiratory Disorders without Interventions, with CC Score 0-4",3,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,4
DZ19N,340,"Other Respiratory Disorders without Interventions, with CC Score 0-4",.,.,.,7,.,2,1,.,.,.,.,.,.,.,.,.,.,.,10
DZ19N,361,"Other Respiratory Disorders without Interventions, with CC Score 0-4",.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
DZ19N,370,"Other Respiratory Disorders without Interventions, with CC Score 0-4",.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
DZ20F,340,"Pulmonary Oedema without Interventions, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
DZ22P,361,"Unspecified Acute Lower Respiratory Infection without Interventions, with CC Score 5-8",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ22P,800,"Unspecified Acute Lower Respiratory Infection without Interventions, with CC Score 5-8",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
DZ22Q,303,"Unspecified Acute Lower Respiratory Infection without Interventions, with CC Score 0-4",.,2,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
DZ22Q,370,"Unspecified Acute Lower Respiratory Infection without Interventions, with CC Score 0-4",.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
DZ22Q,410,"Unspecified Acute Lower Respiratory Infection without Interventions, with CC Score 0-4",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ22Q,800,"Unspecified Acute Lower Respiratory Infection without Interventions, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
DZ23L,301,"Bronchopneumonia without Interventions, with CC Score 11+",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ23M,370,"Bronchopneumonia without Interventions, with CC Score 6-10",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ25L,340,"Fibrosis or Pneumoconiosis, without Interventions, with CC Score 4-6",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ25M,300,"Fibrosis or Pneumoconiosis, without Interventions, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,2
DZ25M,340,"Fibrosis or Pneumoconiosis, without Interventions, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
DZ26P,340,"Pneumothorax or Intrathoracic Injuries, without Interventions, with CC Score 0-2",.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
DZ29J,361,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, without Interventions, with CC Score 2-4",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ29J,410,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, without Interventions, with CC Score 2-4",.,6,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,7
DZ29K,300,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, without Interventions, with CC Score 0-1",8,.,.,.,.,6,.,.,.,.,.,.,3,.,.,.,11,.,28
DZ29K,361,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, without Interventions, with CC Score 0-1",.,.,.,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,4
DZ29K,410,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, without Interventions, with CC Score 0-1",.,12,.,.,.,22,.,.,.,.,.,.,.,.,.,.,.,.,34
DZ37B,420,"Non-Invasive Ventilation Support Assessment, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,3
DZ50Z,420,Respiratory Sleep Study,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
DZ59Z,101,Airflow Studies,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ59Z,420,Airflow Studies,.,.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,.,8
DZ64A,300,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
DZ64B,172,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
DZ64B,300,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 3-5",1,.,.,1,.,.,.,.,.,.,.,.,.,.,6,.,3,.,11
DZ64B,340,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 3-5",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ64C,100,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,1
DZ64C,120,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,1,1,.,.,.,.,.,2
DZ64C,172,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,2
DZ64C,300,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 0-2",1,.,.,8,.,2,.,.,.,.,.,.,1,.,42,.,5,.,59
DZ64C,301,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ64C,340,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,.,.,7,1,.,.,.,.,.,.,.,.,.,.,.,8
DZ64C,800,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ64C,810,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,2
DZ65K,300,"Chronic Obstructive Pulmonary Disease or Bronchitis, with length of stay 1 day or less, discharged home",.,.,.,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,2
DZ65K,320,"Chronic Obstructive Pulmonary Disease or Bronchitis, with length of stay 1 day or less, discharged home",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ67Z,120,Major Therapeutic Bronchoscopy,.,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,.,6
DZ67Z,172,Major Therapeutic Bronchoscopy,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
DZ68Z,300,Therapeutic Bronchoscopy,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,2
DZ68Z,340,Therapeutic Bronchoscopy,.,.,.,12,.,.,.,.,.,.,1,.,.,.,.,.,.,.,13
DZ69A,120,"Diagnostic Bronchoscopy, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,3
DZ69A,172,"Diagnostic Bronchoscopy, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,2
DZ69A,300,"Diagnostic Bronchoscopy, 19 years and over",123,.,.,3,196,1,.,.,.,.,.,.,33,.,101,.,365,.,822
DZ69A,340,"Diagnostic Bronchoscopy, 19 years and over",.,268,.,274,.,283,111,.,.,.,101,.,23,.,.,.,.,.,"1,060"
DZ69B,120,"Diagnostic Bronchoscopy, 18 years and under",.,.,.,.,.,.,1,.,.,.,.,.,1,.,.,.,1,.,3
DZ69B,300,"Diagnostic Bronchoscopy, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
DZ69B,340,"Diagnostic Bronchoscopy, 18 years and under",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ69B,420,"Diagnostic Bronchoscopy, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,9,.,.,.,.,.,9
DZ70Z,300,Endobronchial Ultrasound Examination of Mediastinum,40,.,.,.,.,2,.,.,.,.,.,.,.,.,15,.,3,.,60
DZ70Z,340,Endobronchial Ultrasound Examination of Mediastinum,.,.,.,3,.,6,.,.,.,.,.,.,.,.,.,.,.,.,9
DZ70Z,810,Endobronchial Ultrasound Examination of Mediastinum,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,3
DZ71Z,100,Minor Thoracic Procedures,.,1,.,.,.,1,2,.,.,.,1,.,.,.,1,8,2,.,16
DZ71Z,120,Minor Thoracic Procedures,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,1
DZ71Z,160,Minor Thoracic Procedures,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,1,.,2
DZ71Z,171,Minor Thoracic Procedures,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
DZ71Z,172,Minor Thoracic Procedures,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
DZ71Z,300,Minor Thoracic Procedures,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ71Z,330,Minor Thoracic Procedures,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ71Z,340,Minor Thoracic Procedures,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,2
EB02C,300,Endocarditis with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,2
EB03C,361,"Heart Failure or Shock, with CC Score 8-10",.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
EB03D,300,"Heart Failure or Shock, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
EB03D,800,"Heart Failure or Shock, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
EB03E,300,"Heart Failure or Shock, with CC Score 0-3",.,.,.,.,.,.,1,.,.,4,.,.,.,.,.,.,18,.,23
EB03E,320,"Heart Failure or Shock, with CC Score 0-3",1,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,.,7
EB04Z,191,Hypertension,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
EB04Z,300,Hypertension,.,.,.,.,.,.,3,.,.,.,.,.,.,.,.,.,1,.,4
EB04Z,302,Hypertension,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,4
EB04Z,320,Hypertension,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
EB04Z,361,Hypertension,.,.,.,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,3
EB06C,320,Cardiac Valve Disorders with CC Score 5-8,.,.,.,1,.,.,.,.,.,.,.,.,2,.,.,.,.,.,3
EB06C,410,Cardiac Valve Disorders with CC Score 5-8,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
EB06D,100,Cardiac Valve Disorders with CC Score 0-4,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
EB06D,300,Cardiac Valve Disorders with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,2
EB06D,320,Cardiac Valve Disorders with CC Score 0-4,6,.,.,1,.,.,.,.,.,.,5,.,11,.,.,.,.,.,23
EB07C,300,"Arrhythmia or Conduction Disorders, with CC Score 7-9",.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,2,.,3
EB07C,320,"Arrhythmia or Conduction Disorders, with CC Score 7-9",2,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6
EB07D,300,"Arrhythmia or Conduction Disorders, with CC Score 4-6",.,.,.,.,1,.,3,3,.,1,.,.,.,.,.,.,4,.,12
EB07D,320,"Arrhythmia or Conduction Disorders, with CC Score 4-6",26,.,.,16,.,17,4,.,.,.,.,.,2,.,3,4,.,.,72
EB07E,100,"Arrhythmia or Conduction Disorders, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
EB07E,191,"Arrhythmia or Conduction Disorders, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
EB07E,300,"Arrhythmia or Conduction Disorders, with CC Score 0-3",.,.,.,.,27,1,1,8,.,24,.,.,.,.,1,.,67,.,129
EB07E,320,"Arrhythmia or Conduction Disorders, with CC Score 0-3",79,.,.,104,.,168,23,.,.,.,55,.,15,.,46,48,.,.,538
EB08B,800,"Syncope or Collapse, with CC Score 10-12",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
EB08C,320,"Syncope or Collapse, with CC Score 7-9",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
EB08C,361,"Syncope or Collapse, with CC Score 7-9",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
EB08E,101,"Syncope or Collapse, with CC Score 0-3",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
EB08E,300,"Syncope or Collapse, with CC Score 0-3",.,.,.,.,.,1,.,.,.,1,.,.,.,.,.,.,.,.,2
EB08E,303,"Syncope or Collapse, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,2
EB08E,320,"Syncope or Collapse, with CC Score 0-3",1,.,.,.,.,1,1,.,.,.,1,.,.,.,.,.,.,.,4
EB08E,430,"Syncope or Collapse, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
EB08E,800,"Syncope or Collapse, with CC Score 0-3",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
EB09B,320,Non-Interventional Congenital Cardiac Conditions with CC Score 0-2,4,.,.,.,.,.,.,.,.,.,1,.,2,.,.,.,.,.,7
EB10A,361,"Actual or Suspected Myocardial Infarction, with CC Score 13+",.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
EB10D,320,"Actual or Suspected Myocardial Infarction, with CC Score 4-6",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
EB10E,300,"Actual or Suspected Myocardial Infarction, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
EB10E,320,"Actual or Suspected Myocardial Infarction, with CC Score 0-3",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
EB12A,301,Unspecified Chest Pain with CC Score 11+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
EB12B,320,Unspecified Chest Pain with CC Score 5-10,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
EB12C,191,Unspecified Chest Pain with CC Score 0-4,.,.,.,5,.,.,.,.,.,.,1,.,.,.,.,.,.,.,6
EB12C,300,Unspecified Chest Pain with CC Score 0-4,1,.,.,.,.,3,1,.,.,.,.,.,.,.,.,.,3,.,8
EB12C,320,Unspecified Chest Pain with CC Score 0-4,9,.,.,.,.,.,.,.,.,.,.,.,2,.,.,2,.,.,13
EB12C,370,Unspecified Chest Pain with CC Score 0-4,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
EB12C,800,Unspecified Chest Pain with CC Score 0-4,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
EB13C,300,Angina with CC Score 4-7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
EB13C,320,Angina with CC Score 4-7,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
EB13D,300,Angina with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,.,3
EB13D,320,Angina with CC Score 0-3,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
EB13D,410,Angina with CC Score 0-3,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
EB14A,361,Other Acquired Cardiac Conditions with CC Score 13+,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5
EB14B,361,Other Acquired Cardiac Conditions with CC Score 9-12,.,2,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6
EB14C,100,Other Acquired Cardiac Conditions with CC Score 6-8,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
EB14C,300,Other Acquired Cardiac Conditions with CC Score 6-8,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,1,.,2
EB14C,301,Other Acquired Cardiac Conditions with CC Score 6-8,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
EB14C,320,Other Acquired Cardiac Conditions with CC Score 6-8,2,.,.,6,.,.,.,.,.,.,.,.,1,.,.,.,.,.,9
EB14C,361,Other Acquired Cardiac Conditions with CC Score 6-8,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7
EB14C,800,Other Acquired Cardiac Conditions with CC Score 6-8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
EB14D,320,Other Acquired Cardiac Conditions with CC Score 3-5,4,.,.,8,.,.,.,.,.,.,.,.,1,.,.,.,.,.,13
EB14D,361,Other Acquired Cardiac Conditions with CC Score 3-5,.,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6
EB14D,370,Other Acquired Cardiac Conditions with CC Score 3-5,.,2,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,4
EB14D,800,Other Acquired Cardiac Conditions with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
EB14D,823,Other Acquired Cardiac Conditions with CC Score 3-5,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
EB14E,300,Other Acquired Cardiac Conditions with CC Score 0-2,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,2
EB14E,303,Other Acquired Cardiac Conditions with CC Score 0-2,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
EB14E,320,Other Acquired Cardiac Conditions with CC Score 0-2,13,.,.,1,.,1,.,.,.,.,2,.,7,.,.,.,.,.,24
EB14E,361,Other Acquired Cardiac Conditions with CC Score 0-2,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
EB14E,410,Other Acquired Cardiac Conditions with CC Score 0-2,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
