HRG,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,Northern Ireland Total
CB02F,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0",9,3,.,3,.,2,2,1,.,.,.,2,15,.,.,1,.,2,40
CD01A,"Major Dental Procedures, 19 years and over",38,.,.,.,.,4,6,13,.,.,.,.,42,.,.,.,6,.,109
CD01B,"Major Dental Procedures, 18 years and under",6,.,.,.,.,1,.,1,.,.,.,.,.,.,.,.,1,.,9
CD02A,"Intermediate Dental Procedures, 19 years and over",17,1,.,.,.,6,1,3,.,.,.,.,23,.,.,.,3,.,54
CD02B,"Intermediate Dental Procedures, 18 years and under",.,.,.,.,.,2,2,.,.,.,.,.,5,.,.,.,2,.,11
CD03A,"Minor Dental Procedures, 19 years and over",29,.,.,.,.,2,.,2,.,.,.,.,9,.,.,.,1,.,43
CD03B,"Minor Dental Procedures, 18 years and under",8,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,1,.,14
CD04A,"Major Surgical Removal of Tooth, 19 years and over",134,.,.,.,.,8,1,24,.,.,.,.,14,.,.,.,10,.,191
CD04B,"Major Surgical Removal of Tooth, 18 years and under",24,.,.,.,.,6,7,8,.,.,.,.,5,.,.,.,4,.,54
CD05A,"Surgical Removal of Tooth, 19 years and over",78,.,.,.,.,4,3,40,.,.,.,.,14,.,.,.,6,.,145
CD05B,"Surgical Removal of Tooth, 18 years and under",55,.,.,.,.,61,13,55,.,.,.,.,85,.,.,.,35,.,304
CD06A,"Extraction of Multiple Teeth, 19 years and over",28,.,.,.,.,1,.,17,.,.,.,.,155,.,.,.,5,.,206
CD06B,"Extraction of Multiple Teeth, 18 years and under",17,.,.,.,.,10,1,10,.,.,.,1,393,1,.,.,29,.,462
CD07A,"Minor Extraction of Tooth, 19 years and over",21,.,.,.,.,1,.,7,.,.,.,.,9,.,.,.,2,.,40
CD07B,"Minor Extraction of Tooth, 18 years and under",7,.,.,.,.,2,.,3,.,.,.,.,35,.,.,.,4,.,51
CD08Z,Minor Dental Biopsy,18,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,19
CD09A,"Minor Dental Restoration Procedures, 19 years and over",2,.,.,.,.,1,.,.,.,.,.,.,48,.,.,.,.,.,51
CD09B,"Minor Dental Restoration Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,32,.,.,.,.,.,32
CD11A,"Dental Fitting or Insertion Procedures, 19 years and over",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
CD11B,"Dental Fitting or Insertion Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
CD12A,"Adjustment of Dental Device, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
DZ02K,"Complex Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ06A,"Minor Thoracic Procedures, 19 years and over",7,5,.,26,16,51,30,.,.,6,8,.,37,.,20,3,55,.,264
DZ07A,"Fibreoptic Bronchoscopy, 19 years and over",152,316,.,391,193,332,94,.,.,.,31,.,74,.,85,.,420,.,"2,088"
DZ07B,"Fibreoptic Bronchoscopy, 18 years and under",.,.,.,.,.,1,.,.,.,.,.,.,18,.,.,.,4,.,23
DZ08Z,Rigid Bronchoscopy,.,.,.,1,.,.,.,.,.,.,.,.,12,.,.,.,.,.,13
DZ09G,Pulmonary Embolus with CC Score 3-5,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
DZ09H,Pulmonary Embolus with CC Score 0-2,.,.,.,3,.,.,1,.,.,.,.,.,.,.,.,.,1,.,5
DZ10G,Lung Abscess-Empyema with CC Score 0-2,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
DZ11G,"Lobar, Atypical or Viral Pneumonia, with CC Score 6-8",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ11H,"Lobar, Atypical or Viral Pneumonia, with CC Score 3-5",1,1,.,1,.,.,.,.,.,1,.,.,.,.,.,.,.,.,4
DZ11J,"Lobar, Atypical or Viral Pneumonia, with CC Score 0-2",.,.,.,1,.,.,3,.,.,.,.,.,.,.,.,.,.,.,4
DZ12C,Bronchiectasis with CC Score 8+,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ12D,Bronchiectasis with CC Score 5-7,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,.,.,3
DZ12E,Bronchiectasis with CC Score 2-4,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,1,.,4
DZ12F,Bronchiectasis with CC Score 0-1,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,1,.,3
DZ13B,Cystic Fibrosis with CC Score 0,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ14E,"Pulmonary, Pleural or Other Tuberculosis, with CC Score 0-1",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ15L,"Asthma without Intubation, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,1,.,2
DZ16F,Pleural Effusion with CC Score 4-7,5,4,.,.,.,2,.,.,.,.,.,.,.,.,.,.,1,.,12
DZ16G,Pleural Effusion with CC Score 0-3,.,.,.,7,.,2,.,.,.,.,.,.,3,.,.,.,11,.,23
DZ17F,Respiratory Neoplasms with CC Score 8-10,.,1,.,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15
DZ17G,Respiratory Neoplasms with CC Score 5-7,.,7,.,18,.,6,.,.,.,.,.,.,.,.,.,.,5,.,36
DZ17H,Respiratory Neoplasms with CC Score 3-4,10,1,.,23,.,1,.,.,.,.,1,.,1,.,.,.,27,.,64
DZ17J,Respiratory Neoplasms with CC Score 1-2,1,7,.,48,.,19,.,.,.,.,.,.,.,.,.,.,2,.,77
DZ17K,Respiratory Neoplasms with CC Score 0,.,1,.,20,.,.,1,.,.,.,.,.,.,.,.,.,3,.,25
DZ19F,Other Respiratory Disorders with CC Score 6-8,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ19G,Other Respiratory Disorders with CC Score 0-5,2,3,.,15,.,2,7,.,.,.,.,.,2,.,1,.,3,.,35
DZ20B,Pulmonary Oedema with CC Score 4-8,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ21A,"Chronic Obstructive Pulmonary Disease or Bronchitis, with length of stay 1 day or less, discharged home",.,.,.,2,.,2,1,.,.,2,.,.,.,1,.,.,.,.,8
DZ22F,Unspecified Acute Lower Respiratory Infection with CC Score 8-10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,2
DZ22G,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,.,2,.,3,.,.,.,.,.,.,.,.,.,.,.,.,1,.,6
DZ22H,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,2,.,1,.,1,1,.,.,.,.,.,.,.,.,.,.,.,5
DZ22J,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,.,2,.,3,.,2,2,.,.,.,.,.,.,.,.,.,.,.,9
DZ23F,Bronchopneumonia with CC Score 5-8,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ24F,"Inhalation Lung Injury or Foreign Body, with CC Score 7-9",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ25F,"Fibrosis or Pneumoconiosis, with CC Score 0-1",.,.,.,.,.,6,.,.,.,.,.,.,.,.,.,.,3,.,9
DZ26D,"Pneumothorax or Intrathoracic Injuries, with CC Score 5-7",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ26F,"Pneumothorax or Intrathoracic Injuries, with CC Score 0-1",.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,2
DZ27L,"Respiratory Failure without Intubation, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,3
DZ29E,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 2-3",.,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,2
DZ29F,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 0-1",8,2,.,1,.,10,.,.,.,.,.,.,5,1,.,.,.,.,27
DZ32Z,Field Exercise Testing,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
DZ38Z,Oxygen Assessment and Monitoring,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
DZ42Z,TB Nurse Support,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,2,.,3
DZ57Z,Oximetry or Blood Gas Studies,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
DZ59Z,Airflow Studies,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,4
DZ63B,"Major Thoracic Procedures, 19 years and over, with CC Score 3-5",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
DZ63C,"Major Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,2,.,1,.,.,.,.,.,.,.,.,.,.,.,.,3
DZ64A,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,4
DZ64B,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 3-5",.,.,.,1,.,.,.,.,.,.,.,.,.,.,9,.,.,.,10
DZ64C,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,9,1,5,.,.,.,.,.,.,1,.,44,.,.,.,60
EA03B,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
EA03C,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 5-7",.,.,.,6,.,1,.,.,.,.,.,.,5,.,.,.,.,.,12
EA03D,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 2-4",.,.,.,53,.,29,.,.,.,.,.,.,38,.,.,.,.,.,120
EA03E,"Pace 1: Single Chamber or Implantable Diagnostic Device, with CC Score 0-1",.,.,.,80,.,69,.,.,.,.,.,.,51,.,.,.,13,.,213
EA05B,"Pace 2: Dual Chamber, with CC Score 5-8",.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,3
EA05C,"Pace 2: Dual Chamber, with CC Score 2-4",.,.,.,10,.,4,.,.,.,.,.,.,25,.,.,.,.,.,39
EA05D,"Pace 2: Dual Chamber, with CC Score 0-1",.,.,.,14,.,10,.,.,.,.,.,.,40,.,.,.,.,.,64
EA07B,"Pace 3: Biventricular and all Congenital Pacemaker Procedures; Resynchronisation Therapy, with CC Score 4-7",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
EA07C,"Pace 3: Biventricular and all Congenital Pacemaker Procedures; Resynchronisation Therapy, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,.,6
EA11B,"Percutaneous Interventions: Other including Septostomy, Embolisation, Non-Coronary Stents and Energy Moderated Perforation, with CC Score 0-2",.,.,.,2,.,2,.,.,.,.,.,.,.,.,2,.,.,.,6
EA12B,"Implantation of Cardioverter; Defibrillator only, with CC Score 6-8",.,.,.,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,2
EA12C,"Implantation of Cardioverter; Defibrillator only, with CC Score 3-5",.,.,.,9,.,.,.,.,.,.,.,.,3,.,.,.,.,.,12
EA12D,"Implantation of Cardioverter; Defibrillator only, with CC Score 0-2",.,.,.,11,.,.,.,.,.,.,.,.,4,.,.,.,.,.,15
EA17D,Single Cardiac Valve Procedures with CC Score 0-2,.,.,.,1,.,.,.,.,.,.,.,.,2,.,.,.,.,.,3
EA29C,"Percutaneous Complex Ablation, including for Atrial Fibrillation and Ventricular Tachycardia, with CC Score 0-1",.,.,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,4
EA31B,"Percutaneous Coronary Intervention, 0 to 2 Stents, with CC Score 7-10",.,.,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,2
EA31C,"Percutaneous Coronary Intervention, 0 to 2 Stents, with CC Score 3-6",.,.,.,43,.,54,.,.,.,.,.,.,17,.,.,.,.,.,114
EA31D,"Percutaneous Coronary Intervention, 0 to 2 Stents, with CC Score 0-2",4,.,.,176,.,342,.,.,.,.,.,.,87,.,.,.,.,.,609
EA35A,Other Percutaneous Interventions with CC Score 8+,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
EA35B,Other Percutaneous Interventions with CC Score 5-7,.,.,.,6,.,1,.,.,.,.,.,.,2,.,.,.,.,.,9
EA35C,Other Percutaneous Interventions with CC Score 2-4,1,.,.,32,.,8,.,.,.,.,.,.,23,.,.,.,3,.,67
EA35D,Other Percutaneous Interventions with CC Score 0-1,8,.,.,34,.,33,.,.,.,.,.,.,47,2,.,.,1,.,125
EA36D,Catheter with CC Score 10-12,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
EA36E,Catheter with CC Score 7-9,1,.,.,5,.,4,.,.,.,.,.,.,3,.,.,.,5,.,18
EA36F,Catheter with CC Score 4-6,11,.,.,44,.,66,.,.,.,.,.,.,43,.,.,.,54,.,218
EA36G,Catheter with CC Score 2-3,69,.,.,121,.,279,.,.,.,.,.,.,254,.,.,.,204,.,927
EA36H,Catheter with CC Score 0-1,286,.,.,140,.,792,.,.,.,.,.,.,659,.,.,.,504,1,"2,382"
EA39A,"Pacemaker Procedure without Generator Implant, including Re-Siting and Removal of Cardiac Pacemaker System, with CC Score 5+",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
EA39B,"Pacemaker Procedure without Generator Implant, including Re-Siting and Removal of Cardiac Pacemaker System, with CC Score 2-4",.,.,.,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,2
EA39C,"Pacemaker Procedure without Generator Implant, including Re-Siting and Removal of Cardiac Pacemaker System, with CC Score 0-1",.,.,.,1,.,.,.,.,.,.,.,.,2,.,.,.,.,.,3
EA40Z,Other Non-Complex Cardiac Surgery,.,.,.,1,.,.,.,.,.,.,.,.,2,.,4,.,.,.,7
EA44A,Minor Cardiac Procedures with CC Score 2+,.,.,.,15,.,1,.,.,.,.,.,.,.,.,.,.,.,.,16
EA44B,Minor Cardiac Procedures with CC Score 0-1,.,.,.,8,.,8,.,.,.,.,.,.,5,.,.,.,.,.,21
EA45Z,"Complex Echocardiogram, including Transoesophageal and Fetal Echocardiography",12,.,.,43,.,29,.,.,.,.,23,.,68,.,5,15,49,.,244
EA47Z,Electrocardiogram Monitoring and Stress Testing,2,.,.,62,.,1,9,.,.,4,.,.,11,.,.,.,3,.,92
EA49B,"Percutaneous Coronary Interventions with 3 or more Stents, Rotablation, IVUS or Pressure Wire, with CC Score 6-8",.,.,.,2,.,1,.,.,.,.,.,.,.,.,.,.,.,.,3
EA49C,"Percutaneous Coronary Interventions with 3 or more Stents, Rotablation, IVUS or Pressure Wire, with CC Score 3-5",1,.,.,12,.,19,.,.,.,.,.,.,1,.,.,.,.,.,33
EA49D,"Percutaneous Coronary Interventions with 3 or more Stents, Rotablation, IVUS or Pressure Wire, with CC Score 0-2",.,.,.,55,.,68,.,.,.,.,.,.,7,.,.,.,.,.,130
EA54A,Percutaneous Standard Ablation with CC Score 3+,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
EA54B,Percutaneous Standard Ablation with CC Score 0-2,.,.,.,1,.,24,.,.,.,.,.,.,2,.,.,.,.,.,27
EA55A,Percutaneous Diagnostic Electrophysiology Studies with CC Score 3+,.,.,.,15,.,10,.,.,.,.,.,.,1,.,.,.,.,.,26
EA55B,Percutaneous Diagnostic Electrophysiology Studies with CC Score 0-2,.,.,.,17,.,47,.,.,.,.,.,.,3,.,.,.,.,.,67
EA56C,"Implantation of Cardiac Resynchronization Therapy Defibrillator (CRT-D), with CC Score 0-2",.,.,.,.,.,1,.,.,.,.,.,.,2,.,.,.,.,.,3
EB02C,Endocarditis with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,1,.,2
EB03C,"Heart Failure or Shock, with CC Score 8-10",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
EB03D,"Heart Failure or Shock, with CC Score 4-7",.,.,.,2,.,.,.,.,.,.,1,.,.,.,.,.,.,.,3
EB03E,"Heart Failure or Shock, with CC Score 0-3",.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,4,.,5
EB04Z,Hypertension,.,2,.,2,.,.,.,.,.,.,.,.,1,.,1,.,1,.,7
EB05A,Cardiac Arrest with CC Score 9+,.,.,.,1,.,.,.,.,.,.,.,1,.,.,.,.,.,.,2
EB06D,Cardiac Valve Disorders with CC Score 0-4,.,.,.,3,.,.,.,.,.,.,2,.,2,.,.,.,8,.,15
EB07B,"Arrhythmia or Conduction Disorders, with CC Score 10-12",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
EB07C,"Arrhythmia or Conduction Disorders, with CC Score 7-9",2,.,.,6,.,.,1,.,.,.,.,.,1,.,.,.,.,.,10
EB07D,"Arrhythmia or Conduction Disorders, with CC Score 4-6",8,.,.,26,1,6,5,.,.,3,.,.,2,.,2,1,3,.,57
EB07E,"Arrhythmia or Conduction Disorders, with CC Score 0-3",56,.,.,112,5,127,55,2,.,33,40,.,8,.,44,58,51,.,591
EB08D,"Syncope or Collapse, with CC Score 4-6",.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
EB08E,"Syncope or Collapse, with CC Score 0-3",.,1,.,.,.,.,2,.,.,.,.,.,.,.,.,.,4,.,7
EB10E,"Actual or Suspected Myocardial Infarction, with CC Score 0-3",.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
EB12B,Unspecified Chest Pain with CC Score 5-10,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
EB12C,Unspecified Chest Pain with CC Score 0-4,1,.,.,.,.,1,2,.,1,.,.,.,2,1,.,1,4,.,13
EB13C,Angina with CC Score 4-7,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
EB13D,Angina with CC Score 0-3,.,1,.,1,.,.,.,.,.,.,.,.,.,1,.,.,3,.,6
EB14A,Other Acquired Cardiac Conditions with CC Score 13+,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
EB14B,Other Acquired Cardiac Conditions with CC Score 9-12,1,2,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7
EB14C,Other Acquired Cardiac Conditions with CC Score 6-8,.,.,.,3,.,2,.,.,.,.,.,.,1,.,.,.,.,.,6
EB14D,Other Acquired Cardiac Conditions with CC Score 3-5,.,1,.,10,.,1,1,.,.,.,.,.,.,.,.,.,2,.,15
EB14E,Other Acquired Cardiac Conditions with CC Score 0-2,1,.,.,.,.,4,.,.,.,1,.,.,1,.,.,.,5,.,12
EB15C,Primary Pulmonary Hypertension with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
EC01A,"Congenital Cardiac Surgery with Intervention Score 58 or less, with Diagnosis Score 64 or less",4,.,.,2,.,7,.,.,.,.,2,.,54,.,4,5,2,.,80
EC01B,"Congenital Cardiac Surgery with Intervention Score 58 or less, with Diagnosis Score 65-117",1,.,.,1,.,.,.,.,.,.,.,.,2,.,.,.,.,.,4
FZ12M,"Major General Abdominal Procedures, 19 years and over, with CC Score 6-9",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
FZ12N,"Major General Abdominal Procedures, 19 years and over, with CC Score 3-5",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
FZ12P,"Major General Abdominal Procedures, 19 years and over, with CC Score 1-2",.,1,.,1,3,1,.,2,.,2,.,.,.,.,.,.,2,.,12
FZ12Q,"Major General Abdominal Procedures, 19 years and over, with CC Score 0",4,4,.,6,5,10,3,1,.,2,4,2,2,1,3,1,9,.,57
FZ12S,"Major General Abdominal Procedures, between 2 and 18 years, with CC Score 0",.,.,.,.,.,2,.,.,.,.,.,.,1,.,.,.,1,.,4
FZ13C,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 19 years and over",20,27,.,269,9,26,26,.,.,15,24,.,42,.,26,1,101,.,586
FZ13D,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 18 years and under",.,.,.,.,2,.,.,.,.,.,.,.,.,.,4,.,.,.,6
FZ17D,"Abdominal Hernia Procedures, 18 years and under",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,9,.,10
FZ17F,"Abdominal Hernia Procedures, 19 years and over, with CC Score 1-3",.,.,.,.,.,1,.,.,.,.,1,.,.,.,.,.,.,.,2
FZ17G,"Abdominal Hernia Procedures, 19 years and over, with CC Score 0",1,5,.,1,6,4,.,1,.,10,2,.,1,6,2,4,3,.,46
FZ18E,"Inguinal, Umbilical or Femoral Hernia Procedures, between 2 and 18 years",1,2,.,.,.,3,1,.,.,4,.,.,5,.,1,.,24,.,41
FZ18F,"Inguinal, Umbilical or Femoral Hernia Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,2,.,6
FZ18H,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 3-5",.,2,.,.,.,.,1,.,.,2,.,1,.,.,1,.,.,.,7
FZ18J,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 1-2",2,7,.,.,6,4,1,4,.,20,10,.,.,7,3,7,16,.,87
FZ18K,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 0",100,89,.,3,84,73,9,23,.,269,75,24,8,74,41,54,114,1,"1,041"
FZ19A,"Herniotomy Procedures, 2 years and over",2,.,.,.,.,6,.,.,.,1,1,.,23,.,1,.,59,.,93
FZ19B,"Herniotomy Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,18,.,.,.,11,.,29
FZ20J,"Appendicectomy Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
FZ21B,"Major Anal Procedures, 18 years and under",.,.,.,.,.,.,.,1,.,.,.,.,.,1,.,.,.,.,2
FZ21C,"Major Anal Procedures, 19 years and over, with CC Score 1+",.,3,.,1,2,1,.,5,.,.,1,.,2,3,.,.,1,.,19
FZ21D,"Major Anal Procedures, 19 years and over, with CC Score 0",16,14,.,.,19,14,1,15,.,4,11,.,4,14,1,2,14,.,129
FZ22B,"Intermediate Anal Procedures, 18 years and under",2,1,.,.,2,3,1,1,.,1,.,1,12,4,.,2,5,.,35
FZ22D,"Intermediate Anal Procedures, 19 years and over, with CC Score 1-2",1,6,.,1,4,4,3,3,.,11,2,.,1,8,.,2,9,.,55
FZ22E,"Intermediate Anal Procedures, 19 years and over, with CC Score 0",29,71,.,4,50,66,45,32,.,63,27,10,16,37,7,20,67,.,544
FZ23A,"Minor Anal Procedures, 19 years and over",88,127,.,7,103,47,34,18,.,49,10,11,25,73,89,123,50,16,870
FZ23B,"Minor Anal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,2,.,3
FZ24E,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, between 2 and 18 years",.,.,.,1,.,.,.,.,.,.,.,.,6,.,.,.,.,.,7
FZ24F,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,15,.,.,.,.,.,15
FZ24G,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 3+",.,16,.,.,1,2,.,2,.,.,.,.,2,.,.,.,1,17,41
FZ24H,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 1-2",7,43,.,7,6,10,4,5,.,2,1,.,82,1,.,1,1,22,192
FZ24J,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 0",34,86,.,61,23,19,4,12,.,.,1,.,60,1,1,.,14,48,364
FZ27D,"Intermediate Therapeutic General Abdominal Procedures, 18 years and under",.,.,.,.,.,2,.,.,.,.,.,.,5,.,.,.,4,.,11
FZ27F,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 1-2",.,1,.,.,.,1,.,.,.,1,1,.,.,.,.,.,.,.,4
FZ27G,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 0",1,1,.,.,4,4,2,.,.,3,10,1,.,1,3,.,3,.,33
FZ36Q,"Gastrointestinal Infections without Interventions, with CC Score 0-1",1,.,.,2,.,3,1,.,.,.,.,.,10,.,1,.,8,.,26
FZ37P,"Inflammatory Bowel Disease without Interventions, with CC Score 5+",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,2
FZ37R,"Inflammatory Bowel Disease without Interventions, with CC Score 1-2",.,5,.,.,.,3,7,.,.,17,.,.,15,1,.,.,6,.,54
FZ37S,"Inflammatory Bowel Disease without Interventions, with CC Score 0",263,.,.,.,1,109,69,.,.,34,.,.,"1,144",.,103,.,443,.,"2,166"
FZ38N,"Gastrointestinal Bleed without Interventions, with CC Score 5-8",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
FZ38P,"Gastrointestinal Bleed without Interventions, with CC Score 0-4",3,2,.,1,.,.,2,1,.,1,2,.,1,1,2,1,2,1,20
FZ42A,"Wireless Capsule Endoscopy, 19 years and over",25,.,.,.,.,.,37,.,.,.,.,.,36,.,.,.,33,.,131
FZ42B,"Wireless Capsule Endoscopy, 18 years and under",1,.,.,.,.,.,1,.,.,.,.,.,2,.,.,.,2,.,6
FZ49F,"Nutritional Disorders without Interventions, with CC Score 6+",.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
FZ49G,"Nutritional Disorders without Interventions, with CC Score 2-5",.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,2,.,3
FZ49H,"Nutritional Disorders without Interventions, with CC Score 0-1",1,.,.,1,.,5,5,.,.,1,.,.,7,7,.,1,8,2,38
FZ50Z,"Intermediate Large Intestine Procedures, 19 years and over",4,34,.,2,17,34,4,5,.,7,11,.,19,6,10,15,6,4,178
FZ51Z,"Diagnostic Colonoscopy, 19 years and over",664,657,.,715,319,294,398,360,.,794,243,.,523,772,212,115,507,553,"7,126"
FZ52Z,"Diagnostic Colonoscopy with Biopsy, 19 years and over",766,513,.,355,351,154,190,177,.,301,207,1,408,306,161,57,227,282,"4,456"
FZ53Z,"Therapeutic Colonoscopy, 19 years and over",960,435,.,305,233,238,207,305,.,312,130,.,280,403,211,116,256,461,"4,852"
FZ54Z,"Diagnostic Flexible Sigmoidoscopy, 19 years and over",416,282,.,392,128,181,196,174,.,337,197,.,271,342,452,342,667,182,"4,559"
FZ55Z,"Diagnostic Flexible Sigmoidoscopy with Biopsy, 19 years and over",185,133,.,163,58,64,55,28,.,72,55,.,168,72,63,47,91,58,"1,312"
FZ56Z,"Therapeutic Flexible Sigmoidoscopy, 19 years and over",72,49,.,68,28,49,39,35,.,49,28,.,39,89,77,49,72,62,805
