HRG Code,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Average
EB14E,Other Acquired Cardiac Conditions with CC Score 0-2,930,"1,434","1,579","2,371","3,571",.,.,.,.,.,"2,481",.,"1,482",.,"1,432",.,"2,287","1,558"
EB15B,Primary Pulmonary Hypertension with CC Score 4-8,.,.,.,.,.,.,.,.,.,.,.,.,"19,798",.,.,.,.,"19,798"
EC10B,Very Complex Procedures for Congenital Heart Disease with CC Score 7-14,.,.,.,.,.,.,.,.,.,.,.,.,"17,362",.,.,.,.,"17,362"
EC10C,Very Complex Procedures for Congenital Heart Disease with CC Score 0-6,.,.,.,.,.,.,.,.,.,.,.,.,"14,087",.,.,.,.,"14,087"
EC11B,Complex Procedures for Congenital Heart Disease with CC Score 7-14,.,.,.,.,.,.,.,.,.,.,.,.,"16,140",.,.,.,.,"16,140"
EC11C,Complex Procedures for Congenital Heart Disease with CC Score 0-6,.,.,.,.,.,.,.,.,.,.,.,.,"13,439",.,.,.,.,"13,439"
EC12A,Very Major Procedures for Congenital Heart Disease with CC Score 9+,.,.,.,.,.,.,.,.,.,.,.,.,"30,760",.,.,.,.,"30,760"
EC12B,Very Major Procedures for Congenital Heart Disease with CC Score 4-8,.,.,.,.,.,.,.,.,.,.,.,.,"13,176",.,.,.,.,"13,176"
EC12C,Very Major Procedures for Congenital Heart Disease with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,"8,327",.,.,.,.,"8,327"
EC13B,Major Procedures for Congenital Heart Disease with CC Score 4-8,.,.,.,.,.,.,.,.,.,.,.,.,"12,263",.,.,.,.,"12,263"
EC13C,Major Procedures for Congenital Heart Disease with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,"11,298",.,.,.,.,"11,298"
EC14B,Intermediate Procedures for Congenital Heart Disease with CC Score 4-8,.,.,.,.,.,.,.,.,.,.,.,.,"7,108",.,.,.,.,"7,108"
EC14C,Intermediate Procedures for Congenital Heart Disease with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,"5,449",.,.,.,.,"5,449"
EC15A,Minor Procedures for Congenital Heart Disease with CC Score 4+,"3,701",.,.,.,.,.,.,.,.,.,.,.,"6,054",.,.,.,.,"5,662"
EC15B,Minor Procedures for Congenital Heart Disease with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,"5,334",.,.,.,.,"5,334"
EC20A,Diagnostic Percutaneous Intervention for Congenital Heart Disease with CC Score 4+,.,.,.,.,.,.,.,.,.,.,.,.,"3,796",.,.,.,.,"3,796"
EC20B,Diagnostic Percutaneous Intervention for Congenital Heart Disease with CC Score 0-3,.,.,"1,972",.,"1,335",.,.,.,.,.,.,.,"4,043",.,.,.,.,"3,687"
EC21Z,Complex Echocardiogram for Congenital Heart Disease,.,.,.,.,.,.,.,.,.,.,.,.,"1,812",.,.,.,.,"1,812"
EC22Z,"Electrocardiogram Monitoring or Stress Testing, for Congenital Heart Disease",.,.,.,.,.,.,.,.,.,.,.,403,.,.,.,.,.,403
ED12B,Complex Repair of Aortic Root with CC Score 0-6,.,.,.,.,.,.,.,.,.,.,.,.,"18,283",.,.,.,.,"18,283"
ED13B,Standard Repair of Aortic Root with CC Score 0-6,.,.,.,.,.,.,.,.,.,.,.,.,"21,946",.,.,.,.,"21,946"
ED14A,Complex Repair of Ascending Thoracic Aorta with CC Score 7+,.,.,.,.,.,.,.,.,.,.,.,.,"23,818",.,.,.,.,"23,818"
ED14B,Complex Repair of Ascending Thoracic Aorta with CC Score 0-6,.,.,.,.,.,.,.,.,.,.,.,.,"12,228",.,.,.,.,"12,228"
ED15A,Standard Repair of Ascending Thoracic Aorta with CC Score 7+,.,.,.,.,.,.,.,.,.,.,.,.,"20,279",.,.,.,.,"20,279"
ED15B,Standard Repair of Ascending Thoracic Aorta with CC Score 0-6,.,.,.,.,.,.,.,.,.,.,.,.,"15,563",.,.,.,.,"15,563"
ED20A,"Complex, Repair or Replacement, of Multiple Heart Valves, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,.,"17,027",.,.,.,.,"17,027"
ED20B,"Complex, Repair or Replacement, of Multiple Heart Valves, with CC Score 0-7",.,.,.,.,.,.,.,.,.,.,.,.,"17,477",.,.,.,.,"17,477"
ED21A,"Standard, Repair or Replacement, of Multiple Heart Valves, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,.,"13,072",.,.,.,.,"13,072"
ED21B,"Standard, Repair or Replacement, of Multiple Heart Valves, with CC Score 0-7",.,.,.,.,.,.,.,.,.,.,.,.,"16,746",.,.,.,.,"16,746"
ED22A,"Complex, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 11+",.,.,.,.,.,.,.,.,.,.,.,.,"16,650",.,.,.,.,"16,650"
ED22B,"Complex, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 6-10",.,.,.,.,.,.,.,.,.,.,.,.,"17,972",.,.,.,.,"17,972"
ED22C,"Complex, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,"16,033",.,.,.,.,"16,033"
ED23A,"Standard, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 11+",.,.,.,.,.,.,.,.,.,.,.,.,"15,857",.,.,.,.,"15,857"
ED23B,"Standard, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 6-10",.,.,.,.,.,.,.,.,.,.,.,.,"17,273",.,.,.,.,"17,273"
ED23C,"Standard, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,"13,924",.,.,.,.,"13,924"
ED24A,"Complex, Single Heart Valve Replacement or Repair, with CC Score 11+",.,.,.,.,.,.,.,.,.,.,.,.,"14,403",.,.,.,.,"14,403"
ED24B,"Complex, Single Heart Valve Replacement or Repair, with CC Score 6-10",.,.,.,.,.,.,.,.,.,.,.,.,"16,544",.,.,.,.,"16,544"
ED24C,"Complex, Single Heart Valve Replacement or Repair, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,"16,033",.,.,.,.,"16,033"
ED25A,"Standard, Single Heart Valve Replacement or Repair, with CC Score 11+",.,.,.,.,.,.,.,.,.,.,.,.,"14,647",.,.,.,.,"14,647"
ED25B,"Standard, Single Heart Valve Replacement or Repair, with CC Score 6-10",.,.,.,.,.,.,.,.,.,.,.,.,"15,538",.,.,.,.,"15,538"
ED25C,"Standard, Single Heart Valve Replacement or Repair, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,"13,098",.,.,.,.,"13,098"
ED26B,Complex Coronary Artery Bypass Graft with CC Score 5-9,.,.,.,.,.,.,.,.,.,.,.,.,"15,749",.,.,.,.,"15,749"
ED26C,Complex Coronary Artery Bypass Graft with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,.,"12,441",.,.,.,.,"12,441"
ED27A,Major Coronary Artery Bypass Graft with CC Score 10+,.,.,.,.,.,.,.,.,.,.,.,.,"14,237",.,.,.,.,"14,237"
ED27B,Major Coronary Artery Bypass Graft with CC Score 5-9,.,.,.,.,.,.,.,.,.,.,.,.,"14,927",.,.,.,.,"14,927"
ED27C,Major Coronary Artery Bypass Graft with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,.,"12,095",.,.,.,.,"12,095"
ED28A,Standard Coronary Artery Bypass Graft with CC Score 10+,.,.,.,.,.,.,.,.,.,.,.,.,"16,301",.,.,.,.,"16,301"
ED28B,Standard Coronary Artery Bypass Graft with CC Score 5-9,.,.,.,.,.,.,.,.,.,.,.,.,"13,254",.,.,.,.,"13,254"
ED28C,Standard Coronary Artery Bypass Graft with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,.,"11,565",.,.,.,.,"11,565"
ED30B,"Complex, Other Operations on Heart or Pericardium, with CC Score 5-9",.,.,"5,327",.,.,.,.,.,.,.,.,.,"11,020",.,.,.,.,"10,207"
ED30C,"Complex, Other Operations on Heart or Pericardium, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,"9,273",.,.,.,.,"9,273"
ED31B,"Standard, Other Operations on Heart or Pericardium, with CC Score 5-9",.,.,.,.,.,.,.,.,.,.,.,.,"6,180",.,.,.,.,"6,180"
ED31C,"Standard, Other Operations on Heart or Pericardium, with CC Score 0-4",.,.,"5,645",.,.,.,.,.,.,.,.,.,"5,019",.,.,.,.,"5,144"
EY01A,"Implantation of Cardioverter Defibrillator with Cardiac Resynchronisation Therapy, with CC Score 9+",.,.,.,.,.,.,.,.,.,.,.,.,"15,656",.,.,.,.,"15,656"
EY01B,"Implantation of Cardioverter Defibrillator with Cardiac Resynchronisation Therapy, with CC Score 0-8",.,.,"17,328",.,.,.,.,.,.,.,.,.,"18,511",.,.,.,.,"18,268"
EY02A,Implantation of Cardioverter Defibrillator with CC Score 9+,.,.,"15,103",.,.,.,.,.,.,.,.,.,"15,467",.,.,.,.,"15,394"
EY02B,Implantation of Cardioverter Defibrillator with CC Score 0-8,.,.,"14,826",.,.,.,.,.,.,.,.,.,"15,410",.,.,.,.,"15,260"
EY03Z,Implantation of Biventricular Pacemaker with Other Percutaneous Intervention,.,.,.,.,.,.,.,.,.,.,.,.,"9,753",.,.,.,.,"9,753"
EY04A,Implantation of Biventricular Pacemaker with CC Score 6+,.,.,"7,283",.,.,.,.,.,.,.,.,.,"6,476",.,.,.,.,"7,148"
EY04B,Implantation of Biventricular Pacemaker with CC Score 0-5,.,.,"7,457",.,.,.,.,.,.,.,.,.,"7,579",.,.,.,.,"7,491"
EY05B,"Implantation of Dual Chamber Pacemaker with Other Percutaneous Intervention, with CC Score 0-5",.,.,"5,062",.,.,.,.,.,.,.,.,.,"6,768",.,.,.,.,"6,200"
EY06B,Implantation of Dual Chamber Pacemaker with CC Score 9-11,.,.,.,.,.,.,.,.,.,.,.,.,"5,835",.,.,.,.,"5,835"
EY06C,Implantation of Dual Chamber Pacemaker with CC Score 6-8,.,.,"4,115",.,.,.,.,.,.,.,.,.,"3,835",.,.,.,.,"3,947"
EY06D,Implantation of Dual Chamber Pacemaker with CC Score 3-5,.,.,"4,424",.,"2,928",.,.,.,.,.,.,.,"4,994",.,.,.,.,"4,560"
EY06E,Implantation of Dual Chamber Pacemaker with CC Score 0-2,.,.,"3,979",.,"2,928",.,.,.,.,.,.,.,"4,628",.,.,.,.,"4,193"
EY07B,"Implantation of Single Chamber Pacemaker with Other Percutaneous Intervention, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,"5,053",.,.,.,.,"5,053"
EY08B,Implantation of Single Chamber Pacemaker with CC Score 9-11,.,.,.,.,"2,828",.,.,.,.,.,.,.,.,.,.,.,.,"2,828"
EY08C,Implantation of Single Chamber Pacemaker with CC Score 6-8,.,.,"3,341",.,.,.,.,.,.,.,.,.,"11,150",.,.,.,.,"5,293"
EY08D,Implantation of Single Chamber Pacemaker with CC Score 3-5,.,.,"3,851",.,"2,095",.,.,.,.,.,.,.,"3,778",.,.,.,.,"3,703"
EY08E,Implantation of Single Chamber Pacemaker with CC Score 0-2,.,.,"3,695",.,"2,828",.,.,.,.,.,.,.,"4,252",.,.,.,.,"3,777"
EY09A,"Removal of Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,.,"19,688",.,.,.,.,"19,688"
EY09B,"Removal of Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 0-5",.,.,"2,156",.,.,.,.,.,.,.,.,.,"4,216",.,.,.,.,"3,186"
EY10A,"Attention to Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 6+",.,.,"3,120",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,120"
EY10B,"Attention to Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 0-5",.,.,"2,980",.,.,.,.,.,.,.,.,.,"3,141",.,.,.,.,"3,053"
EY11Z,Testing of Cardiac Pacemaker or Cardioverter Defibrillator,.,.,577,.,.,.,.,.,.,.,.,.,"1,107",.,.,.,.,754
EY12A,Implantation of Electrocardiography Loop Recorder with CC Score 3+,.,.,"2,989",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,247","2,553"
EY12B,Implantation of Electrocardiography Loop Recorder with CC Score 0-2,.,.,"2,989",.,.,.,.,.,.,.,.,.,"2,794",.,.,.,.,"2,940"
EY13Z,Removal of Electrocardiography Loop Recorder,.,.,"2,485",.,.,.,.,.,.,.,.,.,"1,385",.,.,.,.,"1,935"
EY20A,"Transcatheter Aortic Valve Implantation (TAVI) using Other Approach, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,.,"23,436",.,.,.,.,"23,436"
EY20B,"Transcatheter Aortic Valve Implantation (TAVI) using Other Approach, with CC Score 0-7",.,.,.,.,.,.,.,.,.,.,.,.,"21,767",.,.,.,.,"21,767"
EY21A,"Transcatheter Aortic Valve Implantation (TAVI) using Transfemoral Approach, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,.,"22,906",.,.,.,.,"22,906"
EY21B,"Transcatheter Aortic Valve Implantation (TAVI) using Transfemoral Approach, with CC Score 0-7",.,.,.,.,.,.,.,.,.,.,.,.,"20,134",.,.,.,.,"20,134"
EY22A,Complex Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 10+,.,.,.,.,.,.,.,.,.,.,.,.,"2,645",.,.,.,.,"2,645"
EY22B,Complex Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 5-9,.,.,.,.,.,.,.,.,.,.,.,.,"6,485",.,.,.,.,"6,485"
EY22C,Complex Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,.,"4,326",.,.,.,.,"4,326"
EY23A,Standard Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 10+,.,.,.,.,.,.,.,.,.,.,.,.,"3,998",.,.,.,.,"3,998"
EY23C,Standard Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 0-4,.,.,"2,855",.,.,.,.,.,.,.,.,.,"4,941",.,"3,407",.,.,"3,734"
EY30A,Complex Percutaneous Transluminal Ablation of Heart with CC Score 3+,.,.,.,.,.,.,.,.,.,.,.,.,"6,999",.,.,.,.,"6,999"
EY30B,Complex Percutaneous Transluminal Ablation of Heart with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,"8,583",.,.,.,.,"8,583"
EY31A,Standard Percutaneous Transluminal Ablation of Heart with CC Score 3+,.,.,.,.,.,.,.,.,.,.,.,.,"5,510",.,.,.,.,"5,510"
EY31B,Standard Percutaneous Transluminal Ablation of Heart with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,"4,664",.,.,.,.,"4,664"
EY32A,Percutaneous Diagnostic Electrophysiology Studies with CC Score 2+,.,.,"3,221",.,"2,499",.,.,.,.,.,.,.,"3,297",.,.,.,.,"3,248"
EY32B,Percutaneous Diagnostic Electrophysiology Studies with CC Score 0-1,.,.,"3,219",.,.,.,.,.,.,.,.,.,"3,182",.,.,.,.,"3,183"
EY40B,Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 8-11,.,.,"4,684",.,"4,473",.,.,.,.,.,.,.,"11,845",.,.,.,.,"8,230"
EY40C,Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 4-7,"3,819",.,"4,744",.,"4,044",.,.,.,.,.,.,.,"5,583",.,.,.,.,"4,790"
EY40D,Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 0-3,"3,205",.,"4,290",.,"2,871",.,.,.,.,.,.,.,"4,418",.,.,.,.,"4,128"
EY41A,Standard Percutaneous Transluminal Coronary Angioplasty with CC Score 12+,.,.,.,.,"6,380",.,.,.,.,.,.,.,.,.,.,.,.,"6,380"
EY41B,Standard Percutaneous Transluminal Coronary Angioplasty with CC Score 8-11,.,.,"3,064",.,.,.,.,.,.,.,.,.,"5,922",.,.,.,.,"4,289"
EY41C,Standard Percutaneous Transluminal Coronary Angioplasty with CC Score 4-7,"2,933",.,"3,241",.,"2,450",.,.,.,.,.,.,.,"3,229",.,.,.,.,"3,160"
EY41D,Standard Percutaneous Transluminal Coronary Angioplasty with CC Score 0-3,"2,892",.,"2,795",.,"2,486",.,.,.,.,.,.,.,"3,049",.,.,.,.,"2,919"
EY42A,Complex Cardiac Catheterisation with CC Score 7+,.,.,.,.,.,.,.,.,.,.,.,.,"8,560",.,.,.,.,"8,560"
EY42B,Complex Cardiac Catheterisation with CC Score 4-6,"1,728",.,"2,283",.,.,.,.,.,.,.,.,.,"2,705",.,.,.,.,"2,394"
EY42C,Complex Cardiac Catheterisation with CC Score 2-3,"1,560",.,"2,199",.,.,.,.,.,.,.,.,.,"2,464",.,.,.,.,"2,318"
EY42D,Complex Cardiac Catheterisation with CC Score 0-1,"1,539",.,"2,169",.,"1,809",.,.,.,.,.,.,.,"2,284",.,.,.,.,"2,151"
EY43A,Standard Cardiac Catheterisation with CC Score 13+,"6,814",.,.,.,.,.,.,.,.,.,.,.,"3,530",.,.,.,.,"5,172"
EY43B,Standard Cardiac Catheterisation with CC Score 10-12,.,.,"5,643",.,.,.,.,.,.,.,.,.,.,.,.,.,"14,971","10,307"
EY43C,Standard Cardiac Catheterisation with CC Score 7-9,"1,639",.,"2,056",.,"3,912",.,.,.,.,.,.,.,"4,332",.,.,.,"6,050","3,425"
EY43D,Standard Cardiac Catheterisation with CC Score 4-6,"2,480",.,"1,734",.,"1,872",.,.,.,.,.,.,.,"2,036",.,.,.,"3,077","2,136"
EY43E,Standard Cardiac Catheterisation with CC Score 2-3,"1,743",.,"1,707",.,"2,038",.,.,.,.,.,.,.,"1,742",.,"3,234",.,"1,933","1,778"
EY43F,Standard Cardiac Catheterisation with CC Score 0-1,"1,445",.,"1,562",.,"1,375",.,.,.,.,.,.,.,"1,597",.,.,.,"1,247","1,561"
EY50Z,Complex Echocardiogram,.,338,764,.,.,.,.,.,.,.,670,.,"1,584",.,808,.,.,"1,023"
EY51Z,Electrocardiogram Monitoring or Stress Testing,446,.,734,474,.,.,.,.,.,.,.,.,962,.,808,498,.,696
FZ12M,"Major General Abdominal Procedures, 19 years and over, with CC Score 6-9",.,.,"9,098",.,.,"5,012",.,.,.,.,"13,891",.,.,.,.,.,.,"9,334"
FZ12N,"Major General Abdominal Procedures, 19 years and over, with CC Score 3-5","7,356","7,495","7,808",.,"5,021",.,.,.,.,.,"7,040",.,"2,942",.,"9,030",.,"4,236","6,457"
FZ12P,"Major General Abdominal Procedures, 19 years and over, with CC Score 1-2",.,"3,247","5,767",.,"3,590","2,530",.,.,.,.,"5,899",.,"7,409",.,"6,469",.,"3,963","5,085"
FZ12Q,"Major General Abdominal Procedures, 19 years and over, with CC Score 0","2,516","3,584","4,510","3,653","2,409","1,910",.,.,.,.,"5,598",.,"7,088",.,"5,756",.,"3,658","4,107"
FZ12S,"Major General Abdominal Procedures, between 2 and 18 years, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,"6,636",.,"2,372",.,.,"5,784"
FZ12U,"Major General Abdominal Procedures, 1 year and under, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"7,884",.,.,.,.,"7,884"
FZ13C,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 19 years and over",850,"1,151","1,737","3,074","1,706","1,096",.,.,.,.,720,.,482,.,"1,694",.,"1,477","1,397"
FZ13D,"Minor Therapeutic or Diagnostic, General Abdominal Procedures, 18 years and under",.,.,"1,628",.,.,.,.,.,.,.,.,.,"2,335",.,.,.,.,"2,099"
FZ17D,"Abdominal Hernia Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"4,306",.,.,.,.,"4,306"
FZ17E,"Abdominal Hernia Procedures, 19 years and over, with CC Score 4+","5,276",.,"7,437",.,"3,888",.,.,.,.,.,"4,280",.,.,.,.,.,.,"5,959"
FZ17F,"Abdominal Hernia Procedures, 19 years and over, with CC Score 1-3","4,464","3,027","6,187","2,000","4,182","3,993",.,.,.,.,"5,928",.,"5,466",.,"4,886",.,"3,102","4,519"
FZ17G,"Abdominal Hernia Procedures, 19 years and over, with CC Score 0","2,837","1,871","4,945","1,636","2,794","2,048",.,.,.,.,"4,328",.,.,.,"4,385",.,"2,573","2,883"
FZ18E,"Inguinal, Umbilical or Femoral Hernia Procedures, between 2 and 18 years","2,116",.,.,.,.,"1,199",.,.,.,.,.,.,"1,468",.,.,.,.,"1,594"
FZ18F,"Inguinal, Umbilical or Femoral Hernia Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,"2,335",.,.,.,.,"2,335"
FZ18G,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 6+","2,928",.,.,"1,038",.,.,.,.,.,.,.,.,.,.,.,.,.,"2,298"
FZ18H,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 3-5","3,166","2,244","2,805","1,358","3,493","2,110",.,.,.,.,"4,000",.,.,.,"5,835",.,"2,144","2,966"
FZ18J,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 1-2","2,984","1,802","3,532","1,450","1,899","1,927",.,.,.,.,"3,184",.,"1,781",.,"3,523",.,"1,849","2,526"
FZ18K,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 0","2,628","1,569","2,751","1,144","1,847","1,863",.,.,.,.,"2,763",.,.,.,"3,154",.,"1,357","1,929"
FZ19A,"Herniotomy Procedures, 2 years and over",.,.,.,.,"1,338",.,.,.,.,.,.,.,"2,278",.,.,.,"2,055","1,987"
FZ19B,"Herniotomy Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,854",.,.,.,.,"1,854"
FZ20F,"Appendicectomy Procedures, 19 years and over, with CC Score 5+",.,.,.,"5,626",.,.,.,.,.,.,.,.,.,.,.,.,.,"5,626"
FZ20H,"Appendicectomy Procedures, 19 years and over, with CC Score 1-2","3,027",.,"4,120",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,391"
FZ20J,"Appendicectomy Procedures, 19 years and over, with CC Score 0","2,375","1,930","3,997",.,"2,499","2,121",.,.,.,.,"3,322",.,.,.,"4,063",.,"2,407","2,589"
FZ20K,"Appendicectomy Procedures, 18 years and under, with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,.,"7,441",.,.,.,.,"7,441"
FZ20L,"Appendicectomy Procedures, 18 years and under, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,.,"5,064",.,.,.,.,"5,064"
FZ20M,"Appendicectomy Procedures, 18 years and under, with CC Score 0",.,"2,167",.,.,.,.,.,.,.,.,.,.,"4,922",.,.,.,.,"4,310"
FZ21B,"Major Anal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"3,225",.,.,.,.,"3,225"
FZ21C,"Major Anal Procedures, 19 years and over, with CC Score 1+","1,732","1,297","2,328",955,.,.,.,.,.,.,.,.,.,.,.,.,"1,859","1,838"
FZ21D,"Major Anal Procedures, 19 years and over, with CC Score 0","1,786","1,559","1,905","1,854","1,595","1,671",.,.,.,.,"1,319",.,"7,024",.,"2,490",.,"1,895","1,929"
FZ22B,"Intermediate Anal Procedures, 18 years and under","1,857",.,"3,791","1,832",.,.,.,.,.,.,.,.,"5,265",.,"2,719",.,.,"3,367"
FZ22C,"Intermediate Anal Procedures, 19 years and over, with CC Score 3+","1,634",.,"2,401","5,952",.,.,.,.,.,.,.,.,.,.,"3,034",.,"3,070","2,989"
FZ22D,"Intermediate Anal Procedures, 19 years and over, with CC Score 1-2","1,807","1,907","1,702","2,572","1,081","2,720",.,.,.,.,"2,358",.,.,.,.,.,"1,395","1,698"
FZ22E,"Intermediate Anal Procedures, 19 years and over, with CC Score 0","1,795","1,509","1,441","1,349","1,304","1,455",.,.,.,.,"1,581",.,835,.,"2,585",.,"1,298","1,545"
FZ23A,"Minor Anal Procedures, 19 years and over","1,475","1,277","1,649","1,193",993,"1,146",.,.,.,.,"1,805",.,.,.,"2,031",.,858,"1,365"
FZ24E,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, between 2 and 18 years",.,.,.,.,.,.,.,.,.,.,.,.,"1,307",.,.,.,.,"1,307"
FZ24F,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,"2,474",.,.,.,.,"2,474"
FZ24G,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 3+",.,994,"1,925","1,314","1,609","3,024",.,.,.,.,.,.,"1,221",.,.,.,.,"1,581"
FZ24H,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 1-2","1,810",883,"1,248",.,"1,273","1,244",.,.,.,.,616,.,"1,848",.,.,.,.,"1,538"
FZ24J,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 0","1,355","2,992","2,708","1,082","1,772","1,586",.,.,.,.,.,.,"1,492",.,.,.,.,"1,799"
FZ27D,"Intermediate Therapeutic General Abdominal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"2,250",.,.,.,.,"2,250"
FZ27E,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 3+",.,.,"8,396",.,.,.,.,.,.,.,"1,523",.,"1,963",.,.,.,"2,765","4,302"
FZ27F,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 1-2","2,941","5,441","4,883","5,886",.,.,.,.,.,.,.,.,"3,765",.,.,.,.,"4,733"
FZ27G,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 0","2,948","2,128","3,977","6,611","2,495","1,889",.,.,.,.,"3,356",.,.,.,"2,490",.,"2,106","3,095"
FZ36H,"Gastrointestinal Infections with Multiple Interventions, with CC Score 0-3","1,003",.,.,.,.,.,.,.,.,.,.,.,"2,795",.,.,.,.,"1,899"
FZ36J,"Gastrointestinal Infections with Single Intervention, with CC Score 5+",.,.,"2,722",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,803","2,263"
FZ36K,"Gastrointestinal Infections with Single Intervention, with CC Score 2-4","2,229",.,"2,429",.,.,.,.,.,.,.,.,.,"2,057",.,.,.,"2,797","2,378"
FZ36L,"Gastrointestinal Infections with Single Intervention, with CC Score 0-1","2,085",.,"5,332",.,.,.,.,.,.,.,.,.,.,.,.,.,"2,660","3,359"
FZ36M,"Gastrointestinal Infections without Interventions, with CC Score 8+",.,.,"1,614",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,614"
FZ36N,"Gastrointestinal Infections without Interventions, with CC Score 5-7",.,401,"1,400",.,.,.,.,.,"4,134",.,.,.,.,.,656,.,.,"2,207"
FZ36P,"Gastrointestinal Infections without Interventions, with CC Score 2-4",844,.,"1,450",.,878,.,.,.,.,.,.,.,.,.,.,.,"1,328","1,171"
FZ36Q,"Gastrointestinal Infections without Interventions, with CC Score 0-1",775,799,793,.,"1,501",363,515,.,.,.,.,.,367,.,.,.,"1,323",788
FZ37L,"Inflammatory Bowel Disease with Multiple Interventions, with CC Score 0-2",.,.,"6,521",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"6,521"
FZ37N,"Inflammatory Bowel Disease with Single Intervention, with CC Score 0-3","1,862","2,220","1,270","1,452","2,306","3,254",.,.,.,.,.,.,"1,763",.,"4,643",.,"2,498","2,581"
