QuarterCode,QuarterName,FinancialYear,AreaCode,AreaName,WasteManagementGroup,DataStatus,"Local authority collected municipal waste arisings (tonnes), KPI(j)",Local authority collected municipal waste preparing for reuse (tonnes),Local authority collected municipal waste dry recycling (tonnes),Local authority collected municipal waste composting (tonnes),Local authority collected municipal waste dry recycling and composting (tonnes),"Local authority collected municipal waste preparing for reuse, dry recycling and composting (tonnes)","Local authority collected municipal waste dry recycling and composting rate (%), KPI(e)","Local authority collected municipal waste preparing for reuse, dry recycling and composting rate (%), KPI(e2)",Local authority collected municipal waste energy recovery for mixed residual (tonnes),Local authority collected municipal waste energy recovery for specific streams e.g. wood (tonnes),Local authority collected municipal waste energy recovery rate (%),Local authority collected municipal waste landfilled (tonnes),"Local authority collected municipal waste landfill rate (%), KPI(f)","Biodegradable local authority collected municipal waste to landfill (tonnes), KPI(g)",NILAS financial year allocation before transfers (tonnes),NILAS financial year allocation after transfers (tonnes),Household waste arisings (tonnes),Household waste preparing for reuse (tonnes),Household waste dry recycling (tonnes),Household waste composting (tonnes),Household waste dry recycling and composting (tonnes),"Household waste preparing for reuse, dry recycling and composting (tonnes)","Household waste dry recycling and composting rate (%), KPI(a)","Household waste preparing for reuse, dry recycling and composting rate (%), KPI(a2)",Household waste landfilled (tonnes),"Household waste landfill rate (%), KPI(b)",Number of households,"Household waste arisings per household (kilogrammes per household), KPI(h)",Population,"Household waste arisings per capita (kilogrammes per capita), KPI(p)",Waste from households recycling (including preparing for reuse and composting) (tonnes),Waste from households arisings (tonnes),Waste from households recycling rate (including preparing for reuse and composting) (%)
Q1,April to June,2008/09,95KK,Cookstown,SWaMP2008,Finalised,"5,453",-,"1,247",770,"2,018",-,37.0,-,0,0,0.0,"3,435",63.0,-,-,-,"4,795",-,"1,127",770,"1,898",-,39.6,-,"2,897",60.4,-,-,"35,852",134,-,-,-
Q1,April to June,2008/09,95LL,Craigavon,SWaMP2008,Finalised,"13,910",-,"2,509","2,446","4,955",-,35.6,-,0,0,0.0,"8,955",64.4,-,-,-,"12,199",-,"2,509","2,446","4,955",-,40.6,-,"7,245",59.4,-,-,"89,621",136,-,-,-
Q1,April to June,2008/09,95MM,Derry,NWRWMG (pre April 2015),Finalised,"15,872",-,"4,552",154,"4,706",-,29.7,-,0,0,0.0,"11,166",70.3,-,-,-,"13,470",-,"4,178",154,"4,333",-,32.2,-,"9,138",67.8,-,-,"108,046",125,-,-,-
Q1,April to June,2008/09,95NN,Down,arc21 (pre April 2015),Finalised,"9,537",-,"1,739","1,290","3,029",-,31.8,-,0,0,0.0,"6,508",68.2,-,-,-,"8,183",-,"1,739","1,281","3,020",-,36.9,-,"5,163",63.1,-,-,"68,887",119,-,-,-
Q1,April to June,2008/09,95OO,Dungannon,SWaMP2008,Finalised,"8,332",-,"1,386","1,332","2,718",-,32.6,-,0,0,0.0,"5,614",67.4,-,-,-,"7,715",-,"1,386","1,332","2,718",-,35.2,-,"4,997",64.8,-,-,"55,288",140,-,-,-
Q1,April to June,2008/09,95PP,Fermanagh,SWaMP2008,Finalised,"10,125",-,"2,148",676,"2,824",-,27.9,-,0,0,0.0,"7,263",71.7,-,-,-,"7,879",-,"1,562",676,"2,238",-,28.4,-,"5,603",71.1,-,-,"60,971",129,-,-,-
Q1,April to June,2008/09,95QQ,Larne,arc21 (pre April 2015),Finalised,"5,757",-,"1,089",990,"2,080",-,36.1,-,0,0,0.0,"3,677",63.9,-,-,-,"4,641",-,"1,014",990,"2,004",-,43.2,-,"2,637",56.8,-,-,"31,924",145,-,-,-
Q1,April to June,2008/09,95RR,Limavady,NWRWMG (pre April 2015),Finalised,"4,868",-,"1,230",296,"1,526",-,31.4,-,0,0,0.0,"3,342",68.6,-,-,-,"4,835",-,"1,198",296,"1,495",-,30.9,-,"3,340",69.1,-,-,"33,363",145,-,-,-
Q1,April to June,2008/09,95SS,Lisburn,arc21 (pre April 2015),Finalised,"17,869",-,"3,090","2,692","5,782",-,32.4,-,0,0,0.0,"12,086",67.6,-,-,-,"15,867",-,"2,569","2,692","5,261",-,33.2,-,"10,641",67.1,-,-,"116,242",136,-,-,-
Q1,April to June,2008/09,95TT,Magherafelt,NWRWMG (pre April 2015),Finalised,"6,335",-,"1,322","1,150","2,472",-,39.0,-,0,0,0.0,"3,863",61.0,-,-,-,"5,581",-,"1,155","1,150","2,305",-,41.3,-,"3,276",58.7,-,-,"43,692",128,-,-,-
Q1,April to June,2008/09,95UU,Moyle,NWRWMG (pre April 2015),Finalised,"2,732",-,634,217,851,-,31.2,-,0,0,0.0,"1,880",68.8,-,-,-,"2,408",-,591,217,808,-,33.6,-,"1,600",66.4,-,-,"16,852",143,-,-,-
Q1,April to June,2008/09,95VV,Newry and Mourne,SWaMP2008,Finalised,"13,163",-,"2,437","1,603","4,040",-,30.7,-,0,0,0.0,"9,123",69.3,-,-,-,"11,278",-,"2,437","1,603","4,040",-,35.8,-,"7,237",64.2,-,-,"96,869",116,-,-,-
Q1,April to June,2008/09,95WW,Newtownabbey,arc21 (pre April 2015),Finalised,"13,088",-,"2,167","2,647","4,814",-,36.8,-,0,0,0.0,"8,275",63.2,-,-,-,"12,034",-,"2,140","2,647","4,787",-,39.8,-,"7,248",60.2,-,-,"83,406",144,-,-,-
Q1,April to June,2008/09,95XX,North Down,arc21 (pre April 2015),Finalised,"15,640",-,"2,307","2,848","5,155",-,33.0,-,0,0,0.0,"9,028",57.7,-,-,-,"12,387",-,"2,307","2,848","5,155",-,41.6,-,"7,232",58.4,-,-,"78,166",158,-,-,-
Q1,April to June,2008/09,95YY,Omagh,SWaMP2008,Finalised,"6,716",-,"1,405",938,"2,343",-,34.9,-,0,0,0.0,"4,376",65.2,-,-,-,"5,831",-,"1,403",938,"2,341",-,40.1,-,"3,492",59.9,-,-,"50,523",115,-,-,-
Q1,April to June,2008/09,95ZZ,Strabane,NWRWMG (pre April 2015),Finalised,"5,754",-,"1,083",319,"1,402",-,24.4,-,0,0,0.0,"4,352",75.6,-,-,-,"4,976",-,"1,057",319,"1,376",-,27.7,-,"3,600",72.4,-,-,"39,450",126,-,-,-
Q1,April to June,2008/09,NI,Northern Ireland,-,Finalised,"273,374",-,"52,474","37,932","90,406",-,33.1,-,0,0,0.0,"181,125",66.3,-,-,-,"237,278",-,"48,171","37,857","86,029",-,36.3,-,"151,207",63.7,-,-,"1,779,152",133,-,-,-
Q2,July to September,2008/09,95AA,Antrim,arc21 (pre April 2015),Finalised,"10,297",-,"2,856","2,736","5,592",-,54.3,-,0,0,0.0,"4,705",45.7,-,-,-,"8,923",-,"1,973","2,736","4,709",-,52.8,-,"4,215",47.2,-,-,"52,716",169,-,-,-
Q2,July to September,2008/09,95BB,Ards,arc21 (pre April 2015),Finalised,"12,618",-,"1,979","2,663","4,642",-,36.8,-,0,0,0.0,"7,976",63.2,-,-,-,"11,477",-,"1,856","2,663","4,519",-,39.4,-,"6,958",60.6,-,-,"77,179",149,-,-,-
Q2,July to September,2008/09,95CC,Armagh,SWaMP2008,Finalised,"7,736",-,"1,828","1,345","3,173",-,41.0,-,0,0,0.0,"4,563",59.0,-,-,-,"6,810",-,"1,392","1,342","2,734",-,40.1,-,"4,076",59.8,-,-,"58,124",117,-,-,-
Q2,July to September,2008/09,95DD,Ballymena,arc21 (pre April 2015),Finalised,"10,158",-,"2,073","2,825","4,897",-,48.2,-,0,0,0.0,"5,259",51.8,-,-,-,"9,382",-,"1,847","2,825","4,671",-,49.8,-,"4,709",50.2,-,-,"62,900",149,-,-,-
Q2,July to September,2008/09,95EE,Ballymoney,NWRWMG (pre April 2015),Finalised,"4,045",-,667,688,"1,355",-,33.5,-,0,0,0.0,"2,690",66.5,-,-,-,"3,726",-,662,688,"1,350",-,36.2,-,"2,377",63.8,-,-,"30,399",123,-,-,-
Q2,July to September,2008/09,95FF,Banbridge,SWaMP2008,Finalised,"7,642",-,"1,504","2,523","4,027",-,52.7,-,0,0,0.0,"3,614",47.3,-,-,-,"7,128",-,"1,194","2,523","3,717",-,52.1,-,"3,410",47.8,-,-,"46,884",152,-,-,-
Q2,July to September,2008/09,95GG,Belfast (pre April 2015),arc21 (pre April 2015),Finalised,"41,198",-,"6,175","3,904","10,079",-,24.5,-,0,0,0.0,"31,119",75.5,-,-,-,"34,509",-,"6,065","3,904","9,969",-,28.9,-,"24,542",71.1,-,-,"277,681",124,-,-,-
Q2,July to September,2008/09,95HH,Carrickfergus,arc21 (pre April 2015),Finalised,"6,070",-,922,"1,201","2,123",-,35.0,-,0,0,0.0,"3,948",65.0,-,-,-,"5,399",-,922,"1,201","2,123",-,39.3,-,"3,277",60.7,-,-,"39,345",137,-,-,-
Q2,July to September,2008/09,95II,Castlereagh,arc21 (pre April 2015),Finalised,"8,777",-,"1,667","1,918","3,585",-,40.8,-,0,0,0.0,"5,068",57.7,-,-,-,"8,321",-,"1,618","1,918","3,536",-,42.5,-,"4,785",57.5,-,-,"66,382",125,-,-,-
Q2,July to September,2008/09,95JJ,Coleraine,NWRWMG (pre April 2015),Finalised,"11,069",-,"2,497","1,749","4,246",-,38.4,-,0,0,0.0,"6,678",60.3,-,-,-,"9,622",-,"2,341","1,749","4,090",-,42.5,-,"5,532",57.5,-,-,"58,390",165,-,-,-
Q2,July to September,2008/09,95KK,Cookstown,SWaMP2008,Finalised,"5,185",-,"1,228",809,"2,036",-,39.3,-,0,0,0.0,"3,149",60.7,-,-,-,"4,477",-,"1,040",809,"1,848",-,41.3,-,"2,628",58.7,-,-,"35,852",125,-,-,-
Q2,July to September,2008/09,95LL,Craigavon,SWaMP2008,Finalised,"13,779",-,"2,149","2,603","4,752",-,34.5,-,0,0,0.0,"9,027",65.5,-,-,-,"11,925",-,"2,149","2,603","4,752",-,39.8,-,"7,173",60.2,-,-,"89,621",133,-,-,-
Q2,July to September,2008/09,95MM,Derry,NWRWMG (pre April 2015),Finalised,"15,072",-,"4,647",309,"4,955",-,32.9,-,0,0,0.0,"10,117",67.1,-,-,-,"12,669",-,"4,216",309,"4,525",-,35.7,-,"8,145",64.3,-,-,"108,046",117,-,-,-
Q2,July to September,2008/09,95NN,Down,arc21 (pre April 2015),Finalised,"11,958",-,"1,659","1,448","3,107",-,26.0,-,0,0,0.0,"11,788",98.6,-,-,-,"8,673",-,"1,659","1,435","3,094",-,35.7,-,"7,420",85.6,-,-,"68,887",126,-,-,-
Q2,July to September,2008/09,95OO,Dungannon,SWaMP2008,Finalised,"8,088",-,"1,480","1,186","2,667",-,33.0,-,0,0,0.0,"5,421",67.0,-,-,-,"7,535",-,"1,480","1,186","2,666",-,35.4,-,"4,868",64.6,-,-,"55,288",136,-,-,-
Q2,July to September,2008/09,95PP,Fermanagh,SWaMP2008,Finalised,"9,662",-,"1,965",763,"2,728",-,28.2,-,0,0,0.0,"6,895",71.4,-,-,-,"7,664",-,"1,463",763,"2,226",-,29.0,-,"5,399",70.4,-,-,"60,971",126,-,-,-
Q2,July to September,2008/09,95QQ,Larne,arc21 (pre April 2015),Finalised,"5,840",-,"1,121","1,194","2,314",-,39.6,-,0,0,0.0,"3,657",62.6,-,-,-,"4,739",-,"1,024","1,194","2,218",-,46.8,-,"2,615",55.2,-,-,"31,924",148,-,-,-
Q2,July to September,2008/09,95RR,Limavady,NWRWMG (pre April 2015),Finalised,"4,826",-,"1,288",674,"1,962",-,40.6,-,0,0,0.0,"2,833",58.7,-,-,-,"4,790",-,"1,254",674,"1,928",-,40.2,-,"2,831",59.1,-,-,"33,363",144,-,-,-
Q2,July to September,2008/09,95SS,Lisburn,arc21 (pre April 2015),Finalised,"16,875",-,"3,481","3,195","6,676",-,39.6,-,0,0,0.0,"10,175",60.3,-,-,-,"14,989",-,"2,776","3,195","5,971",-,39.8,-,"9,028",60.2,-,-,"116,242",129,-,-,-
Q2,July to September,2008/09,95TT,Magherafelt,NWRWMG (pre April 2015),Finalised,"6,379",-,"1,298","1,273","2,571",-,40.3,-,0,0,0.0,"3,809",59.7,-,-,-,"5,692",-,"1,101","1,273","2,375",-,41.7,-,"3,317",58.3,-,-,"43,692",130,-,-,-
Q2,July to September,2008/09,95UU,Moyle,NWRWMG (pre April 2015),Finalised,"2,764",-,598,297,895,-,32.4,-,0,0,0.0,"1,874",67.8,-,-,-,"2,404",-,558,297,855,-,35.6,-,"1,552",64.6,-,-,"16,852",143,-,-,-
Q2,July to September,2008/09,95VV,Newry and Mourne,SWaMP2008,Finalised,"13,443",-,"2,300","1,694","3,994",-,29.7,-,0,0,0.0,"9,449",70.3,-,-,-,"11,546",-,"2,300","1,694","3,994",-,34.6,-,"7,551",65.4,-,-,"96,869",119,-,-,-
Q2,July to September,2008/09,95WW,Newtownabbey,arc21 (pre April 2015),Finalised,"13,795",-,"2,329","2,882","5,210",-,37.8,-,0,0,0.0,"8,584",62.2,-,-,-,"13,130",-,"2,306","2,882","5,188",-,39.5,-,"7,942",60.5,-,-,"83,406",157,-,-,-
Q2,July to September,2008/09,95XX,North Down,arc21 (pre April 2015),Finalised,"12,932",-,"2,035","2,868","4,903",-,37.9,-,0,0,0.0,"7,385",57.1,-,-,-,"10,522",-,"2,035","2,868","4,903",-,46.6,-,"5,617",53.4,-,-,"78,166",135,-,-,-
Q2,July to September,2008/09,95YY,Omagh,SWaMP2008,Finalised,"6,663",-,"1,479","1,028","2,507",-,37.6,-,0,0,0.0,"4,157",62.4,-,-,-,"6,033",-,"1,479","1,028","2,507",-,41.6,-,"3,527",58.5,-,-,"50,523",119,-,-,-
Q2,July to September,2008/09,95ZZ,Strabane,NWRWMG (pre April 2015),Finalised,"5,296",-,934,352,"1,287",-,24.3,-,0,0,0.0,"4,009",75.7,-,-,-,"4,595",-,919,352,"1,271",-,27.7,-,"3,324",72.3,-,-,"39,450",116,-,-,-
Q2,July to September,2008/09,NI,Northern Ireland,-,Finalised,"272,169",-,"52,158","44,125","96,283",-,35.4,-,0,0,0.0,"177,949",65.4,-,-,-,"236,680",-,"47,628","44,109","91,737",-,38.8,-,"146,818",62.0,-,-,"1,779,152",133,-,-,-
Q3,October to December,2008/09,95AA,Antrim,arc21 (pre April 2015),Finalised,"8,277",-,"2,128","1,455","3,583",-,43.3,-,0,0,0.0,"4,694",56.7,-,-,-,"7,195",-,"1,604","1,455","3,059",-,42.5,-,"4,136",57.5,-,-,"52,716",136,-,-,-
Q3,October to December,2008/09,95BB,Ards,arc21 (pre April 2015),Finalised,"10,626",-,"1,780","1,289","3,069",-,28.9,-,0,0,0.0,"7,557",71.1,-,-,-,"9,467",-,"1,687","1,289","2,976",-,31.4,-,"6,492",68.6,-,-,"77,179",123,-,-,-
Q3,October to December,2008/09,95CC,Armagh,SWaMP2008,Finalised,"6,796",-,"1,715",492,"2,207",-,32.5,-,0,0,0.0,"4,589",67.5,-,-,-,"5,997",-,"1,423",490,"1,913",-,31.9,-,"4,084",68.1,-,-,"58,124",103,-,-,-
Q3,October to December,2008/09,95DD,Ballymena,arc21 (pre April 2015),Finalised,"8,215",-,"1,803",552,"2,356",-,28.7,-,0,0,0.0,"5,859",71.3,-,-,-,"7,462",-,"1,618",552,"2,170",-,29.1,-,"5,291",70.9,-,-,"62,900",119,-,-,-
Q3,October to December,2008/09,95EE,Ballymoney,NWRWMG (pre April 2015),Finalised,"3,577",-,679,353,"1,032",-,28.8,-,0,0,0.0,"2,545",71.2,-,-,-,"3,216",-,663,353,"1,016",-,31.6,-,"2,200",68.4,-,-,"30,399",106,-,-,-
Q3,October to December,2008/09,95FF,Banbridge,SWaMP2008,Finalised,"6,472",-,"1,487","1,454","2,941",-,45.4,-,0,0,0.0,"3,531",54.6,-,-,-,"5,911",-,"1,156","1,421","2,577",-,43.6,-,"3,335",56.4,-,-,"46,884",126,-,-,-
Q3,October to December,2008/09,95GG,Belfast (pre April 2015),arc21 (pre April 2015),Finalised,"40,317",-,"5,931","1,648","7,579",-,18.8,-,0,0,0.0,"32,738",81.2,-,-,-,"32,292",-,"5,806","1,618","7,424",-,23.0,-,"24,868",77.0,-,-,"277,681",116,-,-,-
Q3,October to December,2008/09,95HH,Carrickfergus,arc21 (pre April 2015),Finalised,"5,181",-,882,321,"1,202",-,23.2,-,0,0,0.0,"3,979",76.8,-,-,-,"4,518",-,882,321,"1,202",-,26.6,-,"3,316",73.4,-,-,"39,345",115,-,-,-
Q3,October to December,2008/09,95II,Castlereagh,arc21 (pre April 2015),Finalised,"7,383",-,"1,554",818,"2,373",-,32.1,-,0,0,0.0,"4,900",66.4,-,-,-,"6,986",-,"1,554",818,"2,372",-,34.0,-,"4,614",66.0,-,-,"66,382",105,-,-,-
Q3,October to December,2008/09,95JJ,Coleraine,NWRWMG (pre April 2015),Finalised,"8,966",-,"2,212",747,"2,959",-,33.0,-,0,0,0.0,"5,872",65.5,-,-,-,"7,859",-,"2,110",747,"2,857",-,36.3,-,"5,002",63.7,-,-,"58,390",135,-,-,-
Q3,October to December,2008/09,95KK,Cookstown,SWaMP2008,Finalised,"4,925",-,"1,132",777,"1,909",-,38.8,-,0,0,0.0,"3,016",61.2,-,-,-,"4,352",-,928,777,"1,705",-,39.2,-,"2,647",60.8,-,-,"35,852",121,-,-,-
Q3,October to December,2008/09,95LL,Craigavon,SWaMP2008,Finalised,"11,206",-,"2,068",730,"2,798",-,25.0,-,0,0,0.0,"8,390",74.9,-,-,-,"9,819",-,"2,068",730,"2,798",-,28.5,-,"7,006",71.3,-,-,"89,621",110,-,-,-
Q3,October to December,2008/09,95MM,Derry,NWRWMG (pre April 2015),Finalised,"14,424",-,"4,122",83,"4,206",-,29.2,-,0,0,0.0,"10,219",70.8,-,-,-,"11,743",-,"3,719",83,"3,802",-,32.4,-,"7,941",67.6,-,-,"108,046",109,-,-,-
Q3,October to December,2008/09,95NN,Down,arc21 (pre April 2015),Finalised,"8,601",-,"1,525",631,"2,156",-,25.1,-,0,0,0.0,"6,445",74.9,-,-,-,"7,518",-,"1,525",621,"2,147",-,28.6,-,"5,371",71.4,-,-,"68,887",109,-,-,-
Q3,October to December,2008/09,95OO,Dungannon,SWaMP2008,Finalised,"7,593",-,"1,501",774,"2,275",-,30.0,-,0,0,0.0,"5,318",70.0,-,-,-,"7,008",-,"1,501",774,"2,275",-,32.5,-,"4,732",67.5,-,-,"55,288",127,-,-,-
Q3,October to December,2008/09,95PP,Fermanagh,SWaMP2008,Finalised,"9,010",-,"1,668",527,"2,196",-,24.4,-,0,0,0.0,"6,784",75.3,-,-,-,"7,253",-,"1,235",527,"1,762",-,24.3,-,"5,461",75.3,-,-,"60,971",119,-,-,-
Q3,October to December,2008/09,95QQ,Larne,arc21 (pre April 2015),Finalised,"4,539",-,983,432,"1,415",-,31.2,-,0,0,0.0,"3,125",68.8,-,-,-,"3,758",-,893,432,"1,325",-,35.3,-,"2,433",64.7,-,-,"31,924",118,-,-,-
Q3,October to December,2008/09,95RR,Limavady,NWRWMG (pre April 2015),Finalised,"4,101",-,"1,118",177,"1,296",-,31.6,-,0,0,0.0,"2,772",67.6,-,-,-,"4,066",-,"1,084",177,"1,262",-,31.0,-,"2,771",68.2,-,-,"33,363",122,-,-,-
Q3,October to December,2008/09,95SS,Lisburn,arc21 (pre April 2015),Finalised,"14,042",-,"2,878","1,270","4,149",-,29.5,-,0,0,0.0,"9,889",70.4,-,-,-,"12,491",-,"2,537","1,270","3,807",-,30.5,-,"8,688",69.6,-,-,"116,242",107,-,-,-
Q3,October to December,2008/09,95TT,Magherafelt,NWRWMG (pre April 2015),Finalised,"5,908",-,"1,474",985,"2,459",-,41.6,-,0,0,0.0,"3,449",58.4,-,-,-,"5,169",-,"1,271",985,"2,256",-,43.6,-,"2,913",56.4,-,-,"43,692",118,-,-,-
Q3,October to December,2008/09,95UU,Moyle,NWRWMG (pre April 2015),Finalised,"2,269",-,406,132,538,-,23.7,-,0,0,0.0,"1,609",70.9,-,-,-,"1,989",-,389,132,521,-,26.2,-,"1,365",68.6,-,-,"16,852",118,-,-,-
Q3,October to December,2008/09,95VV,Newry and Mourne,SWaMP2008,Finalised,"12,247",-,"2,356",771,"3,127",-,25.5,-,0,0,0.0,"9,120",74.5,-,-,-,"10,384",-,"2,356",771,"3,127",-,30.1,-,"7,258",69.9,-,-,"96,869",107,-,-,-
Q3,October to December,2008/09,95WW,Newtownabbey,arc21 (pre April 2015),Finalised,"11,233",-,"2,025","1,159","3,184",-,28.3,-,0,0,0.0,"8,049",71.7,-,-,-,"10,513",-,"1,994","1,114","3,108",-,29.6,-,"7,405",70.4,-,-,"83,406",126,-,-,-
Q3,October to December,2008/09,95XX,North Down,arc21 (pre April 2015),Finalised,"11,152",-,"2,108","1,203","3,310",-,29.7,-,0,0,0.0,"7,454",66.8,-,-,-,"9,040",-,"2,108","1,203","3,310",-,36.6,-,"5,729",63.4,-,-,"78,166",116,-,-,-
Q3,October to December,2008/09,95YY,Omagh,SWaMP2008,Finalised,"6,290",-,"1,375",674,"2,049",-,32.6,-,0,0,0.0,"4,177",66.4,-,-,-,"5,651",-,"1,321",674,"1,995",-,35.3,-,"3,601",63.7,-,-,"50,523",112,-,-,-
Q3,October to December,2008/09,95ZZ,Strabane,NWRWMG (pre April 2015),Finalised,"5,137",-,907,163,"1,070",-,20.8,-,0,0,0.0,"4,067",79.2,-,-,-,"4,575",-,907,163,"1,070",-,23.4,-,"3,505",76.6,-,-,"39,450",116,-,-,-
Q3,October to December,2008/09,NI,Northern Ireland,-,Finalised,"238,487",-,"47,820","19,617","67,437",-,28.3,-,0,0,0.0,"170,146",71.3,-,-,-,"206,231",-,"44,338","19,498","63,836",-,31.0,-,"142,163",68.9,-,-,"1,779,152",116,-,-,-
Q4,January to March,2008/09,95AA,Antrim,arc21 (pre April 2015),Finalised,"8,321",-,"2,238","1,400","3,638",-,43.7,-,0,0,0.0,"4,683",56.3,-,-,-,"7,319",-,"1,747","1,400","3,146",-,43.0,-,"4,172",57.0,"19,403",377,"52,716",139,-,-,-
Q4,January to March,2008/09,95BB,Ards,arc21 (pre April 2015),Finalised,"10,457",-,"1,971",939,"2,910",-,27.8,-,0,0,0.0,"7,547",72.2,-,-,-,"9,384",-,"1,869",939,"2,808",-,29.9,-,"6,576",70.1,"31,069",302,"77,179",122,-,-,-
Q4,January to March,2008/09,95CC,Armagh,SWaMP2008,Finalised,"6,891",-,"1,725",619,"2,344",-,34.0,-,0,0,0.0,"4,547",66.0,-,-,-,"6,040",-,"1,411",614,"2,025",-,33.5,-,"4,015",66.5,"21,038",287,"58,124",104,-,-,-
Q4,January to March,2008/09,95DD,Ballymena,arc21 (pre April 2015),Finalised,"7,766",-,"1,682",558,"2,240",-,28.8,-,0,0,0.0,"5,526",71.2,-,-,-,"7,061",-,"1,501",558,"2,059",-,29.2,-,"5,002",70.8,"24,564",287,"62,900",112,-,-,-
Q4,January to March,2008/09,95EE,Ballymoney,NWRWMG (pre April 2015),Finalised,"3,353",-,708,158,866,-,25.8,-,0,0,0.0,"2,487",74.2,-,-,-,"3,063",-,697,158,855,-,27.9,-,"2,208",72.1,"11,307",271,"30,399",101,-,-,-
Q4,January to March,2008/09,95FF,Banbridge,SWaMP2008,Finalised,"6,537",-,"1,494","1,609","3,103",-,47.5,-,0,0,0.0,"3,434",52.5,-,-,-,"5,964",-,"1,174","1,553","2,727",-,45.7,-,"3,237",54.3,"17,944",332,"46,884",127,-,-,-
Q4,January to March,2008/09,95GG,Belfast (pre April 2015),arc21 (pre April 2015),Finalised,"34,982",-,"6,135","1,053","7,188",-,20.5,-,0,0,0.0,"27,794",79.5,-,-,-,"28,924",-,"6,020","1,035","7,055",-,24.4,-,"21,868",75.6,"119,869",241,"277,681",104,-,-,-
Q4,January to March,2008/09,95HH,Carrickfergus,arc21 (pre April 2015),Finalised,"5,381",-,858,342,"1,200",-,22.3,-,0,0,0.0,"4,181",77.7,-,-,-,"4,248",-,858,342,"1,200",-,28.2,-,"3,048",71.8,"16,052",265,"39,345",108,-,-,-
Q4,January to March,2008/09,95II,Castlereagh,arc21 (pre April 2015),Finalised,"7,086",-,"1,577",571,"2,148",-,30.3,-,0,0,0.0,"4,830",68.2,-,-,-,"6,777",-,"1,576",571,"2,147",-,31.7,-,"4,629",68.3,"27,455",247,"66,382",102,-,-,-
Q4,January to March,2008/09,95JJ,Coleraine,NWRWMG (pre April 2015),Finalised,"8,874",-,"2,133",587,"2,720",-,30.7,-,0,0,0.0,"5,910",66.6,-,-,-,"7,600",-,"2,047",587,"2,634",-,34.7,-,"4,966",65.3,"23,990",317,"58,390",130,-,-,-
Q4,January to March,2008/09,95KK,Cookstown,SWaMP2008,Finalised,"4,900",-,"1,217",533,"1,750",-,35.7,-,0,0,0.0,"3,149",64.3,-,-,-,"4,339",-,"1,014",533,"1,548",-,35.7,-,"2,792",64.3,"12,852",338,"35,852",121,-,-,-
Q4,January to March,2008/09,95LL,Craigavon,SWaMP2008,Finalised,"12,006",-,"2,316",869,"3,185",-,26.5,-,0,0,0.0,"8,821",73.5,-,-,-,"10,358",-,"2,316",869,"3,185",-,30.8,-,"7,173",69.2,"35,390",293,"89,621",116,-,-,-
Q4,January to March,2008/09,95MM,Derry,NWRWMG (pre April 2015),Finalised,"13,998",-,"3,627",92,"3,719",-,26.6,-,0,0,0.0,"10,280",73.4,-,-,-,"11,444",-,"3,332",92,"3,424",-,29.9,-,"8,020",70.1,"40,746",281,"108,046",106,-,-,-
Q4,January to March,2008/09,95NN,Down,arc21 (pre April 2015),Finalised,"8,244",-,"1,582",486,"2,068",-,25.1,-,0,0,0.0,"6,986",84.7,-,-,-,"7,247",-,"1,582",475,"2,057",-,28.4,-,"5,870",81.0,"25,635",283,"68,887",105,-,-,-
Q4,January to March,2008/09,95OO,Dungannon,SWaMP2008,Finalised,"7,327",-,"1,422",601,"2,022",-,27.6,-,0,0,0.0,"5,304",72.4,-,-,-,"6,790",-,"1,422",601,"2,022",-,29.8,-,"4,768",70.2,"20,214",336,"55,288",123,-,-,-
Q4,January to March,2008/09,95PP,Fermanagh,SWaMP2008,Finalised,"9,052",-,"2,148",330,"2,479",-,27.4,-,0,0,0.0,"6,542",72.3,-,-,-,"6,961",-,"1,396",330,"1,726",-,24.8,-,"5,203",74.7,"23,791",293,"60,971",114,-,-,-
Q4,January to March,2008/09,95QQ,Larne,arc21 (pre April 2015),Finalised,"4,602",-,"1,054",341,"1,395",-,30.3,-,0,0,0.0,"3,207",69.7,-,-,-,"3,795",-,970,341,"1,311",-,34.5,-,"2,484",65.5,"13,114",289,"31,924",119,-,-,-
Q4,January to March,2008/09,95RR,Limavady,NWRWMG (pre April 2015),Finalised,"4,156",-,"1,104",131,"1,235",-,29.7,-,0,0,0.0,"2,874",69.2,-,-,-,"4,117",-,"1,066",131,"1,197",-,29.1,-,"2,873",69.8,"12,127",340,"33,363",123,-,-,-
Q4,January to March,2008/09,95SS,Lisburn,arc21 (pre April 2015),Finalised,"14,063",-,"3,056",803,"3,859",-,27.4,-,0,0,0.0,"10,204",72.6,-,-,-,"12,506",-,"2,666",803,"3,469",-,27.7,-,"9,037",72.3,"44,177",283,"116,242",108,-,-,-
Q4,January to March,2008/09,95TT,Magherafelt,NWRWMG (pre April 2015),Finalised,"5,637",-,"1,494",785,"2,278",-,40.4,-,0,0,0.0,"3,359",59.6,-,-,-,"4,919",-,"1,279",785,"2,063",-,41.9,-,"2,856",58.1,"14,962",329,"43,692",113,-,-,-
Q4,January to March,2008/09,95UU,Moyle,NWRWMG (pre April 2015),Finalised,"2,258",-,459,75,534,-,23.7,-,0,0,0.0,"1,613",71.4,-,-,-,"1,985",-,442,75,517,-,26.1,-,"1,373",69.2,"6,725",295,"16,852",118,-,-,-
