Area,Authority,ward,Type,Electoral system,Island,Region,Area type,TA Type,City Size,Progress results issued,Progress results time,Preliminary results announced,Voting papers order,Other elections were:,Poles were:,Number of documents sent,Number of documents returned unopened,Number of documents returned late,Contested wards,"Positions 
(N)","Elected unopposed 
(N)","Candidates 
(N)",Candidates per position,Electors per electable position,Voters per electable contested position,"Candidates Council sitting members 
(N)","Candidates Council sitting members 
(%)","Also candidates for Council
(N)",Sitting Mayor,Mayor/ Council members re-elected (N),"Mayor/ Council members re-elected
(%)",Council members re-elected or Mayor (N),"Council members re-elected or Mayor
(%)","Candidates (community) board members 
(N)","Candidates (community) board members 
(%)","(Community) board members elected 
(N)","(Community) board members elected 
(%)","Residential electors 
(N)","Ratepayer electors 
(N)","Ratepayer electors 
(%)","Total electors 
(N)",Population resident 2013,Electors as % of total population,Residential electors (contested wards only),Ratepayer electors (contested wards only),Total electors (Contested wards only),"Residential voters 
(N)","Residential turnout 
(%)","Ratepayer voters 
(N)","Ratepayer turnout 
(%)","Total voters 
(N)",Overall turnout (%),"Residential special votes cast 
(N)","Residential special votes cast 
(%)","Ratepayer special votes cast 
(N)","Ratepayer special votes cast 
(%)","Total special votes cast 
(N)","Total special votes cast 
(%)","Residential special votes allowed 
(N)","Residential special votes allowed 
(%)","Ratepayer special votes allowed 
(N)","Ratepayer special votes allowed 
(%)","Total special votes allowed 
(N)","Total special votes allowed 
(%)","Informal votes
(N)","Informal votes
(%)","Blank votes 
(N)","Blank votes 
(%)","Blank and informal votes 
(N)","Blank and informal votes 
(%)","Women candidates
(N)","Women candidates
(%)","Women elected
(N)","Women elected
(%)",Unfilled positions
DUNEDIN CITY,WAIKOUAITI COAST COMMUNITY BOARD,AT LARGE,CB,STV,s,Otago,Metro,City,l,,,,,,,,,,Unopposed,6,6,6,1,452,,,,,,,,,,4,66.70%,4,66.70%,"2,690",22,0.81%,"2,712","3,530",76.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,33.30%,2,33.30%,
DUNEDIN CITY,DUNEDIN CITY COUNCIL,CENTRAL,CC,STV,s,Otago,Metro,City,l,,,,,,,,,,Contested,11,,35,3.18,"6,136","2,578",8,22.90%,,,5,45.50%,5,,2,5.70%,1,9.10%,"67,411",83,0.12%,"67,494","94,959",71.10%,"67,411",83,"67,494","28,282",42.00%,73,88.00%,"28,355",42.00%,444,1.60%,12,16.40%,456,1.60%,369,83.10%,11,91.70%,380,83.30%,596,2.10%,257,0.90%,853,3.00%,9,25.70%,2,18.20%,
DUNEDIN CITY,DUNEDIN CITY COUNCIL,MOSGIEL-TAIERI,CC,STV,s,Otago,Metro,City,l,,,,,,,,,,Contested,2,,3,1.5,"6,483","3,172",1,33.30%,,,1,50.00%,1,,2,66.70%,1,50.00%,"12,955",11,0.08%,"12,966","16,503",78.60%,"12,955",11,"12,966","6,333",48.90%,10,90.90%,"6,343",48.90%,28,0.40%,0,0.00%,28,0.40%,24,85.70%,,,24,85.70%,80,1.30%,157,2.50%,237,3.70%,1,33.30%,1,50.00%,
DUNEDIN CITY,DUNEDIN CITY COUNCIL,WAIKOUAITI COAST-CHALMERS,CC,STV,s,Otago,Metro,City,l,Y,4.30 pm,12th October 10.25 pm,Random,N/A,N/A,"87,283","1,069",99,Unopposed,1,1,1,1,"6,800",,1,100.00%,,,1,100.00%,1,,1,100.00%,0,0.00%,"6,779",21,0.31%,"6,800","8,784",77.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,
DUNEDIN CITY,DUNEDIN CITY COUNCIL,AT LARGE,MAYOR,STV,s,Otago,Metro,City,l,,,,,,,,,,Contested,1,,9,9,"87,260","37,945",1,11.10%,8,Re-elected,1,100.00%,1,,,,,,"87,145",115,0.13%,"87,260","120,246",72.60%,"87,145",115,"87,260","37,845",43.40%,100,87.00%,"37,945",43.50%,534,1.40%,13,13.00%,547,1.40%,444,83.10%,12,92.30%,456,83.40%,89,0.20%,638,1.70%,727,1.90%,1,11.10%,0,,
FAR NORTH DISTRICT,BAY OF ISLANDS-WHANGAROA COMMUNITY BOARD,KAWAKAWA-MOEREWA,CB,FPP,n,Northland,Provincial,District,,,,,,,,,,,Contested,1,,3,3,"2,112",963,,,,,,,,,1,33.30%,0,0.00%,"2,111",1,0.05%,"2,112",,,"2,111",1,"2,112",962,45.60%,1,100.00%,963,45.60%,20,2.10%,1,100.00%,21,2.20%,10,50.00%,0,0.00%,10,47.60%,4,0.40%,40,4.20%,44,4.60%,2,66.70%,1,100.00%,
FAR NORTH DISTRICT,BAY OF ISLANDS-WHANGAROA COMMUNITY BOARD,KERIKERI,CB,FPP,n,Northland,Provincial,District,,,,,,,,,,,Contested,3,,6,2,"2,648","1,370",,,,,,,,,3,50.00%,2,66.70%,"7,925",19,0.24%,"7,944",,,"7,925",19,"7,944","4,092",51.60%,17,89.50%,"4,109",51.70%,50,1.20%,1,5.90%,51,1.20%,40,80.00%,1,100.00%,41,80.40%,8,0.20%,353,8.60%,361,8.80%,2,33.30%,1,33.30%,
FAR NORTH DISTRICT,BAY OF ISLANDS-WHANGAROA COMMUNITY BOARD,PAIHIA,CB,FPP,n,Northland,Provincial,District,,,,,,,,,,,Contested,1,,2,2,"2,541","1,348",,,,,,,,,1,50.00%,1,100.00%,"2,528",13,0.51%,"2,541",,,"2,528",13,"2,541","1,335",52.80%,13,100.00%,"1,348",53.00%,6,0.40%,1,7.70%,7,0.50%,4,66.70%,1,100.00%,5,71.40%,4,0.30%,168,12.50%,172,12.80%,1,50.00%,1,100.00%,
FAR NORTH DISTRICT,BAY OF ISLANDS-WHANGAROA COMMUNITY BOARD,RUSSELL-OPUA,CB,FPP,n,Northland,Provincial,District,,,,,,,,,,,Contested,1,,3,3,"2,546","1,404",,,,,,,,,1,33.30%,1,100.00%,"2,490",56,2.20%,"2,546",,,"2,490",56,"2,546","1,360",54.60%,44,78.60%,"1,404",55.10%,22,1.60%,3,6.80%,25,1.80%,16,72.70%,,,16,64.00%,1,0.10%,121,8.60%,122,8.70%,0,,0,,
FAR NORTH DISTRICT,BAY OF ISLANDS-WHANGAROA COMMUNITY BOARD,WHANGAROA,CB,FPP,n,Northland,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1,"2,496",,,,,,,,,,1,100.00%,1,100.00%,"2,472",24,0.96%,"2,496",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,
FAR NORTH DISTRICT,KAIKOHE-HOKIANGA COMMUNITY BOARD,KAIKOHE,CB,FPP,n,Northland,Provincial,District,,,,,,,,,,,Contested,3,,5,1.67,"1,374",627,,,,,,,,,2,40.00%,2,66.70%,"4,116",5,0.12%,"4,121",,,"4,116",5,"4,121","1,876",45.60%,4,80.00%,"1,880",45.60%,26,1.40%,2,50.00%,28,1.50%,16,61.50%,,,16,57.10%,,,80,4.30%,80,4.30%,0,,,,
FAR NORTH DISTRICT,KAIKOHE-HOKIANGA COMMUNITY BOARD,NORTH HOKIANGA,CB,FPP,n,Northland,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1,"1,239",,,,,,,,,,,,,,"1,231",8,0.65%,"1,239",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,
FAR NORTH DISTRICT,KAIKOHE-HOKIANGA COMMUNITY BOARD,SOUTH HOKIANGA,CB,FPP,n,Northland,Provincial,District,,,,,,,,,,,Unopposed,2,2,2,1,"1,306",,,,,,,,,,,,,,"2,592",20,0.77%,"2,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
FAR NORTH DISTRICT,TE HIKU COMMUNITY BOARD,DOUBTLESS BAY,CB,FPP,n,Northland,Provincial,District,,,,,,,,,,,Contested,1,,2,2,"2,071","1,088",,,,,,,,,1,50.00%,,,"2,038",33,1.59%,"2,071",,,"2,038",33,"2,071","1,062",52.10%,26,78.80%,"1,088",52.50%,10,0.90%,1,3.80%,11,1.00%,7,70.00%,1,100.00%,8,72.70%,,,92,8.50%,92,8.50%,1,50.00%,0,0.00%,
FAR NORTH DISTRICT,TE HIKU COMMUNITY BOARD,KAITAIA,CB,FPP,n,Northland,Provincial,District,,,,,,,,,,,Contested,3,,8,2.67,"2,011",869,,,,,,,,,2,25.00%,1,33.30%,"6,023",11,0.18%,"6,034",,,"6,023",11,"6,034","2,595",43.10%,11,100.00%,"2,606",43.20%,45,1.70%,1,9.10%,46,1.80%,31,68.90%,,,31,67.40%,,,111,4.30%,111,4.30%,4,50.00%,1,33.30%,
FAR NORTH DISTRICT,TE HIKU COMMUNITY BOARD,NORTH CAPE,CB,FPP,n,Northland,Provincial,District,,,,,,,,,,,Contested,1,,2,2,"1,821",937,,,,,,,,,1,50.00%,,,"1,814",7,0.38%,"1,821",,,"1,814",7,"1,821",929,51.20%,8,114.30%,937,51.50%,9,1.00%,1,12.50%,10,1.10%,6,66.70%,1,100.00%,7,70.00%,,,76,8.10%,76,8.10%,0,,,,
FAR NORTH DISTRICT,TE HIKU COMMUNITY BOARD,WHATUWHIWHI,CB,FPP,n,Northland,Provincial,District,,,,,,,,,,,Contested,1,,2,2,"1,913",934,,,,,,,,,1,50.00%,1,100.00%,"1,888",25,1.31%,"1,913",,,"1,888",25,"1,913",913,48.40%,21,84.00%,934,48.80%,11,1.20%,3,14.30%,14,1.50%,8,72.70%,1,33.30%,9,64.30%,,,82,8.80%,82,8.80%,1,50.00%,0,,
FAR NORTH DISTRICT,FAR NORTH DISTRICT COUNCIL,BAY OF ISLANDS-WHANGAROA,DC,FPP,n,Northland,Provincial,District,,,,,,,,,,,Contested,4,,14,3.5,"4,409","2,241",3,21.40%,,,3,75.00%,3,,1,7.10%,,,"17,526",110,0.62%,"17,636","25,287",69.70%,"17,526",110,"17,636","8,870",50.60%,94,85.50%,"8,964",50.80%,111,1.30%,10,10.60%,121,1.30%,79,71.20%,5,50.00%,84,69.40%,30,0.30%,279,3.10%,309,3.40%,4,28.60%,4,100.00%,
FAR NORTH DISTRICT,FAR NORTH DISTRICT COUNCIL,KAIKOHE-HOKIANGA,DC,FPP,n,Northland,Provincial,District,,,,,,,,,,,Contested,2,,8,4,"3,985","1,890",1,12.50%,,,1,50.00%,1,,,,,,"7,939",30,0.38%,"7,969","12,972",61.40%,"7,939",30,"7,969","3,754",47.30%,26,86.70%,"3,780",47.40%,50,1.30%,6,23.10%,56,1.50%,26,52.00%,1,16.70%,27,48.20%,9,0.20%,51,1.30%,60,1.60%,1,12.50%,1,50.00%,
FAR NORTH DISTRICT,FAR NORTH DISTRICT COUNCIL,TE HIKU,DC,FPP,n,Northland,Provincial,District,,Y,1.00 pm,13th October 1.27 am,Alphabetical,N/A,N/A,"37,450",511,91,Contested,3,,11,3.67,"3,946","1,855",3,27.30%,,,2,66.70%,2,,,,,,"11,763",75,0.63%,"11,838","17,475",67.70%,"11,763",75,"11,838","5,499",46.70%,65,86.70%,"5,564",47.00%,75,1.40%,6,9.20%,81,1.50%,52,69.30%,3,50.00%,55,67.90%,12,0.20%,121,2.20%,133,2.40%,1,9.10%,0,,
FAR NORTH DISTRICT,FAR NORTH DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Northland,Provincial,District,,,,,,,,,,,Contested,1,,7,7,"37,443","18,308",1,14.30%,1,Defeated,,,,,,,,,"37,228",215,0.57%,"37,443","55,734",67.20%,"37,228",215,"37,443","18,123",48.70%,185,86.00%,"18,308",48.90%,236,1.30%,22,11.90%,258,1.40%,157,66.50%,9,40.90%,166,64.30%,41,0.20%,288,1.60%,329,1.80%,2,28.60%,0,,
GISBORNE DISTRICT,GISBORNE DISTRICT COUNCIL,GISBORNE,DC,FPP,n,Gisborne,Provincial,District,,,,,,,,,,,Contested,9,,19,2.11,"2,537","1,196",7,36.80%,,,6,66.70%,6,,,,,,"22,820",13,0.06%,"22,833","31,362",72.80%,"22,820",13,"22,833","10,751",47.10%,11,84.60%,"10,762",47.10%,180,1.70%,2,18.20%,182,1.70%,131,72.80%,1,50.00%,132,72.50%,33,0.30%,179,1.70%,212,2.00%,6,31.60%,3,33.30%,
GISBORNE DISTRICT,GISBORNE DISTRICT COUNCIL,MATAKAOA-WAIAPU,DC,FPP,n,Gisborne,Provincial,District,,,,,,,,,,,Contested,1,,4,4,"1,637",793,1,25.00%,,,1,100.00%,1,,,,,,"1,630",7,0.43%,"1,637","2,568",63.70%,"1,630",7,"1,637",788,48.30%,5,71.40%,793,48.40%,7,0.90%,,,7,0.90%,5,71.40%,,,5,71.40%,1,0.10%,12,1.50%,13,1.60%,1,25.00%,0,,
GISBORNE DISTRICT,GISBORNE DISTRICT COUNCIL,TARUHERU-PATUTAHI,DC,FPP,n,Gisborne,Provincial,District,,,,,,,,,,,Contested,1,,2,2,"2,742","1,525",1,50.00%,,,,,,,,,,,"2,741",1,0.04%,"2,742","3,615",75.90%,"2,741",1,"2,742","1,524",55.60%,1,100.00%,"1,525",55.60%,18,1.20%,,,18,1.20%,18,100.00%,,,18,100.00%,6,0.40%,82,5.40%,88,5.80%,0,,0,,
GISBORNE DISTRICT,GISBORNE DISTRICT COUNCIL,TAWHITI-UAWA,DC,FPP,n,Gisborne,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1,"1,829",,1,100.00%,,,1,100.00%,1,,,,,,"1,824",5,0.27%,"1,829","2,718",67.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,
GISBORNE DISTRICT,GISBORNE DISTRICT COUNCIL,WAIPAOA,DC,FPP,n,Gisborne,Provincial,District,,Y,1.00 pm,8.55 pm Election Day,Alphabetical,N/A,N/A,"31,388",321,33,Contested,1,,3,3,"2,347","1,192",2,66.70%,,,1,100.00%,1,,,,,,"2,342",5,0.21%,"2,347","3,393",69.20%,"2,342",5,"2,347","1,188",50.70%,4,80.00%,"1,192",50.80%,6,0.50%,,,6,0.50%,6,100.00%,,,6,100.00%,5,0.40%,57,4.80%,62,5.20%,2,66.70%,0,0.00%,
GISBORNE DISTRICT,GISBORNE DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Gisborne,Provincial,District,,,,,,,,,,,Contested,1,,3,3,"31,388","15,148",0,0.00%,1,Re-elected,1,100.00%,1,,,,,,"31,357",31,0.10%,"31,388","43,656",71.90%,"31,357",31,"31,388","15,121",48.20%,27,87.10%,"15,148",48.30%,217,1.40%,4,14.80%,221,1.50%,165,76.00%,3,75.00%,168,76.00%,23,0.20%,293,1.90%,316,2.10%,0,,0,0.00%,
GORE DISTRICT,MATAURA COMMUNITY BOARD,AT LARGE,CB,FPP,s,Southland,Rural,District,,,,,,,,,,,Unopposed,5,4,4,0.8,207,,,,,,,,,,4,100.00%,4,80.00%,"1,037",,,"1,037","1,509",68.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50.00%,2,40.00%,1
GORE DISTRICT,GORE DISTRICT COUNCIL,GORE DISTRICT AT LARGE,DC,FPP,s,Southland,Rural,District,,,,,,,,,,,Contested,3,,4,1.33,"2,975","1,240",3,75.00%,,,3,100.00%,3,,,,,,"8,911",15,0.17%,"8,926","12,033",74.20%,"8,911",15,"8,926","3,708",41.60%,12,80.00%,"3,720",41.70%,14,0.40%,2,16.70%,16,0.40%,13,92.90%,2,100.00%,15,93.80%,3,0.10%,181,4.90%,184,4.90%,1,25.00%,1,33.30%,
GORE DISTRICT,GORE DISTRICT COUNCIL,GORE,DC,FPP,s,Southland,Rural,District,,,,,,,,,,,Contested,5,,8,1.6,"1,130",491,4,50.00%,,,4,80.00%,4,,,,,,"5,640",8,0.14%,"5,648","7,347",76.90%,"5,640",8,"5,648","2,450",43.40%,6,75.00%,"2,456",43.50%,11,0.40%,1,16.70%,12,0.50%,11,100.00%,1,100.00%,12,100.00%,6,0.20%,8,0.30%,14,0.60%,2,25.00%,1,20.00%,
GORE DISTRICT,GORE DISTRICT COUNCIL,KAIWERA-WAIMUMU,DC,FPP,s,Southland,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1,"1,167",,1,100.00%,,,1,100.00%,1,,,,,,"1,163",4,0.34%,"1,167","1,770",65.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
GORE DISTRICT,GORE DISTRICT COUNCIL,MATAURA,DC,FPP,s,Southland,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1,"1,037",,1,100.00%,,,1,100.00%,1,,,,,,"1,037",0,0.00%,"1,037","1,509",68.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
GORE DISTRICT,GORE DISTRICT COUNCIL,WAIKAKA,DC,FPP,s,Southland,Rural,District,,N,N/A,,Alphabetical,N/A,N/A,"9,826",63,7,Contested,1,,2,2,"1,074",503,1,50.00%,,,,,,,,,,,"1,071",3,0.28%,"1,074","1,407",76.30%,"1,071",3,"1,074",500,46.70%,3,100.00%,503,46.80%,2,0.40%,1,33.30%,3,0.60%,2,100.00%,1,100.00%,3,100.00%,,0.00%,6,1.20%,6,1.20%,1,50.00%,1,100.00%,
GORE DISTRICT,MATAURA LICENSING TRUST,WARD 1 TAPANUI,LT,FPP,s,Southland,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1,"1,258",,,,,,,,,,1,100.00%,1,100.00%,"1,258",,,"1,258",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
GORE DISTRICT,MATAURA LICENSING TRUST,WARD 2 GORE,LT,FPP,s,Southland,Rural,District,,,,,,,,,,,Unopposed,3,3,3,1,"1,880",,,,,,,,,,2,66.70%,2,66.70%,"5,640",,,"5,640",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
GORE DISTRICT,MATAURA LICENSING TRUST,WARD 3 MATAURA,LT,FPP,s,Southland,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1,"1,037",,,,,,,,,,1,100.00%,1,100.00%,"1,037",,,"1,037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
GORE DISTRICT,MATAURA LICENSING TRUST,WARD 4 RURAL,LT,FPP,s,Southland,Rural,District,,,,,,,,,,,Contested,1,,2,2,"1,762",738,,,,,,,,,1,50.00%,1,100.00%,"1,762",,,"1,762",,,"1,762",,"1,762",738,41.90%,,,738,41.90%,2,0.30%,,,2,0.30%,2,100.00%,,,2,100.00%,,,36,4.90%,36,4.90%,2,100.00%,1,100.00%,
GORE DISTRICT,MATAURA LICENSING TRUST,WARD 5 EDENDALE,LT,FPP,s,Southland,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1,"1,366",,,,,,,,,,1,100.00%,1,100.00%,"1,366",,,"1,366",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,
GORE DISTRICT,MATAURA LICENSING TRUST,WARD 6 WYNDHAM,LT,FPP,s,Southland,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1,681,,,,,,,,,,1,100.00%,1,100.00%,681,,,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
GORE DISTRICT,MATAURA LICENSING TRUST,WARD 7 TOKANUI,LT,FPP,s,Southland,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1,584,,,,,,,,,,1,100.00%,1,100.00%,584,,,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
GORE DISTRICT,GORE DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,Southland,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1,"8,926",,0,,,Re-elected,1,100.00%,1,,,,,,"8,911",15,0.17%,"8,926","12,033",74.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
GREY DISTRICT,GREY DISTRICT COUNCIL,CENTRAL,DC,FPP,s,West Coast,Rural,District,,,,,,,,,,,Contested,4,,7,1.75,"1,210",537,4,57.10%,,,3,75.00%,3,,,,,,"4,835",5,0.10%,"4,840","6,351",76.20%,"4,835",5,"4,840","2,143",44.30%,5,100.00%,"2,148",44.40%,7,0.30%,1,20.00%,8,0.40%,7,100.00%,1,100.00%,8,100.00%,6,0.30%,18,0.80%,24,1.10%,2,28.60%,,,
GREY DISTRICT,GREY DISTRICT COUNCIL,EASTERN,DC,FPP,s,West Coast,Rural,District,,,,,,,,,,,Contested,2,,9,4.5,"1,103",523,0,0.00%,,,0,,0,,,,,,"2,193",12,0.54%,"2,205","3,261",67.60%,"2,193",12,"2,205","1,033",47.10%,12,100.00%,"1,045",47.40%,6,0.60%,9,75.00%,15,1.40%,5,83.30%,9,100.00%,14,93.30%,3,0.30%,9,0.90%,12,1.10%,1,11.10%,,,
GREY DISTRICT,GREY DISTRICT COUNCIL,NORTHERN,DC,FPP,s,West Coast,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1,"1,209",,1,100.00%,,,1,100.00%,1,,,,,,"1,208",1,0.08%,"1,209","1,617",74.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
GREY DISTRICT,GREY DISTRICT COUNCIL,SOUTHERN,DC,FPP,s,West Coast,Rural,District,,N,N/A,2.00 pm,Pseudo-random,Development West Coast,N/A,"9,879",72,15,Unopposed,1,1,1,1,"1,625",,1,100.00%,,,1,100.00%,1,,,,,,"1,624",1,0.06%,"1,625","2,145",75.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
GREY DISTRICT,GREY DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,West Coast,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1,"9,879",,0,,,Re-elected,1,100.00%,1,,,,,,"9,860",19,0.19%,"9,879","13,374",73.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
GREY DISTRICT,WEST COAST DEVELOPMENT TRUST,GREY,OTHER,FPP,s,West Coast,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1,0,,,,,,,,,,1,100.00%,1,100.00%,,,,,"13,374",0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
HAMILTON CITY,HAMILTON CITY COUNCIL,EAST,CC,FPP,n,Waikato,Metro,City,l,,,,,,,,,,Contested,6,,26,4.33,"8,311","3,331",3,11.50%,,,2,33.30%,2,,,,,,"49,822",44,0.09%,"49,866","74,163",67.20%,"49,822",44,"49,866","19,934",40.00%,49,111.40%,"19,983",40.10%,300,1.50%,14,28.60%,314,1.60%,203,67.70%,9,64.30%,212,67.50%,189,0.90%,549,2.70%,738,3.70%,4,15.40%,2,33.30%,
HAMILTON CITY,HAMILTON CITY COUNCIL,WEST,CC,FPP,n,Waikato,Metro,City,l,Y,1.00 pm,10.17 pm 12th October,Random,N/A,Electoral System Poll; Fluoridation Poll,"97,259","1,185",129,Contested,6,,23,3.83,"7,899","2,882",5,21.70%,,,4,66.70%,4,,,,,,"47,324",69,0.15%,"47,393","67,449",70.30%,"47,324",69,"47,393","17,229",36.40%,64,92.80%,"17,293",36.50%,199,1.20%,8,12.50%,207,1.20%,132,66.30%,4,50.00%,136,65.70%,166,1.00%,261,1.50%,427,2.50%,5,21.70%,1,16.70%,
HAMILTON CITY,HAMILTON CITY COUNCIL,AT LARGE,MAYOR,FPP,n,Waikato,Metro,City,l,,,,,,,,,,Contested,1,,8,8,"97,259","37,276",2,25.00%,6,Re-elected,1,100.00%,1,,,,,,"97,146",113,0.12%,"97,259","141,612",68.70%,"97,146",113,"97,259","37,163",38.30%,113,100.00%,"37,276",38.30%,499,1.30%,24,21.20%,523,1.40%,335,67.10%,13,54.20%,348,66.50%,128,0.30%,"1,066",2.90%,"1,194",3.20%,1,12.50%,1,100.00%,
HASTINGS DISTRICT,RURAL COMMUNITY BOARD,KAWEKA,CB,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1,"1,942",,,,,,,,,,,,,,"1,937",5,0.26%,"1,942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
HASTINGS DISTRICT,RURAL COMMUNITY BOARD,MARAEKAKAHO,CB,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1,"1,655",,,,,,,,,,1,100.00%,1,100.00%,"1,655",0,0.00%,"1,655",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
HASTINGS DISTRICT,RURAL COMMUNITY BOARD,POUKAWA,CB,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1,"2,275",,,,,,,,,,,,,,"2,264",11,0.48%,"2,275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
HASTINGS DISTRICT,RURAL COMMUNITY BOARD,TUTIRA,CB,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,Unopposed,1,1,1,1,"1,896",,,,,,,,,,1,100.00%,1,100.00%,"1,885",11,0.58%,"1,896",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,
HASTINGS DISTRICT,HASTINGS DISTRICT COUNCIL,FLAXMERE,DC,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,Unopposed,2,2,2,1,"3,024",,2,100.00%,,,2,100.00%,2,,,,,,"6,047",1,0.02%,"6,048","9,426",64.20%,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,1,50.00%,
HASTINGS DISTRICT,HASTINGS DISTRICT COUNCIL,HASTINGS-HAVELOCK NORTH,DC,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,Contested,8,,10,1.25,"3,780","1,764",7,70.00%,,,6,75.00%,6,,,,,,"30,211",30,0.10%,"30,241","40,980",73.80%,"30,211",30,"30,241","14,080",46.60%,29,96.70%,"14,109",46.70%,188,1.30%,,,188,1.30%,188,100.00%,,,188,100.00%,19,0.10%,374,2.70%,393,2.80%,4,40.00%,3,37.50%,
HASTINGS DISTRICT,HASTINGS DISTRICT COUNCIL,HERETAUNGA,DC,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,Contested,2,,4,2,"3,777","1,902",1,25.00%,,,1,50.00%,1,,,,,,"7,546",7,0.09%,"7,553","11,787",64.10%,"7,546",7,"7,553","3,797",50.30%,7,100.00%,"3,804",50.40%,39,1.00%,,,39,1.00%,39,100.00%,,,39,100.00%,6,0.20%,161,4.20%,167,4.40%,1,25.00%,,,
HASTINGS DISTRICT,HASTINGS DISTRICT COUNCIL,KAHURANAKI,DC,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,Contested,1,,2,2,"3,926","2,014",1,50.00%,,,1,100.00%,1,,,,,,"3,919",7,0.18%,"3,926","5,754",68.20%,"3,919",7,"3,926","2,008",51.20%,6,85.70%,"2,014",51.30%,22,1.10%,,,22,1.10%,22,100.00%,,,22,100.00%,,,105,5.20%,105,5.20%,0,,,,
HASTINGS DISTRICT,HASTINGS DISTRICT COUNCIL,MOHAKA,DC,FPP,n,Hawke's Bay,Provincial,District,,Y,2.12 pm,14th October 9.51 am,Alphabetical,N/A,Fluoridation of urban water supplies,"51,605",N/A,N/A,Unopposed,1,1,1,1,"3,837",,1,100.00%,,,1,100.00%,1,,1,100.00%,1,100.00%,"3,825",12,0.31%,"3,837","5,298",72.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,
HASTINGS DISTRICT,FLAXMERE LICENSING TRUST,AT LARGE,LT,FPP,n,Hawke's Bay,Provincial,District,,,,,,,,,,,Unopposed,6,6,6,1,0,,,,,,,,,,6,100.00%,6,100.00%,,,,,"5,475",0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,33.30%,2,33.30%,
