Area,Authority,ward,Type,Electoral system,Island,Region,Area type,TA Type,City Size,Progress results,Progress results date,Preliminary results announced,Other elections,Other elections were:,Poles,Poles were:,Voting papers order,Number of documents sent,Number of documents returned unopened,Number of documents returned late,Number of Special votes,Residential Special votes allowed,Ratepayer Special votes allowed,Contested wards,"Positions 
(N)","Elected unopposed 
(N)","Candidates 
(N)",Candidates per position,Electors per electable position,Voters per electable position,"Council candidates sitting members 
(N)","Council candidates sitting members 
(%)","Also candidates for Mayor 
(N)",Council member elected Mayor,Sitting Mayor,Council members re-elected (N),"Council members re-elected
(%)",Council members re-elected or Mayor (N),"Council members re-elected or Mayor
(%)","Candidates board members 
(N)","Candidates board members 
(%)","Board members elected 
(N)","Board members elected 
(%)","Residential electors 
(N)","Ratepayer electors 
(N)","Ratepayer electors 
(%)","Total electors 
(N)",Estimated population resident,Electors as % of total population,Residential electors (contested wards only),Ratepayer electors (contested wards only),Total electors (Contested wards only),"Residential voters 
(N)","Residential turnout 
(%)","Ratepayer voters 
(N)","Ratepayer turnout
(%)","Total voters 
(N)",Overall turnout (%),"Special votes cast 
(N)","Special votes cast 
(%)","Residential special votes allowed 
(N)","Ratepayer special votes allowed 
(N)","Total special votes allowed 
(N)","Total special votes allowed 
(%)","Informal votes
(N)","Informal votes
(%)","Blank votes 
(N)","Blank votes 
(%)","Blank and informal votes 
(N)","Blank and informal votes 
(%)","Women candidates
(N)","Women candidates
(%)","Women councillors
(N)","Women councillors
(%)"
NAPIER CITY,NAPIER CITY COUNCIL,TARADALE,CC,FPP,n,Hawke's Bay,Provincial,City,s,,,,,,,,,,,,,,,,2,0,4,2.00,"7,379","3,842",2,50.0%,0,,,2,100.0%,2,,0,0.0%,0,0.0%,"14,750",7,0.05%,"14,757","19,500",75.7%,"14,750",7,"14,757","7,678",52.1%,5,71.4%,"7,683",52.1%,45,0.6%,39,0,39,86.7%,12,0.2%,341,4.4%,353,4.6%,1,25.0%,1,50.0%
NELSON CITY,NELSON MARLBOROUGH DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,s,Nelson,DHB,DHB,,,,,,,,,Pseudo-random order,,,,,,,,7,0,20,2.86,"13,748","7,049",,,,,,,,,,5,25.0%,5,71.4%,"96,233",,,"96,233","134,600",71.5%,"96,233",,"96,233","49,346",51.3%,,,"49,346",51.3%,448,0.9%,342,,342,76.3%,3090,6.3%,5609,11.4%,"8,699",17.6%,8,40.0%,5,71.4%
NELSON CITY,NELSON CITY COUNCIL,AT LARGE,MAYOR,FPP,s,Nelson,Metro,City,s,No,,16:00:00,No,,No,,Alphabetical order,32530,349,84,247,188,12,,1,0,8,8.00,"32,530","16,591",4,50.0%,5,,Stood down,0,0.0%,0,,,,,,"32,450",80,0.25%,"32,530","44,400",73.3%,"32,450",80,"32,530","16,506",50.9%,85,106.3%,"16,591",51.0%,247,1.5%,168,32,200,81.0%,36,0.2%,182,1.1%,218,1.3%,3,37.5%,0,0.0%
NELSON CITY,NELSON CITY COUNCIL,AT LARGE,CC,FPP,s,Nelson,Metro,City,s,,,,,,,,,,,,,,,At large,12,0,32,2.67,"2,711","1,384",9,28.1%,5,,,6,50.0%,6,46.2%,0,0.0%,0,0.0%,"32,450",80,0.25%,"32,530","44,400",73.3%,"32,450",80,"32,530","16,519",50.9%,91,113.8%,"16,610",51.1%,247,1.5%,168,32,200,81.0%,80,0.5%,157,0.9%,237,1.4%,12,37.5%,5,41.7%
NEW PLYMOUTH DISTRICT,TARANAKI DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,n,Taranaki,Provincial,District,,,,,,,,,Random order,,,,,,,,7,0,18,2.57,"10,880","5,653",,,,,,,,,,4,22.2%,4,57.1%,"76,159",,,"76,159","107,300",71.0%,"76,159",,"76,159","39,571",52.0%,,,"39,571",52.0%,123,0.3%,99,,99,80.5%,2175,5.5%,4227,10.7%,"6,402",16.2%,7,38.9%,3,42.9%
NEW PLYMOUTH DISTRICT,CLIFTON COMMUNITY BOARD,AT LARGE,CB,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,,,,,,At large,4,0,5,1.25,439,244,,,,,,,,,,4,80.0%,3,75.0%,"1,734",22,1.25%,"1,756","2,430",72.3%,"1,734",22,"1,756",951,54.8%,24,109.1%,975,55.5%,11,1.1%,4,3,7,63.6%,0,0.0%,53,5.4%,53,5.4%,2,40.0%,1,25.0%
NEW PLYMOUTH DISTRICT,INGLEWOOD COMMUNITY BOARD,AT LARGE,CB,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,,,,,,At large,4,0,5,1.25,"1,318",631,,,,,,,,,,4,80.0%,3,75.0%,"5,272",1,0.02%,"5,273","7,660",68.8%,"5,272",1,"5,273","2,520",47.8%,3,300.0%,"2,523",47.8%,13,0.5%,8,2,10,76.9%,0,0.0%,113,4.5%,113,4.5%,2,40.0%,1,25.0%
NEW PLYMOUTH DISTRICT,KAITAKE COMMUNITY BOARD,AT LARGE,CB,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,,,,,,At large,4,4,4,1.00,761,,,,,,,,,,,2,50.0%,2,50.0%,"3,038",7,0.23%,"3,045","4,280",71.1%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
NEW PLYMOUTH DISTRICT,WAITARA COMMUNITY BOARD,AT LARGE,CB,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,,,,,,At large,4,0,7,1.75,"1,388",706,,,,,,,,,,4,57.1%,2,50.0%,"5,547",4,0.07%,"5,551","7,810",71.1%,"5,547",4,"5,551","2,821",50.9%,3,75.0%,"2,824",50.9%,16,0.6%,14,0,14,87.5%,4,0.1%,42,1.5%,46,1.6%,1,14.3%,1,25.0%
NEW PLYMOUTH DISTRICT,NEW PLYMOUTH DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Taranaki,Provincial,District,,No,,13:20:00,No,,No,,Alphabetical order,52083,676,185,183,141,10,,1,0,4,4.00,"52,085","26,497",2,50.0%,2,y,Re-elected,1,100.0%,1,,,,,,"52,027",58,0.11%,"52,085","71,450",72.9%,"52,027",58,"52,085","26,444",50.8%,53,91.4%,"26,497",50.9%,183,0.7%,141,10,151,82.5%,78,0.3%,820,3.1%,898,3.4%,2,50.0%,0,0.0%
NEW PLYMOUTH DISTRICT,NEW PLYMOUTH DISTRICT COUNCIL,NEW PLYMOUTH CITY,DC,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,,,,,,,10,0,30,3.00,"3,786","1,943",8,26.7%,1,,,5,50.0%,5,,1,3.3%,0,0.0%,"37,829",29,0.08%,"37,858","51,200",73.9%,"37,829",29,"37,858","19,400",51.3%,26,89.7%,"19,426",51.3%,128,0.7%,104,5,109,85.2%,139,0.7%,150,0.8%,289,1.5%,4,13.3%,2,20.0%
NEW PLYMOUTH DISTRICT,NEW PLYMOUTH DISTRICT COUNCIL,NORTH,DC,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,,,,,,,2,0,6,3.00,"3,650","1,886",2,33.3%,1,,,1,50.0%,1,,0,0.0%,0,0.0%,"7,281",19,0.26%,"7,300","10,250",71.2%,"7,281",19,"7,300","3,754",51.6%,18,94.7%,"3,772",51.7%,34,0.9%,21,3,24,70.6%,10,0.3%,67,1.8%,77,2.0%,1,16.7%,1,50.0%
NEW PLYMOUTH DISTRICT,NEW PLYMOUTH DISTRICT COUNCIL,SOUTH-WEST,DC,FPP,n,Taranaki,Provincial,District,,,,,,,,,,,,,,,,,2,0,3,1.50,"3,459","1,646",1,33.3%,0,,,1,50.0%,1,,1,33.3%,1,50.0%,"6,917",0,0.00%,"6,917","10,000",69.2%,"6,917",0,"6,917","3,290",47.6%,2,,"3,292",47.6%,21,0.6%,16,2,18,85.7%,0,0.0%,159,4.8%,159,4.8%,1,33.3%,1,50.0%
NEW PLYMOUTH DISTRICT,TARANAKI REGIONAL COUNCIL,NEW PLYMOUTH,RC,FPP,n,Taranaki,Regional,Regional,,,,,,,,,,,,,,,,,5,0,11,2.20,"7,289","3,765",4,36.4%,,,,4,80.0%,,,,,,,"36,436",8,0.02%,"36,444","49,300",73.9%,"36,436",8,"36,444","18,818",51.6%,9,112.5%,"18,827",51.7%,128,0.7%,100,4,104,81.3%,33,0.2%,1317,7.0%,"1,350",7.2%,1,9.1%,1,20.0%
NEW PLYMOUTH DISTRICT,TARANAKI REGIONAL COUNCIL,NORTH TARANAKI,RC,FPP,n,Taranaki,Regional,Regional,,,,,,,,,,,,,,,,,2,0,3,1.50,"7,802","3,905",2,66.7%,,,,1,50.0%,,,,,,,"15,591",12,0.08%,"15,603","22,200",70.3%,"15,591",12,"15,603","7,803",50.0%,7,58.3%,"7,810",50.1%,55,0.7%,37,0,37,67.3%,2,0.0%,737,9.4%,739,9.5%,0,0.0%,0,0.0%
NEW PLYMOUTH DISTRICT,TARANAKI REGIONAL COUNCIL,SOUTH TARANAKI,RC,FPP,n,Taranaki,Regional,Regional,,,,,,,,,,,,,,,,,3,0,7,2.33,"5,988","3,201",3,42.9%,,,,2,66.7%,,,,,,,"17,952",12,0.07%,"17,964","26,800",67.0%,"17,952",12,"17,964","9,578",53.4%,25,208.3%,"9,603",53.5%,97,1.0%,55,13,68,70.1%,60,0.6%,402,4.2%,462,4.8%,0,0.0%,0,0.0%
NEW PLYMOUTH DISTRICT,TARANAKI REGIONAL COUNCIL,STRATFORD,RC,FPP,n,Taranaki,Regional,Regional,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,"6,072",,0,0.0%,,,,0,0.0%,,,,,,,"6,061",11,0.18%,"6,072","8,920",68.1%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
NORTH SHORE CITY,BIRKENHEAD LICENSING TRUST,AT LARGE,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,At large,6,5,5,0.83,"3,331",,,,,,,,,,,4,80.0%,4,66.7%,"19,983",,,"19,983",,,,,,,,,,,,,,,,,,,,,,,,2,40.0%,2,33.3%
NORTH SHORE CITY,ALBANY COMMUNITY BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,At large,4,0,5,1.25,"5,514","1,959",,,,,,,,,,3,60.0%,2,50.0%,"22,031",23,0.10%,"22,054","35,000",63.0%,"22,031",23,"22,054","7,816",35.5%,18,78.3%,"7,834",35.5%,68,0.9%,50,1,51,75.0%,3,0.0%,445,5.7%,448,5.7%,1,20.0%,0,0.0%
NORTH SHORE CITY,BIRKENHEAD-NORTHCOTE COMMUNITY BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,At large,4,0,11,2.75,"7,385","2,470",,,,,,,,,,2,18.2%,2,50.0%,"29,524",15,0.05%,"29,539","43,800",67.4%,"29,524",15,"29,539","9,867",33.4%,11,73.3%,"9,878",33.4%,76,0.8%,39,1,40,52.6%,34,0.3%,310,3.1%,344,3.5%,3,27.3%,1,25.0%
NORTH SHORE CITY,DEVONPORT COMMUNITY BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,At large,4,0,7,1.75,"3,206","1,207",,,,,,,,,,3,42.9%,3,75.0%,"12,812",11,0.09%,"12,823","18,300",70.1%,"12,812",11,"12,823","4,821",37.6%,6,54.5%,"4,827",37.6%,45,0.9%,29,2,31,68.9%,23,0.5%,223,4.6%,246,5.1%,2,28.6%,1,25.0%
NORTH SHORE CITY,EAST COAST BAYS COMMUNITY BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,At large,4,0,11,2.75,"7,380","2,764",,,,,,,,,,3,27.3%,2,50.0%,"29,497",21,0.07%,"29,518","42,400",69.6%,"29,497",21,"29,518","11,038",37.4%,16,76.2%,"11,054",37.4%,64,0.6%,38,3,41,64.1%,38,0.3%,367,3.3%,405,3.7%,3,27.3%,1,25.0%
NORTH SHORE CITY,GLENFIELD COMMUNITY BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,At large,4,0,15,3.75,"5,445","1,740",,,,,,,,,,4,26.7%,0,0.0%,"21,769",10,0.05%,"21,779","33,200",65.6%,"21,769",10,"21,779","6,952",31.9%,7,70.0%,"6,959",32.0%,49,0.7%,35,0,35,71.4%,41,0.6%,227,3.3%,268,3.9%,4,26.7%,0,0.0%
NORTH SHORE CITY,TAKAPUNA COMMUNITY BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,At large,4,0,7,1.75,"8,246","3,030",,,,,,,,,,2,28.6%,1,25.0%,"32,940",43,0.13%,"32,983","47,500",69.4%,"32,940",43,"32,983","12,080",36.7%,39,90.7%,"12,119",36.7%,94,0.8%,65,3,68,72.3%,27,0.2%,737,6.1%,764,6.3%,2,28.6%,1,25.0%
NORTH SHORE CITY,NORTH SHORE CITY COUNCIL,AT LARGE,MAYOR,FPP,n,Auckland,Metro,City,l,Yes,13/10/2007 @ 12.21,17:41:00,No,,No,,Alphabetical order,148696,1779,N/A,384,256,10,,1,0,4,4.00,"148,661","52,648",2,50.0%,1,,Defeated,0,0.0%,1,,,,,,"148,573",88,0.06%,"148,661","220,200",67.5%,"148,573",88,"148,661","52,571",35.4%,77,87.5%,"52,648",35.4%,396,0.8%,256,9,265,66.9%,114,0.2%,1286,2.4%,"1,400",2.7%,1,25.0%,0,0.0%
NORTH SHORE CITY,NORTH SHORE CITY COUNCIL,CENTRAL,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,,5,0,16,3.20,"9,158","3,387",4,25.0%,1,y,,3,60.0%,3,,2,12.5%,1,20.0%,"45,752",36,0.08%,"45,788","65,800",69.6%,"45,752",36,"45,788","16,901",36.9%,34,94.4%,"16,935",37.0%,139,0.8%,94,4,98,70.5%,88,0.5%,348,2.1%,436,2.6%,4,25.0%,2,40.0%
NORTH SHORE CITY,NORTH SHORE CITY COUNCIL,HARBOUR,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,,5,0,19,3.80,"10,262","3,240",2,10.5%,0,,,2,40.0%,2,,3,15.8%,1,20.0%,"51,293",19,0.04%,"51,312","77,000",66.6%,"51,293",19,"51,312","16,189",31.6%,13,68.4%,"16,202",31.6%,125,0.8%,74,1,75,60.0%,113,0.7%,325,2.0%,438,2.7%,4,21.1%,3,60.0%
NORTH SHORE CITY,NORTH SHORE CITY COUNCIL,NORTHERN,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,,5,0,23,4.60,"10,312","3,776",5,21.7%,0,,,3,60.0%,3,,3,13.0%,2,40.0%,"51,528",33,0.06%,"51,561","77,400",66.6%,"51,528",33,"51,561","18,854",36.6%,27,81.8%,"18,881",36.6%,132,0.7%,88,4,92,69.7%,162,0.9%,298,1.6%,460,2.4%,6,26.1%,4,80.0%
NORTHLAND REGION,NORTHLAND REGIONAL COUNCIL,FAR NORTH,RC,FPP,n,Northland,Regional,Regional,,,,,,,,,,,,,,,,,3,0,6,2.00,"12,086","5,969",2,33.3%,,,,2,66.7%,,,,,,,"36,079",178,0.49%,"36,257","57,800",62.7%,"36,079",178,"36,257","17,773",49.3%,134,75.3%,"17,907",49.4%,91,0.5%,90,1,91,100.0%,24,0.1%,2135,11.9%,"2,159",12.1%,1,16.7%,1,33.3%
NORTHLAND REGION,NORTHLAND REGIONAL COUNCIL,KAIPARA,RC,FPP,n,Northland,Regional,Regional,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,"12,383",,1,100.0%,,,,1,100.0%,,,,,,,"12,102",281,2.27%,"12,383","18,600",66.6%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
NORTHLAND REGION,NORTHLAND REGIONAL COUNCIL,WHANGAREI,RC,FPP,n,Northland,Regional,Regional,,,,,,,,,,,,,,,,,4,0,8,2.00,"13,100","6,789",3,37.5%,,,,3,75.0%,,,,,,,"52,282",119,0.23%,"52,401","77,500",67.6%,"52,282",119,"52,401","27,065",51.8%,91,76.5%,"27,156",51.8%,201,0.7%,198,3,201,100.0%,21,0.1%,1342,4.9%,"1,363",5.0%,0,0.0%,0,0.0%
OPOTIKI DISTRICT,COAST COMMUNITY BOARD,AT LARGE,CB,FPP,n,Bay of Plenty,Rural,District,,,,,,,,,,,,,,,,At large,4,4,4,1.00,213,,,,,,,,,,,4,100.0%,4,100.0%,852,0,0.00%,852,"1,410",60.4%,,,,,,,,,,,,,,,,,,,,,,1,25.0%,1,25.0%
OPOTIKI DISTRICT,OPOTIKI DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Bay of Plenty,Rural,District,,Yes,13\10\07 @ 12.54,20:05:00,No,,No,,Pseudo-random order,5500,119,N/A,26,16,2,Unopposed,1,1,1,1.00,"5,500",,1,100.0%,0,y,Unopposed,1,100.0%,1,,,,,,"5,475",25,0.45%,"5,500","9,140",60.2%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
OPOTIKI DISTRICT,OPOTIKI DISTRICT COUNCIL,COAST,DC,FPP,n,Bay of Plenty,Rural,District,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,852,,1,100.0%,0,,,1,100.0%,1,,0,0.0%,0,0.0%,852,0,0.00%,852,"1,410",60.4%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
OPOTIKI DISTRICT,OPOTIKI DISTRICT COUNCIL,OPOTIKI,DC,FPP,n,Bay of Plenty,Rural,District,,,,,,,,,,,,,,,,,3,0,7,2.33,859,631,2,28.6%,0,,,2,66.7%,2,,0,0.0%,0,0.0%,"2,569",7,0.27%,"2,576","4,490",57.4%,"2,569",7,"2,576","1,889",73.5%,5,71.4%,"1,894",73.5%,6,0.3%,4,1,5,83.3%,1,0.1%,9,0.5%,10,0.5%,2,28.6%,0,0.0%
OPOTIKI DISTRICT,OPOTIKI DISTRICT COUNCIL,WAIOEKA-WAIOTAHI,DC,FPP,n,Bay of Plenty,Rural,District,,,,,,,,,,,,,,,,,2,0,3,1.50,"1,032",483,2,66.7%,0,,,2,100.0%,2,,0,0.0%,0,0.0%,"2,054",9,0.44%,"2,063","3,240",63.7%,"2,054",9,"2,063",955,46.5%,10,111.1%,965,46.8%,18,1.9%,10,1,11,61.1%,1,0.1%,24,2.5%,25,2.6%,1,33.3%,0,0.0%
OTAGO REGION,OTAGO DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,s,Otago,DHB,DHB,,,,,,,,,Random order,,,,,,,,7,0,12,1.71,"18,848","9,420",,,,,,,,,,6,50.0%,6,85.7%,"131,937",,,"131,937","185,800",71.0%,"131,937",,"131,937","65,943",50.0%,,,"65,943",50.0%,585,0.9%,451,,451,77.1%,1052,1.6%,5323,8.1%,"6,375",9.7%,3,25.0%,3,42.9%
OTAGO REGION,OTAGO REGIONAL COUNCIL,DUNEDIN,RC,FPP,s,Otago,Regional,Regional,,,,,,,,,,,,,,,,,6,0,12,2.00,"12,305","5,626",5,41.7%,,,,5,83.3%,,,,,,,"73,798",33,0.04%,"73,831","106,000",69.7%,"73,798",33,"73,831","33,726",45.7%,30,90.9%,"33,756",45.7%,315,,,,315,,1119,3.3%,2420,7.2%,"3,539",10.5%,2,16.7%,2,33.3%
OTAGO REGION,OTAGO REGIONAL COUNCIL,DUNSTAN,RC,FPP,s,Otago,Regional,Regional,,,,,,,,,,,,,,,,,2,0,4,2.00,"14,663","7,776",2,50.0%,,,,1,50.0%,,,,,,,"28,649",677,2.31%,"29,326","42,900",68.4%,"28,649",677,"29,326","14,925",52.1%,626,92.5%,"15,551",53.0%,204,,,,204,,77,0.5%,2085,13.4%,"2,162",13.9%,0,0.0%,0,0.0%
OTAGO REGION,OTAGO REGIONAL COUNCIL,MOERAKI,RC,FPP,s,Otago,Regional,Regional,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,"14,385",,1,100.0%,,,,1,100.0%,,,,,,,"14,358",27,0.19%,"14,385","19,100",75.3%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
OTAGO REGION,OTAGO REGIONAL COUNCIL,MOLYNEUX,RC,FPP,s,Otago,Regional,Regional,,,,,,,,,,,,,,,,,2,0,5,2.50,"12,151","6,319",1,20.0%,,,,1,50.0%,,,,,,,"24,281",21,0.09%,"24,302","33,700",72.1%,"24,281",21,"24,302","12,619",52.0%,18,85.7%,"12,637",52.0%,31,,,,31,,358,2.8%,642,5.1%,"1,000",7.9%,0,0.0%,0,0.0%
OTOROHANGA DISTRICT,KAWHIA COMMUNITY BOARD,AOTEA,CB,FPP,n,Waikato,Rural,District,,,,,,,,,,,,,,,,,1,0,2,2.00,46,49,,,,,,,,,,0,0.0%,0,0.0%,36,10,21.74%,46,,,36,10,46,40,111.1%,9,90.0%,49,106.5%,13,,,,13,,0,0.0%,0,0.0%,0,0.0%,1,50.0%,1,100.0%
OTOROHANGA DISTRICT,KAWHIA COMMUNITY BOARD,KAWHIA,CB,FPP,n,Waikato,Rural,District,,,,,,,,,,,,,,,,,4,0,9,2.25,71,52,,,,,,,,,,4,44.4%,2,50.0%,252,32,11.27%,284,370,76.8%,252,32,284,185,73.4%,23,71.9%,208,73.2%,25,,,,25,,0,0.0%,0,0.0%,0,0.0%,3,33.3%,1,25.0%
OTOROHANGA DISTRICT,OTOROHANGA COMMUNITY BOARD,AT LARGE,CB,FPP,n,Waikato,Rural,District,,,,,,,,,,,,,,,,At large,4,0,7,1.75,456,210,,,,,,,,,,4,57.1%,2,50.0%,"1,810",13,0.71%,"1,823","2,690",67.8%,"1,810",13,"1,823",828,45.7%,10,76.9%,838,46.0%,12,1.4%,,,12,100.0%,1,0.1%,9,1.1%,10,1.2%,1,14.3%,1,25.0%
OTOROHANGA DISTRICT,OTOROHANGA DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Waikato,Rural,District,,No,,13:40:00,Yes,"Environment Waikato, Waikato District Health Board",No,,Alphabetical order,5632,73,0,54,N/A,N/A,Unopposed,1,1,1,1.00,"5,622",,1,100.0%,0,y,Unopposed,1,100.0%,1,,,,,,"5,559",63,1.12%,"5,622","9,240",60.8%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
OTOROHANGA DISTRICT,OTOROHANGA DISTRICT COUNCIL,KAWHIA,DC,FPP,n,Waikato,Rural,District,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,674,,0,0.0%,0,,,0,0.0%,0,,0,0.0%,0,0.0%,631,43,6.38%,674,940,71.7%,,,,,,,,,,,,,,,,,,,,,,1,100.0%,1,100.0%
OTOROHANGA DISTRICT,OTOROHANGA DISTRICT COUNCIL,KIOKIO-KORAKONUI,DC,FPP,n,Waikato,Rural,District,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,902,,0,0.0%,0,,,0,0.0%,0,,0,0.0%,0,0.0%,900,2,0.22%,902,"1,460",61.8%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
OTOROHANGA DISTRICT,OTOROHANGA DISTRICT COUNCIL,OTOROHANGA,DC,FPP,n,Waikato,Rural,District,,,,,,,,,,,,,,,,,2,0,5,2.50,909,417,0,0.0%,0,,,0,0.0%,0,,3,60.0%,2,100.0%,"1,810",7,0.39%,"1,817","2,690",67.5%,"1,810",7,"1,817",828,45.7%,5,71.4%,833,45.8%,12,,,,12,,2,0.2%,12,1.4%,14,1.7%,2,40.0%,0,0.0%
OTOROHANGA DISTRICT,OTOROHANGA DISTRICT COUNCIL,TIHIROA,DC,FPP,n,Waikato,Rural,District,,,,,,,,,,,,,,,,,1,0,2,2.00,"1,008",307,0,0.0%,0,,,0,0.0%,0,,0,0.0%,0,0.0%,"1,002",6,0.60%,"1,008","1,610",62.6%,"1,002",6,"1,008",303,30.2%,4,66.7%,307,30.5%,4,,,,4,,1,0.3%,6,2.0%,7,2.3%,1,50.0%,0,0.0%
OTOROHANGA DISTRICT,OTOROHANGA DISTRICT COUNCIL,WAIPA,DC,FPP,n,Waikato,Rural,District,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,805,,1,100.0%,0,,,1,100.0%,1,,0,0.0%,0,0.0%,804,1,0.12%,805,"1,340",60.1%,,,,,,,,,,,,,,,,,,,,,,1,100.0%,1,100.0%
OTOROHANGA DISTRICT,OTOROHANGA DISTRICT COUNCIL,WHAREPUHUNGA,DC,FPP,n,Waikato,Rural,District,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,416,,1,100.0%,0,,,1,100.0%,1,,0,0.0%,0,0.0%,412,4,0.96%,416,"1,200",34.7%,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%
PALMERSTON NORTH CITY,MID CENTRAL DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,n,Manawatu-Wanganui,DHB,DHB,,,,,,,,,Alphabetical order,,,,,,,,7,0,14,2.00,"15,950","7,483",,,,,,,,,,7,50.0%,6,85.7%,"111,652",,,"111,652","164,200",68.0%,"111,652",,"111,652","52,380",46.9%,,,"52,380",46.9%,470,0.9%,455,,455,96.8%,2010,3.8%,4989,9.5%,"6,999",13.4%,5,35.7%,3,42.9%
PALMERSTON NORTH CITY,PALMERSTON NORTH CITY COUNCIL,AT LARGE,MAYOR,FPP,n,Manawatu-Wanganui,Metro,City,s,Yes,13/10/2007 @ 5.00pm,14/10/2007 @ 12.00noon,Yes,MidCentral DHB,No,,Alphabetical order,"52,410",940,200,325,310,7,,1,0,4,4.00,"52,410","24,088",2,50.0%,2,,Defeated,0,0.0%,1,,,,,,"52,321",89,0.17%,"52,410","78,850",66.5%,"52,321",89,"52,410","24,003",45.9%,85,95.5%,"24,088",46.0%,317,1.3%,310,7,317,100.0%,30,0.1%,392,1.6%,422,1.8%,1,25.0%,0,0.0%
PALMERSTON NORTH CITY,PALMERSTON NORTH CITY COUNCIL,ASHHURST-FITZHERBERT,CC,FPP,n,Manawatu-Wanganui,Metro,City,s,,,,,,,,,,,,,,,,2,0,5,2.50,"3,494","1,615",1,20.0%,0,,,1,50.0%,1,,0,0.0%,0,0.0%,"6,980",7,0.10%,"6,987","11,300",61.8%,"6,980",7,"6,987","3,223",46.2%,7,100.0%,"3,230",46.2%,38,1.2%,37,1,38,100.0%,3,0.1%,107,3.3%,110,3.4%,1,20.0%,1,50.0%
PALMERSTON NORTH CITY,PALMERSTON NORTH CITY COUNCIL,AWAPUNI,CC,FPP,n,Manawatu-Wanganui,Metro,City,s,,,,,,,,,,,,,,,,3,0,8,2.67,"3,168","1,421",1,12.5%,0,,,1,33.3%,1,,0,0.0%,0,0.0%,"9,487",17,0.18%,"9,504","14,650",64.9%,"9,487",17,"9,504","4,249",44.8%,15,88.2%,"4,264",44.9%,84,2.0%,83,1,84,100.0%,32,0.8%,127,3.0%,159,3.7%,2,25.0%,1,33.3%
PALMERSTON NORTH CITY,PALMERSTON NORTH CITY COUNCIL,HOKOWHITU,CC,FPP,n,Manawatu-Wanganui,Metro,City,s,,,,,,,,,,,,,,,,3,0,5,1.67,"3,640","1,803",3,60.0%,1,y,,2,66.7%,2,,0,0.0%,0,0.0%,"10,895",26,0.24%,"10,921","15,650",69.8%,"10,895",26,"10,921","5,385",49.4%,24,92.3%,"5,409",49.5%,65,1.2%,64,1,65,100.0%,14,0.3%,84,1.6%,98,1.8%,0,0.0%,0,0.0%
