HRG,Spec,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal Victoria,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,N. Ireland Total Cost
CA95Z,140,Minor Maxillofacial Procedures,"14,204",.,.,.,.,.,"1,669","2,475",.,.,.,.,"3,256",.,.,.,"37,535",.,"59,139"
CA96Z,140,"Reduction or Fixation, of Jaw","2,136",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,136"
CA97Z,140,"Reduction or Fixation, of Cheekbone","3,204",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,330",.,"4,534"
CA98Z,120,Reduction of Fracture of Nasal Bone,"26,474","100,236",.,.,"39,159","67,286","12,780",836,.,.,.,"68,308","90,063","7,682",.,"115,776","24,883",.,"553,484"
CA98Z,301,Reduction of Fracture of Nasal Bone,.,681,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,681
CB01D,800,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 9+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,636,.,636
CB01E,370,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5-8",.,"1,166",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,166"
CB01F,330,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0-4",.,.,.,.,181,.,.,.,.,.,.,.,.,.,.,.,.,.,181
CB01F,370,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0-4",.,"1,166",.,"1,765",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,931"
CB01F,800,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,542",.,"2,542"
CB02B,140,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4",.,.,.,.,.,.,811,.,.,.,.,.,.,.,.,.,.,.,811
CB02D,361,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",.,.,.,.,.,.,688,.,.,.,.,.,.,.,.,.,.,.,688
CB02D,370,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",.,.,.,232,.,.,.,.,.,.,.,.,.,.,.,.,.,.,232
CB02D,430,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,619,.,619
CB02E,120,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,.,.,.,.,.,.,.,.,.,.,153,.,.,.,.,.,153
CB02E,140,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,771,.,771
CB02E,300,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,309,.,.,.,.,.,.,.,.,.,.,136,.,.,.,.,.,446
CB02E,301,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,369,369
CB02E,303,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,.,251,.,.,.,.,.,.,.,.,.,.,.,.,.,.,251
CB02E,370,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,.,116,.,.,.,.,.,.,.,.,.,.,.,.,.,.,116
CB02E,430,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,860,.,860
CB02E,823,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,.,.,.,.,958,.,.,.,.,.,.,.,.,.,.,.,.,958
CB02F,100,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0",.,.,.,.,.,.,226,.,.,.,.,.,.,.,.,.,.,.,226
CB02F,101,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0",.,.,.,325,.,.,.,.,.,.,.,.,.,.,.,.,.,.,325
CB02F,120,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0","1,891",992,.,.,.,549,238,.,.,.,.,"1,460","2,244",.,.,871,.,.,"8,245"
CB02F,140,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0","1,233",.,.,.,.,.,.,"1,076",.,.,.,.,116,.,.,.,.,.,"2,425"
CB02F,191,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,246,.,.,.,.,.,.,246
CB02F,300,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0",.,.,.,132,.,.,.,.,.,.,.,.,"1,180",.,.,.,.,.,"1,312"
CB02F,330,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,318,318
CB02F,400,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,241,.,.,.,.,.,241
CD01A,140,"Major Dental Procedures, 19 years and over","20,099",.,.,.,.,"3,932","5,842","14,336",.,.,.,.,"37,433",.,.,.,"8,707",.,"90,349"
CD01B,140,"Major Dental Procedures, 18 years and under","3,174",.,.,.,.,938,.,"1,103",.,.,.,.,.,.,.,.,"1,451",.,"6,665"
CD02A,120,"Intermediate Dental Procedures, 19 years and over",.,331,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,331
CD02A,140,"Intermediate Dental Procedures, 19 years and over","10,501",.,.,.,.,"7,807","1,333","3,915",.,.,.,.,"28,010",.,.,.,"4,580",.,"56,147"
CD02B,140,"Intermediate Dental Procedures, 18 years and under",.,.,.,.,.,"2,071","1,657",.,.,.,.,.,"2,813",.,.,.,"2,661",.,"9,203"
CD02B,142,"Intermediate Dental Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"2,202",.,.,.,.,.,"2,202"
CD03A,120,"Minor Dental Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,604,.,.,.,.,.,604
CD03A,140,"Minor Dental Procedures, 19 years and over","15,770",.,.,.,.,"2,116",.,"2,152",.,.,.,.,"6,690",.,.,.,"1,451",.,"28,180"
CD03B,140,"Minor Dental Procedures, 18 years and under","4,339",.,.,.,.,.,.,.,.,.,.,.,"1,940",.,.,.,"1,330",.,"7,609"
CD03B,142,"Minor Dental Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"2,801",.,.,.,.,.,"2,801"
CD04A,140,"Major Surgical Removal of Tooth, 19 years and over","70,875",.,.,.,.,"8,766",869,"26,534",.,.,.,.,"14,321",.,.,.,"14,588",.,"135,953"
CD04B,140,"Major Surgical Removal of Tooth, 18 years and under","12,694",.,.,.,.,"9,356","6,839","9,362",.,.,.,.,"5,521",.,.,.,"6,107",.,"49,879"
CD04B,142,"Major Surgical Removal of Tooth, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,855,.,.,.,.,.,855
CD05A,140,"Surgical Removal of Tooth, 19 years and over","41,471",.,.,.,.,"4,293","2,063","46,470",.,.,.,.,"15,992",.,.,.,"9,539",.,"119,828"
CD05B,140,"Surgical Removal of Tooth, 18 years and under","31,031",.,.,.,.,"67,213","12,043","58,226",.,.,.,.,"53,228",.,.,.,"49,961",.,"271,702"
CD05B,142,"Surgical Removal of Tooth, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"20,084",.,.,.,.,.,"20,084"
CD06A,140,"Extraction of Multiple Teeth, 19 years and over","16,104",.,.,.,.,"1,765",.,"17,668",.,.,.,.,"182,747",.,.,.,"6,833",.,"225,116"
CD06B,100,"Extraction of Multiple Teeth, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,428,.,.,.,.,428
CD06B,120,"Extraction of Multiple Teeth, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,431,.,.,.,.,.,.,431
CD06B,140,"Extraction of Multiple Teeth, 18 years and under","8,992",.,.,.,.,"12,176",997,"10,354",.,.,.,.,"52,345",.,.,.,"39,893",.,"124,756"
CD06B,142,"Extraction of Multiple Teeth, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"280,626",.,.,.,.,.,"280,626"
CD06B,171,"Extraction of Multiple Teeth, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,791",.,.,.,.,.,"1,791"
CD06B,420,"Extraction of Multiple Teeth, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"5,213",.,.,.,.,.,"5,213"
CD06B,823,"Extraction of Multiple Teeth, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,913,.,.,.,.,.,913
CD07A,140,"Minor Extraction of Tooth, 19 years and over","11,107",.,.,.,.,"1,494",.,"6,304",.,.,.,.,"7,252",.,.,.,"2,449",.,"28,606"
CD07B,140,"Minor Extraction of Tooth, 18 years and under","3,702",.,.,.,.,"1,575",.,"2,702",.,.,.,.,"7,986",.,.,.,"4,898",.,"20,863"
CD07B,142,"Minor Extraction of Tooth, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"14,713",.,.,.,.,.,"14,713"
CD08Z,140,Minor Dental Biopsy,"7,580",.,.,.,.,.,.,"1,076",.,.,.,.,.,.,.,.,.,.,"8,656"
CD09A,140,"Minor Dental Restoration Procedures, 19 years and over","1,058",.,.,.,.,"1,675",.,.,.,.,.,.,"52,190",.,.,.,.,.,"54,923"
CD09B,140,"Minor Dental Restoration Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"24,222",.,.,.,.,.,"24,222"
CD09B,142,"Minor Dental Restoration Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"15,932",.,.,.,.,.,"15,932"
CD11A,140,"Dental Fitting or Insertion Procedures, 19 years and over",637,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,637
CD11B,140,"Dental Fitting or Insertion Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,330",.,"1,330"
CD12A,140,"Adjustment of Dental Device, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,865,.,.,.,.,.,865
DZ02K,340,"Complex Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,.,.,751,.,.,.,.,.,.,.,.,.,.,.,.,751
DZ06A,100,"Minor Thoracic Procedures, 19 years and over","1,311","1,583",.,"1,701",.,"2,314",757,.,.,.,"3,327",.,.,.,.,"2,372","1,145",.,"14,510"
DZ06A,101,"Minor Thoracic Procedures, 19 years and over",.,.,.,.,.,729,.,.,.,.,.,.,.,.,.,.,.,.,729
DZ06A,120,"Minor Thoracic Procedures, 19 years and over","3,880","4,049",.,.,.,"5,707","2,715",.,.,.,.,.,"9,539",.,.,.,.,.,"25,890"
DZ06A,172,"Minor Thoracic Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"4,362",.,.,.,.,.,"4,362"
DZ06A,300,"Minor Thoracic Procedures, 19 years and over",.,.,.,"14,892","5,446","9,217","4,507",.,.,"3,291","2,097",.,"1,488",.,"19,878",.,"36,811",.,"97,627"
DZ06A,340,"Minor Thoracic Procedures, 19 years and over",.,.,.,"8,093",.,"25,687","8,459",.,.,.,.,.,"8,533",.,.,.,.,.,"50,772"
DZ06A,361,"Minor Thoracic Procedures, 19 years and over",.,.,.,857,.,.,.,.,.,.,.,.,.,.,.,.,.,.,857
DZ06A,370,"Minor Thoracic Procedures, 19 years and over",.,.,.,"2,068",.,"1,009",.,.,.,.,.,.,.,.,.,.,.,.,"3,077"
DZ06A,410,"Minor Thoracic Procedures, 19 years and over",.,.,.,.,.,229,.,.,.,.,.,.,.,.,.,.,.,.,229
DZ06A,502,"Minor Thoracic Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,441",.,.,.,"1,441"
DZ06A,800,"Minor Thoracic Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,271",.,"1,271"
DZ07A,120,"Fibreoptic Bronchoscopy, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"1,109",.,.,.,.,.,"1,109"
DZ07A,300,"Fibreoptic Bronchoscopy, 19 years and over","55,868","97,478",.,"1,671","65,688",614,.,.,.,.,"16,254",.,"32,003",.,"87,227",.,"321,783",.,"678,586"
DZ07A,301,"Fibreoptic Bronchoscopy, 19 years and over",.,"1,460",.,.,.,243,.,.,.,.,.,.,.,.,.,.,.,.,"1,703"
DZ07A,340,"Fibreoptic Bronchoscopy, 19 years and over",.,.,.,"170,704",.,"311,125","55,433",.,.,.,.,.,"2,052",.,.,.,.,.,"539,315"
DZ07A,800,"Fibreoptic Bronchoscopy, 19 years and over",.,.,.,.,.,"2,350",.,.,.,.,.,.,.,.,.,.,.,.,"2,350"
DZ07B,120,"Fibreoptic Bronchoscopy, 18 years and under",.,.,.,.,.,780,.,.,.,.,.,.,"7,310",.,.,.,"3,681",.,"11,771"
DZ07B,300,"Fibreoptic Bronchoscopy, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,711,.,.,.,696,.,"1,408"
DZ07B,420,"Fibreoptic Bronchoscopy, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"11,960",.,.,.,.,.,"11,960"
DZ08Z,120,Rigid Bronchoscopy,.,.,.,.,.,.,.,.,.,.,.,.,"8,357",.,.,.,.,.,"8,357"
DZ08Z,171,Rigid Bronchoscopy,.,.,.,.,.,.,.,.,.,.,.,.,"2,969",.,.,.,.,.,"2,969"
DZ08Z,340,Rigid Bronchoscopy,.,.,.,569,.,.,.,.,.,.,.,.,.,.,.,.,.,.,569
DZ08Z,810,Rigid Bronchoscopy,.,.,.,.,.,.,.,.,.,.,.,.,700,.,.,.,.,.,700
DZ09G,370,Pulmonary Embolus with CC Score 3-5,.,233,.,116,.,.,.,.,.,.,.,.,.,.,.,.,.,.,349
DZ09H,300,Pulmonary Embolus with CC Score 0-2,.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,376
DZ09H,370,Pulmonary Embolus with CC Score 0-2,.,.,.,348,.,.,.,.,.,.,.,.,.,.,.,.,.,.,348
DZ09H,800,Pulmonary Embolus with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,636,.,636
DZ10G,300,Lung Abscess-Empyema with CC Score 0-2,.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,376
DZ11G,300,"Lobar, Atypical or Viral Pneumonia, with CC Score 6-8",.,309,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,309
DZ11H,300,"Lobar, Atypical or Viral Pneumonia, with CC Score 3-5",329,309,.,.,.,.,.,.,.,552,.,.,.,.,.,.,.,.,"1,191"
DZ11H,370,"Lobar, Atypical or Viral Pneumonia, with CC Score 3-5",.,.,.,116,.,.,.,.,.,.,.,.,.,.,.,.,.,.,116
DZ11J,300,"Lobar, Atypical or Viral Pneumonia, with CC Score 0-2",.,.,.,.,.,.,"1,127",.,.,.,.,.,.,.,.,.,.,.,"1,127"
DZ11J,340,"Lobar, Atypical or Viral Pneumonia, with CC Score 0-2",.,.,.,236,.,.,.,.,.,.,.,.,.,.,.,.,.,.,236
DZ12C,300,Bronchiectasis with CC Score 8+,.,309,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,309
DZ12D,300,Bronchiectasis with CC Score 5-7,.,.,.,.,.,.,.,.,.,"1,656",.,.,.,.,.,.,.,.,"1,656"
DZ12E,300,Bronchiectasis with CC Score 2-4,.,.,.,.,.,.,.,.,.,"1,649",.,.,.,.,.,.,696,.,"2,345"
DZ12F,300,Bronchiectasis with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,267,.,267
DZ12F,340,Bronchiectasis with CC Score 0-1,.,.,.,472,.,.,.,.,.,.,.,.,.,.,.,.,.,.,472
DZ13B,303,Cystic Fibrosis with CC Score 0,.,.,.,251,.,.,.,.,.,.,.,.,.,.,.,.,.,.,251
DZ14E,340,"Pulmonary, Pleural or Other Tuberculosis, with CC Score 0-1",.,.,.,.,.,583,.,.,.,.,.,.,.,.,.,.,.,.,583
DZ15L,300,"Asthma without Intubation, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,"1,043",.,.,.,267,.,"1,310"
DZ16F,370,Pleural Effusion with CC Score 4-7,.,933,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,933
DZ16F,430,Pleural Effusion with CC Score 4-7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,619,.,619
DZ16F,800,Pleural Effusion with CC Score 4-7,"1,676",.,.,.,.,"4,701",.,.,.,.,.,.,.,.,.,.,.,.,"6,377"
DZ16G,172,Pleural Effusion with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,"1,237",.,.,.,.,.,"1,237"
DZ16G,300,Pleural Effusion with CC Score 0-3,.,.,.,182,.,614,.,.,.,.,.,.,.,.,.,.,800,.,"1,597"
DZ16G,340,Pleural Effusion with CC Score 0-3,.,.,.,.,.,583,.,.,.,.,.,.,.,.,.,.,.,.,583
DZ16G,370,Pleural Effusion with CC Score 0-3,.,.,.,776,.,.,.,.,.,.,.,.,.,.,.,.,.,.,776
DZ16G,800,Pleural Effusion with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,084",.,"5,084"
DZ17F,370,Respiratory Neoplasms with CC Score 8-10,.,233,.,"1,703",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,937"
DZ17G,370,Respiratory Neoplasms with CC Score 5-7,.,"1,632",.,"2,356",.,"3,026",.,.,.,.,.,.,.,.,.,.,.,.,"7,014"
DZ17G,800,Respiratory Neoplasms with CC Score 5-7,.,.,.,.,.,"7,051",.,.,.,.,.,.,.,.,.,.,"3,178",.,"10,229"
DZ17H,300,Respiratory Neoplasms with CC Score 3-4,.,.,.,.,.,.,.,.,.,.,60,.,.,.,.,.,.,.,60
DZ17H,370,Respiratory Neoplasms with CC Score 3-4,.,233,.,"2,881",.,"1,009",.,.,.,.,.,.,.,.,.,.,.,.,"4,123"
DZ17H,800,Respiratory Neoplasms with CC Score 3-4,"3,353",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"17,159",.,"20,511"
DZ17H,810,Respiratory Neoplasms with CC Score 3-4,.,.,.,.,.,.,.,.,.,.,.,.,162,.,.,.,.,.,162
DZ17J,340,Respiratory Neoplasms with CC Score 1-2,.,.,.,.,.,"1,167",.,.,.,.,.,.,.,.,.,.,.,.,"1,167"
DZ17J,370,Respiratory Neoplasms with CC Score 1-2,.,"1,632",.,"5,940",.,"5,043",.,.,.,.,.,.,.,.,.,.,.,.,"12,615"
DZ17J,800,Respiratory Neoplasms with CC Score 1-2,335,.,.,.,.,"28,206",.,.,.,.,.,.,.,.,.,.,"1,271",.,"29,812"
DZ17K,340,Respiratory Neoplasms with CC Score 0,.,.,.,708,.,.,202,.,.,.,.,.,.,.,.,.,.,.,910
DZ17K,370,Respiratory Neoplasms with CC Score 0,.,233,.,"2,159",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,392"
DZ17K,800,Respiratory Neoplasms with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,907",.,"1,907"
DZ19F,300,Other Respiratory Disorders with CC Score 6-8,.,.,.,182,.,.,.,.,.,.,.,.,.,.,.,.,.,.,182
DZ19G,100,Other Respiratory Disorders with CC Score 0-5,.,.,.,.,.,.,226,.,.,.,.,.,.,.,.,.,.,.,226
DZ19G,300,Other Respiratory Disorders with CC Score 0-5,703,619,.,.,.,.,"2,253",.,.,.,.,.,148,.,"1,050",.,800,.,"5,573"
DZ19G,340,Other Respiratory Disorders with CC Score 0-5,.,.,.,"2,832",.,"1,167",.,.,.,.,.,.,.,.,.,.,.,.,"3,999"
DZ19G,370,Other Respiratory Disorders with CC Score 0-5,.,233,.,375,.,.,.,.,.,.,.,.,.,.,.,.,.,.,608
DZ19G,810,Other Respiratory Disorders with CC Score 0-5,.,.,.,.,.,.,.,.,.,.,.,.,217,.,.,.,.,.,217
DZ20B,361,Pulmonary Oedema with CC Score 4-8,.,.,.,518,.,.,.,.,.,.,.,.,.,.,.,.,.,.,518
DZ21A,300,"Chronic Obstructive Pulmonary Disease or Bronchitis, with length of stay 1 day or less, discharged home",.,.,.,.,.,.,376,.,.,948,.,.,.,.,.,.,.,.,"1,324"
DZ21A,301,"Chronic Obstructive Pulmonary Disease or Bronchitis, with length of stay 1 day or less, discharged home",.,.,.,.,.,.,.,.,.,.,.,.,.,191,.,.,.,.,191
DZ21A,303,"Chronic Obstructive Pulmonary Disease or Bronchitis, with length of stay 1 day or less, discharged home",.,.,.,240,.,.,.,.,.,.,.,.,.,.,.,.,.,.,240
DZ21A,340,"Chronic Obstructive Pulmonary Disease or Bronchitis, with length of stay 1 day or less, discharged home",.,.,.,.,.,"1,167",.,.,.,.,.,.,.,.,.,.,.,.,"1,167"
DZ21A,361,"Chronic Obstructive Pulmonary Disease or Bronchitis, with length of stay 1 day or less, discharged home",.,.,.,518,.,.,.,.,.,.,.,.,.,.,.,.,.,.,518
DZ22F,300,Unspecified Acute Lower Respiratory Infection with CC Score 8-10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,533,.,533
DZ22G,300,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,.,619,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,619
DZ22G,370,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,.,.,.,348,.,.,.,.,.,.,.,.,.,.,.,.,.,.,348
DZ22G,800,Unspecified Acute Lower Respiratory Infection with CC Score 5-7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,636,.,636
DZ22H,300,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,376
DZ22H,303,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,220,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,220
DZ22H,361,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,240,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,240
DZ22H,370,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,.,.,116,.,.,.,.,.,.,.,.,.,.,.,.,.,.,116
DZ22H,800,Unspecified Acute Lower Respiratory Infection with CC Score 2-4,.,.,.,.,.,"2,350",.,.,.,.,.,.,.,.,.,.,.,.,"2,350"
DZ22J,101,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,.,.,.,163,.,.,.,.,.,.,.,.,.,.,.,.,.,.,163
DZ22J,300,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,.,.,.,.,.,"1,229",751,.,.,.,.,.,.,.,.,.,.,.,"1,980"
DZ22J,303,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,.,440,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,440
DZ22J,370,Unspecified Acute Lower Respiratory Infection with CC Score 0-1,.,.,.,232,.,.,.,.,.,.,.,.,.,.,.,.,.,.,232
DZ23F,370,Bronchopneumonia with CC Score 5-8,.,.,.,.,.,"1,009",.,.,.,.,.,.,.,.,.,.,.,.,"1,009"
DZ24F,361,"Inhalation Lung Injury or Foreign Body, with CC Score 7-9",.,.,.,518,.,.,.,.,.,.,.,.,.,.,.,.,.,.,518
DZ25F,300,"Fibrosis or Pneumoconiosis, with CC Score 0-1",.,.,.,.,.,614,.,.,.,.,.,.,.,.,.,.,"2,108",.,"2,723"
DZ25F,340,"Fibrosis or Pneumoconiosis, with CC Score 0-1",.,.,.,.,.,"2,334",.,.,.,.,.,.,.,.,.,.,.,.,"2,334"
DZ25F,410,"Fibrosis or Pneumoconiosis, with CC Score 0-1",.,.,.,.,.,229,.,.,.,.,.,.,.,.,.,.,.,.,229
DZ26D,370,"Pneumothorax or Intrathoracic Injuries, with CC Score 5-7",.,.,.,116,.,.,.,.,.,.,.,.,.,.,.,.,.,.,116
DZ26F,300,"Pneumothorax or Intrathoracic Injuries, with CC Score 0-1",.,.,.,.,.,.,751,.,.,.,.,.,.,.,.,.,.,.,751
DZ27L,340,"Respiratory Failure without Intubation, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"1,745",.,.,.,.,.,"1,745"
DZ29E,410,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 2-3",.,87,.,.,.,229,.,.,.,.,.,.,.,.,.,.,.,.,316
DZ29F,191,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,"2,381",.,.,.,.,"2,381"
DZ29F,300,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 0-1","2,692",.,.,.,.,614,.,.,.,.,.,.,"3,415",.,.,.,.,.,"6,721"
DZ29F,361,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 0-1",.,.,.,529,.,.,.,.,.,.,.,.,.,.,.,.,.,.,529
DZ29F,410,"Granulomatous, Allergic Alveolitis or Autoimmune Lung Disease, with CC Score 0-1",.,174,.,.,.,"2,062",.,.,.,.,.,.,.,.,.,.,.,.,"2,236"
DZ32Z,370,Field Exercise Testing,.,.,.,.,.,.,.,.,.,.,.,.,548,.,.,.,.,.,548
DZ38Z,120,Oxygen Assessment and Monitoring,.,.,.,.,.,.,.,.,.,.,.,.,735,.,.,.,.,.,735
DZ42Z,300,TB Nurse Support,.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,376
DZ42Z,420,TB Nurse Support,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,665,.,665
DZ57Z,300,Oximetry or Blood Gas Studies,.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,376
DZ59Z,420,Airflow Studies,.,.,.,.,.,.,.,.,.,.,.,.,"3,080",.,.,.,.,.,"3,080"
DZ63B,300,"Major Thoracic Procedures, 19 years and over, with CC Score 3-5",.,.,.,368,.,.,.,.,.,.,.,.,.,.,.,.,.,.,368
DZ63C,120,"Major Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,.,.,514,.,.,.,.,.,.,.,.,.,.,.,.,514
DZ63C,300,"Major Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,"1,138",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,138"
DZ64A,300,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,459",.,.,.,"5,459"
DZ64B,300,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 3-5",.,.,.,858,.,.,.,.,.,.,.,.,.,.,"12,284",.,.,.,"13,141"
DZ64C,100,"Intermediate Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,.,.,"1,858",.,.,.,.,.,.,.,.,.,.,.,.,"1,858"
