HRG,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal Victoria,South Tyrone,South West Acute,Tyrone County,Ulster,N. Ireland Unit Cost
EB14E,502,Other Acquired Cardiac Conditions with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,088","1,088"
EB15B,300,Primary Pulmonary Hypertension with CC Score 4-8,.,.,.,.,.,.,.,.,.,.,.,716,.,.,.,.,716
EB15B,340,Primary Pulmonary Hypertension with CC Score 4-8,.,.,.,.,.,.,.,.,.,.,.,"2,598",.,.,.,.,"2,598"
EB15C,300,Primary Pulmonary Hypertension with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,934","2,934"
EB15C,320,Primary Pulmonary Hypertension with CC Score 0-3,.,.,.,.,.,.,"4,906",.,.,.,.,.,.,.,.,.,"4,906"
EB15C,340,Primary Pulmonary Hypertension with CC Score 0-3,.,.,835,.,.,.,.,.,.,.,.,.,.,.,.,.,835
EC01A,170,"Congenital Cardiac Surgery with Intervention Score 58 or less, with Diagnosis Score 64 or less",.,.,.,.,.,.,.,.,.,.,.,"9,635",.,.,.,.,"9,635"
EC01A,320,"Congenital Cardiac Surgery with Intervention Score 58 or less, with Diagnosis Score 64 or less","1,378",.,.,.,"1,540",.,.,.,.,.,.,"7,548",.,.,.,"2,095","5,344"
EC01B,320,"Congenital Cardiac Surgery with Intervention Score 58 or less, with Diagnosis Score 65-117",.,.,.,.,.,.,.,.,.,.,.,"7,885",.,.,.,.,"7,885"
EC02B,170,"Congenital Cardiac Surgery with Intervention Score 59-121, with Diagnosis Score 65-117",.,.,.,.,.,.,.,.,.,.,.,"11,917",.,.,.,.,"11,917"
EC02B,320,"Congenital Cardiac Surgery with Intervention Score 59-121, with Diagnosis Score 65-117",.,.,.,.,.,.,.,.,.,.,.,"14,338",.,.,.,.,"14,338"
FZ12L,100,"Major General Abdominal Procedures, 19 years and over, with CC Score 10+",.,"4,460",.,.,.,.,.,.,.,.,"21,285",.,.,.,.,.,"10,068"
FZ12L,300,"Major General Abdominal Procedures, 19 years and over, with CC Score 10+",.,.,.,"3,785",.,.,.,.,.,.,.,.,.,.,.,"14,059","10,634"
FZ12L,430,"Major General Abdominal Procedures, 19 years and over, with CC Score 10+","8,472",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"8,472"
FZ12L,502,"Major General Abdominal Procedures, 19 years and over, with CC Score 10+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"14,331","14,331"
FZ12M,100,"Major General Abdominal Procedures, 19 years and over, with CC Score 6-9","13,977","12,975","10,308","21,659","3,241","3,593",.,.,.,.,"6,251","3,917",.,"24,978",.,.,"11,005"
FZ12M,300,"Major General Abdominal Procedures, 19 years and over, with CC Score 6-9","6,574",.,"2,173",.,"10,783",.,.,.,.,.,.,"21,157",.,.,.,"9,790","8,751"
FZ12M,320,"Major General Abdominal Procedures, 19 years and over, with CC Score 6-9",.,"5,067",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,067"
FZ12M,340,"Major General Abdominal Procedures, 19 years and over, with CC Score 6-9",.,.,.,.,.,.,.,.,.,.,.,"6,084",.,.,.,.,"6,084"
FZ12M,361,"Major General Abdominal Procedures, 19 years and over, with CC Score 6-9",.,.,.,.,.,"6,345",.,.,.,.,.,.,.,.,.,.,"6,345"
FZ12M,370,"Major General Abdominal Procedures, 19 years and over, with CC Score 6-9",.,.,"12,966",.,.,.,.,.,.,.,.,.,.,.,.,.,"12,966"
FZ12N,100,"Major General Abdominal Procedures, 19 years and over, with CC Score 3-5","8,923","9,135","6,369","6,401","6,436","3,251",.,.,.,.,"7,259","2,978",.,"13,437",.,"8,548","7,236"
FZ12N,110,"Major General Abdominal Procedures, 19 years and over, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"13,672",.,.,.,.,"13,672"
FZ12N,300,"Major General Abdominal Procedures, 19 years and over, with CC Score 3-5","6,574","4,879","8,865",.,"10,783",.,.,.,.,.,"4,035","4,311",.,.,.,.,"6,296"
FZ12N,303,"Major General Abdominal Procedures, 19 years and over, with CC Score 3-5",.,.,"8,955",.,.,.,.,.,.,.,.,.,.,.,.,.,"8,955"
FZ12N,340,"Major General Abdominal Procedures, 19 years and over, with CC Score 3-5",.,.,"5,843",.,.,.,.,.,.,.,.,.,.,.,.,.,"5,843"
FZ12N,370,"Major General Abdominal Procedures, 19 years and over, with CC Score 3-5",.,.,"4,498",.,.,.,.,.,.,.,.,.,.,.,.,.,"4,498"
FZ12N,430,"Major General Abdominal Procedures, 19 years and over, with CC Score 3-5",.,.,"6,163",.,.,.,.,.,.,.,.,.,.,.,.,.,"6,163"
FZ12N,502,"Major General Abdominal Procedures, 19 years and over, with CC Score 3-5",.,.,"11,693",.,"5,949",.,.,.,.,.,.,.,.,.,.,.,"7,864"
FZ12P,100,"Major General Abdominal Procedures, 19 years and over, with CC Score 1-2","8,507","7,455","9,305","5,608","3,886","4,061",.,.,.,.,.,"3,395",.,"8,322",.,"5,726","5,362"
FZ12P,101,"Major General Abdominal Procedures, 19 years and over, with CC Score 1-2",.,.,"6,178",.,.,.,.,.,.,.,.,.,.,.,.,"2,518","4,958"
FZ12P,300,"Major General Abdominal Procedures, 19 years and over, with CC Score 1-2","4,802","4,066","5,630","4,737","1,307","6,628",.,.,.,.,.,"7,614",.,.,.,"4,016","4,948"
FZ12P,350,"Major General Abdominal Procedures, 19 years and over, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,"9,421",.,.,.,.,"9,421"
FZ12P,370,"Major General Abdominal Procedures, 19 years and over, with CC Score 1-2",.,.,"7,724",.,.,.,.,.,.,.,.,.,.,.,.,.,"7,724"
FZ12P,430,"Major General Abdominal Procedures, 19 years and over, with CC Score 1-2",.,.,"4,993",.,"2,175",.,.,.,.,.,.,.,.,.,.,.,"3,584"
FZ12P,501,"Major General Abdominal Procedures, 19 years and over, with CC Score 1-2",.,.,.,.,"2,817",.,.,.,.,.,.,.,.,"8,283",.,.,"6,461"
FZ12P,502,"Major General Abdominal Procedures, 19 years and over, with CC Score 1-2","6,275",.,"6,471",.,.,"3,523",.,.,.,.,.,.,.,"5,855",.,"9,162","6,615"
FZ12Q,100,"Major General Abdominal Procedures, 19 years and over, with CC Score 0","5,214","5,144","5,874","4,048","4,566","4,777",.,.,.,.,"4,573","4,034",.,"6,869",.,"5,294","4,956"
FZ12Q,101,"Major General Abdominal Procedures, 19 years and over, with CC Score 0",.,.,"4,210",.,"5,233",.,.,.,.,.,.,.,.,.,.,.,"4,551"
FZ12Q,150,"Major General Abdominal Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"8,829",.,.,.,.,"8,829"
FZ12Q,300,"Major General Abdominal Procedures, 19 years and over, with CC Score 0","4,334",813,.,"2,901",.,.,.,.,.,.,.,.,.,.,.,.,"3,096"
FZ12Q,303,"Major General Abdominal Procedures, 19 years and over, with CC Score 0",.,.,"8,954",.,.,.,.,.,.,.,.,.,.,.,.,.,"8,954"
FZ12Q,360,"Major General Abdominal Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"15,575",.,.,.,.,"15,575"
FZ12Q,501,"Major General Abdominal Procedures, 19 years and over, with CC Score 0","9,566",.,.,.,"3,756",.,.,.,.,.,.,"1,677",.,"8,103",.,"2,735","4,586"
FZ12Q,502,"Major General Abdominal Procedures, 19 years and over, with CC Score 0","6,275","5,297","7,309",.,"7,274","3,018",.,.,.,.,.,.,.,"6,402",.,"5,121","6,142"
FZ12R,100,"Major General Abdominal Procedures, between 2 and 18 years, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"6,112","6,112"
FZ12S,100,"Major General Abdominal Procedures, between 2 and 18 years, with CC Score 0","5,480",.,.,"5,492",.,.,.,.,.,.,.,.,.,"7,245",.,"5,493","5,783"
FZ12S,171,"Major General Abdominal Procedures, between 2 and 18 years, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"8,940",.,.,.,.,"8,940"
FZ12S,502,"Major General Abdominal Procedures, between 2 and 18 years, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,"8,107",.,.,"8,107"
FZ12T,171,"Major General Abdominal Procedures, 1 year and under, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"7,227",.,.,.,.,"7,227"
FZ17E,100,"Abdominal Hernia Procedures, 19 years and over, with CC Score 4+",.,"2,405",.,"6,544","7,764","4,574",.,.,.,.,"8,048","3,411",.,.,.,"5,846","5,346"
FZ17F,100,"Abdominal Hernia Procedures, 19 years and over, with CC Score 1-3","3,196","3,060",.,"2,757","5,099",.,.,.,.,.,"3,296","4,813",.,"6,036",.,"3,605","3,993"
FZ17G,100,"Abdominal Hernia Procedures, 19 years and over, with CC Score 0",.,"2,704","3,428","2,101","4,126",.,.,.,.,.,.,"3,230",.,"6,110",.,"2,703","3,287"
FZ17G,300,"Abdominal Hernia Procedures, 19 years and over, with CC Score 0",.,"2,058",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,058"
FZ18F,171,"Inguinal, Umbilical or Femoral Hernia Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,"2,985",.,.,.,.,"2,985"
FZ18G,100,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 6+","6,160",.,.,.,.,"3,716",.,.,.,.,.,"4,227",.,.,.,"2,852","3,777"
FZ18G,300,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 6+",.,"3,659",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,659"
FZ18H,100,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 3-5","3,642","4,385","3,641","4,458","3,231","3,306",.,.,.,.,"3,994","3,867",.,"5,667",.,"3,207","3,893"
FZ18H,300,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 3-5",.,.,"1,908",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,908"
FZ18J,100,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 1-2","3,829","2,895","2,825","2,078","3,195","3,862",.,.,.,.,"3,391","3,254",.,"4,517",.,"2,144","3,187"
FZ18K,100,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 0","2,962","1,706","2,582","1,574","1,707","2,251",.,.,.,.,"3,014","2,287",.,"2,920",.,"1,277","2,041"
FZ18K,300,"Inguinal, Umbilical or Femoral Hernia Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,"7,433",.,.,.,.,.,"7,433"
FZ19B,171,"Herniotomy Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,"2,011",.,.,.,.,"2,011"
FZ19B,420,"Herniotomy Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,"2,254",.,.,.,.,"2,254"
FZ20F,100,"Appendicectomy Procedures, 19 years and over, with CC Score 5+","6,851","10,829",.,.,.,.,.,.,.,.,.,.,.,"8,476",.,"3,253","6,902"
FZ20G,100,"Appendicectomy Procedures, 19 years and over, with CC Score 3-4","7,764","5,714",.,"7,591","3,746",.,.,.,.,.,"4,447","4,494",.,"9,285",.,"4,105","5,767"
FZ20H,100,"Appendicectomy Procedures, 19 years and over, with CC Score 1-2","4,588","3,594","4,659","3,536","3,749","3,273",.,.,.,.,"3,633","3,895",.,"5,102",.,"2,890","3,705"
FZ20H,110,"Appendicectomy Procedures, 19 years and over, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,"5,052",.,.,.,.,"5,052"
FZ20H,300,"Appendicectomy Procedures, 19 years and over, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,"3,928",.,.,.,.,.,"3,928"
FZ20H,501,"Appendicectomy Procedures, 19 years and over, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,"1,776",.,.,.,"6,355","3,302"
FZ20H,502,"Appendicectomy Procedures, 19 years and over, with CC Score 1-2",.,.,.,"3,008",.,.,.,.,.,.,.,.,.,.,.,"6,349","4,679"
FZ20J,100,"Appendicectomy Procedures, 19 years and over, with CC Score 0","3,749","2,906","3,234","2,766","2,891","3,210",.,.,.,.,"4,090","3,581",.,"4,680",.,"2,373","3,267"
FZ20J,180,"Appendicectomy Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,"1,123",.,.,.,.,.,"1,123"
FZ20J,300,"Appendicectomy Procedures, 19 years and over, with CC Score 0",.,"2,033",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,033"
FZ20J,501,"Appendicectomy Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,"5,402",.,"4,207","4,605"
FZ20J,502,"Appendicectomy Procedures, 19 years and over, with CC Score 0",.,"1,550",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,237","2,393"
FZ20K,100,"Appendicectomy Procedures, 18 years and under, with CC Score 3+",.,.,.,.,.,"4,521",.,.,.,.,"6,115",.,.,.,.,"2,878","4,183"
FZ20K,171,"Appendicectomy Procedures, 18 years and under, with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,"9,430",.,.,.,.,"9,430"
FZ20L,100,"Appendicectomy Procedures, 18 years and under, with CC Score 1-2","4,566","3,053",.,"6,093","3,294","2,218",.,.,.,.,"4,567","3,400",.,"4,852",.,"2,707","3,589"
FZ20L,171,"Appendicectomy Procedures, 18 years and under, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,"7,801",.,.,.,.,"7,801"
FZ20L,350,"Appendicectomy Procedures, 18 years and under, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,"11,656",.,.,.,.,"11,656"
FZ20L,420,"Appendicectomy Procedures, 18 years and under, with CC Score 1-2","2,287","6,044",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,165"
FZ20M,100,"Appendicectomy Procedures, 18 years and under, with CC Score 0","3,580","2,603","3,747","2,441","2,724","2,770",.,.,.,.,"3,806","3,229",.,"4,511",.,"2,272","3,093"
FZ20M,171,"Appendicectomy Procedures, 18 years and under, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"5,718",.,.,.,.,"5,718"
FZ20M,420,"Appendicectomy Procedures, 18 years and under, with CC Score 0","3,811",.,.,"1,941",.,.,.,.,.,.,.,"6,880",.,"4,001",.,.,"3,762"
FZ20M,502,"Appendicectomy Procedures, 18 years and under, with CC Score 0",.,"2,325",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,325"
FZ21B,100,"Major Anal Procedures, 18 years and under","3,349",.,.,.,.,.,.,.,.,.,.,"2,616",.,"3,283",.,"3,385","3,204"
FZ21C,100,"Major Anal Procedures, 19 years and over, with CC Score 1+","7,042","4,742","7,768",.,"3,701","3,005",.,.,.,.,"3,589","2,015",.,.,.,"2,883","3,711"
FZ21D,100,"Major Anal Procedures, 19 years and over, with CC Score 0","2,968","2,402","1,608",.,"1,302","2,348",.,.,.,.,.,"2,430",.,.,.,"2,047","2,231"
FZ21D,300,"Major Anal Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"2,752",.,.,.,.,"2,752"
FZ22B,100,"Intermediate Anal Procedures, 18 years and under","2,055","2,418",.,.,"1,695",.,.,.,.,.,.,.,.,"1,957",.,"1,824","2,005"
FZ22B,171,"Intermediate Anal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"4,255",.,.,.,.,"4,255"
FZ22C,100,"Intermediate Anal Procedures, 19 years and over, with CC Score 3+","7,537",.,.,"2,824","6,289",.,.,.,.,.,.,"4,419",.,.,.,"5,098","5,177"
FZ22C,303,"Intermediate Anal Procedures, 19 years and over, with CC Score 3+",.,714,.,.,.,.,.,.,.,.,.,.,.,.,.,.,714
FZ22D,100,"Intermediate Anal Procedures, 19 years and over, with CC Score 1-2","2,441","2,395","2,952","2,366","2,065","2,013",.,.,.,.,"2,814","2,237",.,"2,281",.,"1,923","2,219"
FZ22D,110,"Intermediate Anal Procedures, 19 years and over, with CC Score 1-2",.,.,.,.,"1,889",.,.,.,.,.,.,.,.,.,.,.,"1,889"
FZ22E,100,"Intermediate Anal Procedures, 19 years and over, with CC Score 0","2,306","2,431","2,361","3,137","1,840","1,868",.,.,.,.,"1,989","1,891",.,"3,027",.,"1,597","2,127"
FZ22E,502,"Intermediate Anal Procedures, 19 years and over, with CC Score 0",.,.,.,.,"2,898",.,.,.,.,.,.,.,.,.,.,.,"2,898"
FZ24E,120,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, between 2 and 18 years",.,.,.,.,"1,087",.,.,.,.,.,.,"5,723",.,.,.,.,"3,405"
FZ24G,100,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 3+",.,.,.,.,.,"5,655",.,.,.,.,.,.,.,.,.,.,"5,655"
FZ24G,120,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,"14,419",.,.,.,.,"14,419"
FZ24G,172,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,"11,886",.,.,.,.,"11,886"
FZ24G,300,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,087","2,087"
FZ24G,430,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,338","5,338"
FZ24H,100,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 1-2",.,.,.,"2,668","2,172",.,.,.,.,.,.,.,.,"2,620",.,"2,104","2,254"
FZ24H,120,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 1-2",.,"2,088",.,.,"1,939",.,.,.,.,.,.,.,.,.,.,.,"2,014"
FZ24H,300,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,"1,791",.,.,.,.,.,"1,791"
FZ24H,301,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 1-2",.,"1,076",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,076"
FZ24J,100,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 0",.,"3,772",.,.,"2,327","2,691",.,.,.,.,.,.,.,.,.,"2,710","2,753"
FZ24J,120,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 0",.,"2,793",.,.,.,.,.,.,.,.,.,"2,123",.,.,.,.,"2,272"
FZ24J,180,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,896,.,.,.,.,896
FZ24J,300,"Major Therapeutic Endoscopic, Upper or Lower Gastrointestinal Tract Procedures, 19 years and over, with CC Score 0",.,.,"2,220","2,377",.,.,.,.,.,.,.,"2,504",.,.,.,.,"2,367"
FZ27E,100,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 3+",.,.,.,.,.,.,.,.,.,.,"5,453",.,.,.,.,.,"5,453"
FZ27E,502,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 3+",.,"4,997",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,997"
FZ27F,100,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 1-2",.,.,"3,967","6,720",.,.,.,.,.,.,"6,960",.,.,"6,595",.,.,"6,167"
FZ27F,300,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 1-2",.,"1,220",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,220"
FZ27F,502,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 1-2",.,.,"6,226",.,.,.,.,.,.,.,.,.,.,.,.,.,"6,226"
FZ27G,100,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 0",.,"2,021",.,"2,292","2,053","2,275",.,.,.,.,.,"4,746",.,.,.,"2,923","2,560"
FZ27G,430,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,210","2,210"
FZ27G,502,"Intermediate Therapeutic General Abdominal Procedures, 19 years and over, with CC Score 0",.,"2,377","5,055",.,"3,147",.,.,.,.,.,.,.,.,.,.,"2,253","3,577"
FZ36G,100,"Gastrointestinal Infections with Multiple Interventions, with CC Score 4+",.,"8,843",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"8,843"
FZ36G,300,"Gastrointestinal Infections with Multiple Interventions, with CC Score 4+",877,.,.,.,"4,248",.,.,.,.,.,.,"6,066",.,"7,030",.,"9,851","5,689"
FZ36H,100,"Gastrointestinal Infections with Multiple Interventions, with CC Score 0-3",.,.,.,.,.,"5,803",.,.,.,.,.,.,.,.,.,"8,604","6,736"
FZ36H,300,"Gastrointestinal Infections with Multiple Interventions, with CC Score 0-3","1,315",.,.,.,.,.,.,.,.,.,"4,084","2,873",.,.,.,.,"2,786"
FZ36J,100,"Gastrointestinal Infections with Single Intervention, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,"2,720",.,.,.,.,.,"2,720"
FZ36J,300,"Gastrointestinal Infections with Single Intervention, with CC Score 5+",.,"2,440",.,.,"4,901","3,013",.,.,.,.,"3,400","2,350",.,.,.,"1,511","2,573"
FZ36J,320,"Gastrointestinal Infections with Single Intervention, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"6,379","6,379"
FZ36J,361,"Gastrointestinal Infections with Single Intervention, with CC Score 5+",.,.,"7,706",.,.,.,.,.,.,.,.,.,.,.,.,"1,533","4,619"
FZ36K,100,"Gastrointestinal Infections with Single Intervention, with CC Score 2-4","8,175",.,.,.,"3,234","1,314",.,.,.,.,.,"3,653",.,"6,860",.,"4,302","4,036"
FZ36K,300,"Gastrointestinal Infections with Single Intervention, with CC Score 2-4","2,024",.,"2,367",.,"3,758","1,808",.,.,"3,395",.,"4,535","1,560",.,.,.,"3,388","2,604"
FZ36K,320,"Gastrointestinal Infections with Single Intervention, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,037","3,037"
FZ36K,430,"Gastrointestinal Infections with Single Intervention, with CC Score 2-4",.,.,.,.,"1,813",.,.,.,.,.,.,.,.,.,.,.,"1,813"
FZ36L,100,"Gastrointestinal Infections with Single Intervention, with CC Score 0-1",.,"3,099","1,442","1,997","3,053","2,338",.,.,.,.,.,"2,379",.,"2,007",.,"2,711","2,614"
FZ36L,300,"Gastrointestinal Infections with Single Intervention, with CC Score 0-1",.,.,"1,151",.,"3,594","1,205",.,.,"2,044",.,"1,699","2,026",.,.,.,"4,489","2,117"
FZ36L,301,"Gastrointestinal Infections with Single Intervention, with CC Score 0-1",.,"2,616",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,616"
FZ36L,430,"Gastrointestinal Infections with Single Intervention, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"6,264",.,.,.,.,"6,264"
FZ36M,100,"Gastrointestinal Infections without Interventions, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,"1,696",.,.,.,.,"1,696"
FZ36M,300,"Gastrointestinal Infections without Interventions, with CC Score 8+","1,534","3,388","1,837","3,719","4,575",.,"5,011",.,"6,514",.,.,"1,891",.,"5,147",.,"1,834","3,030"
FZ36M,302,"Gastrointestinal Infections without Interventions, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,"1,795",.,.,.,.,"1,795"
FZ36M,370,"Gastrointestinal Infections without Interventions, with CC Score 8+",.,.,"4,952",.,.,.,.,.,.,.,.,.,.,.,.,.,"4,952"
FZ36M,430,"Gastrointestinal Infections without Interventions, with CC Score 8+","9,209",.,.,.,"2,296",.,.,.,"5,305","2,877",.,.,.,"3,219",.,"4,775","4,706"
FZ36N,100,"Gastrointestinal Infections without Interventions, with CC Score 5-7","1,370","6,327","1,718","4,580","2,920",791,.,.,.,.,"4,635",.,.,"1,294",.,909,"2,918"
FZ36N,180,"Gastrointestinal Infections without Interventions, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,968,.,.,.,.,968
FZ36N,300,"Gastrointestinal Infections without Interventions, with CC Score 5-7","1,659","3,311","2,952","2,419","1,857","2,222","3,517",.,"2,004",.,"2,668","1,396",.,"2,636",.,"2,351","2,130"
FZ36N,302,"Gastrointestinal Infections without Interventions, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"1,577",.,.,.,.,"1,577"
FZ36N,320,"Gastrointestinal Infections without Interventions, with CC Score 5-7",.,.,.,"3,282",.,.,.,.,.,.,.,.,.,.,.,.,"3,282"
FZ36N,361,"Gastrointestinal Infections without Interventions, with CC Score 5-7","1,302",.,"7,667",.,.,819,.,.,.,.,.,.,.,.,.,.,"2,773"
FZ36N,370,"Gastrointestinal Infections without Interventions, with CC Score 5-7",.,.,"2,240",.,.,.,.,.,.,.,.,.,.,.,.,.,"2,240"
FZ36N,430,"Gastrointestinal Infections without Interventions, with CC Score 5-7","4,736","5,186","3,166",.,"2,745",.,.,.,.,.,"4,843","2,808","5,700",.,.,"2,537","3,791"
FZ36P,100,"Gastrointestinal Infections without Interventions, with CC Score 2-4","2,056","3,616","1,718","2,863","2,003","1,186",.,.,.,.,"1,373","1,169",.,"4,045",.,"2,102","1,923"
FZ36P,101,"Gastrointestinal Infections without Interventions, with CC Score 2-4",.,.,"1,104",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,104"
FZ36P,300,"Gastrointestinal Infections without Interventions, with CC Score 2-4","1,549","2,558","1,837","2,631","1,307","1,827","2,576",.,"1,484",.,"1,752","1,257",.,"2,427",.,"1,347","1,643"
FZ36P,301,"Gastrointestinal Infections without Interventions, with CC Score 2-4",.,"2,367",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,367"
FZ36P,302,"Gastrointestinal Infections without Interventions, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,924,.,.,.,.,924
FZ36P,303,"Gastrointestinal Infections without Interventions, with CC Score 2-4","1,110",.,"2,851",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,981"
FZ36P,320,"Gastrointestinal Infections without Interventions, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,"3,498",.,.,.,.,.,"3,498"
FZ36P,340,"Gastrointestinal Infections without Interventions, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,854,.,.,.,.,854
FZ36P,350,"Gastrointestinal Infections without Interventions, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,"6,911",.,.,.,.,"6,911"
FZ36P,360,"Gastrointestinal Infections without Interventions, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,"6,592",.,.,.,.,"6,592"
FZ36P,361,"Gastrointestinal Infections without Interventions, with CC Score 2-4","1,042",.,"2,846",.,.,972,.,.,.,.,.,.,.,.,.,"3,449","1,374"
FZ36P,370,"Gastrointestinal Infections without Interventions, with CC Score 2-4",.,.,"4,009",.,.,.,.,.,.,.,.,.,.,.,.,.,"4,009"
